Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1608868800000,0.2,3.0885,0.2,2.5826,13125130.77,35530516.33,1.696095
1608876000000,2.5824,2.887,2.2249,2.6237,17194433.49,43741300.9,2.555904
1608883200000,2.6318,2.8247,2.465,2.6365,10364697.73,27411212.65,2.64485
1608890400000,2.6365,2.9762,2.54,2.6476,13840810.52,38414285.82,2.758119
1608897600000,2.65,2.8,2.2401,2.31,11891487.07,29393642.08,2.524117
1608904800000,2.31,2.32,1.7924,1.8843,20190128.78,40916428.88,2.04824
1608912000000,1.8844,2.19,1.8,1.913,13372818.82,26603727.86,1.99513
1608919200000,1.912,2.5439,1.8783,2.3959,13198735.52,29934099.2,2.219801
1608926400000,2.4,2.5674,2.13,2.322,6523724.3,15495550.56,2.348601
1608933600000,2.3227,2.4116,2.0633,2.2954,6275586.14,14070076.87,2.23734
1608940800000,2.2958,2.4609,1.96,1.9701,8490986.92,18760452.9,2.21961
1608948000000,1.9702,2.0768,1.9205,1.9881,4151206.95,8305466.28,1.998714
1608955200000,1.9875,2.13,1.9446,1.9447,4278723.82,8731180.83,2.038261
1608962400000,1.9448,1.9877,1.8349,1.8791,3092009.52,5932108.75,1.911269
1608969600000,1.8791,1.9387,1.6585,1.7513,7926520.24,14006181.06,1.797689
1608976800000,1.7529,1.839,1.6877,1.7906,4704792.97,8329794.29,1.763218
1608984000000,1.795,1.8345,1.7,1.7052,3995256.27,7035786.44,1.769401
1608991200000,1.7052,1.74,1.5717,1.6431,5710296.03,9375850.65,1.655205
1608998400000,1.6431,1.75,1.6175,1.6805,5721612.78,9663650.4,1.684196
1609005600000,1.6805,1.78,1.66,1.7452,3260720.22,5652084.59,1.72056
1609012800000,1.745,1.7915,1.67,1.7022,3365399.47,5786954.21,1.730979
1609020000000,1.7039,1.72,1.5877,1.5967,2342176.73,3839386.44,1.654547
1609027200000,1.597,1.6516,1.3758,1.4081,8712007.15,12777366.8,1.515181
1609034400000,1.4109,1.4693,1.381,1.4392,3946517.42,5613904.46,1.425153
1609041600000,1.4395,1.507,1.4118,1.4681,3223545.16,4690128.99,1.459529
1609048800000,1.4682,1.499,1.3929,1.4067,2878301.61,4148308.44,1.446729
1609056000000,1.4067,1.4163,1.276,1.2885,5505875.47,7294444.01,1.345837
1609063200000,1.2857,1.3049,1.1601,1.25,10617504.23,13005511.27,1.231955
1609070400000,1.25,1.299,1.19,1.1999,6659568.01,8272219.19,1.24559
1609077600000,1.2,1.4128,1.1911,1.3563,11091189.82,14672606.17,1.305327
1609084800000,1.3563,1.44,1.2551,1.279,8163286.94,10933726.85,1.348916
1609092000000,1.2762,1.3299,1.2106,1.3172,4335609.22,5519566.26,1.269445
1609099200000,1.3177,1.3181,1.1273,1.1759,5074056.52,6075324.18,1.218839
1609106400000,1.1765,1.1765,1.036,1.0612,7589874.52,8271055.12,1.103699
1609113600000,1.06,1.169,1.0353,1.1322,5704086.91,6335156.0,1.102626
1609120800000,1.1306,1.22,1.0953,1.1915,4620436.03,5354947.91,1.157434
1609128000000,1.1903,1.25,1.1541,1.1773,3617686.14,4338832.8,1.202134
1609135200000,1.1776,1.215,1.1277,1.1922,3545201.34,4136460.06,1.171255
1609142400000,1.1937,1.2787,1.1801,1.2224,3994625.51,4886637.05,1.229862
1609149600000,1.2223,1.246,1.1614,1.1864,3966530.33,4741094.31,1.203669
1609156800000,1.1864,1.2086,1.1475,1.172,2295211.52,2694250.22,1.178034
1609164000000,1.172,1.2158,1.1605,1.1695,1600729.36,1902569.17,1.188159
1609171200000,1.1691,1.1691,1.1024,1.1313,3121963.23,3538506.97,1.134488
1609178400000,1.1301,1.1486,1.1155,1.1351,961578.06,1084588.14,1.132047
1609185600000,1.1351,1.1372,1.058,1.0952,2916410.19,3192475.72,1.096411
1609192800000,1.0926,1.145,1.0697,1.114,3001608.35,3300410.64,1.107433
1609200000000,1.114,1.1166,1.0291,1.0425,3315858.87,3526119.05,1.071768
1609207200000,1.0426,1.0443,0.8938,0.91,8286107.19,7901418.58,0.967304
1609214400000,0.91,0.9448,0.901,0.937,4044426.54,3732262.69,0.922837
1609221600000,0.937,0.9372,0.8502,0.8814,4648958.18,4133612.01,0.891937
1609228800000,0.8814,0.9425,0.8647,0.9305,3992850.61,3609419.19,0.90334
1609236000000,0.9309,1.0,0.8747,0.8945,5100351.97,4787372.87,0.937881
1609243200000,0.8942,0.91,0.8,0.8206,8328883.02,7021779.5,0.854698
1609250400000,0.8206,0.8357,0.7704,0.7989,4178622.74,3339511.79,0.80286
1609257600000,0.799,0.846,0.7541,0.8362,4436423.44,3560768.91,0.7993
1609264800000,0.8362,0.88,0.8133,0.8395,3311209.01,2806315.85,0.846655
1609272000000,0.839,0.858,0.825,0.8399,832379.69,699825.22,0.8415
1609279200000,0.8384,0.928,0.8384,0.8845,3309961.51,2955317.48,0.884741
1609286400000,0.8845,1.0142,0.8845,0.9862,4962295.91,4772763.69,0.951893
1609293600000,0.9862,0.9871,0.9075,0.9314,3469943.81,3282320.13,0.945754
1609300800000,0.9307,0.9488,0.8889,0.9051,2465613.92,2249972.14,0.918895
1609308000000,0.9054,0.9247,0.8702,0.9151,1492971.3,1336144.2,0.897348
1609315200000,0.914,0.981,0.8813,0.9516,2686846.3,2509917.47,0.931089
1609322400000,0.9521,0.987,0.9403,0.9645,1753275.85,1684110.49,0.963746
1609329600000,0.9644,1.089,0.934,1.0792,6927553.96,7160293.08,1.009863
1609336800000,1.0792,1.2277,1.0401,1.1893,10591407.15,11975711.73,1.133867
1609344000000,1.1893,1.2574,1.128,1.2051,10587355.66,12664358.81,1.192683
1609351200000,1.2063,1.2092,1.1126,1.1313,5674983.05,6494527.39,1.159498
1609358400000,1.1327,1.2129,1.1175,1.1441,3018368.18,3502788.54,1.165296
1609365600000,1.1441,1.15,1.0701,1.0934,3489858.02,3832304.59,1.109076
1609372800000,1.0932,1.15,1.0582,1.1324,3222098.41,3577924.43,1.103684
1609380000000,1.1329,1.3231,1.1153,1.2961,5091514.82,6220100.17,1.220057
1609387200000,1.2961,1.33,1.228,1.2399,4432380.66,5637849.71,1.279903
1609394400000,1.2383,1.3693,1.2371,1.2747,7721739.89,10009101.5,1.304102
1609401600000,1.273,1.3045,1.1985,1.2426,4271753.28,5343262.1,1.251368
1609408800000,1.2412,1.3,1.216,1.2763,2607026.58,3277779.69,1.257966
1609416000000,1.2763,1.3286,1.205,1.2384,4468855.85,5675137.91,1.267027
1609423200000,1.2397,1.2837,1.198,1.2703,2385668.01,2961217.42,1.240384
1609430400000,1.269,1.3034,1.23,1.2538,2089120.34,2633921.67,1.266757
1609437600000,1.2529,1.3367,1.243,1.3213,2992253.39,3917725.76,1.290273
1609444800000,1.321,1.3487,1.2611,1.3074,1541861.32,2014351.01,1.304844
1609452000000,1.311,1.4033,1.3068,1.3637,3669178.18,4994381.03,1.356476
1609459200000,1.3623,1.3974,1.2796,1.295,3589614.05,4727058.93,1.339375
1609466400000,1.2951,1.3129,1.2412,1.259,1490808.17,1892284.75,1.27705
1609473600000,1.259,1.2885,1.2044,1.227,1634367.83,2017001.1,1.24658
1609480800000,1.2264,1.2549,1.2131,1.2343,1016776.15,1253251.21,1.234033
1609488000000,1.2343,1.2516,1.1437,1.1721,2401229.53,2836754.29,1.197147
1609495200000,1.1721,1.1842,1.1212,1.1725,1810612.83,2085175.63,1.1527
1609502400000,1.1703,1.1779,1.13,1.157,1078190.29,1244950.63,1.153759
1609509600000,1.157,1.2164,1.1501,1.1702,2771035.82,3292740.58,1.183447
1609516800000,1.1701,1.2072,1.1404,1.1466,1415229.65,1643963.8,1.174293
1609524000000,1.1439,1.1911,1.0863,1.1378,1698415.67,1907451.98,1.138698
1609531200000,1.1353,1.145,1.115,1.1305,511448.34,577988.91,1.129981
1609538400000,1.1275,1.1709,1.1262,1.155,862263.93,986896.22,1.149313
1609545600000,1.1521,1.1607,1.1221,1.1487,657802.84,749258.59,1.141383
1609552800000,1.1477,1.1495,1.08,1.0952,1256298.17,1383836.5,1.113635
1609560000000,1.0973,1.1135,1.085,1.1075,558905.65,615083.75,1.099146
1609567200000,1.1075,1.1138,1.0873,1.095,283782.28,312034.82,1.100509
1609574400000,1.0951,1.1172,1.0511,1.0521,871549.65,939728.95,1.085398
1609581600000,1.0521,1.078,1.0262,1.07,1077401.53,1133771.31,1.051825
1609588800000,1.0691,1.1091,1.0622,1.1067,927214.95,1007300.05,1.085219
1609596000000,1.1067,1.1323,1.0604,1.1091,1156814.83,1274299.58,1.096347
1609603200000,1.1096,1.1323,1.08,1.0853,1463140.32,1617545.08,1.106646
1609610400000,1.087,1.0998,1.05,1.069,854443.74,921383.29,1.074795
1609617600000,1.0713,1.0734,1.0,1.034,1876294.0,1932076.56,1.035599
1609624800000,1.0345,1.0709,1.0093,1.025,939098.2,975118.14,1.040162
1609632000000,1.0259,1.0692,1.0177,1.0437,588461.93,611941.6,1.043716
1609639200000,1.0409,1.0679,1.0308,1.032,479208.66,500914.84,1.049538
1609646400000,1.0323,1.0557,1.0195,1.03,594764.41,616282.96,1.037607
1609653600000,1.03,1.0473,0.96,0.9856,1996045.73,2000011.36,1.003363
1609660800000,0.9853,0.9964,0.9456,0.9812,1919324.0,1858641.42,0.97098
1609668000000,0.9829,1.0061,0.9762,0.9955,879464.68,870338.07,0.991241
1609675200000,0.9974,1.09,0.9952,1.0854,3218062.17,3380082.42,1.042929
1609682400000,1.0855,1.1568,1.04,1.112,4023734.54,4398651.79,1.098395
1609689600000,1.1143,1.1427,1.0608,1.0924,2237615.84,2486319.13,1.101721
1609696800000,1.0924,1.1135,1.0707,1.0856,1481596.24,1615918.06,1.09212
1609704000000,1.0859,1.1372,1.0665,1.1323,1246873.85,1382033.58,1.100975
1609711200000,1.1322,1.14,1.0705,1.108,1482551.96,1658286.54,1.104786
1609718400000,1.108,1.24,1.0968,1.1988,2547744.42,2977342.81,1.170076
1609725600000,1.1978,1.2326,1.1764,1.2068,1626331.83,1951518.11,1.204514
