Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1561161600000,3.4,3.44,2.621,2.709,2138741.658,6148410.58,3.025304
1561165200000,2.701,2.796,2.53,2.715,902015.539,2401338.32,2.662969
1561168800000,2.715,2.749,2.601,2.672,512599.433,1371277.87,2.674601
1561172400000,2.675,2.714,2.54,2.554,994259.176,2608108.73,2.628719
1561176000000,2.543,2.562,2.476,2.503,969104.836,2435309.38,2.518771
1561179600000,2.503,2.534,2.434,2.525,491115.506,1226009.57,2.483633
1561183200000,2.525,2.649,2.5,2.565,534067.919,1375198.08,2.575041
1561186800000,2.567,2.595,2.509,2.51,299390.878,761869.57,2.553666
1561190400000,2.51,2.57,2.482,2.49,402954.46,1014088.48,2.52634
1561194000000,2.491,2.502,2.441,2.445,298446.342,738392.75,2.47208
1561197600000,2.448,2.505,2.439,2.483,257370.888,638358.35,2.472492
1561201200000,2.482,2.55,2.452,2.543,246005.642,613314.01,2.499767
1561204800000,2.542,2.548,2.438,2.463,332494.513,824890.97,2.491594
1561208400000,2.463,2.465,2.18,2.22,1153635.429,2655962.45,2.31828
1561212000000,2.22,2.267,2.08,2.131,811181.385,1769569.3,2.17338
1561215600000,2.126,2.224,2.1,2.182,569780.218,1243806.56,2.16243
1561219200000,2.191,2.237,1.891,1.902,1177566.407,2395084.61,2.067697
1561222800000,1.902,2.222,1.88,2.204,1551965.843,3186174.8,2.050516
1561226400000,2.204,2.207,2.034,2.094,776981.684,1635092.77,2.117296
1561230000000,2.093,2.173,2.034,2.094,329231.811,698557.48,2.1035
1561233600000,2.094,2.13,2.042,2.09,202614.603,423289.9,2.085997
1561237200000,2.092,2.154,2.086,2.149,244559.413,518272.33,2.119893
1561240800000,2.149,2.275,2.14,2.212,683066.573,1511411.08,2.209055
1561244400000,2.21,2.21,2.115,2.192,338430.623,733892.29,2.162151
1561248000000,2.19,2.234,2.05,2.082,572940.365,1211603.98,2.142565
1561251600000,2.084,2.097,1.95,1.979,898041.709,1800575.29,2.02233
1561255200000,1.976,2.086,1.97,2.074,311640.632,635148.25,2.028652
1561258800000,2.074,2.074,2.012,2.015,150586.628,307103.81,2.042561
1561262400000,2.013,2.045,1.94,1.987,437592.277,870367.46,1.992383
1561266000000,1.988,2.01,1.963,1.99,218154.625,432649.1,1.986499
1561269600000,1.982,2.006,1.961,1.974,303054.473,599602.7,1.983544
1561273200000,1.973,2.089,1.971,2.087,387461.086,785457.55,2.03
1561276800000,2.087,2.088,2.015,2.044,480712.328,983221.15,2.05017
1561280400000,2.044,2.051,1.972,1.981,222127.323,445649.26,2.011311
1561284000000,1.982,1.995,1.941,1.978,320204.151,630437.26,1.967984
1561287600000,1.978,2.05,1.967,2.003,229132.593,460158.32,2.008918
1561291200000,2.004,2.023,1.976,1.989,223419.22,446459.89,1.999578
1561294800000,1.986,2.039,1.984,2.036,283457.95,572148.33,2.01163
1561298400000,2.035,2.037,1.98,2.018,209637.848,422901.95,2.008091
1561302000000,2.014,2.03,1.963,1.974,309295.917,614339.49,1.996745
1561305600000,1.977,2.034,1.977,2.0,279850.662,561812.29,2.006221
1561309200000,1.995,2.02,1.99,1.994,127986.523,256739.62,2.005003
1561312800000,1.995,1.997,1.945,1.945,456588.647,898855.85,1.971301
1561316400000,1.945,1.973,1.902,1.923,458556.326,884891.05,1.937586
1561320000000,1.923,1.927,1.88,1.896,327724.692,623726.03,1.90296
1561323600000,1.9,1.9,1.8,1.834,1502232.733,2757988.41,1.847922
1561327200000,1.834,1.882,1.811,1.833,317889.697,586055.35,1.846501
1561330800000,1.833,1.983,1.829,1.934,846722.655,1628544.74,1.908711
1561334400000,1.932,2.02,1.904,1.965,604797.463,1196028.55,1.962279
1561338000000,1.969,1.984,1.835,1.859,367628.101,699084.89,1.90879
1561341600000,1.86,1.899,1.75,1.774,644328.008,1169025.28,1.825181
1561345200000,1.774,1.794,1.712,1.744,534567.476,936355.02,1.752792
1561348800000,1.743,1.767,1.717,1.736,376653.985,653750.2,1.742012
1561352400000,1.737,1.775,1.732,1.758,207061.887,363464.86,1.75388
1561356000000,1.755,1.758,1.638,1.671,611125.046,1028905.01,1.695906
1561359600000,1.672,1.683,1.639,1.662,265859.001,442698.82,1.660922
1561363200000,1.662,1.719,1.66,1.672,301772.219,508767.86,1.689663
1561366800000,1.673,1.687,1.644,1.67,348954.834,582274.09,1.665493
1561370400000,1.671,1.723,1.655,1.698,285835.785,482408.82,1.689185
1561374000000,1.697,1.725,1.66,1.695,432587.653,732548.64,1.692499
1561377600000,1.695,1.703,1.658,1.663,252849.782,426117.77,1.680717
1561381200000,1.666,1.668,1.513,1.55,1173579.873,1856483.82,1.587651
1561384800000,1.551,1.567,1.504,1.552,856194.04,1313441.02,1.535499
1561388400000,1.553,1.584,1.522,1.544,556744.162,863660.04,1.553024
1561392000000,1.546,1.546,1.422,1.442,1640554.553,2384620.03,1.481866
1561395600000,1.442,1.445,1.33,1.343,1521943.105,2106940.58,1.386363
1561399200000,1.343,1.365,1.301,1.336,1351815.975,1800475.95,1.332981
1561402800000,1.334,1.434,1.331,1.425,1063745.014,1467623.08,1.383227
1561406400000,1.426,1.445,1.377,1.4,665914.205,941189.78,1.410924
1561410000000,1.401,1.482,1.4,1.453,716770.015,1040334.45,1.442565
1561413600000,1.453,1.469,1.359,1.365,902724.441,1262441.57,1.414952
1561417200000,1.367,1.425,1.359,1.416,509666.165,706393.63,1.39208
1561420800000,1.417,1.422,1.353,1.363,459182.447,632454.89,1.387048
1561424400000,1.359,1.499,1.354,1.429,1089572.41,1574447.04,1.428511
1561428000000,1.429,1.445,1.39,1.442,596314.976,841564.14,1.417245
