Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1615788000000,0.1,60.0,0.1,13.8101,8071063.83,149525726.93,30.356486
1615788900000,13.8101,17.6,13.55,16.4714,2304871.84,37004944.19,15.627549
1615789800000,16.4307,18.7,15.8137,16.3387,2181656.33,37456895.51,17.257072
1615790700000,16.3386,18.6737,16.2005,18.5925,1148305.48,19833461.06,17.429645
1615791600000,18.6393,28.4826,18.56,22.6573,4938215.77,113086336.66,23.644107
1615792500000,22.6002,26.58,22.1,23.9775,2500227.81,61400162.45,24.365438
1615793400000,23.9479,24.5,20.6,23.7,2032593.47,46308755.8,22.548712
1615794300000,23.7,25.09,22.2,22.4282,1478305.17,35722934.69,23.674555
1615795200000,22.358,24.6,22.324,24.3369,877686.06,20724687.61,23.488694
1615796100000,24.3018,27.9497,24.05,27.9489,1832282.8,47387033.27,25.964728
1615797000000,27.9488,35.23,26.55,33.1982,3683176.46,111404020.91,30.921852
1615797900000,33.1982,47.1556,32.2729,38.5035,5828506.18,218837928.62,39.841011
1615798800000,38.6808,38.7052,31.3048,34.7675,2886090.95,100697427.6,34.875788
1615799700000,34.7677,34.908,27.0082,31.9166,3419659.41,102931347.07,30.877854
1615800600000,31.9721,34.4,29.11,31.8096,1967555.01,63333054.99,31.754968
1615801500000,31.9309,33.5,30.3,30.8,927607.94,29324535.5,31.917229
1615802400000,30.8446,30.85,26.2299,29.7806,1851173.72,52086144.12,28.51613
1615803300000,29.6571,29.7645,26.4551,27.2,835832.59,23286678.45,28.058851
1615804200000,27.2,32.9,27.1016,31.9999,1476888.08,44661570.96,30.083666
1615805100000,31.7418,32.4884,29.5654,30.5547,1010970.34,31333218.76,31.021681
1615806000000,30.5547,31.74,28.932,31.0388,773652.18,23480485.13,30.332551
1615806900000,31.0388,31.9014,30.1771,30.4,581526.11,18187574.74,31.050615
1615807800000,30.4411,31.47,29.321,29.5,490582.83,14982862.54,30.4169
1615808700000,29.5722,30.0,28.257,28.5019,505459.2,14755458.37,29.138018
1615809600000,28.5,30.5,28.5,30.1643,454707.55,13559339.08,29.535142
1615810500000,30.1669,30.9987,29.0,29.7082,383331.22,11482037.67,30.000175
1615811400000,29.7116,29.7449,28.5001,29.1352,248719.44,7241708.0,29.105457
1615812300000,29.088,29.5,28.5,28.5,203307.26,5876216.24,29.01949
1615813200000,28.5002,28.5201,25.5,26.0937,967625.92,25919015.84,26.955916
1615814100000,26.0513,27.368,23.2563,23.6993,1036318.98,26229362.78,25.35107
1615815000000,23.6993,25.2492,23.0,25.0492,1317093.31,31654731.49,24.099894
1615815900000,25.0491,25.5,23.3333,23.5571,620584.02,15204221.91,24.431921
1615816800000,23.5563,25.4013,23.3336,25.401,377401.4,9185894.59,24.339826
1615817700000,25.401,25.4207,23.5,24.0186,333370.47,8205009.75,24.423239
1615818600000,24.0326,24.4079,22.8,23.5,373218.15,8785709.89,23.599371
1615819500000,23.5452,23.6,21.2386,21.8966,874026.35,19267684.98,22.37745
1615820400000,21.8768,22.8655,21.6589,22.5019,466013.29,10391927.29,22.26744
1615821300000,22.5019,25.5,22.5001,25.1938,848424.24,20505570.26,24.03841
1615822200000,25.1,25.1938,23.5222,24.6945,608165.92,14803314.79,24.349948
1615823100000,24.6088,26.0,24.4354,24.909,546588.03,13786215.77,25.221962
1615824000000,24.8883,25.25,23.5,24.0493,350889.51,8535082.7,24.369281
1615824900000,24.0907,24.5,23.5854,24.0818,211912.58,5104371.96,24.042699
1615825800000,24.0825,24.2,23.31,23.9787,192019.97,4582678.94,23.75406
1615826700000,23.9986,24.1,23.26,23.755,183954.45,4358837.45,23.675773
1615827600000,23.7726,24.4003,23.5896,24.4003,194080.15,4644219.16,23.978819
1615828500000,24.4,27.6666,24.3912,26.8619,945096.74,24701193.14,26.09435
1615829400000,26.892,26.8944,25.2941,26.22,665391.06,17313722.8,26.072956
1615830300000,26.2281,26.8887,25.53,25.665,313426.58,8215668.38,26.221141
1615831200000,25.6984,26.19,24.9225,25.9827,217152.05,5538931.19,25.552629
1615832100000,25.9563,26.45,25.5393,25.6769,205108.45,5349406.26,25.998941
1615833000000,25.6762,25.7056,25.0807,25.1318,147386.02,3743511.73,25.390609
1615833900000,25.1318,25.5602,24.6125,25.1323,171096.54,4290894.14,25.08635
1615834800000,25.1373,25.45,24.8,24.882,111391.94,2795105.34,25.129627
1615835700000,24.8993,25.19,24.0806,24.3763,146461.07,3608945.83,24.635153
1615836600000,24.2968,24.8627,24.0816,24.1928,128575.75,3140766.08,24.473162
1615837500000,24.1994,24.35,23.5794,24.0313,194316.04,4657600.26,23.962886
1615838400000,24.0325,24.8,23.8956,24.0202,266185.03,6464285.52,24.347815
1615839300000,24.0676,24.4555,22.8072,23.2386,337383.04,7902365.65,23.629882
1615840200000,23.2562,23.2562,22.2207,22.3162,172324.49,3922726.51,22.72606
1615841100000,22.3361,23.9007,22.3091,23.1323,205356.31,4768731.41,23.12964
1615842000000,23.1358,23.37,22.543,23.365,96161.58,2197789.43,22.950746
1615842900000,23.365,23.3756,22.5033,22.7697,100729.12,2297610.09,22.922596
1615843800000,22.8007,23.9,22.6596,23.2495,212715.13,4948572.11,23.288418
1615844700000,23.3009,24.8788,23.1645,24.5329,244505.29,5936671.84,24.03718
1615845600000,24.5037,24.59,23.5899,23.6089,118987.34,2849581.57,24.098369
1615846500000,23.6089,23.9287,22.8059,23.114,113045.86,2624928.76,23.367599
1615847400000,23.1148,24.0996,23.0563,23.9639,94705.6,2236542.92,23.58561
1615848300000,23.9827,24.4,22.8,23.2202,124871.19,2940915.91,23.599913
1615849200000,23.1883,23.6247,23.0,23.1485,73577.0,1715029.16,23.312496
1615850100000,23.1485,23.3876,22.1111,22.1938,137914.09,3136086.67,22.762063
1615851000000,22.2952,22.535,20.5,21.2,325682.36,6960303.38,21.499538
1615851900000,21.1987,21.8618,20.5,20.7403,189864.82,4014990.62,21.187063
1615852800000,20.7406,22.0012,20.7405,21.8771,138313.88,2969670.06,21.386658
1615853700000,21.8771,22.3964,20.8253,21.1224,162411.55,3525266.1,21.617651
1615854600000,21.0534,22.76,21.0534,22.7365,172378.95,3793314.75,21.910475
1615855500000,22.7361,23.555,21.7231,22.0499,242936.27,5516698.99,22.647995
1615856400000,22.0734,22.156,20.823,21.5516,167130.42,3584833.68,21.476634
1615857300000,21.5799,22.4962,21.5,21.7,145506.49,3203705.49,21.999406
1615858200000,21.7437,22.744,21.5865,21.8557,153335.49,3401467.39,22.166108
1615859100000,21.9009,21.92,21.51,21.569,65103.46,1414384.35,21.711091
1615860000000,21.5696,22.7787,21.51,22.7454,103170.57,2295824.28,22.140754
1615860900000,22.7452,24.8284,22.6722,23.6305,365352.65,8750416.55,23.775047
1615861800000,23.6557,25.6958,23.6,25.5737,329871.85,8168703.88,24.656692
1615862700000,25.591,25.6,23.798,24.2478,285694.98,6956169.07,24.663447
1615863600000,24.2779,25.2,24.0,24.4714,238368.22,5871128.39,24.601474
1615864500000,24.4477,24.4557,23.1222,23.4886,215528.27,5136592.13,23.762333
1615865400000,23.4606,23.5424,22.9,23.2003,124344.54,2890270.7,23.216524
1615866300000,23.2362,23.8514,22.6382,23.4034,128274.46,2965811.7,23.244442
1615867200000,23.4017,24.6888,23.0769,24.1762,183230.42,4433894.23,23.888602
1615868100000,24.1881,24.25,23.619,24.0172,122915.06,2939671.74,23.931359
1615869000000,24.0591,24.2,23.2349,23.5045,96915.61,2293581.12,23.711659
1615869900000,23.5261,23.5261,22.6422,23.0185,114357.03,2634733.97,23.067244
1615870800000,22.998,23.5288,22.8101,23.2133,92939.01,2159942.85,23.170914
1615871700000,23.2138,23.4129,22.824,23.0791,63685.38,1468515.93,23.118079
1615872600000,23.0839,23.1381,21.8,21.847,150537.56,3360833.99,22.470028
1615873500000,21.8438,22.2386,21.3188,22.0757,215954.13,4706391.09,21.775776
1615874400000,22.0784,22.1824,21.5001,22.1219,134153.27,2937383.1,21.840987
1615875300000,22.1226,22.35,21.789,21.9593,129721.48,2866665.36,22.070118
1615876200000,21.9593,22.0,21.1401,21.3908,151618.53,3253351.68,21.557169
1615877100000,21.3904,21.4266,20.87,21.1055,183405.63,3865238.06,21.141315
1615878000000,21.1055,21.7,20.9,21.0029,147895.06,3147143.79,21.301015
1615878900000,21.0047,22.011,20.9331,21.4762,151888.04,3271619.9,21.483685
1615879800000,21.4762,22.0896,21.45,21.8778,145065.09,3157274.25,21.779947
1615880700000,21.8759,22.57,21.85,22.1558,181993.31,4050218.1,22.217623
1615881600000,22.1548,22.209,21.4988,21.643,122078.92,2669311.46,21.847186
1615882500000,21.6428,21.7999,21.0803,21.4282,121199.76,2589286.89,21.437931
1615883400000,21.4288,21.5,21.0,21.4331,73143.1,1553770.76,21.249997
1615884300000,21.4821,21.8,20.4,20.4002,174350.2,3663441.84,21.127878
1615885200000,20.4002,20.7015,19.2052,19.4743,503650.67,9982289.88,19.955054
1615886100000,19.4696,19.5951,18.8008,19.3,386336.26,7405053.2,19.195796
1615887000000,19.2561,19.5768,18.5,18.5983,328921.47,6205757.95,19.049842
1615887900000,18.5619,20.23,18.5508,19.0214,525830.75,10244182.63,19.401822
1615888800000,19.0497,19.4513,18.11,18.2874,310017.95,5806941.82,18.790497
1615889700000,18.3,18.5789,17.6,18.0599,339984.05,6142196.19,18.088068
1615890600000,18.0683,18.4986,17.7,18.365,197488.96,3564080.53,18.095106
1615891500000,18.3719,18.885,18.1348,18.3,227511.9,4214543.3,18.5103
1615892400000,18.2928,18.6414,17.9,18.053,131114.07,2401791.24,18.273327
1615893300000,18.0994,18.2499,17.8,17.8323,120886.38,2172986.18,18.030661
1615894200000,17.8425,18.3,17.3648,17.9204,196805.11,3504913.11,17.832315
1615895100000,17.9047,18.4995,17.6,18.3121,154486.87,2797296.33,18.04658
1615896000000,18.3542,19.0879,18.312,18.6554,275667.19,5175527.72,18.70759
1615896900000,18.6714,18.75,18.0341,18.0812,166262.17,3057664.03,18.395274
1615897800000,18.0812,18.45,17.4066,17.6318,214306.96,3828242.02,17.931792
