Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1597276800000,4.8,43.0,4.8,6.6554,4401320.43,34731305.81,23.910724
1597363200000,6.6755,7.1866,5.9999,6.1723,1092018.81,7252506.58,6.601221
1597449600000,6.1717,6.4994,5.6161,5.995,820325.2,4895877.51,6.057491
1597536000000,5.995,6.4,5.9,6.1129,337278.41,2067932.47,6.151354
1597622400000,6.1129,6.1833,5.7014,6.157,489352.23,2910162.29,5.941946
1597708800000,6.1217,6.664,5.6318,5.73,767187.74,4706725.83,6.156193
1597795200000,5.7536,5.9271,5.0714,5.2541,503913.22,2711237.73,5.498822
1597881600000,5.2541,5.5445,4.9608,5.3627,452362.14,2384573.5,5.252163
1597968000000,5.343,5.3481,4.7802,4.9037,461136.39,2356566.6,5.053736
1598054400000,4.9318,5.55,4.58,5.3537,769000.52,3915893.28,5.06114
1598140800000,5.3508,6.3672,5.1473,6.1525,1206057.83,7001733.94,5.757928
1598227200000,6.1525,7.3595,6.1525,6.8723,1761648.06,12097890.95,6.779772
1598313600000,6.8796,7.6064,6.4501,7.2754,1487728.97,10499503.86,7.026764
1598400000000,7.2599,10.8888,7.1361,9.615,3238367.16,28938871.6,9.075249
1598486400000,9.615,10.38,7.2101,8.3366,2369819.02,20961093.57,8.787389
1598572800000,8.33,8.3836,7.39,7.942,894923.8,6972536.24,7.876923
1598659200000,7.942,7.942,7.2143,7.3695,850168.72,6419238.42,7.563945
1598745600000,7.358,9.1628,7.2337,8.9414,1332900.2,11128359.1,8.208083
1598832000000,8.934,8.957,7.8,8.18,1026924.55,8427703.46,8.357297
1598918400000,8.1752,8.5,7.3145,7.4176,630139.63,5008800.7,7.919854
1599004800000,7.4171,7.5378,5.7777,6.346,1037862.12,6902196.46,6.634916
1599091200000,6.3292,6.3769,4.8275,4.8275,951356.59,5490045.76,5.60952
1599177600000,4.8331,5.8977,4.65,5.5276,802123.5,4146892.4,5.2817
1599264000000,5.5275,5.6099,4.0,4.3315,674124.81,3168095.7,4.785014
