Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1597284000000,4.8,43.0,4.8,8.4771,867891.6,8277526.15,23.940078
1597287600000,8.4112,8.92,7.41,7.9189,587705.54,4764503.72,8.164999
1597291200000,7.8999,8.5799,7.8501,8.3465,359291.83,2960665.33,8.224482
1597294800000,8.343,9.1,7.8502,8.08,404249.38,3406813.69,8.478051
1597298400000,8.0588,8.1685,7.7495,7.9437,175074.9,1388268.92,7.958188
1597302000000,7.9415,7.993,6.0,7.1,239652.13,1781804.75,6.972045
1597305600000,7.1,7.2461,6.65,6.8067,156977.29,1094881.84,6.947709
1597309200000,6.8061,6.9444,6.5001,6.8856,150521.84,1018747.99,6.721253
1597312800000,6.8654,7.3215,6.7702,6.9199,223755.35,1579882.94,7.046225
1597316400000,6.9107,7.1,6.5835,6.609,106680.77,731637.88,6.849388
1597320000000,6.609,6.9509,6.5026,6.7903,85433.05,571905.2,6.727905
1597323600000,6.7963,7.1435,6.7,6.9005,125465.08,873691.81,6.922776
1597327200000,6.8755,6.9423,6.2001,6.6811,218874.98,1438405.22,6.567586
1597330800000,6.716,7.4,6.5235,7.3016,178253.38,1249327.91,6.95584
1597334400000,7.3199,7.5,6.78,7.0254,157400.59,1112910.57,7.138575
1597338000000,6.999,7.0,6.74,6.8225,48577.97,333277.06,6.864694
1597341600000,6.8225,7.05,6.77,7.0,38844.04,268670.74,6.90986
1597345200000,7.0194,7.17,6.8121,7.0158,74442.69,523849.88,6.991049
1597348800000,6.9994,7.0451,6.8153,6.9,43320.95,299447.15,6.929243
1597352400000,6.9,6.9112,6.4088,6.7,78793.25,526042.15,6.654225
1597356000000,6.7,6.7458,6.47,6.7118,51522.68,339338.24,6.607855
1597359600000,6.7117,6.789,6.4686,6.6554,28591.14,189706.69,6.628374
1597363200000,6.6755,6.7419,6.56,6.6285,25121.03,166716.36,6.650932
1597366800000,6.6283,7.1,6.5374,6.9785,48232.63,331996.81,6.820341
1597370400000,6.9785,7.1866,6.7322,6.9577,68589.82,481028.64,6.959395
1597374000000,6.9586,7.0601,6.7526,6.7782,26323.86,181117.22,6.909923
1597377600000,6.7782,6.9369,6.7213,6.9142,34929.21,238303.81,6.827211
1597381200000,6.9142,6.9144,6.7527,6.7527,34006.88,232050.14,6.833583
1597384800000,6.7527,6.8785,6.6796,6.7768,30893.82,209647.73,6.779103
1597388400000,6.7451,6.9475,6.6885,6.9064,46938.66,318317.3,6.817168
1597392000000,6.9064,6.9423,6.7823,6.7931,24557.2,168593.47,6.864099
1597395600000,6.7931,7.162,6.7823,7.0498,84050.26,592180.98,6.978691
1597399200000,7.0405,7.18,6.9584,6.9962,89125.07,631048.19,7.069713
1597402800000,6.995,6.995,6.8225,6.9,30703.62,211622.83,6.905571
1597406400000,6.9208,6.9468,6.68,6.71,47535.04,322940.25,6.81303
1597410000000,6.7106,6.7838,6.5693,6.7243,52558.6,350584.0,6.676508
1597413600000,6.7485,6.7486,6.6499,6.6978,26277.85,175733.36,6.697562
1597417200000,6.6875,6.6975,6.5001,6.655,42359.45,279435.8,6.598306
1597420800000,6.6317,6.6591,6.21,6.235,119683.52,767145.32,6.434841
1597424400000,6.2202,6.3536,6.0815,6.1302,99583.5,611530.53,6.218741
1597428000000,6.1303,6.2782,6.06,6.13,54065.27,332545.5,6.1691
1597431600000,6.1152,6.2289,6.0113,6.0458,26176.57,159354.66,6.121133
1597435200000,6.0311,6.074,5.9999,6.0624,19885.99,119605.6,6.036492
1597438800000,6.0624,6.22,6.025,6.1991,25465.15,157160.18,6.121344
1597442400000,6.1981,6.204,6.05,6.095,11764.05,72131.22,6.124533
1597446000000,6.0926,6.2375,6.0011,6.1723,23191.76,141716.67,6.118915
1597449600000,6.1717,6.2141,5.963,6.007,44210.15,268111.15,6.088454
1597453200000,6.007,6.04,5.9066,6.0278,63049.25,375642.91,5.97303
1597456800000,6.0278,6.0358,5.9,5.9749,25226.72,150154.18,5.966581
1597460400000,5.9749,6.0076,5.7521,5.7656,31559.9,184883.1,5.881785
1597464000000,5.7877,5.9255,5.6161,5.7557,65528.1,374429.29,5.770798
1597467600000,5.735,5.9095,5.7171,5.9041,30127.26,175258.84,5.811804
1597471200000,5.904,6.0123,5.8962,5.9756,28799.08,171310.38,5.955768
1597474800000,5.9757,6.0481,5.925,5.9351,25325.03,151208.36,5.987421
1597478400000,5.9351,5.9626,5.8011,5.9113,33848.42,198964.26,5.881624
