Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1642761000000,4.19,6.662,4.19,5.987,2107148.29,12264606.44,5.477375
1642761900000,5.977,6.055,5.556,5.68,875145.8,5050994.98,5.803265
1642762800000,5.686,5.871,5.374,5.506,349449.52,1953505.21,5.623398
1642763700000,5.504,5.66,5.371,5.379,295734.79,1632870.59,5.519131
1642764600000,5.379,5.825,5.3,5.481,555025.82,3075817.21,5.563762
1642765500000,5.496,5.749,5.4,5.674,274512.74,1525042.76,5.57377
1642766400000,5.674,5.714,5.25,5.348,301492.59,1641358.82,5.477917
1642767300000,5.331,5.389,5.19,5.203,108497.66,572969.55,5.292096
1642768200000,5.204,5.236,4.962,5.051,183620.84,930740.39,5.096591
1642769100000,5.051,5.1,4.82,4.843,193843.14,957002.44,4.96208
1642770000000,4.842,4.996,4.841,4.9,89148.8,439588.92,4.920223
1642770900000,4.9,5.2,4.9,5.076,157576.2,799272.96,5.055837
1642771800000,5.076,5.21,4.996,5.185,94364.47,481555.08,5.101093
1642772700000,5.184,5.259,5.018,5.044,69405.72,358790.53,5.140757
1642773600000,5.05,5.111,4.817,4.963,78142.29,388722.24,4.963049
1642774500000,4.962,5.028,4.869,4.994,43403.19,214676.32,4.948198
1642775400000,5.0,5.126,5.0,5.007,58400.29,295826.93,5.063046
1642776300000,5.006,5.018,4.898,4.927,29393.33,145273.51,4.956967
1642777200000,4.937,4.997,4.784,4.866,63267.88,308285.78,4.890186
1642778100000,4.881,5.0,4.833,4.96,54867.85,270321.72,4.916263
1642779000000,4.972,5.079,4.859,4.859,57375.5,285861.92,4.972778
1642779900000,4.859,4.95,4.853,4.904,38751.57,190385.81,4.902637
1642780800000,4.904,5.0,4.856,4.979,38488.8,189399.14,4.927018
1642781700000,4.979,5.023,4.929,4.99,49219.2,245623.5,4.975971
1642782600000,4.989,4.994,4.872,4.904,35239.05,173801.51,4.931135
1642783500000,4.905,4.965,4.86,4.885,45129.91,221540.16,4.91266
1642784400000,4.885,4.885,4.76,4.76,77068.1,371797.02,4.8225
1642785300000,4.768,4.77,4.591,4.755,72784.38,340416.99,4.680393
1642786200000,4.75,4.766,4.638,4.659,22213.77,104823.78,4.701638
1642787100000,4.654,4.718,4.633,4.635,24641.69,115098.09,4.675892
1642788000000,4.63,4.739,4.611,4.67,29105.37,136572.3,4.675626
1642788900000,4.652,4.729,4.62,4.671,39540.89,184117.64,4.6746
1642789800000,4.676,5.12,4.632,4.823,91319.76,437042.67,4.878936
1642790700000,4.816,5.029,4.796,4.961,126226.19,620888.87,4.915073
1642791600000,4.949,4.981,4.733,4.763,58078.26,281615.25,4.857164
1642792500000,4.752,4.849,4.748,4.802,35171.46,169350.13,4.799903
1642793400000,4.802,4.84,4.736,4.77,17450.24,83767.41,4.788048
1642794300000,4.77,4.849,4.77,4.781,30939.94,148729.96,4.809666
1642795200000,4.781,4.839,4.671,4.686,31622.61,151325.74,4.756868
1642796100000,4.685,4.732,4.666,4.668,35231.46,165628.32,4.699379
1642797000000,4.67,4.79,4.67,4.766,21674.47,102506.83,4.732286
1642797900000,4.775,4.775,4.6,4.624,27992.25,131170.64,4.684756
1642798800000,4.624,4.715,4.616,4.697,16407.86,76449.17,4.666287
1642799700000,4.697,4.701,4.551,4.558,16935.0,77805.23,4.62559
1642800600000,4.558,4.566,4.401,4.405,42621.4,190833.02,4.484048
1642801500000,4.406,4.416,4.342,4.374,44368.99,194301.63,4.378461
1642802400000,4.361,4.465,4.343,4.363,48562.01,213160.4,4.404003
1642803300000,4.36,4.449,4.345,4.448,17505.44,76766.93,4.395474
1642804200000,4.443,4.447,4.372,4.374,16180.21,71279.6,4.409768
1642805100000,4.378,4.386,4.052,4.06,52933.05,223709.05,4.219
1642806000000,4.054,4.371,4.054,4.323,86023.38,365782.85,4.217769
1642806900000,4.328,4.55,4.325,4.548,40399.08,178393.91,4.437343
1642807800000,4.55,4.875,4.55,4.622,108263.35,507352.24,4.714071
1642808700000,4.625,4.85,4.517,4.67,106620.41,495608.84,4.683665
1642809600000,4.681,4.846,4.546,4.791,77834.48,366717.57,4.694609
1642810500000,4.791,5.25,4.664,5.146,236575.77,1182348.25,4.955838
1642811400000,5.117,5.576,5.063,5.553,254831.67,1368932.86,5.316084
1642812300000,5.54,6.2,5.524,5.653,559489.53,3276270.87,5.863868
1642813200000,5.642,5.807,5.281,5.292,273652.87,1522999.79,5.553584
1642814100000,5.287,5.7,5.197,5.558,247902.55,1351463.71,5.450534
1642815000000,5.562,5.79,5.4,5.407,175878.2,991209.69,5.599543
1642815900000,5.402,5.631,5.4,5.507,86621.85,478757.27,5.518822
1642816800000,5.516,5.517,5.213,5.297,85024.96,453025.7,5.358813
1642817700000,5.285,5.3,5.021,5.082,155161.81,797260.73,5.156992
1642818600000,5.083,5.513,5.081,5.261,149750.08,801604.37,5.302541
1642819500000,5.266,5.595,5.266,5.422,99261.74,543840.47,5.435652
1642820400000,5.436,5.49,5.281,5.361,73122.11,392634.06,5.385068
1642821300000,5.361,5.444,5.266,5.384,42158.86,225523.41,5.354927
1642822200000,5.384,5.8,5.382,5.714,126589.08,714063.62,5.598752
1642823100000,5.707,6.3,5.664,6.193,226384.17,1362423.33,5.98747
1642824000000,6.2,6.401,5.913,6.396,356680.8,2214649.97,6.151075
1642824900000,6.394,6.83,6.163,6.557,567893.75,3702811.28,6.496818
1642825800000,6.562,6.618,6.0,6.203,375372.38,2361088.3,6.302228
1642826700000,6.204,6.5,6.2,6.313,193937.35,1235179.43,6.353123
1642827600000,6.313,6.348,5.85,5.999,223258.75,1348942.48,6.09271
1642828500000,5.993,6.5,5.962,6.224,186942.1,1170707.95,6.236919
1642829400000,6.236,6.47,6.225,6.396,122271.84,781406.13,6.351259
1642830300000,6.393,6.798,6.37,6.616,243629.38,1616232.75,6.589788
1642831200000,6.613,6.737,6.301,6.502,242400.25,1583346.63,6.518366
1642832100000,6.506,6.682,6.46,6.631,117974.59,773778.54,6.571215
1642833000000,6.638,7.22,6.631,7.009,550979.84,3843040.82,6.936731
1642833900000,7.027,7.177,6.701,6.811,295901.6,2045736.05,6.940085
1642834800000,6.812,6.98,6.644,6.924,194755.73,1334426.09,6.8104
1642835700000,6.936,7.1,6.815,6.86,267452.78,1859883.07,6.958577
1642836600000,6.854,6.867,6.152,6.285,341863.12,2212787.57,6.498213
1642837500000,6.289,6.455,6.063,6.12,200322.07,1260368.68,6.261656
1642838400000,6.127,6.729,6.114,6.49,373192.21,2422582.44,6.432281
1642839300000,6.481,6.504,6.23,6.29,129853.18,823724.95,6.364442
1642840200000,6.295,6.331,5.763,5.919,318652.01,1898035.68,6.039618
1642841100000,5.941,5.944,5.437,5.555,268029.24,1514333.61,5.680756
1642842000000,5.555,5.61,5.306,5.44,227691.69,1237712.23,5.456534
1642842900000,5.436,5.542,5.161,5.309,297973.26,1576882.76,5.3509
1642843800000,5.31,5.51,5.192,5.3,222469.48,1188450.0,5.351011
1642844700000,5.3,5.325,5.01,5.05,240700.73,1232861.95,5.166098
1642845600000,5.051,5.163,4.83,4.904,234487.14,1168064.13,4.997473
1642846500000,4.925,5.325,4.858,5.319,205984.55,1058377.34,5.084898
1642847400000,5.319,5.325,4.8,4.933,296278.0,1482867.86,5.052577
1642848300000,4.929,4.977,4.56,4.565,235593.57,1119043.9,4.773559
1642849200000,4.579,4.766,4.56,4.757,153289.92,713977.94,4.661853
1642850100000,4.762,4.95,4.626,4.93,153362.64,734987.08,4.783821
1642851000000,4.922,5.021,4.692,4.692,161582.98,786131.6,4.86339
1642851900000,4.692,4.91,4.6,4.823,86086.15,410914.56,4.754883
1642852800000,4.822,5.269,4.822,5.087,330864.98,1689331.61,5.054266
1642853700000,5.096,5.411,4.963,5.399,244619.42,1272383.62,5.179188
1642854600000,5.399,5.759,5.395,5.6,413613.32,2315474.06,5.583395
1642855500000,5.602,5.698,5.365,5.6,209717.26,1156349.49,5.531499
1642856400000,5.6,5.6,5.333,5.364,203643.12,1109355.05,5.462738
1642857300000,5.364,5.376,5.2,5.2,178159.67,940303.03,5.289664
1642858200000,5.206,5.233,5.06,5.165,154687.65,794889.35,5.145945
1642859100000,5.172,5.4,5.06,5.361,128603.18,671432.7,5.226944
1642860000000,5.375,5.376,5.118,5.2,110362.37,576568.88,5.241736
1642860900000,5.191,5.194,5.012,5.109,102179.6,521101.94,5.100487
1642861800000,5.113,5.21,5.02,5.186,65689.18,336912.1,5.113678
1642862700000,5.199,5.206,5.002,5.011,63378.4,323014.42,5.10373
1642863600000,5.011,5.17,5.005,5.119,93368.59,474431.2,5.090199
1642864500000,5.127,5.168,4.86,4.917,137351.36,687368.44,5.012948
1642865400000,4.917,4.937,4.8,4.85,68354.72,331350.81,4.867546
1642866300000,4.857,4.988,4.8,4.806,79088.32,387181.94,4.895171
1642867200000,4.812,5.106,4.694,5.044,141014.35,690164.77,4.897589
1642868100000,5.051,5.106,4.931,4.933,77595.77,389105.93,5.021898
1642869000000,4.932,4.97,4.794,4.843,59266.5,287470.59,4.881624
1642869900000,4.844,5.0,4.841,4.95,56104.42,277008.63,4.923438
1642870800000,4.943,5.198,4.925,5.097,189628.05,968319.71,5.065087
1642871700000,5.094,5.147,4.977,4.98,85985.44,434408.75,5.065167
1642872600000,4.978,5.15,4.972,4.997,97138.4,491331.04,5.06121
1642873500000,5.001,5.074,4.965,5.008,55311.15,277320.01,5.019515
1642874400000,5.008,5.018,4.847,4.852,52369.17,260493.53,4.933157
1642875300000,4.855,4.998,4.831,4.882,51738.8,254390.78,4.914803
1642876200000,4.883,4.9,4.657,4.67,76601.95,362794.94,4.778975
1642877100000,4.67,4.833,4.664,4.709,58726.1,279861.6,4.749296
1642878000000,4.708,4.84,4.704,4.754,51612.48,246676.06,4.773207
1642878900000,4.754,4.763,4.613,4.706,46883.19,219528.21,4.686897
1642879800000,4.701,4.717,4.622,4.634,29265.08,136409.15,4.669784
1642880700000,4.628,4.7,4.6,4.616,40525.91,187796.57,4.650101
1642881600000,4.619,4.779,4.619,4.767,42203.51,198274.1,4.700633
1642882500000,4.767,5.043,4.752,4.863,104550.43,512513.29,4.899807
1642883400000,4.872,5.016,4.872,4.958,43932.94,218499.16,4.946839
1642884300000,4.959,5.061,4.878,5.0,57685.41,287789.61,4.969373
1642885200000,4.985,5.062,4.838,4.872,80775.18,402589.59,4.951461
1642886100000,4.872,4.932,4.8,4.834,34362.46,167505.7,4.866275
1642887000000,4.834,4.856,4.748,4.773,42119.41,201846.82,4.80187
1642887900000,4.783,4.826,4.681,4.698,63958.63,303646.87,4.754722
1642888800000,4.69,4.807,4.684,4.802,28954.65,137452.86,4.745369
1642889700000,4.805,5.038,4.772,4.781,81122.17,398189.37,4.905228
1642890600000,4.781,4.968,4.751,4.959,57251.67,279220.39,4.857377
1642891500000,4.959,5.02,4.86,4.964,67499.04,335182.81,4.939995
1642892400000,4.964,5.038,4.86,4.874,80381.2,399273.27,4.951048
1642893300000,4.879,5.0,4.874,4.999,35577.94,176235.93,4.936413
1642894200000,5.0,5.0,4.882,4.916,45361.74,224205.21,4.938534
1642895100000,4.923,4.93,4.805,4.835,32209.82,156221.08,4.865874
1642896000000,4.825,4.983,4.813,4.843,60927.09,299140.39,4.89818
1642896900000,4.843,4.859,4.782,4.794,40058.04,192716.47,4.820725
1642897800000,4.792,4.794,4.705,4.705,30816.35,145950.41,4.749814
1642898700000,4.703,4.747,4.645,4.648,37040.81,174124.5,4.697607
1642899600000,4.648,4.696,4.555,4.678,52525.73,242917.52,4.625071
1642900500000,4.678,4.683,4.538,4.606,34002.74,156623.77,4.608431
1642901400000,4.612,4.617,4.42,4.468,69930.46,313502.53,4.515185
1642902300000,4.456,4.483,4.317,4.381,55145.84,241865.4,4.399005
1642903200000,4.382,4.388,4.302,4.303,19975.24,86726.35,4.345668
1642904100000,4.302,4.363,4.265,4.351,27369.93,118031.43,4.313167
1642905000000,4.351,4.592,4.35,4.564,57328.65,258179.26,4.474243
1642905900000,4.564,4.578,4.431,4.461,24770.67,111285.95,4.503381
1642906800000,4.471,4.564,4.437,4.539,22363.7,100945.89,4.500153
1642907700000,4.538,4.561,4.45,4.469,16417.56,74377.63,4.505714
1642908600000,4.469,4.536,4.465,4.536,12931.44,58321.85,4.499927
1642909500000,4.522,4.66,4.505,4.649,44908.94,206226.01,4.581895
1642910400000,4.649,4.689,4.541,4.569,42542.12,196497.09,4.615473
1642911300000,4.569,4.574,4.439,4.445,34876.44,157477.76,4.506366
1642912200000,4.439,4.55,4.419,4.521,39343.64,176941.46,4.484989
1642913100000,4.513,4.552,4.471,4.472,13114.75,59332.72,4.5128
1642914000000,4.471,4.481,4.353,4.387,35039.75,154456.27,4.415552
1642914900000,4.384,4.405,4.374,4.374,23334.01,102273.38,4.38978
1642915800000,4.375,4.555,4.347,4.546,31750.62,141316.07,4.449068
