Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1642759200000,4.19,6.662,4.19,5.674,4457016.96,25502837.18,5.474915
1642766400000,5.674,5.714,4.82,5.044,1197949.42,6181278.69,5.253959
1642773600000,5.05,5.126,4.784,4.904,423601.9,2099354.23,4.95395
1642780800000,4.904,5.023,4.591,4.635,364784.9,1762500.19,4.811025
1642788000000,4.63,5.12,4.611,4.781,427832.11,2062084.24,4.869099
1642795200000,4.781,4.839,4.342,4.374,236854.04,1090020.58,4.593119
1642802400000,4.361,4.875,4.052,4.67,476486.93,2132053.83,4.4616
1642809600000,4.681,6.2,4.546,5.507,1912786.92,10538700.01,5.391552
1642816800000,5.516,6.3,5.021,6.193,957452.81,5290375.68,5.645888
1642824000000,6.2,6.83,5.85,6.616,2269986.35,14431018.29,6.336792
1642831200000,6.613,7.22,6.063,6.12,2211649.98,14913367.45,6.654576
1642838400000,6.127,6.729,5.01,5.05,2078561.8,11894583.62,5.900076
1642845600000,5.051,5.325,4.56,4.823,1526664.95,7474364.4,4.942625
1642852800000,4.822,5.759,4.822,5.361,1863908.6,9949518.9,5.308447
1642860000000,5.375,5.376,4.8,4.806,719772.54,3637929.73,5.087193
1642867200000,4.812,5.198,4.694,5.008,762044.08,3815129.43,4.947415
1642874400000,5.008,5.018,4.6,4.616,407722.68,1947950.83,4.808155
1642881600000,4.619,5.062,4.619,4.698,469587.97,2292665.13,4.841959
1642888800000,4.69,5.038,4.684,4.835,428358.23,2105980.91,4.865312
1642896000000,4.825,4.983,4.317,4.381,380447.06,1766841.0,4.655875
1642903200000,4.382,4.66,4.265,4.649,226066.13,1014094.35,4.455665
1642910400000,4.649,4.689,4.347,4.489,242957.61,1091142.62,4.515048
1642917600000,4.49,4.742,4.359,4.68,458745.11,2105615.08,4.548238
1642924800000,4.689,4.9,4.597,4.637,379869.48,1805878.17,4.749134
1642932000000,4.641,4.768,4.612,4.624,219623.71,1029963.65,4.690171
1642939200000,4.624,4.649,4.5,4.523,155694.01,712691.64,4.57463
1642946400000,4.508,4.558,4.34,4.449,184849.7,817236.93,4.44845
1642953600000,4.453,4.591,4.397,4.518,116294.19,520902.44,4.494245
1642960800000,4.518,4.534,4.226,4.271,137454.92,601403.34,4.377222
1642968000000,4.272,4.534,4.271,4.415,98792.96,438428.08,4.407209
1642975200000,4.415,4.495,4.3,4.378,120831.91,530407.98,4.397509
1642982400000,4.378,4.543,4.325,4.337,135463.08,600695.69,4.434683
1642989600000,4.337,4.357,4.135,4.212,137786.52,582729.01,4.243547
1642996800000,4.209,4.27,4.121,4.204,85406.01,358233.61,4.195497
1643004000000,4.199,4.2,3.956,4.032,158754.02,646730.36,4.073026
1643011200000,4.033,4.035,3.675,3.685,294478.54,1132624.42,3.853781
1643018400000,3.697,3.721,3.532,3.628,210851.87,766241.79,3.625259
1643025600000,3.63,3.679,3.529,3.538,109252.0,391883.14,3.606076
1643032800000,3.538,3.819,3.5,3.773,146702.94,538610.76,3.660128
1643040000000,3.773,3.85,3.611,3.708,163740.23,611787.02,3.730312
1643047200000,3.714,3.947,3.701,3.919,142763.36,544509.35,3.825576
1643054400000,3.915,4.166,3.78,4.052,164679.04,654766.72,3.972659
1643061600000,4.052,4.055,3.869,3.92,34265.11,134962.58,3.958543
1643068800000,3.917,3.975,3.765,3.775,43375.6,169013.6,3.873097
1643076000000,3.763,3.858,3.734,3.796,27334.78,103676.3,3.796297
1643083200000,3.805,3.847,3.646,3.666,60856.07,225867.39,3.747994
1643090400000,3.666,3.792,3.66,3.755,68144.17,252749.89,3.727987
1643097600000,3.771,3.886,3.722,3.866,124080.46,473848.52,3.802672
1643104800000,3.867,3.93,3.781,3.79,98206.33,378138.87,3.857432
1643112000000,3.789,3.86,3.743,3.776,55414.14,210227.01,3.801559
1643119200000,3.777,4.08,3.75,4.023,224983.38,886996.1,3.91742
1643126400000,4.007,4.023,3.902,3.943,60662.64,240594.4,3.96156
1643133600000,3.931,3.969,3.874,3.876,60603.09,237111.42,3.923146
1643140800000,3.876,3.879,3.75,3.765,87817.46,334506.34,3.813137
1643148000000,3.754,3.845,3.7,3.803,47023.79,177470.07,3.772324
1643155200000,3.803,3.83,3.742,3.828,39580.44,149798.61,3.785393
1643162400000,3.817,3.9,3.768,3.9,51403.09,196919.1,3.831313
1643169600000,3.9,3.97,3.867,3.867,43352.92,169881.06,3.919422
1643176800000,3.869,3.899,3.792,3.82,28349.9,108801.79,3.845555
1643184000000,3.818,3.875,3.754,3.844,50418.49,192071.49,3.814307
1643191200000,3.839,3.869,3.771,3.817,29877.04,113908.32,3.819898
1643198400000,3.806,3.888,3.782,3.877,43489.13,166340.68,3.834179
1643205600000,3.884,4.194,3.874,4.004,195368.63,782728.95,4.037279
1643212800000,4.004,4.279,3.965,4.022,361126.1,1476155.09,4.12209
1643220000000,4.022,4.083,3.866,3.873,87199.92,345344.04,3.978108
1643227200000,3.878,3.903,3.617,3.625,52955.87,199837.5,3.762067
1643234400000,3.633,3.842,3.6,3.77,51095.07,189212.38,3.722698
1643241600000,3.78,3.847,3.625,3.628,62835.48,236208.7,3.740248
1643248800000,3.621,3.629,3.47,3.565,41946.94,148640.27,3.548108
1643256000000,3.565,3.607,3.529,3.593,17381.48,61989.77,3.567634
1643263200000,3.574,3.656,3.507,3.573,31605.52,112993.46,3.5815
1643270400000,3.577,3.644,3.518,3.622,66410.24,237865.26,3.580391
1643277600000,3.618,3.651,3.581,3.624,44144.72,159677.64,3.615991
1643284800000,3.631,3.75,3.618,3.72,38118.07,140045.3,3.68509
1643292000000,3.72,3.761,3.643,3.645,48938.56,180820.84,3.704191
1643299200000,3.65,3.672,3.585,3.63,47770.88,173335.44,3.628346
1643306400000,3.63,3.672,3.58,3.616,23004.2,83405.93,3.626017
1643313600000,3.616,3.706,3.532,3.669,37589.18,136336.69,3.618442
1643320800000,3.673,3.968,3.572,3.966,93242.87,356022.04,3.762151
1643328000000,3.964,4.061,3.87,3.937,103517.34,412757.06,3.965575
1643335200000,3.926,3.949,3.866,3.887,36868.29,143936.7,3.907558
1643342400000,3.889,3.889,3.811,3.834,57603.01,221807.06,3.848368
1643349600000,3.834,3.906,3.758,3.79,79747.61,304983.52,3.832452
1643356800000,3.781,3.851,3.76,3.803,37020.36,140748.47,3.8057
1643364000000,3.802,3.83,3.702,3.719,50178.29,189055.92,3.766646
1643371200000,3.71,3.731,3.64,3.698,56086.31,206990.26,3.685419
1643378400000,3.7,3.859,3.65,3.744,83449.38,313427.98,3.754864
1643385600000,3.752,3.812,3.659,3.687,56681.72,211678.14,3.736256
1643392800000,3.674,3.733,3.631,3.712,32853.63,121134.2,3.681605
1643400000000,3.718,3.774,3.697,3.734,18632.52,69590.79,3.735604
1643407200000,3.734,3.79,3.72,3.757,17083.37,64209.45,3.755264
1643414400000,3.756,3.896,3.756,3.798,24129.63,92507.74,3.827128
1643421600000,3.789,3.848,3.769,3.831,8226.42,31362.12,3.808386
1643428800000,3.831,3.979,3.805,3.858,49626.73,193213.43,3.892288
1643436000000,3.85,3.928,3.834,3.898,26873.33,104389.74,3.881488
1643443200000,3.898,3.898,3.831,3.87,17174.45,66368.43,3.86361
1643450400000,3.868,3.958,3.85,3.923,38514.87,150103.0,3.904589
1643457600000,3.922,3.958,3.9,3.946,8644.96,33966.61,3.928776
1643464800000,3.942,3.947,3.711,3.765,67654.77,256994.04,3.824991
1643472000000,3.766,3.77,3.59,3.684,76228.93,279610.59,3.677538
1643479200000,3.691,3.8,3.67,3.778,47045.22,176338.56,3.735063
1643486400000,3.784,3.793,3.682,3.699,29701.55,111064.9,3.736813
1643493600000,3.7,3.727,3.643,3.7,26713.46,98191.57,3.685
1643500800000,3.7,3.799,3.643,3.747,28803.97,107208.36,3.720942
1643508000000,3.748,3.748,3.62,3.661,35653.69,130402.6,3.681323
1643515200000,3.66,3.774,3.65,3.726,19608.59,73096.38,3.713448
1643522400000,3.732,3.766,3.688,3.718,29085.65,108171.94,3.727016
1643529600000,3.71,3.728,3.658,3.681,11577.91,42735.55,3.692888
1643536800000,3.676,3.734,3.672,3.709,15391.57,57141.64,3.7038
1643544000000,3.708,3.769,3.695,3.755,22829.86,85140.15,3.732056
1643551200000,3.759,3.76,3.674,3.692,23760.29,87995.5,3.71548
1643558400000,3.695,3.702,3.617,3.662,25186.14,91961.95,3.658756
1643565600000,3.662,3.663,3.58,3.589,20130.67,72712.66,3.620541
1643572800000,3.588,3.622,3.576,3.592,10879.27,39122.96,3.599017
1643580000000,3.601,3.704,3.513,3.644,78324.1,282608.84,3.60832
1643587200000,3.636,3.64,3.45,3.466,25465.67,89751.3,3.543499
1643594400000,3.466,3.49,3.387,3.413,37306.14,128142.31,3.438429
1643601600000,3.411,3.435,3.331,3.417,48092.15,162777.55,3.382974
1643608800000,3.416,3.427,3.365,3.419,24179.17,82360.36,3.395987
1643616000000,3.419,3.419,3.372,3.401,13721.31,46457.35,3.394948
1643623200000,3.403,3.427,3.367,3.394,20817.45,70755.98,3.396992
1643630400000,3.405,3.413,3.337,3.356,51286.53,172705.58,3.374362
