Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1620993600000,27.18,77.8,27.18,32.851,1445005.01,55349006.2,52.560741
1621000800000,32.951,34.0,31.786,32.272,232698.73,7671055.09,32.899779
1621008000000,32.272,33.754,30.201,33.093,208222.74,6613814.42,31.967962
1621015200000,33.133,33.499,30.31,30.572,67397.17,2120274.41,31.914496
1621022400000,30.659,31.536,29.762,30.379,56886.71,1727771.76,30.649815
1621029600000,30.379,30.777,29.21,29.212,37930.32,1137635.73,30.025374
1621036800000,29.2,31.273,28.427,31.109,80373.92,2363890.45,29.811408
1621044000000,31.109,31.156,28.543,29.276,53290.37,1582616.34,29.801384
1621051200000,29.396,31.0,28.435,29.579,65441.55,1920351.62,29.717793
1621058400000,29.579,29.762,27.502,27.849,49080.64,1399714.1,28.617926
1621065600000,27.849,28.744,27.2,27.54,62454.89,1743359.78,27.974807
1621072800000,27.543,32.7,27.238,29.399,212540.99,6419511.5,30.013527
1621080000000,29.398,30.447,28.919,29.1,56110.67,1664229.91,29.687166
1621087200000,29.1,29.213,27.472,28.309,68821.05,1943037.18,28.322802
1621094400000,28.225,30.2,26.101,26.841,163817.88,4610992.46,28.168616
1621101600000,26.835,28.202,26.826,26.987,30497.8,835815.65,27.515845
1621108800000,27.18,28.0,26.207,26.999,35129.61,945826.74,27.103536
1621116000000,27.026,27.824,26.622,26.622,31858.54,862402.41,27.234596
1621123200000,26.865,26.999,26.207,26.801,16415.19,435037.72,26.602624
1621130400000,26.828,26.964,26.302,26.303,6895.78,183581.83,26.645593
1621137600000,26.394,26.749,26.207,26.3,11393.92,301216.75,26.478993
1621144800000,26.419,27.635,26.3,26.803,17838.0,482089.82,26.97503
1621152000000,26.803,27.0,25.888,26.175,32827.47,863079.64,26.440101
1621159200000,26.2,27.266,26.092,26.749,21879.4,584598.8,26.690827
1621166400000,26.749,27.996,26.689,27.345,29188.8,797251.77,27.358704
1621173600000,27.402,27.6,26.05,26.197,32675.5,875177.13,26.829539
1621180800000,26.11,26.499,24.404,24.5,52703.94,1327806.15,25.476877
1621188000000,24.5,24.5,23.229,23.361,53526.24,1283906.62,23.847921
1621195200000,23.354,24.3,22.694,24.122,28773.3,667015.18,23.482386
1621202400000,24.231,24.64,23.2,23.895,30772.59,734492.44,23.918027
1621209600000,23.879,24.102,23.0,23.007,14332.26,336858.67,23.571043
1621216800000,23.074,23.168,22.301,22.411,13777.86,314055.52,22.73313
1621224000000,22.405,22.934,21.155,21.872,45897.96,1007920.24,22.042342
1621231200000,21.876,22.994,21.411,22.89,63682.29,1402859.37,22.181868
1621238400000,22.89,24.346,22.634,23.712,28140.89,661656.18,23.501559
1621245600000,23.744,23.744,23.083,23.707,18758.61,439106.67,23.413255
1621252800000,23.685,24.341,23.088,23.292,14352.49,339413.77,23.720198
1621260000000,23.291,25.001,22.38,23.163,67643.41,1587764.29,23.690777
1621267200000,23.062,23.72,21.626,22.192,41171.68,939418.66,22.675075
1621274400000,22.261,22.743,21.938,22.44,11546.94,258009.04,22.340375
1621281600000,22.471,23.14,22.273,22.765,11649.34,266031.01,22.709119
1621288800000,22.699,23.048,21.934,22.678,11314.21,255936.77,22.490982
1621296000000,22.735,23.699,22.597,23.61,10024.15,231442.08,23.143416
1621303200000,23.699,25.378,23.148,24.796,32889.4,808891.64,24.263998
1621310400000,24.796,25.502,24.603,25.176,11089.09,278711.72,25.055609
1621317600000,25.176,25.499,24.799,24.977,16593.38,416727.3,25.150495
1621324800000,24.922,25.938,24.671,25.66,20361.11,517641.75,25.305751
1621332000000,25.773,25.892,24.62,24.7,23675.5,596500.83,25.26022
1621339200000,24.7,24.768,22.501,22.502,22561.88,529855.35,23.644792
1621346400000,22.659,23.022,22.148,22.365,22464.71,506497.75,22.587125
1621353600000,22.356,23.619,21.979,23.501,16088.71,366741.63,22.781029
1621360800000,23.503,23.621,22.277,22.37,20310.66,460915.76,22.951701
1621368000000,22.4,23.259,22.36,22.856,13602.04,310122.48,22.821977
1621375200000,22.854,23.003,22.3,22.543,12698.88,286346.26,22.649082
1621382400000,22.745,22.985,21.101,21.368,19647.93,425760.26,22.040919
1621389600000,21.508,21.759,20.1,21.342,32356.15,674644.06,20.928257
1621396800000,21.393,21.499,20.0,20.139,67012.01,1386358.01,20.746001
1621404000000,20.08,20.372,19.282,20.061,58958.44,1166197.5,19.826982
1621411200000,20.076,20.35,19.0,19.904,44213.78,864665.19,19.673716
1621418400000,19.929,19.981,16.3,17.28,59399.17,1086235.01,18.071491
1621425600000,17.135,20.24,10.327,14.859,124920.52,2002707.89,15.273971
1621432800000,14.499,18.89,13.237,17.19,57392.92,893218.48,16.076652
1621440000000,17.19,18.89,16.256,18.129,25906.36,445536.97,17.570162
1621447200000,18.241,18.39,16.307,16.583,12843.11,217721.51,17.336549
1621454400000,16.583,17.56,16.308,17.492,6498.6,109042.25,16.91829
1621461600000,17.492,18.018,16.394,16.479,13861.19,238531.91,17.22976
1621468800000,16.479,16.948,14.807,15.391,50891.6,781786.43,15.873532
1621476000000,15.519,15.855,14.814,15.04,54768.74,825569.01,15.337574
1621483200000,15.039,16.153,14.872,15.981,24025.09,375304.7,15.512891
1621490400000,16.0,17.4,15.648,16.175,35217.67,575845.52,16.525091
1621497600000,16.154,17.299,15.707,16.068,19569.67,317802.28,16.503286
1621504800000,16.078,16.8,15.822,16.302,22575.31,367228.98,16.312608
1621512000000,16.302,18.321,16.0,17.611,42679.69,739335.34,17.178123
1621519200000,17.68,18.299,17.303,17.64,29501.96,529282.32,17.801057
1621526400000,17.647,17.647,16.358,17.174,68731.24,1159667.88,16.988287
1621533600000,17.135,18.3,17.1,17.519,22790.71,397160.49,17.7098
1621540800000,17.668,18.189,17.101,18.04,16262.83,287097.49,17.638708
1621548000000,18.073,18.889,17.101,18.755,19812.47,354526.45,17.979185
1621555200000,18.755,20.89,18.402,20.21,24434.47,481939.36,19.661286
1621562400000,20.21,20.419,18.5,18.859,21692.92,422647.78,19.448893
