Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1623045600000,0.04139,4.5,0.04139,1.99185,38595056.0,84524697.28,2.333708
1623046500000,1.99996,2.02822,1.63018,1.71697,16633485.0,29948175.36,1.824967
1623047400000,1.71503,1.82641,1.695,1.79737,7375569.0,13019221.88,1.761195
1623048300000,1.79737,1.79737,1.47,1.52315,10561829.0,16901043.45,1.628032
1623049200000,1.52315,1.61679,1.47,1.60698,7799804.0,12007488.52,1.541471
1623050100000,1.60305,1.61,1.50076,1.52243,4228044.0,6589631.59,1.55422
1623051000000,1.5225,1.58558,1.5145,1.5373,3126123.0,4827234.02,1.550261
1623051900000,1.5356,1.54399,1.40215,1.44241,4923369.0,7153137.09,1.471142
1623052800000,1.44242,1.552,1.43101,1.51762,5790408.0,8631463.97,1.492733
1623053700000,1.51699,1.66941,1.51477,1.58773,8475378.0,13571743.38,1.594283
1623054600000,1.58682,1.78,1.58376,1.75791,8748693.0,14755610.57,1.684112
1623055500000,1.75777,1.873,1.69,1.8599,14610555.0,26199535.91,1.779192
1623056400000,1.86185,2.55655,1.8599,2.26977,36673750.0,81580885.25,2.221577
1623057300000,2.26977,2.33,2.02,2.08902,23077584.0,49117085.56,2.174592
1623058200000,2.08655,2.12,1.88622,1.95,19052376.0,37569107.75,2.001696
1623059100000,1.94522,2.07574,1.88622,1.9177,15704493.0,31114261.87,1.981242
1623060000000,1.91609,2.04,1.9,1.99262,8714322.0,17171245.24,1.971263
1623060900000,1.99556,2.11,1.94,1.97584,11086848.0,22419469.08,2.025133
1623061800000,1.97584,2.01,1.94484,1.97053,3765789.0,7454109.42,1.977427
1623062700000,1.97,1.97435,1.926,1.96432,2587151.0,5053440.74,1.950116
1623063600000,1.96465,1.965,1.905,1.94726,2055088.0,3978854.75,1.93455
1623064500000,1.94725,1.94905,1.82311,1.82562,5361733.0,10037485.52,1.885972
1623065400000,1.82689,1.90788,1.82502,1.85348,4499232.0,8388803.46,1.867144
1623066300000,1.85347,1.85349,1.74525,1.77306,5884717.0,10503502.29,1.797146
1623067200000,1.773,1.83288,1.73333,1.74999,3830111.0,6807225.47,1.783398
1623068100000,1.74911,1.78854,1.74,1.76965,2298494.0,4058416.51,1.764499
1623069000000,1.76997,1.89057,1.76385,1.85328,7212556.0,13374310.59,1.829098
1623069900000,1.85259,1.87617,1.767,1.81981,5762745.0,10475893.9,1.821248
1623070800000,1.819,1.821,1.782,1.80402,1757942.0,3166170.43,1.801117
1623071700000,1.80191,1.808,1.7469,1.77719,1912762.0,3395367.65,1.776934
1623072600000,1.77629,1.8,1.77,1.78758,1349625.0,2409362.75,1.785113
1623073500000,1.78758,1.78776,1.75011,1.76238,1264223.0,2232065.69,1.768173
1623074400000,1.76241,1.78272,1.73276,1.7752,1882155.0,3304718.17,1.757556
1623075300000,1.7752,1.776,1.735,1.74762,1202528.0,2104981.62,1.754746
1623076200000,1.74762,1.74847,1.66622,1.681,3089181.0,5239366.11,1.705979
1623077100000,1.68048,1.72702,1.66282,1.70927,2571941.0,4367011.57,1.694922
1623078000000,1.70942,1.71014,1.6666,1.68922,1569581.0,2639060.89,1.687747
1623078900000,1.69066,1.69478,1.635,1.64102,1968774.0,3257177.34,1.664692
1623079800000,1.64338,1.654,1.62,1.62073,2076825.0,3392955.92,1.637617
1623080700000,1.62207,1.65987,1.62151,1.65052,1736274.0,2846810.2,1.641391
1623081600000,1.65052,1.68088,1.627,1.65818,1729876.0,2866296.16,1.653938
1623082500000,1.65818,1.6644,1.626,1.63013,1233278.0,2025258.58,1.645361
1623083400000,1.62985,1.65,1.612,1.62,1030529.0,1678596.69,1.631104
1623084300000,1.61933,1.6626,1.61564,1.64901,920101.0,1505305.87,1.639669
1623085200000,1.65498,1.68,1.6235,1.62802,1798392.0,2979515.68,1.652369
1623086100000,1.62927,1.68488,1.62,1.66121,1755219.0,2904902.46,1.652904
1623087000000,1.66149,1.81,1.66066,1.80638,6459900.0,11322443.41,1.735759
1623087900000,1.80723,1.80946,1.72,1.77659,3744573.0,6617831.38,1.763909
1623088800000,1.77568,1.77659,1.69018,1.72052,2744782.0,4731046.87,1.731716
1623089700000,1.72188,1.75998,1.7,1.73,2254327.0,3907847.9,1.730009
1623090600000,1.73,1.759,1.71,1.72294,1356994.0,2351194.67,1.734542
1623091500000,1.72068,1.72578,1.65,1.67353,1835887.0,3088279.62,1.686903
