Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1556510400000,4.755,4.755,3.83,4.059,870570.705,3633443.48,4.273622
1556517600000,4.069,4.105,3.91,3.953,141188.67,564448.18,4.00716
1556524800000,3.953,4.003,3.796,3.868,101228.965,395976.93,3.899016
1556532000000,3.858,3.975,3.723,3.854,106783.541,408676.99,3.849
1556539200000,3.85,3.908,3.725,3.871,61281.119,233106.82,3.816355
1556546400000,3.878,4.023,3.855,3.96,94263.835,373652.99,3.940267
1556553600000,3.956,4.015,3.768,3.817,101771.503,389606.79,3.89193
1556560800000,3.817,3.895,3.797,3.826,16318.938,62414.48,3.846052
1556568000000,3.826,3.844,3.683,3.74,24048.141,90142.29,3.762002
1556575200000,3.697,3.896,3.661,3.777,61847.684,234155.05,3.779738
1556582400000,3.777,4.075,3.768,3.926,134906.107,534784.08,3.92588
1556589600000,3.927,4.05,3.847,3.854,48653.158,190486.34,3.950438
1556596800000,3.872,3.9,3.75,3.852,45797.437,174703.92,3.824835
1556604000000,3.825,3.857,3.772,3.84,22959.326,87347.94,3.814359
1556611200000,3.84,3.905,3.751,3.77,34002.619,130109.33,3.829253
1556618400000,3.794,3.957,3.772,3.879,47974.864,186944.34,3.86606
1556625600000,3.879,4.01,3.86,3.933,143160.942,564653.24,3.935971
1556632800000,3.933,3.98,3.845,3.886,73174.536,286794.18,3.912594
1556640000000,3.86,3.887,3.818,3.869,27922.083,107199.38,3.852449
1556647200000,3.876,3.94,3.868,3.915,20836.076,81450.36,3.904673
1556654400000,3.915,3.981,3.88,3.88,19887.103,78481.86,3.931521
1556661600000,3.9,3.967,3.855,3.917,19156.088,74744.94,3.911014
1556668800000,3.913,4.146,3.876,4.03,94905.924,381572.13,4.012946
1556676000000,4.02,4.26,4.014,4.12,123055.804,510175.79,4.139887
1556683200000,4.125,4.18,4.037,4.173,75100.909,308295.17,4.107326
1556690400000,4.176,4.246,4.104,4.212,94617.164,394267.64,4.17469
1556697600000,4.209,4.5,4.173,4.399,178028.227,763367.45,4.339496
1556704800000,4.397,4.48,4.312,4.45,200203.485,883617.18,4.395298
1556712000000,4.45,4.458,4.297,4.352,215416.846,940956.19,4.375101
1556719200000,4.35,4.65,4.35,4.475,318199.27,1440770.4,4.50397
1556726400000,4.472,4.603,4.381,4.44,127517.987,571151.01,4.492188
1556733600000,4.437,4.65,4.437,4.603,83417.298,378913.12,4.547707
1556740800000,4.603,4.617,4.428,4.523,80242.495,363854.32,4.520601
1556748000000,4.512,4.512,4.345,4.392,111555.906,492020.82,4.425017
1556755200000,4.391,4.392,4.174,4.329,157210.386,669650.68,4.281411
1556762400000,4.328,4.4,4.28,4.292,90446.862,393213.9,4.340691
1556769600000,4.29,4.527,4.275,4.43,126677.505,559015.87,4.404428
1556776800000,4.427,4.661,4.41,4.572,118357.582,541363.49,4.538777
1556784000000,4.573,4.65,4.455,4.465,118509.014,538164.48,4.555282
1556791200000,4.465,4.571,4.4,4.412,90577.414,404784.39,4.486657
1556798400000,4.412,4.536,4.36,4.422,95094.112,421278.66,4.448025
1556805600000,4.421,4.587,4.369,4.466,131419.799,586409.37,4.478371
1556812800000,4.466,4.532,4.415,4.508,56512.536,252416.98,4.473051
1556820000000,4.515,4.613,4.499,4.553,67191.549,306801.36,4.556629
1556827200000,4.552,4.573,4.433,4.552,40453.799,182783.46,4.503
1556834400000,4.543,4.611,4.512,4.61,40695.475,185658.72,4.55956
1556841600000,4.608,4.86,4.55,4.761,198160.25,937054.91,4.706329
1556848800000,4.763,4.958,4.724,4.8,235614.011,1143946.78,4.841374
1556856000000,4.8,4.879,4.783,4.827,93658.922,451868.17,4.831353
1556863200000,4.827,5.35,4.802,5.086,394530.808,1990662.9,5.083068
1556870400000,5.082,5.172,4.726,4.876,608882.29,3017298.67,4.94731
1556877600000,4.876,5.088,4.771,4.902,276600.86,1358442.6,4.929568
1556884800000,4.9,5.1,4.835,5.028,173668.232,867049.64,4.967717
1556892000000,5.028,5.119,4.944,4.965,193301.991,972580.53,5.032672
1556899200000,4.965,4.979,4.857,4.9,90681.101,445411.77,4.916892
1556906400000,4.9,5.1,4.9,5.034,127210.238,638212.3,5.004172
1556913600000,5.034,5.175,4.972,5.147,98468.609,501115.88,5.072073
1556920800000,5.147,5.38,5.144,5.333,283905.924,1499153.64,5.266044
1556928000000,5.341,5.66,5.341,5.574,471314.761,2604796.83,5.507118
1556935200000,5.574,5.619,5.371,5.398,263179.942,1438850.81,5.496296
1556942400000,5.4,5.4,5.103,5.167,346211.796,1805837.93,5.245681
1556949600000,5.163,5.36,5.08,5.325,242622.615,1265663.24,5.217808
1556956800000,5.325,5.329,5.167,5.217,165196.756,865943.64,5.245125
1556964000000,5.207,5.215,5.029,5.062,248091.144,1272105.19,5.119761
1556971200000,5.064,5.094,4.706,4.818,531275.906,2595561.9,4.895419
1556978400000,4.824,4.989,4.743,4.917,251462.618,1233368.64,4.865833
1556985600000,4.917,5.45,4.88,5.106,450805.465,2325769.47,5.169338
1556992800000,5.114,5.347,5.105,5.335,205228.074,1077424.97,5.226395
1557000000000,5.328,5.38,5.254,5.298,188225.628,999512.95,5.317058
1557007200000,5.291,5.31,5.13,5.243,136896.546,713220.68,5.219149
1557014400000,5.238,5.238,4.969,5.088,162525.224,827974.07,5.098485
1557021600000,5.092,5.131,5.037,5.107,77281.899,393086.07,5.083901
1557028800000,5.103,5.108,4.967,5.02,181419.994,907320.95,5.035224
1557036000000,5.02,5.02,4.93,4.957,140503.487,699873.07,4.973115
1557043200000,4.957,4.958,4.85,4.862,203080.133,992645.08,4.902681
1557050400000,4.853,4.884,4.823,4.853,94600.245,459179.22,4.8535
