Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1600732800000,0.85,7.0,0.85,5.3193,31441883.16,166715315.42,4.052827
1600819200000,5.3279,5.36,3.4,3.535,12620608.01,53155220.87,4.36639
1600905600000,3.5305,4.8873,3.4033,4.6411,7107843.86,28912533.32,4.154988
1600992000000,4.6366,5.0234,4.2001,4.7134,3886096.71,17910676.1,4.611612
1601078400000,4.7164,4.82,4.3294,4.52,1814932.97,8304263.78,4.572884
1601164800000,4.5214,4.7134,4.1068,4.6484,1500134.56,6626177.41,4.408163
1601251200000,4.6485,4.705,4.1667,4.2021,1210446.38,5281810.91,4.43804
1601337600000,4.1999,4.2899,3.9607,4.1394,1057878.53,4361852.97,4.124922
1601424000000,4.1429,4.411,3.9958,4.3293,915518.31,3839122.43,4.201665
1601510400000,4.3293,4.53,4.014,4.15,1477288.72,6232982.48,4.273007
1601596800000,4.1422,4.2198,3.6332,3.9115,1847614.48,7189956.88,3.922464
1601683200000,3.9156,4.19,3.8696,4.0168,679798.03,2729615.96,4.031427
1601769600000,4.0202,4.0798,3.8334,3.964,630849.97,2483672.14,3.956132
1601856000000,3.9582,4.0456,3.87,3.9813,475912.76,1883990.19,3.957748
1601942400000,3.9949,4.0,3.5,3.5424,971155.87,3553458.06,3.745198
1602028800000,3.5401,3.5462,3.207,3.442,988661.32,3329160.07,3.374156
1602115200000,3.4409,3.9599,3.3228,3.9147,900977.83,3300534.47,3.635502
1602201600000,3.9147,4.3252,3.8034,4.2491,573063.37,2339370.57,4.062286
1602288000000,4.2427,4.2693,4.0001,4.023,821315.35,3382885.22,4.13507
1602374400000,4.0205,4.1762,3.9333,4.096,542437.49,2203938.05,4.054663
1602460800000,4.0841,4.71,4.054,4.41,851811.15,3741254.64,4.390874
1602547200000,4.4099,4.5636,4.3203,4.4806,776819.51,3461676.16,4.441879
1602633600000,4.4808,4.4848,4.0125,4.1596,512479.12,2172949.68,4.239295
1602720000000,4.15,4.2312,3.9985,4.1269,306544.02,1255397.3,4.114792
1602806400000,4.1266,4.1582,3.8755,4.0433,538055.06,2158279.79,4.015339
1602892800000,4.0462,4.21,3.9673,4.1946,258634.77,1059554.15,4.085376
1602979200000,4.1874,4.2461,4.0701,4.1195,138296.5,576945.33,4.15828
1603065600000,4.1371,4.1748,3.9926,4.05,274925.09,1117039.45,4.083103
1603152000000,4.0568,4.0908,3.6925,3.804,589447.62,2274226.08,3.88731
1603238400000,3.8007,4.103,3.7918,3.9585,319446.86,1268228.48,3.952058
1603324800000,3.9574,4.4904,3.9511,4.3385,741499.28,3221997.42,4.231135
1603411200000,4.3406,4.4872,4.1354,4.2568,324892.94,1398999.51,4.311481
1603497600000,4.2539,4.362,4.14,4.1821,218601.98,933338.63,4.251886
1603584000000,4.1803,4.2526,4.1,4.1479,209663.9,877035.37,4.176439
1603670400000,4.1409,4.4897,4.0141,4.148,661155.33,2796040.23,4.251906
1603756800000,4.1454,4.35,4.0343,4.1217,292754.21,1224513.04,4.192233
1603843200000,4.1214,4.1792,3.9308,4.0596,359147.72,1446616.72,4.054442
1603929600000,4.0607,4.1051,3.7296,3.7758,422589.86,1634343.74,3.917199
1604016000000,3.7744,3.8226,3.5781,3.7224,850092.33,3139921.29,3.6998
1604102400000,3.7116,3.7612,3.5876,3.6456,346114.94,1268757.59,3.674243
1604188800000,3.6355,3.7142,3.5521,3.6814,295468.18,1075668.75,3.632632
1604275200000,3.6851,3.8775,3.6145,3.617,322604.28,1196807.92,3.747619
1604361600000,3.6174,3.6513,3.2368,3.323,664899.75,2257175.61,3.440276
1604448000000,3.3299,3.3759,3.0,3.1718,466205.93,1474605.42,3.18504
1604534400000,3.1736,3.3841,3.0211,3.3348,644688.78,2097043.29,3.199924
1604620800000,3.335,3.6666,3.3194,3.5913,910038.31,3199980.72,3.497708
1604707200000,3.594,3.9193,3.37,3.4126,832528.78,3034525.37,3.648612
1604793600000,3.4093,3.67,3.3613,3.4754,543130.62,1902820.88,3.5165
