Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1619784000000,4.5581,5.888,4.2,4.8029,723259.8,3597460.57,5.045921
1619784900000,4.8029,4.9322,4.7955,4.8,177938.2,865523.76,4.863857
1619785800000,4.7999,4.9172,4.72,4.8638,210859.1,1022516.5,4.818243
1619786700000,4.855,4.946,4.81,4.864,106510.8,516946.77,4.87802
1619787600000,4.865,5.0459,4.865,4.9248,578792.4,2869735.55,4.957151
1619788500000,4.9434,4.9434,4.8,4.8214,93095.8,450960.82,4.869336
1619789400000,4.8214,4.897,4.763,4.7641,127529.2,617878.27,4.831784
1619790300000,4.7651,4.8,4.5648,4.6784,190515.5,889727.08,4.681016
1619791200000,4.6795,4.752,4.5771,4.585,187501.8,874281.34,4.667093
1619792100000,4.5908,4.6583,4.4423,4.4934,226734.7,1033289.73,4.550739
1619793000000,4.4999,4.593,4.3239,4.3623,314350.8,1410787.0,4.460363
1619793900000,4.3608,4.55,4.3395,4.5499,248806.9,1115232.57,4.442071
1619794800000,4.5498,4.62,4.4852,4.59,268942.8,1224022.28,4.552207
1619795700000,4.5903,4.6376,4.5697,4.5865,141859.9,653390.46,4.603662
1619796600000,4.5886,4.6384,4.4,4.4,208502.8,938723.25,4.523819
1619797500000,4.4194,4.61,4.362,4.4583,216755.6,962915.49,4.486292
1619798400000,4.4583,4.5,4.3851,4.4414,226580.7,1003142.58,4.44251
1619799300000,4.4372,4.61,4.4146,4.58,153868.2,698036.34,4.51287
1619800200000,4.5801,4.6079,4.4412,4.4995,190556.7,859523.56,4.523603
1619801100000,4.4976,4.5759,4.4623,4.5305,122768.3,556437.59,4.519208
1619802000000,4.5456,4.6467,4.5305,4.6467,128587.0,588994.31,4.586838
1619802900000,4.6464,4.76,4.5858,4.6464,316499.0,1487295.13,4.6729
1619803800000,4.6465,4.6999,4.61,4.676,132598.5,618390.62,4.654776
1619804700000,4.67,4.6849,4.5064,4.5286,141652.8,650315.61,4.594971
1619805600000,4.5254,4.5701,4.52,4.5608,60195.3,273721.67,4.545328
1619806500000,4.5593,4.5695,4.473,4.5118,98885.9,446034.41,4.520328
1619807400000,4.5118,4.6296,4.4617,4.618,79796.6,364300.11,4.543511
1619808300000,4.618,4.6542,4.563,4.6542,94261.7,435299.89,4.607472
1619809200000,4.651,4.6998,4.6106,4.6637,83363.0,389717.96,4.655189
1619810100000,4.6544,4.6879,4.5739,4.623,72841.5,335705.47,4.630749
1619811000000,4.623,4.639,4.55,4.639,48275.6,221691.22,4.594203
1619811900000,4.639,4.6597,4.5904,4.5942,40154.9,185264.62,4.626036
1619812800000,4.5904,4.5943,4.5101,4.5348,35354.0,160568.39,4.550928
1619813700000,4.5348,4.57,4.5305,4.5416,30449.6,138538.45,4.55034
1619814600000,4.5576,4.7,4.5301,4.5861,63778.0,292075.24,4.615356
1619815500000,4.5997,4.5999,4.559,4.5629,25689.5,117550.41,4.578981
1619816400000,4.5629,4.6149,4.5629,4.5992,51332.5,235569.0,4.589989
1619817300000,4.5991,4.5991,4.5,4.5,62353.9,283377.27,4.54955
1619818200000,4.501,4.5255,4.4467,4.4556,88982.5,398214.53,4.486806
1619819100000,4.4556,4.4779,4.4467,4.4598,57775.3,257585.46,4.462321
1619820000000,4.4549,4.4713,4.345,4.352,185959.5,817968.86,4.409085
1619820900000,4.3523,4.478,4.3202,4.478,78885.5,344835.3,4.396074
1619821800000,4.4622,4.4841,4.3708,4.4057,68084.8,302280.55,4.427019
1619822700000,4.4057,4.4595,4.3708,4.4247,39235.1,173025.8,4.415149
1619823600000,4.4202,4.4999,4.4202,4.45,60684.8,271119.94,4.460954
1619824500000,4.4411,4.4634,4.399,4.4366,66201.7,292899.82,4.431191
1619825400000,4.4366,4.4439,4.2922,4.352,142991.3,621520.59,4.365837
1619826300000,4.352,4.393,4.2979,4.3026,88800.3,384823.57,4.346763
1619827200000,4.3074,4.49,4.25,4.3245,195820.6,842757.84,4.370069
1619828100000,4.3242,4.43,4.3001,4.4257,168295.1,735309.5,4.363267
1619829000000,4.4257,4.5,4.3846,4.4989,158201.1,700904.68,4.440063
1619829900000,4.499,4.7896,4.4851,4.7868,437323.0,2038474.45,4.635754
1619830800000,4.786,4.8244,4.558,4.5655,388615.7,1829238.33,4.694393
