Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1619784000000,4.5581,5.888,4.2,4.6784,2208500.8,10830749.31,5.044541
1619791200000,4.6795,4.752,4.3239,4.4583,1813455.3,8212642.12,4.535736
1619798400000,4.4583,4.76,4.3851,4.5286,1413111.2,6462135.74,4.573252
1619805600000,4.5254,4.6998,4.4617,4.5942,577774.5,2651735.36,4.581197
1619812800000,4.5904,4.7,4.4467,4.4598,415715.3,1883478.75,4.576785
1619820000000,4.4549,4.4999,4.2922,4.3026,730843.0,3208474.44,4.398737
1619827200000,4.3074,4.8244,4.25,4.5713,1732642.3,7925726.76,4.542651
1619834400000,4.5724,5.1197,4.5661,4.761,2716838.2,13364586.72,4.848165
1619841600000,4.7649,4.85,4.5511,4.73,1143808.2,5402203.27,4.70039
1619848800000,4.7241,4.7998,4.4,4.6241,1020369.3,4682075.16,4.598721
1619856000000,4.6241,4.8471,4.4906,4.7094,1596333.4,7430636.81,4.66888
1619863200000,4.7092,5.0064,4.6407,4.7399,1905107.7,9172904.25,4.823725
1619870400000,4.741,5.7618,4.7399,5.6319,5422951.2,28459798.45,5.265957
1619877600000,5.6221,6.8333,5.2,6.6734,15419996.5,92803785.82,6.001502
1619884800000,6.6709,7.4625,6.2847,6.7049,23061529.3,157461498.97,6.873639
1619892000000,6.7117,6.966,6.42,6.5403,4507124.0,30151656.53,6.694692
1619899200000,6.5403,6.6573,6.2023,6.309,3606396.1,23258961.38,6.430156
1619906400000,6.3088,6.5455,6.04,6.5455,3533059.4,22128866.54,6.284956
1619913600000,6.5328,6.98,6.37,6.4454,5987475.2,40265390.01,6.675959
1619920800000,6.4443,6.85,6.188,6.3636,3199590.3,21080977.45,6.519429
1619928000000,6.3634,7.75,6.07,7.2944,9455635.4,66955615.79,6.916744
1619935200000,7.286,7.5357,7.0,7.2137,7058812.5,51281962.5,7.267932
1619942400000,7.2053,8.0703,7.1,7.6088,9827804.7,74986546.27,7.593198
1619949600000,7.6088,7.9411,7.24,7.6805,6147229.1,46813241.29,7.590408
1619956800000,7.6865,8.487,7.5224,8.0015,10749065.1,87239933.06,8.009102
1619964000000,8.03,8.4,7.629,7.8172,7446927.0,59545768.63,8.016265
1619971200000,7.8127,8.0,7.1454,7.3531,6110519.2,45807382.07,7.571905
1619978400000,7.3531,7.6497,7.2402,7.6497,2120604.4,15733571.57,7.436429
1619985600000,7.6497,7.9325,7.4441,7.8006,3163941.1,24456212.96,7.687399
1619992800000,7.8064,8.27,7.5703,8.1396,3537034.9,28070190.59,7.916974
1620000000000,8.1314,8.2522,7.546,7.7,3596670.8,28371449.01,7.897392
1620007200000,7.7,7.7971,7.3605,7.5699,2177270.5,16493552.38,7.577525
1620014400000,7.5614,7.5647,7.1328,7.345,2407164.6,17644652.05,7.341756
