Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1597125600000,21.59,26.0,20.0,20.396,1159.077,24508.65,23.020068
1597129200000,20.4,20.6,19.36,20.227,2652.398,53472.43,19.978369
1597132800000,20.227,20.721,20.156,20.6,1567.624,32071.35,20.441557
1597136400000,20.469,20.934,20.274,20.49,1447.801,29856.86,20.604032
1597140000000,20.49,21.406,20.164,20.357,1070.256,21861.75,20.786039
1597143600000,20.357,21.215,20.278,20.575,2266.235,47058.85,20.750348
1597147200000,20.511,21.002,19.954,20.193,1228.139,24921.55,20.480969
1597150800000,20.194,20.194,18.859,19.324,3045.169,59247.29,19.498882
1597154400000,19.423,20.37,18.98,19.051,4101.229,79965.49,19.682986
1597158000000,19.066,20.389,18.502,19.19,3311.925,63356.99,19.445843
1597161600000,19.2,20.343,18.775,19.458,5876.934,114738.56,19.560567
1597165200000,19.312,20.0,19.3,19.993,1074.925,21215.16,19.649225
1597168800000,19.997,21.0,19.71,20.351,2172.707,43558.26,20.358473
1597172400000,20.35,20.75,20.198,20.455,1835.535,37645.99,20.474653
1597176000000,20.455,20.561,19.011,19.733,3031.406,60029.98,19.768335
1597179600000,19.67,20.742,19.312,20.0,933.112,18546.39,20.029591
1597183200000,20.001,20.547,20.0,20.25,1382.445,27890.88,20.281586
1597186800000,20.424,20.737,19.947,20.373,2005.526,40591.09,20.341941
1597190400000,20.106,20.265,19.042,19.042,2357.981,46275.08,19.672054
1597194000000,19.156,21.952,19.15,20.305,6892.452,140194.53,20.587006
1597197600000,20.46,20.512,19.302,19.465,6512.595,129979.77,19.895709
1597201200000,19.468,20.2,19.289,19.944,2833.547,56261.55,19.74732
1597204800000,19.724,19.95,19.333,19.333,1609.301,31616.7,19.654111
1597208400000,19.569,19.908,19.195,19.444,2622.893,51088.6,19.551848
1597212000000,19.308,19.786,19.001,19.562,1098.438,21305.17,19.392385
1597215600000,19.724,21.0,19.486,20.808,7458.311,152097.24,20.239619
1597219200000,20.789,21.335,20.412,20.865,4754.521,99469.82,20.873579
1597222800000,20.648,21.011,20.2,20.325,2444.707,49987.88,20.610414
1597226400000,20.324,21.381,20.27,21.163,6501.493,136404.73,20.839135
1597230000000,21.031,21.75,21.0,21.382,5891.786,125729.17,21.384761
1597233600000,21.381,23.5,21.0,22.112,8801.384,190351.74,22.260997
1597237200000,22.085,22.554,21.558,21.878,7468.179,163644.81,22.056813
1597240800000,21.879,22.948,21.879,22.871,8466.365,188798.32,22.424062
1597244400000,22.866,24.9,22.758,23.539,16637.051,390870.76,23.844853
1597248000000,23.552,23.676,22.5,22.662,8143.486,186333.3,23.084825
1597251600000,22.662,22.8,21.994,22.341,6064.176,135703.99,22.392685
1597255200000,22.385,22.694,22.025,22.095,1794.852,39888.75,22.36539
1597258800000,22.229,22.5,21.994,22.303,761.349,16923.62,22.246898
1597262400000,22.303,22.819,20.67,22.177,4603.743,101206.51,21.744074
1597266000000,22.177,22.851,22.177,22.772,2650.605,59797.25,22.523558
1597269600000,22.644,22.819,22.067,22.099,1856.574,41526.04,22.453808
1597273200000,22.339,23.057,21.8,22.397,4502.367,101756.52,22.428532
1597276800000,22.457,23.733,22.333,22.7,3420.25,78596.31,23.036449
1597280400000,22.547,22.797,22.45,22.45,2433.518,54920.01,22.625991
1597284000000,22.45,22.656,21.58,21.797,3661.71,80289.41,22.117442
1597287600000,21.81,21.988,21.799,21.959,3279.19,71800.24,21.895156
1597291200000,21.922,22.085,21.491,21.83,3284.538,71589.26,21.787469
1597294800000,21.851,21.902,21.6,21.772,1658.421,36057.63,21.749947
1597298400000,21.862,21.994,21.298,21.5,3484.846,75462.92,21.643461
1597302000000,21.501,22.0,21.1,21.258,4313.474,92174.24,21.553165
1597305600000,21.257,21.355,19.5,20.2,7692.822,158124.85,20.400909
1597309200000,20.2,20.756,19.801,20.616,5097.261,102569.23,20.272051
1597312800000,20.651,20.865,20.336,20.865,2812.819,57882.48,20.593781
1597316400000,20.874,21.695,20.767,21.243,2644.391,55961.12,21.238099
1597320000000,21.248,21.257,20.75,20.886,2004.16,41912.13,20.994225
1597323600000,20.755,21.257,20.497,21.257,2831.053,58624.13,20.861207
1597327200000,21.21,22.511,20.638,20.796,3717.988,78155.36,21.581567
1597330800000,20.769,20.948,20.46,20.92,3770.562,78127.95,20.700554
1597334400000,20.919,20.919,20.521,20.574,3048.841,62789.12,20.713871
1597338000000,20.574,20.701,20.248,20.553,1486.935,30407.08,20.474452
1597341600000,20.51,20.625,20.261,20.376,1478.161,30216.33,20.443
1597345200000,20.376,20.901,20.361,20.735,2134.52,44068.71,20.640379
1597348800000,20.782,21.6,20.709,20.889,2087.494,43935.37,21.155654
1597352400000,21.158,21.509,20.807,21.47,1755.065,37310.16,21.149896
1597356000000,21.499,21.625,21.243,21.454,1648.51,35343.01,21.433852
1597359600000,21.453,21.625,21.166,21.345,3045.084,64939.44,21.395451
1597363200000,21.338,21.613,21.102,21.193,1081.877,22945.37,21.35939
1597366800000,21.192,23.0,21.0,21.439,4665.68,99822.29,22.00262
1597370400000,21.287,21.437,20.847,21.064,1717.084,36099.66,21.140759
1597374000000,21.064,21.375,20.847,20.873,892.32,18824.98,21.115819
1597377600000,20.98,21.255,20.793,21.253,1120.578,23548.85,21.015153
1597381200000,21.253,21.253,20.824,21.072,914.879,19234.37,21.032725
1597384800000,20.937,21.2,20.797,20.798,566.17,11866.86,21.002516
1597388400000,20.799,20.973,20.431,20.763,1451.222,29945.77,20.701913
1597392000000,20.8,21.3,20.614,20.889,2691.26,56622.12,20.957475
1597395600000,20.971,21.165,20.865,21.159,988.484,20780.63,21.009557
1597399200000,21.144,21.146,20.546,20.977,1834.756,38151.76,20.841764
1597402800000,20.972,20.979,20.633,20.85,1781.996,37156.92,20.802632
1597406400000,20.849,20.849,20.387,20.516,3037.116,62580.6,20.608372
1597410000000,20.52,20.598,20.431,20.543,289.415,5936.63,20.514419
1597413600000,20.566,20.567,20.387,20.5,1196.969,24528.51,20.475052
1597417200000,20.521,20.761,20.425,20.742,1701.217,35082.5,20.588331
1597420800000,20.743,21.32,20.618,21.255,2219.05,46773.85,20.964398
1597424400000,21.255,21.75,20.912,20.92,2639.963,56159.23,21.341133
1597428000000,20.911,21.125,20.904,20.971,478.508,10067.08,21.01588
1597431600000,20.918,21.063,20.806,21.0,287.086,6005.29,20.93386
1597435200000,20.907,20.907,20.688,20.897,288.518,5996.3,20.797446
1597438800000,20.897,21.317,20.852,21.008,1169.112,24688.58,21.086408
1597442400000,21.005,21.164,21.004,21.041,24.517,515.53,21.084782
1597446000000,21.041,21.542,21.0,21.542,1584.11,33549.99,21.265432
1597449600000,21.542,21.626,20.725,20.725,2638.96,55931.15,21.186367
1597453200000,20.721,20.721,20.342,20.428,2381.443,48724.09,20.523947
1597456800000,20.428,20.578,20.301,20.315,1889.423,38663.24,20.442452
1597460400000,20.319,20.458,20.074,20.075,1612.435,32655.8,20.273747
1597464000000,20.153,20.153,19.74,20.0,8394.222,167321.74,19.941881
1597467600000,20.06,20.106,19.903,20.1,640.954,12861.04,20.00376
1597471200000,20.036,20.078,19.784,19.784,953.031,18949.6,19.935725
1597474800000,19.875,19.966,19.668,19.949,1535.581,30447.39,19.815513
1597478400000,19.946,19.946,19.309,19.547,4782.231,93376.01,19.614558
1597482000000,19.547,19.644,19.447,19.578,574.749,11237.88,19.545394
1597485600000,19.525,19.692,19.234,19.359,3727.34,72348.59,19.463713
1597489200000,19.459,19.657,19.359,19.468,850.894,16611.41,19.50801
1597492800000,19.427,19.688,19.207,19.653,3433.317,66895.85,19.442097
1597496400000,19.525,19.873,19.501,19.535,1365.243,26821.03,19.687028
1597500000000,19.638,20.115,19.504,19.83,2289.349,45517.8,19.811411
1597503600000,19.9,20.11,19.825,20.038,945.537,18862.77,19.967407
1597507200000,19.96,20.215,19.96,20.107,2138.575,42905.78,20.092393
1597510800000,20.095,20.114,19.701,19.923,839.116,16659.97,19.902899
1597514400000,19.803,19.927,19.713,19.839,418.716,8296.99,19.819993
1597518000000,19.839,19.943,19.697,19.833,908.494,18023.82,19.819998
1597521600000,19.692,19.966,19.671,19.914,686.562,13634.25,19.821056
1597525200000,19.917,19.945,19.21,19.552,1464.3,28657.14,19.567185
1597528800000,19.403,19.691,19.063,19.335,1617.509,31281.25,19.377024
1597532400000,19.421,19.618,19.133,19.519,486.545,9380.31,19.374525
1597536000000,19.5,19.618,18.99,19.232,6354.36,122005.66,19.301043
1597539600000,19.318,19.463,19.154,19.154,582.346,11266.2,19.313992
1597543200000,19.153,19.308,19.14,19.3,735.415,14146.13,19.223408
1597546800000,19.4,19.4,19.214,19.282,226.599,4373.51,19.303196
1597550400000,19.366,19.367,18.843,19.071,1721.926,32688.3,19.095233
1597554000000,19.063,19.1,18.936,18.936,1486.882,28276.41,19.021263
1597557600000,18.936,19.208,18.936,19.207,876.796,16760.32,19.072165
1597561200000,19.208,19.208,19.024,19.08,500.699,9582.14,19.112146
1597564800000,19.1,19.327,19.1,19.29,725.591,13923.03,19.217428
1597568400000,19.289,19.29,19.051,19.273,2192.412,42014.92,19.170376
1597572000000,19.156,19.273,19.05,19.05,741.209,14190.73,19.165002
1597575600000,19.058,19.121,18.672,18.777,1593.628,30061.07,18.894221
1597579200000,18.777,18.798,18.0,18.435,3615.308,66417.14,18.389037
1597582800000,18.49,19.0,18.392,18.605,1414.189,26492.73,18.69734
1597586400000,18.605,18.752,18.53,18.594,691.447,12861.96,18.641025
1597590000000,18.605,19.349,18.419,18.857,2052.09,38716.8,18.886861
1597593600000,18.857,19.311,18.837,19.311,1162.324,22208.6,19.071024
1597597200000,19.313,19.361,19.235,19.297,787.184,15179.36,19.297972
1597600800000,19.297,19.36,19.197,19.227,1028.834,19774.93,19.279298
1597604400000,19.352,19.375,19.25,19.31,1103.283,21311.65,19.311963
1597608000000,19.31,19.658,19.28,19.541,1345.054,26114.0,19.47348
1597611600000,19.658,19.865,19.4,19.401,2217.54,43488.02,19.641016
1597615200000,19.468,19.829,19.4,19.636,2069.734,40649.79,19.616992
1597618800000,19.692,19.723,19.548,19.62,674.955,13252.24,19.634594
1597622400000,19.629,19.725,19.36,19.423,1068.977,20881.67,19.543928
1597626000000,19.331,19.471,19.142,19.242,1441.19,27728.86,19.306873
1597629600000,19.249,19.313,19.088,19.211,762.082,14614.06,19.200288
1597633200000,19.237,19.238,18.986,19.222,1878.028,35746.37,19.111896
1597636800000,19.079,19.362,19.079,19.362,637.81,12266.39,19.2205
1597640400000,19.208,19.6,19.162,19.447,2778.819,53766.63,19.385303
1597644000000,19.395,20.1,19.217,19.83,3055.987,59926.8,19.661471
1597647600000,19.83,19.904,19.607,19.809,1343.113,26465.71,19.75542
1597651200000,19.807,20.097,19.74,19.881,1312.664,26076.17,19.919309
1597654800000,19.881,20.097,19.705,19.705,1740.751,34458.42,19.906732
1597658400000,19.706,19.816,19.6,19.762,986.966,19431.58,19.707556
1597662000000,19.753,19.782,19.579,19.579,1609.542,31634.3,19.683762
1597665600000,19.579,19.715,19.357,19.569,2726.789,53149.84,19.535993
1597669200000,19.441,19.69,19.1,19.184,5498.466,106000.91,19.399108
1597672800000,19.245,19.308,19.063,19.19,3324.217,63689.3,19.185092
1597676400000,19.184,19.292,18.946,19.292,1975.582,37828.65,19.116029
1597680000000,19.292,19.685,19.189,19.493,1382.271,26938.78,19.438905
1597683600000,19.493,19.587,19.34,19.423,748.865,14512.59,19.463613
1597687200000,19.4,19.652,19.4,19.507,557.602,10891.19,19.529422
1597690800000,19.615,19.637,19.289,19.455,384.59,7502.64,19.458983
1597694400000,19.456,19.782,19.315,19.67,1271.891,25021.83,19.547697
1597698000000,19.784,20.848,19.784,20.721,5049.884,102248.58,20.331273
1597701600000,20.758,20.828,20.054,20.13,3924.045,79924.05,20.440409
1597705200000,20.147,20.197,19.65,19.72,3556.715,70696.93,19.921703
1597708800000,19.825,19.937,19.651,19.651,634.261,12511.29,19.79971
1597712400000,19.651,19.784,19.65,19.784,854.882,16835.95,19.716837
1597716000000,19.784,19.862,19.519,19.859,1759.998,34614.11,19.688915
1597719600000,19.841,20.584,19.692,20.2,6245.066,126017.49,20.142959
1597723200000,20.2,20.2,19.78,20.113,1251.227,24994.07,19.988195
1597726800000,20.114,20.375,19.884,19.884,1474.594,29673.76,20.137074
1597730400000,19.9,21.2,19.9,21.183,3331.247,68384.27,20.552736
1597734000000,21.183,21.976,20.504,20.95,14906.304,315683.68,21.241094
1597737600000,20.95,21.135,20.619,20.79,3239.929,67844.23,20.877172
1597741200000,20.79,20.952,20.692,20.883,1880.12,39137.67,20.821521
1597744800000,20.883,20.931,20.582,20.693,2994.185,62048.25,20.753979
1597748400000,20.686,20.686,20.114,20.114,2972.259,60556.51,20.4
1597752000000,20.112,20.389,19.875,20.302,4021.898,80542.22,20.129347
1597755600000,20.389,20.6,19.722,19.78,4521.905,91359.42,20.171459
1597759200000,19.78,19.804,19.017,19.622,5159.648,100249.32,19.407543
