Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1568764800000,2.365,2.365,0.6,0.6383,8801778.6,6178771.06,1.476477
1568851200000,0.6383,0.6483,0.5576,0.6028,3746946.12,2232155.03,0.602249
1568937600000,0.6028,0.9,0.5868,0.68,8511213.66,6123408.16,0.744973
1569024000000,0.68,0.848,0.6778,0.811,6540757.56,5123283.92,0.765925
1569110400000,0.813,0.9298,0.7056,0.7177,6632537.82,5424232.15,0.820177
1569196800000,0.7175,0.755,0.6232,0.6325,2979197.75,2025809.35,0.690736
1569283200000,0.6273,0.68,0.44,0.4846,2886588.36,1658064.17,0.560393
1569369600000,0.4845,0.5186,0.4359,0.4639,1520398.91,711134.95,0.477298
1569456000000,0.4639,0.5733,0.45,0.515,3883940.01,1978134.12,0.512646
1569542400000,0.517,0.538,0.4751,0.5182,1394089.59,713925.29,0.506549
1569628800000,0.5182,0.534,0.4943,0.5288,742634.63,384170.44,0.51398
1569715200000,0.5259,0.5388,0.4858,0.5,822668.92,415738.66,0.512259
1569801600000,0.5009,0.5616,0.4852,0.5097,2361644.47,1233999.96,0.52346
1569888000000,0.5102,0.5223,0.4858,0.488,985298.5,498031.05,0.504554
1569974400000,0.488,0.49,0.4601,0.4776,826666.89,391047.29,0.474808
1570060800000,0.478,0.5087,0.465,0.4785,530934.3,258239.23,0.48685
1570147200000,0.4818,0.4818,0.4685,0.4745,140821.31,66840.56,0.474906
1570233600000,0.4733,0.4779,0.4661,0.4703,209018.89,98813.48,0.472003
1570320000000,0.4724,0.4724,0.4237,0.4316,444847.77,197051.16,0.447209
1570406400000,0.4316,0.4461,0.4074,0.4399,857027.58,366137.04,0.426645
1570492800000,0.4414,0.4746,0.43,0.4501,670317.26,300040.35,0.452363
1570579200000,0.4502,0.487,0.4379,0.4676,914786.8,424263.77,0.462565
1570665600000,0.4675,0.48,0.4294,0.44,714670.33,322577.05,0.454776
1570752000000,0.4405,0.4553,0.415,0.4398,568577.69,243559.45,0.43515
1570838400000,0.4398,0.457,0.4212,0.4271,663320.58,294050.56,0.439284
1570924800000,0.4298,0.443,0.4162,0.4261,562128.0,240803.52,0.429608
1571011200000,0.4261,0.4572,0.4206,0.4265,646765.56,280833.57,0.4389
1571097600000,0.4265,0.4378,0.409,0.4123,528047.77,223506.85,0.423659
1571184000000,0.4115,0.4255,0.3686,0.3793,750735.74,296095.21,0.397194
1571270400000,0.3787,0.394,0.3686,0.3903,424548.0,162248.95,0.381124
1571356800000,0.389,0.3958,0.3571,0.3646,363914.23,136003.63,0.376411
1571443200000,0.3647,0.3647,0.3346,0.3386,539211.43,187893.76,0.349187
1571529600000,0.3386,0.3396,0.323,0.3333,472380.29,157134.06,0.331178
1571616000000,0.3355,0.36,0.3307,0.3355,725074.43,248150.24,0.34535
1571702400000,0.3352,0.3866,0.3341,0.3634,1206145.93,440568.84,0.361209
1571788800000,0.3631,0.3699,0.2916,0.3035,1066016.89,345936.74,0.330318
1571875200000,0.3044,0.315,0.2892,0.309,632578.92,190441.42,0.302063
1571961600000,0.3084,0.3429,0.2939,0.3236,1518173.0,477283.51,0.318459
1572048000000,0.3261,0.3348,0.2821,0.2898,1702036.38,512559.49,0.308517
1572134400000,0.2925,0.3225,0.276,0.3094,1529578.81,454793.73,0.299192
1572220800000,0.3112,0.3676,0.2908,0.3417,2267133.06,726062.65,0.329313
1572307200000,0.3417,0.356,0.31,0.3141,1327722.37,435307.81,0.333504
1572393600000,0.3141,0.3189,0.295,0.2985,588516.35,178909.89,0.307027
1572480000000,0.3003,0.3365,0.2962,0.3154,953550.67,299057.17,0.316659
1572566400000,0.3154,0.324,0.295,0.3114,720871.6,220718.21,0.309481
1572652800000,0.3109,0.3172,0.3055,0.3103,339658.94,105314.12,0.31135
1572739200000,0.3103,0.3461,0.3024,0.3323,1640697.5,535588.35,0.32445
1572825600000,0.334,0.357,0.3326,0.3359,1137364.35,388581.14,0.344815
1572912000000,0.3358,0.3899,0.3308,0.3663,1161431.53,416254.77,0.361013
1572998400000,0.3647,0.3955,0.3459,0.3488,1126270.9,418551.38,0.371068
1573084800000,0.3488,0.3671,0.3314,0.3527,1021755.44,354051.06,0.349246
1573171200000,0.3536,0.3673,0.3134,0.3452,1347187.68,452184.61,0.340295
1573257600000,0.3464,0.3626,0.3353,0.3412,929172.89,321929.74,0.348997
1573344000000,0.3425,0.3682,0.3372,0.3505,691740.55,244607.86,0.352805
1573430400000,0.349,0.3642,0.3302,0.338,751384.29,259390.26,0.347299
1573516800000,0.338,0.3457,0.324,0.334,470496.16,157278.25,0.33484
1573603200000,0.3344,0.3448,0.3285,0.3364,435236.72,144759.57,0.336655
1573689600000,0.3365,0.341,0.3229,0.3257,188056.52,61838.82,0.332033
1573776000000,0.3251,0.3253,0.303,0.3096,433570.54,136367.56,0.31371
1573862400000,0.3075,0.318,0.3069,0.3137,198622.14,62030.2,0.312607
1573948800000,0.3131,0.3263,0.3083,0.3224,158047.19,49972.23,0.317268
1574035200000,0.3223,0.33,0.3011,0.3033,327744.43,104749.51,0.315883
1574121600000,0.3028,0.3137,0.2923,0.3004,455500.51,136900.65,0.303004
1574208000000,0.2988,0.3117,0.2874,0.3075,440125.58,130842.96,0.299431
1574294400000,0.309,0.3091,0.2564,0.264,613725.82,169236.3,0.281914
1574380800000,0.265,0.2691,0.2262,0.2526,567382.99,142317.43,0.247412
1574467200000,0.2512,0.2512,0.2337,0.2436,265339.55,64138.76,0.242205
1574553600000,0.2425,0.2468,0.2167,0.2167,360256.01,83668.23,0.232234
1574640000000,0.2164,0.235,0.1965,0.2325,432361.56,92870.94,0.215352
1574726400000,0.2305,0.3239,0.2226,0.2916,3075562.76,895757.79,0.274471
