Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1568808000000,2.365,2.365,0.6,0.6799,6020599.94,4368228.91,1.470709
1568811600000,0.6772,0.6845,0.6407,0.6584,818201.12,544179.11,0.662349
1568815200000,0.6558,0.664,0.6254,0.6359,595086.38,380482.17,0.644618
1568818800000,0.6394,0.6533,0.6322,0.6459,306379.29,197186.43,0.642752
1568822400000,0.6453,0.6572,0.6346,0.6425,234303.28,151580.24,0.645908
1568826000000,0.6451,0.6546,0.6382,0.6389,172756.21,111505.75,0.646563
1568829600000,0.6383,0.665,0.636,0.6633,184483.97,119305.71,0.650432
1568833200000,0.6611,0.6697,0.6402,0.6585,237134.0,156444.01,0.654941
1568836800000,0.6585,0.6658,0.642,0.6486,49280.25,32205.13,0.653916
1568840400000,0.649,0.6547,0.6412,0.6412,46177.03,29906.97,0.64821
1568844000000,0.6437,0.651,0.6407,0.6407,29159.8,18794.33,0.645929
1568847600000,0.6406,0.6416,0.6323,0.6383,108217.33,68952.28,0.636911
1568851200000,0.6383,0.6483,0.6201,0.6265,114185.3,72133.24,0.634282
1568854800000,0.623,0.6277,0.591,0.5955,366048.23,222957.66,0.609366
1568858400000,0.5959,0.5998,0.5802,0.5825,270019.02,159327.41,0.590106
1568862000000,0.5802,0.5802,0.5576,0.5655,413687.73,234878.22,0.568433
1568865600000,0.5652,0.59,0.562,0.575,113693.08,64757.41,0.576186
1568869200000,0.5745,0.5871,0.5745,0.5868,109360.19,63212.44,0.580847
1568872800000,0.5884,0.6294,0.5884,0.626,649313.92,397639.28,0.609353
1568876400000,0.626,0.6271,0.5994,0.6009,120471.71,73330.62,0.613198
1568880000000,0.6,0.61,0.59,0.6028,134622.83,80862.97,0.599993
1568883600000,0.6015,0.62,0.6015,0.6142,105387.8,64418.41,0.611137
1568887200000,0.6142,0.6166,0.5913,0.5926,63340.49,38155.18,0.604073
1568890800000,0.5949,0.5983,0.58,0.5839,124611.93,73410.64,0.589125
1568894400000,0.5867,0.597,0.5742,0.5871,103238.0,60021.94,0.5856
1568898000000,0.5835,0.5858,0.572,0.58,121637.7,70056.72,0.578853
1568901600000,0.5797,0.58,0.567,0.5798,140301.44,80410.49,0.5735
1568905200000,0.5797,0.59,0.5761,0.5885,113083.8,65885.63,0.582933
1568908800000,0.5863,0.6,0.584,0.5895,149585.18,88721.2,0.592041
1568912400000,0.5895,0.5996,0.58,0.5849,121776.48,71695.83,0.589836
1568916000000,0.5903,0.6131,0.5842,0.5938,126754.51,75798.01,0.598674
1568919600000,0.594,0.6324,0.594,0.6068,168680.1,103957.29,0.613566
1568923200000,0.6059,0.6165,0.5906,0.5947,63417.06,38275.31,0.603709
1568926800000,0.595,0.6038,0.595,0.6016,27913.41,16765.05,0.59958
1568930400000,0.5972,0.6035,0.5959,0.6035,17578.91,10540.59,0.599565
1568934000000,0.6001,0.6033,0.5973,0.6028,8237.3,4943.47,0.600239
1568937600000,0.6028,0.6037,0.5976,0.598,27563.47,16522.71,0.600696
1568941200000,0.5985,0.6059,0.5939,0.6034,28713.41,17241.37,0.599854
1568944800000,0.6033,0.6189,0.6001,0.6189,56024.27,34346.86,0.609167
1568948400000,0.6189,0.619,0.6081,0.6165,46862.82,28813.93,0.613499
1568952000000,0.612,0.6225,0.6067,0.6168,88438.29,54511.58,0.614605
1568955600000,0.616,0.6213,0.6117,0.6175,47385.58,29291.37,0.616498
1568959200000,0.6175,0.6179,0.6075,0.6075,64666.2,39444.35,0.61276
1568962800000,0.6078,0.6078,0.6002,0.6033,63608.87,38297.04,0.603851
1568966400000,0.6033,0.608,0.5957,0.6075,58477.88,35133.07,0.601743
1568970000000,0.6075,0.6099,0.596,0.5962,26509.01,15898.69,0.603168
1568973600000,0.5962,0.6058,0.596,0.6,52990.53,31842.18,0.601009
1568977200000,0.6,0.6,0.5868,0.5899,97235.4,57614.79,0.593134
1568980800000,0.592,0.5972,0.5891,0.5915,13037.38,7731.07,0.593151
1568984400000,0.5915,0.6659,0.5912,0.6463,973495.2,620170.48,0.63005
1568988000000,0.6463,0.9,0.6321,0.7744,4243275.45,3215009.72,0.769427
1568991600000,0.7707,0.7775,0.7128,0.7289,1095584.1,811365.05,0.744608
1568995200000,0.7289,0.7401,0.6852,0.69,484026.45,344204.62,0.713109
1568998800000,0.6905,0.7079,0.69,0.7057,224989.24,156759.23,0.699137
1569002400000,0.7057,0.7274,0.7039,0.7208,167471.39,120651.46,0.715926
1569006000000,0.7208,0.7208,0.6768,0.6777,250779.45,174164.68,0.698658
1569009600000,0.6777,0.692,0.6649,0.6717,96158.34,64690.24,0.678497
1569013200000,0.6739,0.698,0.6653,0.6856,138454.34,94303.51,0.681713
1569016800000,0.6857,0.7083,0.6813,0.7069,56790.9,39586.04,0.694527
1569020400000,0.7069,0.7147,0.6788,0.68,108675.69,75814.12,0.697289
1569024000000,0.68,0.7109,0.6778,0.685,145087.69,101113.22,0.694418
1569027600000,0.6862,0.6978,0.68,0.6822,63972.88,43870.97,0.68896
1569031200000,0.6819,0.7379,0.6803,0.7199,178283.01,127803.39,0.710101
1569034800000,0.717,0.73,0.7001,0.7168,154336.76,110208.96,0.71505
1569038400000,0.7204,0.7258,0.6912,0.7038,151668.21,106950.72,0.70828
1569042000000,0.7014,0.7085,0.6943,0.7047,30512.62,21459.22,0.701377
1569045600000,0.7086,0.7689,0.7013,0.7593,568914.22,422849.64,0.735288
1569049200000,0.7558,0.7599,0.7347,0.7521,364958.37,272586.21,0.747264
