Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1551693600000,0.1691,0.1691,0.1591,0.1641,423961.56,68626.17,0.163933
1551697200000,0.1636,0.1656,0.1605,0.1617,27153.49,4405.89,0.163064
1551700800000,0.1634,0.1647,0.1613,0.164,33377.13,5456.43,0.162995
1551704400000,0.164,0.169,0.1625,0.1652,167389.29,27643.89,0.16576
1551708000000,0.1652,0.1675,0.1607,0.1667,149022.47,24583.33,0.164077
1551711600000,0.1667,0.1677,0.1634,0.1669,29441.97,4877.54,0.165549
1551715200000,0.1675,0.1935,0.1658,0.1705,290468.24,50178.16,0.179681
1551718800000,0.1715,0.1758,0.1698,0.172,261075.86,45087.96,0.172802
1551722400000,0.1715,0.174,0.17,0.1713,118450.38,20357.32,0.172
1551726000000,0.1713,0.1725,0.1684,0.1704,68323.44,11689.81,0.170445
1551729600000,0.1709,0.1714,0.1677,0.1684,86086.62,14586.69,0.169537
1551733200000,0.1684,0.1699,0.1672,0.1684,37669.62,6337.96,0.16855
1551736800000,0.1681,0.169,0.1674,0.1674,39047.43,6569.48,0.168223
1551740400000,0.1674,0.1698,0.1659,0.1674,81849.47,13668.36,0.16785
1551744000000,0.1675,0.1687,0.1666,0.1687,12492.51,2093.3,0.16761
1551747600000,0.1687,0.1713,0.1683,0.1696,54141.41,9161.26,0.169815
1551751200000,0.1696,0.1777,0.1696,0.1721,223085.91,38769.84,0.173718
1551754800000,0.1719,0.1722,0.1691,0.1705,109067.76,18546.57,0.17062
1551758400000,0.1705,0.1796,0.17,0.1765,337757.52,59354.64,0.174941
1551762000000,0.1763,0.1764,0.1714,0.1733,187984.78,32554.64,0.173811
1551765600000,0.1733,0.174,0.172,0.172,93757.45,16256.26,0.173041
1551769200000,0.172,0.1795,0.1692,0.1741,140376.1,24257.21,0.174364
1551772800000,0.1745,0.1775,0.173,0.1735,253608.74,44290.11,0.175266
1551776400000,0.174,0.1757,0.173,0.1757,24265.63,4226.12,0.174295
1551780000000,0.175,0.1768,0.1731,0.174,57893.08,10096.43,0.174958
1551783600000,0.1731,0.1737,0.1715,0.1732,126829.22,21941.34,0.1726
1551787200000,0.1739,0.1739,0.1708,0.1719,35316.31,6085.8,0.172286
1551790800000,0.1725,0.1757,0.172,0.1745,300563.42,52165.78,0.173878
1551794400000,0.1754,0.1765,0.1742,0.1742,113617.98,19894.53,0.17539
1551798000000,0.174,0.1765,0.1722,0.1755,283765.56,49160.53,0.174337
1551801600000,0.1757,0.1768,0.1712,0.1736,125289.7,21716.88,0.173976
1551805200000,0.174,0.1747,0.172,0.1741,99056.04,17183.75,0.17335
1551808800000,0.1745,0.1768,0.1741,0.1767,205071.45,36056.91,0.17542
1551812400000,0.1755,0.1768,0.1744,0.1765,127485.27,22433.8,0.175582
1551816000000,0.1765,0.183,0.1747,0.1763,123696.51,21874.86,0.17885
1551819600000,0.176,0.176,0.1741,0.175,18990.55,3316.68,0.175017
1551823200000,0.1752,0.1752,0.1735,0.1746,20419.45,3559.63,0.174332
1551826800000,0.1745,0.1763,0.1738,0.176,80412.7,14035.08,0.17503
1551830400000,0.1763,0.1769,0.1727,0.1745,83056.89,14506.52,0.174771
1551834000000,0.1742,0.1745,0.173,0.1739,21125.78,3671.32,0.173747
1551837600000,0.1741,0.1759,0.174,0.1748,19606.38,3431.78,0.174968
1551841200000,0.1749,0.1751,0.1696,0.1716,170782.09,29300.8,0.172261
1551844800000,0.1719,0.1724,0.1706,0.1708,38203.92,6537.56,0.171515
1551848400000,0.1713,0.1716,0.1703,0.1707,33799.7,5775.77,0.170947
1551852000000,0.1708,0.1729,0.1708,0.1716,53287.51,9178.29,0.171874
1551855600000,0.1719,0.1743,0.1711,0.1743,41402.84,7141.35,0.172635
1551859200000,0.174,0.1756,0.1736,0.1753,34043.93,5945.7,0.174594
1551862800000,0.1753,0.1755,0.1738,0.174,37536.24,6545.81,0.17465
1551866400000,0.174,0.1749,0.1728,0.173,46426.44,8074.86,0.173871
1551870000000,0.173,0.1746,0.173,0.1737,26625.98,4621.27,0.173823
1551873600000,0.1737,0.1737,0.1722,0.1722,43451.79,7514.66,0.17295
1551877200000,0.1722,0.1733,0.1711,0.1719,80335.28,13817.12,0.172201
1551880800000,0.1715,0.1734,0.1703,0.1718,56582.49,9681.34,0.17185
1551884400000,0.1717,0.1736,0.1715,0.1732,53103.64,9170.05,0.172565
1551888000000,0.1731,0.1737,0.1713,0.1726,96895.08,16690.49,0.172496
1551891600000,0.1726,0.1744,0.172,0.172,44232.5,7655.64,0.173214
1551895200000,0.1727,0.1737,0.1717,0.1734,38876.96,6710.11,0.172689
1551898800000,0.1734,0.1742,0.1729,0.1735,30148.65,5233.36,0.17355
1551902400000,0.1735,0.1778,0.172,0.1731,136654.76,23772.74,0.174902
1551906000000,0.1731,0.175,0.1729,0.1741,25181.44,4392.01,0.173971
1551909600000,0.1741,0.1749,0.1717,0.1727,232218.97,40222.06,0.173295
1551913200000,0.1725,0.173,0.1715,0.1723,85475.07,14707.85,0.172249
1551916800000,0.1727,0.174,0.171,0.172,111740.36,19257.15,0.172502
1551920400000,0.1715,0.1748,0.1715,0.1727,81206.63,14004.05,0.173186
1551924000000,0.1728,0.1735,0.1714,0.1727,37372.24,6444.1,0.17245
1551927600000,0.1725,0.1731,0.1717,0.1729,50274.82,8661.25,0.172394
1551931200000,0.1723,0.1734,0.1723,0.1725,57363.09,9912.56,0.172854
1551934800000,0.1725,0.1728,0.1531,0.1691,539881.39,87328.77,0.162891
1551938400000,0.1697,0.1749,0.1691,0.1744,80043.84,13777.63,0.17199
1551942000000,0.1746,0.176,0.1736,0.1748,45198.8,7896.49,0.1748
1551945600000,0.1745,0.1751,0.1738,0.1749,61733.29,10772.8,0.174444
1551949200000,0.1744,0.1749,0.1732,0.1738,8972.26,1560.3,0.174048
1551952800000,0.1738,0.1738,0.1723,0.1737,10851.86,1879.02,0.173049
1551956400000,0.1734,0.1747,0.173,0.1736,24081.44,4187.41,0.173851
1551960000000,0.1741,0.1759,0.1733,0.1751,45092.74,7874.31,0.1746
1551963600000,0.1751,0.182,0.1742,0.1803,296166.18,52692.69,0.17815
1551967200000,0.1805,0.183,0.1774,0.1793,145694.02,26265.49,0.180203
1551970800000,0.1789,0.1797,0.178,0.1781,136731.13,24508.37,0.178871
1551974400000,0.1791,0.181,0.1781,0.1793,76397.48,13665.27,0.17955
1551978000000,0.1793,0.18,0.1785,0.1788,18462.67,3311.27,0.179256
1551981600000,0.1797,0.1801,0.1776,0.1792,53553.15,9586.87,0.178844
1551985200000,0.1794,0.183,0.1791,0.1819,118479.4,21417.7,0.181096
1551988800000,0.1828,0.1845,0.1813,0.1845,106259.57,19384.03,0.182843
1551992400000,0.1845,0.1845,0.1799,0.1822,128240.85,23276.9,0.182123
1551996000000,0.1817,0.1828,0.1806,0.1809,68432.04,12446.06,0.181714
1551999600000,0.1809,0.1816,0.1794,0.181,24064.54,4332.76,0.1805
1552003200000,0.181,0.1819,0.1804,0.1807,101607.65,18415.51,0.181153
1552006800000,0.1813,0.1814,0.1804,0.181,27953.76,5059.41,0.180894
1552010400000,0.1813,0.1887,0.1813,0.1874,118747.1,21992.86,0.185133
1552014000000,0.1874,0.1925,0.1854,0.1891,210789.33,39839.19,0.18896
1552017600000,0.1879,0.2,0.1869,0.1979,650885.18,127361.23,0.193544
1552021200000,0.1967,0.209,0.1964,0.1997,1091315.09,220579.86,0.202765
1552024800000,0.1996,0.2054,0.1926,0.197,1606527.78,321446.83,0.199007
1552028400000,0.1965,0.1969,0.1915,0.1942,485636.62,94283.8,0.194145
1552032000000,0.1942,0.2012,0.1923,0.1948,399477.77,78458.29,0.196753
1552035600000,0.1947,0.195,0.16,0.1908,1024463.32,187943.79,0.177453
1552039200000,0.1906,0.1921,0.1894,0.1908,386058.19,73522.52,0.19075
1552042800000,0.1906,0.1931,0.19,0.1924,177884.75,33880.17,0.191555
1552046400000,0.1924,0.1939,0.1905,0.1927,82393.86,15818.79,0.192199
1552050000000,0.1935,0.1946,0.1907,0.193,191156.38,36826.11,0.192648
