Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1574935200000,220.08,224.6,212.02,219.04,1841.38023,402792.06,218.307861
1574942400000,219.04,219.05,216.57,218.29,1242.96133,270811.49,217.789994
1574949600000,218.0,222.3,217.45,221.39,2236.23421,492455.25,219.900044
1574956800000,221.4,221.41,219.27,219.87,1206.57854,265679.98,220.296779
1574964000000,219.67,221.0,219.0,220.96,1025.27569,225659.24,219.963435
1574971200000,220.87,221.0,216.75,218.72,1877.45868,410566.56,218.812116
1574978400000,218.6,220.0,215.96,217.41,2126.91218,462935.12,217.979446
1574985600000,217.4,218.94,216.9,218.37,1136.65569,247981.58,217.922097
1574992800000,218.16,220.73,217.94,220.18,2332.44275,512676.54,219.359884
1575000000000,220.35,220.49,218.67,219.34,1863.97465,409805.0,219.557896
1575007200000,219.45,221.87,218.4,221.52,3503.6861,772299.93,220.100821
1575014400000,221.36,226.0,220.47,224.96,7447.05969,1664096.56,223.243888
1575021600000,225.01,225.87,223.4,224.09,3667.96454,824247.53,224.638054
1575028800000,224.09,226.49,220.38,225.03,13096.20243,2935419.47,223.428304
1575036000000,225.17,226.09,224.0,225.81,5894.35754,1326816.62,225.034318
1575043200000,225.9,226.34,223.5,224.36,4199.41357,942432.0,224.903338
1575050400000,224.36,224.85,223.37,223.65,2042.13082,457959.97,224.11641
1575057600000,223.57,224.29,222.48,222.9,3133.03686,700761.76,223.390321
1575064800000,222.79,224.19,222.75,224.0,1917.62563,428331.33,223.486077
1575072000000,223.89,224.67,223.5,223.81,4524.7457,1013286.96,224.085275
1575079200000,223.66,224.27,222.69,224.27,2260.35835,504700.47,223.461228
1575086400000,224.22,224.22,222.97,223.65,1453.14385,324688.93,223.576356
1575093600000,223.59,223.81,222.58,223.48,3761.52693,839057.25,223.194319
1575100800000,223.39,223.71,220.2,220.84,5256.50304,1163326.84,221.930679
1575108000000,220.75,223.62,219.82,219.97,7973.80605,1766030.18,221.734478
1575115200000,219.97,222.12,219.39,219.6,3687.79818,814505.18,220.759475
1575122400000,219.68,220.07,216.87,217.64,7183.7046,1566148.67,218.448513
1575129600000,217.45,219.12,214.41,215.63,7077.79869,1536489.14,216.773725
1575136800000,215.62,216.8,215.34,215.67,1796.45589,388210.62,216.070125
1575144000000,215.54,217.29,215.41,217.15,1016.86141,220139.9,216.351123
1575151200000,217.23,217.8,216.33,217.45,1629.47742,353734.72,217.063451
1575158400000,217.43,217.45,213.32,214.19,4026.55829,865316.25,215.307718
1575165600000,214.22,215.04,210.0,211.25,6797.94726,1441202.47,212.49956
1575172800000,211.25,213.08,210.72,212.36,3352.09878,710631.92,211.905562
1575180000000,212.44,212.75,210.82,211.41,2058.36107,436333.79,211.774267
1575187200000,211.3,214.18,209.24,212.22,5600.80138,1185291.89,211.709563
1575194400000,212.21,214.36,212.21,212.33,3514.25167,749749.64,213.285791
1575201600000,212.37,217.95,212.37,216.55,6343.52154,1365404.12,215.274227
1575208800000,216.63,218.18,212.07,212.91,5932.38634,1275707.79,215.161258
1575216000000,212.9,214.15,211.66,213.19,3336.62274,710296.96,212.904524
1575223200000,213.36,213.94,212.5,213.49,1770.50938,377627.99,213.219581
1575230400000,213.59,214.39,213.52,214.33,1598.9865,342074.61,213.953896
1575237600000,214.28,216.54,213.79,214.36,2389.53419,513530.62,215.165179
1575244800000,214.37,216.25,213.26,214.74,2288.66127,490955.36,214.755769
1575252000000,214.71,216.24,214.0,214.35,3204.39215,688682.75,215.123835
1575259200000,214.4,214.88,211.91,212.72,2956.16932,630592.53,213.380654
1575266400000,212.69,212.89,209.74,211.37,4670.14616,985945.2,211.28217
1575273600000,211.36,214.0,209.68,212.45,6127.28293,1296137.66,211.838949
1575280800000,212.48,216.17,211.43,212.9,6274.90242,1342044.03,213.802183
1575288000000,212.91,214.85,210.96,213.68,3229.57918,688762.94,212.901142
1575295200000,213.67,215.59,211.95,214.68,4856.67376,1038756.12,213.762052
1575302400000,214.74,215.4,212.12,212.64,4516.42174,964643.85,213.767993
1575309600000,212.6,213.39,211.6,213.05,2240.44185,475807.47,212.489702
1575316800000,213.01,213.99,212.83,213.7,1324.36003,282586.94,213.415337
1575324000000,213.71,214.99,213.57,213.67,1708.29478,366056.09,214.280117
1575331200000,213.72,215.95,213.66,214.62,5275.42286,1132230.89,214.830505
1575338400000,214.54,215.59,214.03,214.39,1919.15494,411896.83,214.810799
1575345600000,214.34,214.86,212.16,212.41,1641.25512,350285.32,213.52977
1575352800000,212.38,214.65,212.23,213.47,2340.57695,499624.64,213.467515
1575360000000,213.31,214.11,212.42,212.72,2146.84953,458417.26,213.272857
1575367200000,212.75,213.14,211.14,211.72,3866.21223,820089.46,212.133254
1575374400000,211.8,212.8,211.42,212.41,1429.66784,303406.26,212.110257
1575381600000,212.44,214.85,211.83,212.2,3231.48765,690524.14,213.341613
1575388800000,212.46,214.0,212.06,213.2,2185.53255,465970.64,213.03755
1575396000000,213.22,214.26,212.55,212.57,1651.51053,352420.54,213.424113
1575403200000,212.57,213.02,211.29,212.75,1631.97068,346156.02,212.15363
1575410400000,212.72,213.12,210.99,211.5,1110.82367,235298.71,212.050086
1575417600000,211.47,211.63,202.5,204.86,17026.44431,3507843.82,206.89912
1575424800000,204.74,206.58,204.55,205.42,4122.53629,847508.96,205.578998
1575432000000,205.4,205.8,203.68,204.4,2509.74172,513854.84,204.730576
1575439200000,204.39,206.17,203.42,203.95,3733.8005,764749.13,204.799026
1575446400000,203.82,206.9,202.7,206.25,7157.55458,1466576.61,204.778538
1575453600000,206.32,208.17,205.73,206.28,4433.32896,916603.63,206.950044
1575460800000,206.3,219.68,205.56,215.13,24818.34105,5305221.78,212.826428
1575468000000,215.13,216.37,213.3,214.44,8528.21912,1833793.8,214.83564
