Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1600156800000,0.75,19.0,0.75,7.11,840412.48,7170718.14,10.061153
1600157700000,7.0438,7.1925,5.2277,5.7225,784570.04,4712337.38,6.188041
1600158600000,5.7044,6.13,5.42,5.7854,423695.33,2472075.33,5.775098
1600159500000,5.7665,6.6256,5.7502,6.5671,393451.05,2436824.71,6.193479
1600160400000,6.5776,6.7846,5.8464,5.979,462828.96,2987649.9,6.319715
1600161300000,5.9765,6.4483,5.8807,6.1139,292909.84,1797718.47,6.166274
1600162200000,6.1053,6.25,5.8726,6.2,181385.28,1102817.26,6.059839
1600163100000,6.1904,6.5675,6.1896,6.2788,188969.93,1204026.52,6.380547
1600164000000,6.2922,6.44,6.1937,6.4104,81008.74,512690.28,6.314745
1600164900000,6.4199,6.7,6.3501,6.6596,157703.82,1026567.39,6.523096
1600165800000,6.6596,8.77,6.6501,8.1207,777190.19,5968528.4,7.753161
1600166700000,8.0486,9.1314,8.0486,8.54,1039403.45,8956449.62,8.606052
1600167600000,8.5677,8.75,7.5703,8.6096,528587.96,4324936.73,8.160015
1600168500000,8.6096,9.0,8.1576,8.8923,360592.23,3119332.8,8.573813
1600169400000,8.8868,10.311,8.8,9.9559,856933.01,8315920.78,9.574691
1600170300000,9.9771,10.1388,9.2285,9.6274,429116.94,4175036.68,9.679107
1600171200000,9.6224,9.85,8.9,9.7901,390727.89,3649807.45,9.372399
1600172100000,9.7901,10.1,9.55,9.8197,374349.28,3686283.06,9.825015
1600173000000,9.8098,9.8098,9.2926,9.4722,161349.18,1546999.72,9.540494
1600173900000,9.47,9.4722,8.6301,9.0278,358169.84,3235997.37,9.036508
1600174800000,9.0279,9.0479,8.2308,8.65,311405.91,2680760.73,8.628074
1600175700000,8.6543,9.65,8.6017,9.0321,365770.75,3363390.75,9.135336
1600176600000,9.0322,9.6,8.9,9.3886,206360.1,1920139.25,9.252744
1600177500000,9.388,9.4713,9.0,9.25,156420.73,1448424.86,9.233824
1600178400000,9.2464,9.2989,8.9005,9.0336,84856.72,772480.37,9.096605
1600179300000,9.0344,9.0717,8.6,8.7736,93288.82,822263.26,8.830211
1600180200000,8.7683,9.2,8.7229,9.0717,95579.24,863558.88,8.966112
1600181100000,9.0992,9.12,8.3,8.3,112120.59,968182.16,8.713239
1600182000000,8.2995,8.57,7.9232,7.9441,119623.8,992438.76,8.256789
1600182900000,7.9542,8.1019,7.6,7.6212,220669.95,1736099.47,7.858771
1600183800000,7.6237,7.7,7.05,7.22,372797.54,2738117.17,7.37
1600184700000,7.2203,7.7851,6.88,7.7025,347901.21,2535226.08,7.322709
1600185600000,7.7019,7.7019,7.1383,7.2301,204476.74,1516223.5,7.410351
1600186500000,7.2516,7.2877,6.5926,6.9599,211310.05,1441555.51,6.932523
1600187400000,6.9506,7.0,6.7276,6.8334,156033.06,1084275.6,6.862432
1600188300000,6.8309,6.9997,6.8,6.9997,76860.86,535431.87,6.89649
1600189200000,6.9997,7.0865,6.432,6.5,293888.36,2006136.82,6.760854
1600190100000,6.4993,6.4993,5.91,5.9878,439405.02,2710313.1,6.195623
1600191000000,5.9878,6.48,5.729,6.3006,244317.1,1490514.75,6.1027
1600191900000,6.3006,6.6463,6.102,6.3448,206518.75,1326638.25,6.374235
1600192800000,6.35,6.4898,6.0,6.4016,144155.21,907024.92,6.244536
1600193700000,6.4129,6.6769,6.2356,6.3611,298754.34,1911850.66,6.456489
1600194600000,6.361,6.3999,6.1659,6.3335,46395.82,291081.69,6.282677
1600195500000,6.379,6.5454,6.2802,6.5319,69199.68,443427.88,6.408935
1600196400000,6.5323,6.55,6.2387,6.3014,53188.04,337854.94,6.390762
1600197300000,6.2915,6.45,6.2568,6.3196,33726.24,213544.86,6.353654
1600198200000,6.3214,6.3597,6.25,6.3479,28525.59,179263.76,6.304409
1600199100000,6.3213,6.348,6.25,6.2671,14328.0,90173.57,6.299397
1600200000000,6.2671,6.2902,5.6,5.8599,125695.09,738351.28,5.933815
1600200900000,5.8641,6.0746,5.8101,5.8987,74605.98,443548.18,5.942612
1600201800000,5.9297,5.9646,5.4414,5.6158,155606.05,872674.96,5.696103
1600202700000,5.6003,5.6145,5.273,5.4366,124457.5,673598.68,5.439197
1600203600000,5.4366,5.6314,5.3739,5.5071,66289.97,366270.49,5.503238
1600204500000,5.5047,5.9928,5.5047,5.9817,153882.11,890186.56,5.750491
1600205400000,5.9811,6.9789,5.7502,6.4643,292825.7,1898904.33,6.370255
1600206300000,6.4926,7.2297,6.4587,7.12,275205.01,1892182.72,6.851719
1600207200000,7.145,7.4,6.6075,6.7,317185.48,2219069.84,7.010703
1600208100000,6.7,6.7917,6.3578,6.3718,133906.09,877810.62,6.581234
1600209000000,6.3712,6.8209,6.2101,6.5851,189222.06,1236036.81,6.516681
1600209900000,6.5703,6.61,6.277,6.368,86476.43,558988.59,6.440893
1600210800000,6.3989,6.45,5.82,5.8757,138054.76,846115.62,6.134521
1600211700000,5.8917,6.2,5.61,5.9493,102846.75,610034.02,5.904963
1600212600000,5.9492,6.4212,5.8391,6.34,130769.55,809774.06,6.128315
1600213500000,6.3399,6.55,6.1305,6.2073,113595.19,722649.81,6.341957
1600214400000,6.2183,6.2497,5.8304,6.1183,88280.46,533893.3,6.0382
1600215300000,6.1158,6.1835,5.6375,5.6735,81555.44,482320.97,5.913611
1600216200000,5.6805,6.0795,5.6429,6.0722,60238.37,351707.57,5.857383
1600217100000,6.0722,6.1,5.7,5.8799,58406.7,343634.95,5.895336
1600218000000,5.8798,6.07,5.832,5.9469,51588.17,308767.24,5.951763
1600218900000,5.9469,5.9972,5.6005,5.6005,54665.07,315082.07,5.804773
1600219800000,5.6005,5.9,5.5555,5.602,62389.18,356481.86,5.727751
1600220700000,5.6019,5.67,5.2285,5.2448,135977.94,741075.2,5.454314
1600221600000,5.2447,5.2447,4.55,4.8901,308807.13,1520637.93,4.885502
1600222500000,4.8894,5.2772,4.72,4.81,152030.58,753305.75,4.99936
1600223400000,4.81,4.85,4.6162,4.7734,96782.16,457198.08,4.732739
1600224300000,4.7585,5.0535,4.6502,4.7,122574.14,591052.63,4.852498
1600225200000,4.714,4.8107,4.25,4.4382,173668.86,772382.26,4.527405
1600226100000,4.4395,4.5202,4.1938,4.2357,114829.39,502892.2,4.359095
1600227000000,4.2357,4.46,4.05,4.2161,160078.38,675980.37,4.255017
1600227900000,4.2184,4.5465,4.15,4.4845,114492.27,498099.35,4.347844
1600228800000,4.4513,4.7,4.2555,4.6075,140328.15,625782.87,4.476105
1600229700000,4.6133,4.899,4.5287,4.7729,149401.47,708270.08,4.714861
1600230600000,4.7871,4.7871,4.49,4.5338,85221.02,392834.19,4.633687
1600231500000,4.5342,4.5555,4.2697,4.3322,104737.79,457112.41,4.40966
1600232400000,4.3326,4.3474,4.16,4.309,65400.0,278842.24,4.253433
1600233300000,4.3221,4.5199,4.3103,4.4925,70098.91,310632.6,4.416644
1600234200000,4.4808,4.55,4.2,4.2,58790.51,256826.09,4.381635
1600235100000,4.2329,4.43,4.2001,4.4011,56349.96,244837.65,4.314749
1600236000000,4.4071,4.5478,4.4045,4.4839,55487.88,249572.07,4.478521
1600236900000,4.4682,4.7952,4.4682,4.5604,85103.28,398754.81,4.634081
1600237800000,4.5604,4.972,4.554,4.8169,94836.13,457108.99,4.770726
1600238700000,4.8185,5.75,4.8,5.518,256273.23,1359702.38,5.291738
1600239600000,5.5714,5.6484,5.1223,5.2656,243125.87,1305374.34,5.382292
1600240500000,5.266,5.4,4.96,5.3992,145258.26,746839.4,5.176422
1600241400000,5.3992,5.7349,5.2579,5.65,171991.71,949916.5,5.494306
1600242300000,5.6385,5.8773,5.5,5.6022,202398.64,1155778.72,5.688808
1600243200000,5.5884,5.6988,5.2739,5.3497,130983.36,710771.02,5.487832
1600244100000,5.3599,5.69,5.18,5.2,107148.13,584622.72,5.438906
1600245000000,5.202,5.2994,5.11,5.1105,62717.28,326410.62,5.207702
1600245900000,5.1106,5.4,5.0265,5.1654,83276.27,434047.94,5.213657
1600246800000,5.1945,5.2254,5.046,5.1771,64393.82,329207.14,5.135582
1600247700000,5.1966,5.1973,4.85,4.8834,87851.73,437187.71,5.019477
1600248600000,4.883,4.9274,4.6929,4.8011,88128.97,422981.7,4.809147
1600249500000,4.7776,4.7776,4.5802,4.7024,105662.1,491326.5,4.6766
1600250400000,4.7047,4.9627,4.6843,4.8126,151601.27,732691.14,4.82603
1600251300000,4.82,4.8248,4.4804,4.5068,82536.92,381019.2,4.649785
1600252200000,4.4887,4.65,4.424,4.61,68706.93,311977.14,4.536042
1600253100000,4.6296,4.7777,4.5103,4.534,59054.85,275050.6,4.646053
1600254000000,4.5338,4.6713,4.464,4.58,54833.08,249173.5,4.567785
1600254900000,4.5923,4.771,4.5494,4.6734,71847.56,334520.05,4.661148
1600255800000,4.7012,4.72,4.562,4.5997,49389.53,228244.22,4.639913
1600256700000,4.5887,4.87,4.5809,4.8008,77280.94,366865.05,4.730223
1600257600000,4.8013,4.885,4.69,4.7155,43042.0,205810.95,4.78898
1600258500000,4.709,4.709,4.542,4.6434,40707.38,187697.39,4.623466
1600259400000,4.6409,4.6842,4.3159,4.406,87810.72,392121.33,4.497401
1600260300000,4.4053,4.4906,4.3534,4.4123,45696.09,202201.12,4.422009
1600261200000,4.4122,4.65,4.4077,4.4866,38370.39,173456.72,4.530768
1600262100000,4.4866,4.5783,4.375,4.4054,48504.63,216753.28,4.477923
1600263000000,4.4279,4.49,4.3889,4.4616,16497.78,73013.46,4.439299
1600263900000,4.4622,4.52,4.38,4.3873,27745.17,122833.78,4.451946
1600264800000,4.3968,4.519,4.3967,4.48,31475.11,140613.1,4.460395
1600265700000,4.4954,4.7599,4.4646,4.5677,69791.07,320921.58,4.613478
1600266600000,4.5673,4.6563,4.461,4.5991,31236.87,142471.14,4.558486
1600267500000,4.577,4.68,4.5306,4.68,21990.54,101030.9,4.602171
1600268400000,4.658,4.8726,4.6116,4.8485,53612.15,254694.33,4.740387
1600269300000,4.8387,5.42,4.82,4.9989,258263.36,1322245.45,5.123651
1600270200000,4.9825,5.0,4.8359,4.8359,74845.95,367601.97,4.920131
1600271100000,4.8372,4.88,4.725,4.7614,64648.72,309585.01,4.802703
1600272000000,4.7657,4.8,4.5899,4.6525,70963.15,333488.5,4.693843
1600272900000,4.6514,4.8764,4.4601,4.8626,76509.13,356098.43,4.662147
1600273800000,4.8693,4.875,4.5659,4.6094,72907.93,339231.32,4.716392
1600274700000,4.6095,4.621,4.461,4.54,82169.26,371111.01,4.539329
1600275600000,4.5399,4.6432,4.4702,4.5758,29109.23,132057.74,4.556687
1600276500000,4.5727,4.6148,4.25,4.3112,88612.24,387478.22,4.430992
1600277400000,4.3105,4.4005,4.25,4.2685,37070.42,160155.28,4.32596
1600278300000,4.2685,4.45,4.25,4.3521,35919.08,156191.65,4.351813
1600279200000,4.3506,4.4296,4.2658,4.3837,40603.35,176037.44,4.347499
1600280100000,4.383,4.44,4.3665,4.4238,23751.03,104815.86,4.403237
1600281000000,4.4199,4.435,4.3026,4.3406,16574.57,72137.51,4.367672
1600281900000,4.3388,4.4072,4.3197,4.34,16956.32,73828.59,4.363451
1600282800000,4.326,4.5863,4.3255,4.5001,37871.89,169582.23,4.461272
1600283700000,4.5001,4.6708,4.4,4.6654,60519.83,272706.81,4.530536
1600284600000,4.6506,4.7721,4.4561,4.4863,96032.41,440694.86,4.617409
1600285500000,4.4706,4.57,4.4497,4.53,39733.4,179739.29,4.51047
1600286400000,4.5365,4.5423,4.4437,4.51,31895.74,143372.87,4.492444
1600287300000,4.4899,4.6202,4.47,4.6,42153.52,191907.85,4.545123
1600288200000,4.5817,4.77,4.5232,4.5632,66869.02,311307.21,4.646704
1600289100000,4.5407,4.7379,4.526,4.72,45138.22,208363.68,4.632299
1600290000000,4.7195,4.9363,4.63,4.68,100549.63,478133.77,4.783498
1600290900000,4.6692,4.8863,4.6193,4.753,59819.95,283062.91,4.753853
1600291800000,4.7544,4.95,4.7089,4.933,63231.16,305944.87,4.827184
1600292700000,4.933,5.2344,4.873,4.9244,186035.18,941363.08,5.053718
1600293600000,4.9225,4.9498,4.78,4.881,64889.78,315464.32,4.864341
1600294500000,4.8801,4.9493,4.615,4.7139,79333.78,378673.33,4.781172
1600295400000,4.7138,4.7674,4.63,4.662,35008.63,163884.34,4.699098
1600296300000,4.6662,4.6668,4.51,4.56,41812.86,191025.45,4.5852
1600297200000,4.5679,4.6454,4.44,4.5,34290.86,155344.67,4.542946
1600298100000,4.5014,4.6824,4.4211,4.6088,40538.24,183963.61,4.551602
1600299000000,4.6122,4.7299,4.5559,4.621,31971.31,148447.23,4.642917
1600299900000,4.6207,4.73,4.5697,4.5697,25709.96,120227.35,4.651269
1600300800000,4.5698,4.72,4.5698,4.638,39312.59,182871.14,4.647128
1600301700000,4.6583,4.8663,4.6426,4.7704,38433.04,182510.8,4.757136
1600302600000,4.7695,4.9198,4.7687,4.7721,37190.48,180718.39,4.844255
1600303500000,4.7687,4.8364,4.5596,4.5819,47339.84,222971.75,4.700917
1600304400000,4.5714,4.746,4.55,4.56,54781.08,253530.84,4.64807
1600305300000,4.58,4.6545,4.56,4.6096,13652.99,62966.54,4.607563
1600306200000,4.6092,4.6098,4.4809,4.527,33297.19,151284.94,4.542775
1600307100000,4.5416,4.5416,4.4811,4.5007,11886.29,53569.66,4.510086
1600308000000,4.5007,4.63,4.483,4.5955,27723.44,126578.71,4.557475
1600308900000,4.5926,4.6159,4.4474,4.4474,21377.85,96297.49,4.534306
1600309800000,4.4617,4.506,4.3602,4.378,23696.59,104837.09,4.43429
1600310700000,4.4,4.4,4.3101,4.3116,29792.47,129322.19,4.354811
1600311600000,4.3231,4.3236,4.2406,4.2506,60605.2,258412.59,4.28098
1600312500000,4.2601,4.2601,4.01,4.0988,103424.27,424610.21,4.129897
1600313400000,4.0971,4.1133,3.83,3.954,149133.83,589264.07,3.967978
1600314300000,3.9585,4.0477,3.75,3.76,136553.28,529498.82,3.903802
1600315200000,3.7612,3.9564,3.6918,3.809,87758.14,334579.26,3.824421
1600316100000,3.783,3.783,3.58,3.6569,81530.31,296795.4,3.677395
1600317000000,3.6569,3.7085,3.5501,3.5715,61861.87,223551.61,3.630483
1600317900000,3.5715,3.7704,3.5715,3.67,50700.84,186694.88,3.674229
1600318800000,3.6866,3.7754,3.66,3.7407,33372.21,124047.79,3.717935
1600319700000,3.74,3.75,3.58,3.5912,49812.51,181056.59,3.664858
1600320600000,3.5909,3.6516,3.555,3.645,28916.58,104154.88,3.602054
1600321500000,3.641,3.77,3.5956,3.71,49292.06,181550.65,3.683097
1600322400000,3.6989,3.8113,3.6503,3.7779,52434.0,196356.44,3.730313
1600323300000,3.7529,3.8667,3.61,3.6166,77738.99,290833.35,3.742414
1600324200000,3.6175,3.6175,3.4555,3.4946,132435.66,466096.41,3.533214
1600325100000,3.4948,3.5316,3.4502,3.4585,58330.62,203549.64,3.491646
1600326000000,3.4697,3.5569,3.4585,3.5569,50730.5,177288.2,3.506332
1600326900000,3.5569,3.644,3.47,3.4785,45574.02,160870.74,3.559101
1600327800000,3.4833,3.4947,3.3501,3.3721,88848.77,304201.16,3.42148
