Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1600128000000,0.75,19.0,0.75,6.2073,16571857.38,125385307.97,10.021258
1600214400000,6.2183,6.2497,4.05,4.5697,7895368.8,38497686.16,5.109964
1600300800000,4.5698,4.9198,3.0103,3.0305,4440524.87,15864211.42,3.997036
1600387200000,3.0153,3.8804,2.8411,3.0152,3325817.27,10663717.59,3.36075
1600473600000,3.0171,5.6243,2.97,4.6153,10116217.94,46551211.39,4.345086
1600560000000,4.6173,5.0704,3.46,3.6979,3765632.21,15462823.28,4.274746
1600646400000,3.6979,3.8898,2.95,3.0028,2625063.47,8559025.76,3.430919
1600732800000,3.0268,3.2083,2.4568,2.631,1874115.48,5142887.77,2.832822
1600819200000,2.6317,2.8693,2.302,2.415,2264529.36,5798338.25,2.588009
1600905600000,2.4148,2.6725,2.305,2.5835,1850478.32,4594930.48,2.488172
1600992000000,2.578,2.6902,2.35,2.4712,1505629.1,3798562.67,2.519986
1601078400000,2.4717,2.51,2.3,2.3285,1009328.61,2417204.83,2.405645
1601164800000,2.3279,2.35,1.9157,2.0313,1976950.12,4142418.3,2.126679
1601251200000,2.0311,2.0982,1.5711,1.6039,2070001.08,3784078.82,1.83802
1601337600000,1.5957,1.671,1.3,1.375,2727615.47,4064691.99,1.485515
1601424000000,1.3786,1.58,1.2784,1.4274,2722507.06,3785095.47,1.429373
1601510400000,1.4284,1.5313,1.26,1.3103,3421941.1,4720132.42,1.396958
1601596800000,1.3132,1.5,1.1985,1.488,3402849.39,4539974.89,1.344539
1601683200000,1.4922,1.6642,1.3241,1.39,7332708.95,11087027.2,1.495375
1601769600000,1.3949,1.436,1.205,1.2393,2299243.66,2964582.67,1.320935
1601856000000,1.2449,1.2572,1.0503,1.0841,2121342.43,2369284.88,1.151838
1601942400000,1.0896,1.2879,1.0396,1.0716,3233024.78,3743423.34,1.163859
1602028800000,1.0718,1.0841,1.0087,1.0564,1022876.03,1064052.45,1.046213
1602115200000,1.0563,1.1549,1.0061,1.13,1512068.15,1633834.55,1.079673
1602201600000,1.13,1.25,1.0878,1.176,1786054.97,2101662.94,1.169226
1602288000000,1.176,1.2339,1.0342,1.0374,1584324.11,1784352.92,1.137795
1602374400000,1.0369,1.0895,1.0166,1.072,938351.8,992248.5,1.052964
