Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1600156800000,0.75,19.0,0.75,6.2788,3568222.91,23884167.71,10.024367
1600164000000,6.2922,10.311,6.1937,9.6274,4230536.34,36399462.68,8.309758
1600171200000,9.6224,10.1,8.2308,9.25,2324553.68,21531803.2,9.162686
1600178400000,9.2464,9.2989,6.88,7.7025,1446837.87,11428366.14,8.045793
1600185600000,7.7019,7.7019,5.729,6.3448,1832809.94,12111089.39,6.674142
1600192800000,6.35,6.6769,6.0,6.2671,688272.92,4374222.28,6.338563
1600200000000,6.2671,7.2297,5.273,7.12,1268567.41,7775717.2,6.229298
1600207200000,7.145,7.4,5.61,6.2073,1212056.31,7880479.37,6.492393
1600214400000,6.2183,6.2497,5.2285,5.2448,593101.33,3432963.16,5.74132
1600221600000,5.2447,5.2772,4.05,4.4845,1243262.91,5771548.57,4.642272
1600228800000,4.4513,4.899,4.16,4.4011,730327.81,3275138.14,4.529619
1600236000000,4.4071,5.8773,4.4045,5.6022,1254475.0,6623047.21,5.167748
1600243200000,5.5884,5.6988,4.5802,4.7024,730161.66,3736555.36,5.138403
1600250400000,4.7047,4.9627,4.424,4.8008,615251.08,2879540.91,4.692874
1600257600000,4.8013,4.885,4.3159,4.3873,348374.16,1573888.03,4.601388
1600264800000,4.3968,5.42,4.3967,4.7614,605863.77,2959163.49,4.919142
1600272000000,4.7657,4.8764,4.25,4.3521,493260.44,2235812.15,4.563726
1600279200000,4.3506,4.7721,4.2658,4.53,332042.8,1489542.58,4.521499
1600286400000,4.5365,5.2344,4.4437,4.9244,595692.42,2863456.26,4.846002
1600293600000,4.9225,4.9498,4.4211,4.5697,353555.42,1657030.3,4.677853
1600300800000,4.5698,4.9198,4.4809,4.5007,275893.5,1290424.06,4.701379
1600308000000,4.5007,4.63,3.75,3.76,552306.93,2258821.17,4.202839
1600315200000,3.7612,3.9564,3.5501,3.71,443244.52,1632431.06,3.75332
1600322400000,3.6989,3.8667,3.3501,3.3934,549212.38,1944952.26,3.614364
1600329600000,3.3919,3.4791,3.25,3.3467,458083.96,1526964.11,3.364503
1600336800000,3.3587,3.5548,3.15,3.3942,567736.95,1898384.46,3.352354
1600344000000,3.3806,3.4771,3.161,3.2693,223240.22,740574.84,3.318861
1600351200000,3.2692,3.4693,3.2102,3.2222,227222.19,758320.89,3.34053
1600358400000,3.2234,3.4628,3.1616,3.2695,394704.49,1300012.9,3.312587
1600365600000,3.2695,3.6835,3.2563,3.5302,319530.15,1114336.39,3.477091
1600372800000,3.5302,3.5445,3.2631,3.304,156526.75,534264.44,3.401238
1600380000000,3.3217,3.3217,3.0103,3.0305,272822.83,864724.84,3.163174
1600387200000,3.0153,3.1818,2.91,2.9582,313832.45,952472.09,3.04656
1600394400000,2.9501,3.0699,2.89,2.9266,272742.47,805163.48,2.980128
1600401600000,2.925,3.0,2.8411,3.0,248705.96,722231.5,2.918076
1600408800000,3.0004,3.6999,3.0004,3.5802,667104.18,2218425.33,3.362562
1600416000000,3.5886,3.8804,3.3696,3.4421,418421.26,1513871.54,3.627302
1600423200000,3.4491,3.5459,3.2428,3.2499,216982.45,735683.83,3.399779
1600430400000,3.2499,3.3264,3.15,3.198,252255.49,814359.99,3.238515
1600437600000,3.1965,3.4381,3.154,3.1818,255704.77,837479.63,3.296122
1600444800000,3.1787,3.29,3.0114,3.1243,179588.66,564485.27,3.150692
1600452000000,3.1219,3.2348,2.85,3.1047,274190.44,822024.48,3.042365
1600459200000,3.1208,3.1208,2.92,2.9929,129176.29,388236.25,3.016286
1600466400000,2.9932,3.061,2.9051,3.0152,97112.85,289284.18,2.982944
1600473600000,3.0171,3.2795,2.97,3.2566,196129.81,617272.68,3.12262
1600480800000,3.2463,4.25,3.1538,3.9519,1040783.58,3937694.64,3.713778
1600488000000,3.9422,4.108,3.4637,3.6465,519287.19,1930466.19,3.785378
1600495200000,3.6594,4.1,3.421,3.9947,449779.63,1683541.54,3.75618
1600502400000,3.9841,4.88,3.9841,4.3863,1621273.22,7334558.57,4.445148
1600509600000,4.3922,5.484,4.2444,5.1304,1892631.15,9636715.41,4.874211
1600516800000,5.1234,5.6243,4.66,4.7805,1088207.21,5674817.79,5.148359
1600524000000,4.7806,5.1406,4.6699,4.7205,644736.76,3151455.33,4.905883
1600531200000,4.7293,4.7293,4.321,4.4416,544371.5,2452788.54,4.516605
1600538400000,4.4421,4.4597,4.1103,4.3669,369820.55,1572883.26,4.2836
1600545600000,4.3886,5.35,4.3324,5.1,1254924.24,6240244.08,4.854688
1600552800000,5.1188,5.1198,4.4521,4.6153,494273.1,2318773.35,4.77251
1600560000000,4.6173,5.0704,4.325,4.4696,662435.6,3100000.95,4.699229
1600567200000,4.4831,4.5702,4.1874,4.27,397493.24,1731939.22,4.378989
1600574400000,4.2694,4.4243,3.9604,4.07,311802.43,1296629.98,4.193447
1600581600000,4.0606,4.47,3.99,4.27,383746.36,1645590.62,4.233232
1600588800000,4.2692,4.31,4.0204,4.2215,295692.52,1229381.39,4.164653
1600596000000,4.2298,4.28,4.0501,4.1176,194164.6,807894.73,4.164502
1600603200000,4.1012,4.1169,3.734,3.8682,382185.92,1490065.35,3.919406
1600610400000,3.8682,3.8913,3.5561,3.7307,293592.32,1083160.44,3.720374
1600617600000,3.7259,3.8292,3.46,3.6694,375868.86,1360093.45,3.644288
1600624800000,3.6803,3.7999,3.596,3.686,134163.75,498204.58,3.697953
1600632000000,3.6937,3.7215,3.5214,3.6703,122753.04,445929.69,3.621242
1600639200000,3.67,3.8,3.466,3.6979,211733.57,773932.89,3.632911
1600646400000,3.6979,3.8898,3.5404,3.63,249317.04,930491.99,3.715588
1600653600000,3.63,3.6841,3.4866,3.6205,156329.3,560404.71,3.585327
1600660800000,3.6205,3.633,3.3001,3.4317,313938.28,1078661.65,3.461343
1600668000000,3.439,3.53,3.31,3.3215,253396.0,862676.02,3.423052
1600675200000,3.3209,3.327,3.01,3.0369,346130.87,1084047.15,3.165889
1600682400000,3.0365,3.1647,2.9501,3.041,328786.67,996153.29,3.057402
1600689600000,3.0483,3.2311,2.95,3.1494,242147.41,748069.51,3.090273
1600696800000,3.1431,3.2908,2.95,3.2231,328753.78,1017343.27,3.119524
1600704000000,3.2192,3.2701,3.08,3.08,151974.39,484542.56,3.17899
1600711200000,3.1019,3.2847,3.0195,3.2364,98031.2,307977.89,3.150928
1600718400000,3.2405,3.2676,3.0168,3.0927,92106.37,290194.67,3.13988
1600725600000,3.0899,3.1944,3.0028,3.0028,64152.16,198463.05,3.101446
1600732800000,3.0268,3.2083,2.95,2.9955,127413.34,388562.9,3.079401
1600740000000,2.9956,3.0299,2.95,2.9926,73302.31,218614.64,2.989949
1600747200000,2.9827,3.1422,2.9615,3.0048,83047.55,250434.6,3.052068
1600754400000,3.0053,3.0396,2.7,2.7064,331018.67,943741.36,2.873151
1600761600000,2.7049,2.8998,2.7013,2.7743,219710.34,608070.17,2.802471
1600768800000,2.768,2.784,2.5119,2.5405,219238.92,574153.4,2.646616
1600776000000,2.5405,2.6607,2.4568,2.555,207702.4,532482.05,2.558764
1600783200000,2.545,2.7499,2.5086,2.5895,215432.38,570843.09,2.629782
1600790400000,2.5872,2.78,2.5535,2.7601,175713.01,466350.09,2.665573
1600797600000,2.7604,2.7604,2.6347,2.6478,75188.04,202007.05,2.695906
1600804800000,2.6494,2.746,2.6359,2.6955,71318.89,191567.1,2.691798
1600812000000,2.6848,2.6918,2.5396,2.631,75029.63,196061.33,2.614339
1600819200000,2.6317,2.65,2.46,2.4828,92896.08,235300.12,2.554592
1600826400000,2.4827,2.6145,2.4825,2.5344,120019.44,305828.65,2.550093
1600833600000,2.5361,2.54,2.45,2.4623,111463.14,276520.25,2.494151
1600840800000,2.4609,2.4719,2.302,2.3573,198558.56,475287.63,2.38468
1600848000000,2.3503,2.4439,2.3137,2.3952,133800.39,316097.36,2.378985
1600855200000,2.3952,2.8693,2.3472,2.8305,612524.89,1616480.01,2.607282
1600862400000,2.8333,2.8333,2.6176,2.665,361144.4,975431.09,2.721195
1600869600000,2.6652,2.6652,2.5033,2.5191,169734.85,438867.41,2.582231
1600876800000,2.5151,2.6736,2.47,2.611,178530.69,461504.0,2.572314
1600884000000,2.6053,2.6191,2.388,2.39,136069.38,338356.52,2.505185
1600891200000,2.3941,2.4924,2.335,2.4069,111104.52,265625.18,2.413722
1600898400000,2.399,2.4584,2.3642,2.415,38683.02,93040.03,2.411331
1600905600000,2.4148,2.57,2.305,2.4951,136843.7,331453.21,2.43709
1600912800000,2.4931,2.4945,2.34,2.3705,106263.57,255324.95,2.414532
1600920000000,2.3706,2.53,2.3586,2.5176,106211.56,258669.39,2.444345
1600927200000,2.5168,2.5399,2.402,2.5293,123982.36,306614.57,2.470843
1600934400000,2.5293,2.574,2.3879,2.4831,188256.9,467186.71,2.480555
1600941600000,2.4831,2.57,2.42,2.495,217251.63,541628.01,2.495009
1600948800000,2.495,2.508,2.38,2.401,116410.89,283100.52,2.443377
1600956000000,2.3902,2.4429,2.3789,2.4252,153043.15,369515.64,2.411159
1600963200000,2.4253,2.6725,2.3802,2.5866,403278.53,1016626.43,2.528031
1600970400000,2.5841,2.65,2.4734,2.55,137900.04,350295.02,2.56165
1600977600000,2.5594,2.6055,2.4927,2.5316,56975.08,145250.27,2.549156
1600984800000,2.5389,2.6694,2.5,2.5835,104060.91,269265.76,2.585114
1600992000000,2.578,2.6599,2.4507,2.4638,141083.71,357684.68,2.558069
1600999200000,2.4638,2.5887,2.4507,2.4508,102735.14,256474.65,2.519839
1601006400000,2.4508,2.4854,2.4215,2.4405,65969.77,161541.11,2.453501
1601013600000,2.4407,2.4441,2.3801,2.4291,79005.5,190982.66,2.411911
1601020800000,2.422,2.6902,2.35,2.5245,459406.88,1171098.51,2.521188
1601028000000,2.5245,2.5901,2.4358,2.5355,142927.02,358912.73,2.512928
1601035200000,2.5253,2.5668,2.467,2.475,70321.2,176668.26,2.518036
1601042400000,2.4751,2.55,2.45,2.5192,93223.44,232879.51,2.500146
1601049600000,2.5193,2.63,2.501,2.5635,155560.97,397279.64,2.566229
1601056800000,2.57,2.5749,2.5109,2.5484,50072.3,127372.36,2.542422
1601064000000,2.5379,2.58,2.512,2.58,54698.95,138540.26,2.544628
1601071200000,2.5816,2.612,2.461,2.4712,90624.22,229128.31,2.538058
1601078400000,2.4717,2.4885,2.4,2.4444,98137.32,239033.52,2.443914
1601085600000,2.433,2.4851,2.4238,2.45,53461.01,130587.17,2.454704
1601092800000,2.4494,2.4578,2.3965,2.4119,74674.02,180811.2,2.426789
1601100000000,2.4199,2.51,2.4115,2.4854,85923.47,212784.05,2.461757
1601107200000,2.4854,2.4884,2.4305,2.4377,38473.29,94374.14,2.459021
1601114400000,2.4389,2.4895,2.4376,2.4816,64467.86,159008.19,2.464222
1601121600000,2.4667,2.4784,2.3323,2.3671,162881.71,388881.21,2.403832
1601128800000,2.367,2.4168,2.315,2.3694,126640.98,298857.5,2.3659
1601136000000,2.365,2.37,2.3,2.331,153499.93,356395.45,2.334185
1601143200000,2.3313,2.3458,2.3171,2.327,34713.33,80821.26,2.331463
1601150400000,2.326,2.4126,2.325,2.3491,84798.82,201380.63,2.369353
1601157600000,2.3498,2.3796,2.325,2.3285,31656.87,74270.52,2.35282
1601164800000,2.3279,2.35,2.2,2.2255,236585.44,533566.11,2.274776
1601172000000,2.2266,2.24,2.126,2.2,209339.15,457163.36,2.182582
1601179200000,2.1995,2.2644,2.1602,2.2307,149265.17,330610.36,2.212236
1601186400000,2.2316,2.2658,2.065,2.1042,178164.52,380769.81,2.16512
1601193600000,2.1028,2.1888,2.0008,2.0193,271062.97,560629.11,2.096551
1601200800000,2.0175,2.0623,2.0128,2.028,131356.66,267796.33,2.037718
1601208000000,2.017,2.0986,2.0,2.0676,149913.77,306538.93,2.049793
1601215200000,2.0678,2.08,1.9157,1.9813,306347.39,608469.66,1.995862
1601222400000,1.9812,2.06,1.9679,2.0508,168525.43,340224.18,2.013609
1601229600000,2.0565,2.06,2.02,2.0269,55269.67,112884.64,2.03973
1601236800000,2.0203,2.0387,2.0,2.0251,48176.51,97058.46,2.019337
1601244000000,2.0344,2.0461,1.9734,2.0313,72943.44,146707.38,2.009739
1601251200000,2.0311,2.0982,1.9461,2.0031,203541.47,409256.04,2.022193
1601258400000,2.0031,2.0201,1.9401,1.9454,97206.16,192013.16,1.980975
1601265600000,1.9519,2.0432,1.9454,1.9907,110511.32,220929.63,1.995242
1601272800000,1.9797,2.0174,1.771,1.775,321737.37,601802.28,1.897714
1601280000000,1.7756,1.8661,1.74,1.7872,270825.89,488544.21,1.803096
1601287200000,1.7967,1.8788,1.7753,1.8229,159252.3,290731.62,1.827331
1601294400000,1.8229,1.85,1.7851,1.8005,153470.18,279036.59,1.81773
1601301600000,1.8071,1.825,1.7667,1.8084,146145.96,261363.98,1.795849
1601308800000,1.8042,1.82,1.772,1.7798,78125.54,140080.24,1.796276
1601316000000,1.776,1.8174,1.7626,1.7849,75985.97,135338.15,1.790063
1601323200000,1.7849,1.785,1.6613,1.7071,273677.78,470342.47,1.720642
1601330400000,1.7072,1.7261,1.5711,1.6039,179521.14,294640.45,1.647732
1601337600000,1.5957,1.643,1.5746,1.5858,114254.14,183593.21,1.608895
1601344800000,1.5858,1.6027,1.4944,1.4944,224852.76,344321.93,1.550381
1601352000000,1.4946,1.5375,1.4945,1.5012,127776.0,193790.09,1.516107
1601359200000,1.5013,1.544,1.4944,1.5067,111291.95,169279.6,1.519245
1601366400000,1.5023,1.5097,1.44,1.45,217988.22,321654.38,1.474637
1601373600000,1.4507,1.4971,1.4422,1.4516,115293.85,168832.06,1.469651
1601380800000,1.4525,1.671,1.4419,1.598,721131.49,1137928.63,1.559949
1601388000000,1.5987,1.624,1.4722,1.4819,195197.06,303329.57,1.549455
1601395200000,1.4814,1.491,1.3539,1.375,366291.81,514490.43,1.421431
