Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1509933600000,1.5,1.799,0.5,1.7,649.12,725.12,1.146814
1509940800000,1.3,1.65,1.3,1.5458,14775.92,22973.87,1.482327
1509948000000,1.5458,1.681,1.5387,1.625,37706.63,60785.87,1.611902
1509955200000,1.6011,1.6379,1.58,1.6366,12532.03,20077.03,1.607923
1509962400000,1.601,1.676,1.6,1.6288,9210.39,15058.19,1.638799
1509969600000,1.6288,1.6288,1.5803,1.6,6323.53,10118.35,1.603598
1509976800000,1.5805,1.6148,1.5645,1.6148,15863.0,25233.85,1.588598
1509984000000,1.6148,1.631,1.57,1.5829,7604.5,12097.64,1.600621
1509991200000,1.5868,1.6028,1.5645,1.5868,4165.31,6562.12,1.58365
1509998400000,1.5948,1.598,1.556,1.571,4336.76,6856.18,1.576485
1510005600000,1.5789,1.5868,1.55,1.571,7448.15,11640.11,1.568324
1510012800000,1.571,1.5948,1.5389,1.5389,7399.27,11492.21,1.567919
1510020000000,1.5389,1.6188,1.5389,1.6188,957.99,1528.09,1.57885
1510027200000,1.6184,1.6188,1.5548,1.602,11182.7,17791.47,1.586409
1510034400000,1.59,1.59,1.5705,1.5705,3060.47,4825.6,1.58025
1510041600000,1.59,1.595,1.5548,1.5864,1236.9,1954.54,1.574873
1510048800000,1.5864,1.6184,1.565,1.5864,3343.92,5349.17,1.5917
1510056000000,1.6183,1.6266,1.5801,1.5942,8238.75,13287.17,1.603141
1510063200000,1.6023,1.7885,1.6023,1.7353,52264.55,88142.48,1.699289
1510070400000,1.7191,1.799,1.6593,1.7704,31333.78,53914.03,1.728606
1510077600000,1.7616,1.799,1.7288,1.799,4035.57,7075.29,1.762647
1510084800000,1.79,1.7989,1.7196,1.72,1744.02,3065.53,1.760278
1510092000000,1.7196,1.8,1.7196,1.8,9331.81,16346.13,1.7598
1510099200000,1.7901,1.946,1.7479,1.8013,32443.31,60099.63,1.846991
1510106400000,1.8025,1.8999,1.77,1.81,15030.24,27125.52,1.834974
1510113600000,1.8891,1.99,1.838,1.87,33230.45,63256.41,1.914137
1510120800000,1.8789,1.988,1.8235,1.8631,7746.17,14714.02,1.90583
1510128000000,1.9448,1.9448,1.8757,1.935,6728.96,12779.83,1.9101
1510135200000,1.935,1.935,1.8736,1.8736,8276.53,15625.43,1.9043
1510142400000,1.87,1.8998,1.821,1.8369,16603.61,30820.45,1.860721
1510149600000,1.8369,1.93,1.8368,1.93,18374.1,34850.88,1.883383
1510156800000,1.9249,1.95,1.849,1.93,10447.35,20105.51,1.899482
1510164000000,1.94,1.99,1.78,1.95,88120.44,168011.0,1.884966
1510171200000,1.91,1.99,1.9,1.9,35473.34,69325.7,1.945124
1510178400000,1.9,1.9899,1.875,1.9889,74815.76,144474.41,1.930338
1510185600000,1.9781,1.9999,1.9,1.999,21675.25,42614.99,1.949523
1510192800000,1.998,2.05,1.931,2.05,23113.59,45794.36,1.988821
1510200000000,1.96,2.0295,1.96,2.0,6171.57,12300.97,1.996082
1510207200000,2.0,2.02,1.9808,2.0182,8630.85,17381.4,1.999904
1510214400000,2.0182,2.0497,2.0,2.035,19007.23,38396.97,2.024799
1510221600000,2.02,2.07,1.9704,2.0001,52311.7,105258.57,2.020302
1510228800000,2.0599,2.1,2.0118,2.066,31741.82,66098.67,2.055892
1510236000000,2.0661,2.1997,2.066,2.0711,57034.11,121616.53,2.132872
1510243200000,2.11,2.1289,2.08,2.11,13888.66,29226.19,2.10445
1510250400000,2.1289,2.1302,2.0921,2.1294,4600.58,9657.82,2.111149
1510257600000,2.1279,2.1279,2.0201,2.0201,6695.22,13749.77,2.074
1510264800000,2.0201,2.026,1.9,1.99,42166.62,83716.59,1.962391
1510272000000,1.99,2.02,1.9602,1.9881,12545.77,25098.94,1.9901
1510279200000,1.9976,2.02,1.9,1.9498,58760.82,115014.69,1.959434
1510286400000,1.94,1.9497,1.895,1.93,21924.16,41816.51,1.922243
1510293600000,1.9,1.9488,1.8923,1.895,7903.66,15054.64,1.920595
1510300800000,1.9459,2.0101,1.85,1.85,81229.06,157322.31,1.933213
