Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1636023600000,109.7,230.0,109.7,148.5,171642.701,31709814.12,170.938037
1636024500000,148.5,162.0,146.0,161.7,36413.508,5588355.81,153.774449
1636025400000,161.4,162.4,140.1,140.3,25125.416,3738002.86,151.365343
1636026300000,140.4,143.0,136.0,141.1,13809.333,1918768.45,139.496867
1636027200000,141.0,143.0,132.7,134.8,10951.825,1493285.97,137.84502
1636028100000,134.8,137.9,132.1,134.4,6191.159,837067.59,135.000476
1636029000000,134.4,136.1,126.6,127.2,13240.098,1719451.74,131.442224
1636029900000,127.1,129.8,123.9,126.5,8645.547,1094249.52,126.85013
1636030800000,126.7,136.0,126.3,132.0,12151.357,1608393.02,131.29518
1636031700000,132.0,139.7,128.4,138.3,7497.432,1003105.4,133.95732
1636032600000,138.1,138.7,132.4,133.4,3833.293,519333.53,135.517674
1636033500000,133.3,133.7,127.0,129.2,4604.614,597989.05,130.257041
1636034400000,129.1,130.0,122.4,123.8,7394.378,923688.22,126.165398
1636035300000,123.9,128.0,115.4,117.0,11342.068,1373517.3,121.80131
1636036200000,116.4,123.4,115.3,118.0,7062.259,839924.99,119.371179
1636037100000,118.5,123.9,116.8,120.7,5260.187,633408.46,120.368445
1636038000000,120.3,123.0,116.8,117.2,3705.684,439693.79,119.976667
1636038900000,117.0,124.0,115.0,119.1,4153.853,492467.33,119.520008
1636039800000,118.9,123.5,118.3,121.8,2409.447,292313.24,120.946371
1636040700000,121.9,132.0,121.7,128.9,10486.041,1347616.97,127.039285
1636041600000,128.7,129.0,122.1,123.1,2948.755,369810.83,125.481003
1636042500000,123.4,125.5,120.0,125.0,2262.596,276206.1,122.718659
1636043400000,124.9,129.0,124.7,126.8,3151.555,399373.2,126.901315
1636044300000,126.8,127.5,121.0,121.9,1310.338,163670.93,124.23344
1636045200000,121.9,129.0,120.8,124.9,1399.13,174413.95,124.951931
1636046100000,124.9,128.0,123.4,127.9,1063.42,133885.91,125.616711
1636047000000,127.8,130.2,125.1,125.6,4957.915,636035.45,127.696351
1636047900000,125.6,136.8,125.0,129.2,7765.526,1019551.95,130.983382
1636048800000,129.2,130.0,125.5,127.7,1634.05,208999.19,127.73
1636049700000,128.0,132.2,126.0,127.5,2109.565,272190.97,129.102199
1636050600000,127.5,130.0,127.0,128.3,946.451,121526.42,128.51086
1636051500000,128.3,133.5,128.3,132.2,1829.612,238834.19,131.006364
1636052400000,132.1,136.0,131.5,133.1,3240.227,433464.01,133.764375
1636053300000,133.1,137.8,132.7,134.7,3015.398,409361.43,135.284056
1636054200000,134.6,137.9,132.2,137.8,2481.138,335327.92,134.951637
1636055100000,137.8,137.9,133.3,136.7,3496.597,474453.8,135.57607
1636056000000,136.6,143.0,130.7,134.3,4905.934,671314.64,136.862346
1636056900000,134.2,134.5,129.9,132.0,1415.981,186250.83,132.145414
1636057800000,131.9,139.6,131.7,136.5,3064.488,418523.63,135.784287
1636058700000,136.5,139.5,135.8,136.8,2167.524,298704.17,137.651646
1636059600000,136.8,136.9,134.1,135.0,968.351,131467.64,135.453912
1636060500000,135.0,136.9,134.3,136.9,769.199,103934.5,135.546073
1636061400000,136.9,137.2,131.7,132.8,1773.353,237412.46,134.385464
1636062300000,133.0,136.8,130.9,131.7,2173.643,290225.24,133.86843
1636063200000,131.8,135.4,130.8,130.8,1463.501,193374.67,133.121521
1636064100000,130.5,132.4,129.9,130.1,1031.558,134345.52,131.155475
1636065000000,130.3,132.9,130.1,132.0,447.096,58769.94,131.535529
1636065900000,131.1,132.8,128.7,129.0,1293.636,168262.5,130.799133
1636066800000,129.4,137.0,129.0,131.0,3086.083,411233.15,133.028283
1636067700000,130.8,133.7,130.3,131.7,841.079,110484.33,132.013372
1636068600000,132.0,134.1,130.2,132.5,956.076,126688.13,132.149587
1636069500000,132.2,132.9,130.9,131.4,634.857,83571.36,131.904167
1636070400000,131.6,131.7,130.3,130.6,906.684,118651.5,130.98538
1636071300000,130.5,130.5,127.5,127.9,1367.744,176132.86,128.953762
1636072200000,127.9,128.6,127.1,127.5,1074.66,137080.2,127.852715
1636073100000,127.5,130.4,126.1,126.5,841.894,107658.65,128.267133
1636074000000,126.4,129.7,126.0,126.9,1258.626,160412.92,127.855504
1636074900000,126.9,130.7,125.7,126.4,2660.39,339149.8,128.203885
1636075800000,126.6,128.0,125.2,125.7,1256.416,158199.47,126.611931
1636076700000,125.6,127.9,124.3,125.2,960.794,120718.76,126.102167
1636077600000,125.1,129.8,124.8,126.0,2886.841,364335.66,127.314291
1636078500000,126.2,128.0,124.5,125.9,1319.38,166326.53,126.250368
1636079400000,125.5,126.0,124.0,124.4,1044.494,130141.48,125.004091
1636080300000,124.4,125.2,124.0,124.1,412.496,51266.6,124.605556
1636081200000,124.2,125.9,123.2,124.0,710.537,88129.6,124.550618
1636082100000,123.9,123.9,121.1,122.2,1758.533,214866.4,122.444169
1636083000000,122.4,122.9,119.5,119.9,2392.411,288771.36,121.207814
1636083900000,119.9,120.9,119.6,120.0,648.632,77925.3,120.250444
1636084800000,120.0,120.5,116.7,118.1,2791.73,328869.64,118.57
1636085700000,118.1,120.4,116.6,118.1,1337.982,158728.67,118.5
1636086600000,118.1,120.6,117.6,120.3,815.08,97266.81,119.084467
1636087500000,120.2,121.4,118.2,118.2,804.353,96497.83,119.864935
1636088400000,118.2,119.0,117.8,118.3,562.891,66557.7,118.400261
1636089300000,118.6,121.1,118.2,118.6,1124.239,134428.57,119.65
1636090200000,118.6,121.2,116.2,118.7,3140.665,372904.29,118.700005
1636091100000,118.7,121.0,118.7,119.5,928.06,110976.88,119.873392
1636092000000,119.4,120.9,119.3,120.1,692.51,83104.55,120.11759
1636092900000,120.2,120.3,117.3,119.0,1421.637,168414.93,118.766667
1636093800000,118.9,120.0,117.9,119.7,1366.922,162798.67,118.936824
1636094700000,119.7,122.2,119.2,120.6,1450.138,175432.7,120.71266
1636095600000,120.6,124.0,120.4,121.8,2582.565,316008.79,122.228571
1636096500000,121.8,124.5,121.5,122.0,1686.979,207052.86,123.001224
1636097400000,122.0,122.4,120.1,120.2,1273.568,154378.72,121.277121
1636098300000,120.4,122.4,119.5,120.7,854.774,102847.9,120.951073
1636099200000,120.8,120.9,119.7,119.9,244.79,29443.63,120.291818
1636100100000,119.8,120.2,119.4,119.5,800.438,95863.33,119.805466
1636101000000,119.5,121.8,118.9,121.7,799.037,95674.43,120.307986
1636101900000,121.7,123.5,119.3,120.0,1458.516,176578.35,121.423489
1636102800000,120.0,120.6,118.7,119.6,1132.736,135083.72,119.648319
1636103700000,119.8,120.5,118.7,119.0,465.399,55582.88,119.61039
1636104600000,119.0,119.2,117.5,118.8,1431.499,169123.51,118.34809
1636105500000,118.7,118.7,117.3,117.9,628.451,74057.3,117.973333
1636106400000,117.9,118.8,115.2,116.9,2635.921,309287.07,116.992132
1636107300000,117.0,118.7,116.8,118.0,513.956,60557.97,117.768601
1636108200000,118.0,118.9,117.8,118.5,531.781,62971.64,118.355447
1636109100000,118.4,119.4,118.0,118.0,893.145,105751.29,118.710417
1636110000000,118.2,120.2,117.3,118.6,1501.619,178166.34,118.751673
1636110900000,118.5,121.6,117.5,121.2,1748.992,209439.32,119.51352
1636111800000,121.3,122.9,118.5,119.5,2214.8,266158.55,120.7131
1636112700000,119.4,119.6,117.8,118.6,1065.418,126327.23,118.684416
1636113600000,118.5,119.1,118.0,118.3,390.756,46298.98,118.55125
1636114500000,118.3,118.8,116.1,116.3,842.179,98720.66,117.473847
1636115400000,116.5,117.8,115.4,115.8,790.304,92139.6,116.609778
1636116300000,116.2,116.5,115.6,115.7,935.758,108343.71,116.058361
1636117200000,115.6,116.6,115.0,116.6,610.282,70611.33,115.767532
1636118100000,116.4,117.6,115.7,116.2,780.081,90797.64,116.650972
1636119000000,116.2,117.0,116.0,116.0,710.721,82873.81,116.50404
1636119900000,116.1,116.6,113.5,114.2,1401.348,160610.68,115.039635
1636120800000,114.2,114.6,113.0,113.7,901.564,102435.56,113.796246
1636121700000,113.4,113.8,111.0,111.7,1232.084,138324.23,112.384773
1636122600000,111.7,111.7,107.3,111.1,5210.786,572147.85,109.491126
1636123500000,111.1,112.0,109.3,109.6,1041.193,114943.56,110.675084
1636124400000,109.3,120.7,109.0,112.0,4443.53,499911.24,114.906672
1636125300000,112.1,113.2,110.3,112.4,1241.298,138465.57,111.748659
1636126200000,112.8,114.3,111.1,112.4,958.618,107850.33,112.700392
1636127100000,112.4,117.9,112.1,113.6,1573.152,179077.77,115.021635
1636128000000,114.4,115.0,112.7,114.4,1054.666,119930.08,113.85
1636128900000,114.3,115.2,113.1,113.3,561.575,64055.12,114.171034
1636129800000,113.3,115.7,113.3,115.0,433.548,49785.8,114.550199
1636130700000,115.0,115.0,113.1,113.4,316.739,36095.39,114.017677
1636131600000,113.9,115.8,113.5,114.2,915.797,104705.39,114.652563
1636132500000,114.1,114.3,113.6,114.1,332.655,37933.96,113.95
1636133400000,114.1,116.3,113.6,116.3,383.12,43999.44,114.900247
1636134300000,116.0,117.0,115.1,115.9,348.031,40295.11,116.050069
1636135200000,115.7,117.0,115.7,116.9,518.453,60381.97,116.363534
1636136100000,116.9,118.6,116.2,117.4,449.835,52777.42,117.402742
1636137000000,117.5,119.9,117.0,119.2,1078.14,127837.09,118.459398
1636137900000,119.2,120.0,118.7,119.2,604.205,72283.34,119.35
1636138800000,119.2,119.2,117.5,118.0,324.886,38283.53,118.314427
1636139700000,117.7,118.2,116.7,116.8,247.722,29010.75,117.46978
1636140600000,116.9,117.2,115.8,116.3,385.979,44894.22,116.495187
1636141500000,116.3,117.3,116.0,116.6,179.588,20953.15,116.652699
1636142400000,116.6,118.0,116.0,118.0,247.373,28907.52,116.95812
1636143300000,117.7,117.7,115.9,116.0,297.223,34530.03,116.78565
1636144200000,116.5,116.6,115.5,115.6,223.823,25954.87,116.05
1636145100000,115.6,116.7,115.5,116.1,160.003,18567.16,116.111343
1636146000000,116.1,116.7,115.4,115.4,115.794,13385.67,116.073445
1636146900000,115.5,116.2,115.3,116.1,42.973,4971.11,115.74375
1636147800000,116.0,116.2,114.9,115.3,426.968,49255.3,115.542185
1636148700000,115.0,115.4,114.5,114.8,174.749,20055.85,114.950625
1636149600000,114.6,116.3,114.0,115.7,909.545,104130.76,115.15
1636150500000,114.8,115.4,114.1,114.5,109.375,12503.0,114.751349
1636151400000,114.4,114.7,114.0,114.0,126.857,14474.22,114.363333
1636152300000,114.5,114.7,114.1,114.2,89.709,10260.72,114.403333
1636153200000,114.6,114.7,114.0,114.3,200.416,22871.28,114.345187
1636154100000,114.3,115.5,114.2,114.7,84.993,9744.13,114.858485
1636155000000,114.7,115.7,114.1,114.7,74.514,8548.94,114.9
1636155900000,115.0,115.6,114.0,114.1,131.209,14987.81,114.821474
1636156800000,114.2,116.2,114.0,115.0,560.773,64650.3,115.117094
1636157700000,114.6,115.2,112.6,113.4,1133.369,128793.12,113.894375
1636158600000,113.3,114.7,113.0,114.0,208.333,23692.11,113.858853
1636159500000,113.6,114.5,111.6,112.4,1190.076,134057.39,113.052236
1636160400000,112.3,113.8,111.6,112.6,280.515,31570.39,112.701168
1636161300000,112.3,113.3,112.0,112.5,182.821,20578.44,112.651488
1636162200000,112.6,113.1,112.0,112.5,209.771,23574.71,112.55
1636163100000,112.5,113.0,112.4,112.8,153.777,17323.81,112.703333
1636164000000,112.9,113.9,112.5,113.9,282.517,31958.26,113.17076
1636164900000,113.8,114.8,113.6,114.0,232.997,26613.41,114.202098
1636165800000,113.9,114.4,113.2,113.8,114.609,13052.87,113.799913
1636166700000,113.5,115.3,112.9,114.0,542.51,62235.8,114.103839
1636167600000,114.3,119.8,112.3,119.0,2681.316,311070.81,115.98468
1636168500000,119.0,120.0,114.7,116.3,3469.427,405311.41,117.329185
1636169400000,116.2,117.5,115.1,117.5,251.582,29291.53,116.256464
1636170300000,117.5,118.2,116.8,117.4,119.578,14032.32,117.500064
1636171200000,117.1,118.0,116.8,117.6,111.76,13076.76,117.402269
1636172100000,117.7,130.0,117.3,118.5,3981.825,481498.39,123.655511
1636173000000,118.5,122.6,118.0,121.3,1111.515,133756.9,120.340833
1636173900000,121.3,122.6,118.8,121.4,1913.899,231046.71,120.699887
1636174800000,121.5,123.9,120.0,123.0,1086.465,132610.96,121.938479
1636175700000,123.1,124.1,121.0,121.5,1000.077,121892.24,122.567837
1636176600000,121.8,122.0,120.1,120.4,644.676,77733.97,121.042147
1636177500000,120.4,121.1,119.5,119.5,268.753,32320.32,120.330064
1636178400000,119.8,119.8,118.0,119.2,731.985,87180.41,118.882857
1636179300000,119.2,121.1,118.8,120.0,561.059,67356.09,119.960916
1636180200000,120.0,121.3,119.1,121.1,227.152,27263.12,120.176667
1636181100000,121.1,123.7,120.5,121.6,1049.581,128115.49,122.104606
1636182000000,121.3,125.1,121.3,123.0,1306.935,161268.98,123.255303
1636182900000,122.7,123.8,121.2,121.5,637.38,77722.89,122.5225
1636183800000,121.6,123.0,121.4,122.2,376.961,46026.82,122.210931
1636184700000,122.2,124.1,121.7,123.1,361.197,44366.06,122.909109
1636185600000,123.1,125.0,122.6,124.7,2117.023,261660.02,123.7875
1636186500000,124.3,126.8,123.7,126.0,1643.982,205702.01,125.258129
1636187400000,126.0,127.0,124.0,125.8,877.687,110123.07,125.499555
1636188300000,126.1,130.7,126.1,130.4,2930.489,375952.42,128.441927
1636189200000,130.8,139.8,129.0,134.7,12058.473,1620531.28,134.455603
1636190100000,134.8,136.4,131.1,131.9,5535.121,736179.56,133.782362
1636191000000,131.7,132.2,130.0,130.7,1111.527,145044.42,131.094553
1636191900000,130.6,137.0,130.0,133.0,4846.525,650170.93,133.551472
1636192800000,133.0,139.3,132.7,137.7,2503.076,340667.98,136.094371
1636193700000,137.7,139.7,134.5,138.6,3668.495,503629.74,137.092077
1636194600000,139.0,139.5,136.5,137.6,1691.236,233222.19,137.982726
1636195500000,137.6,147.5,137.4,141.3,11570.779,1658677.8,142.554146
1636196400000,141.0,147.5,140.5,143.9,10531.594,1520915.19,144.069489
1636197300000,143.9,155.0,140.2,144.8,27513.129,4079972.81,147.603007
1636198200000,144.7,145.1,136.1,137.4,8707.704,1215688.85,140.511416
1636199100000,137.1,139.0,130.2,133.8,8642.304,1157707.5,134.569028
1636200000000,133.6,137.3,130.0,130.7,5267.757,699647.16,133.711612
1636200900000,130.7,133.4,127.7,132.8,4229.944,549050.29,130.507849
1636201800000,132.8,133.5,129.2,130.2,2582.102,337983.02,131.334911
1636202700000,130.2,133.3,130.2,132.0,1064.526,140311.9,131.80983
1636203600000,132.0,132.0,128.2,128.6,1233.562,159624.31,130.049957
1636204500000,128.6,129.5,125.5,126.3,2578.718,328054.74,127.504505
1636205400000,125.9,126.2,123.6,124.2,2716.665,339336.03,124.88205
1636206300000,124.5,128.6,124.5,127.5,2217.102,280732.91,126.634993
1636207200000,127.5,129.8,126.3,127.1,1660.36,212728.1,128.052457
1636208100000,127.3,132.1,127.1,129.6,1895.038,245293.88,129.664233
1636209000000,129.6,133.4,128.9,132.0,2307.835,303925.35,131.176794
1636209900000,132.0,136.1,130.8,133.4,4336.114,578622.92,133.463315
1636210800000,133.4,133.8,130.5,130.8,1938.438,255559.11,132.159185
1636211700000,130.9,133.0,128.6,130.1,2218.69,289041.34,130.8025
1636212600000,130.1,130.6,130.0,130.2,612.228,79689.17,130.301049
1636213500000,130.4,133.0,128.6,129.3,1259.922,164701.94,130.815079
1636214400000,129.3,132.0,129.0,130.5,1299.158,169017.45,130.525
1636215300000,130.6,137.0,130.2,133.2,4401.507,589608.5,133.664489
1636216200000,133.4,133.6,131.3,131.4,579.551,76445.95,132.461655
1636217100000,131.3,132.6,130.6,131.9,715.195,94055.58,131.6
1636218000000,131.9,132.0,130.1,131.5,766.528,100267.21,131.042717
1636218900000,131.5,132.0,130.3,131.5,841.287,110642.36,131.15
1636219800000,131.5,136.0,130.3,135.2,2446.22,327306.37,133.126451
1636220700000,135.3,140.0,133.1,134.7,6198.288,846592.16,136.552936
1636221600000,134.6,140.0,134.4,138.1,2820.082,386810.39,137.291991
1636222500000,137.6,139.7,136.3,138.0,1870.531,257823.76,138.000694
1636223400000,138.0,139.0,136.7,137.7,1020.038,140180.46,137.85
1636224300000,138.0,138.8,136.7,136.8,1270.032,174268.87,137.781111
1636225200000,136.9,139.0,136.7,137.9,1103.716,151891.87,137.872321
1636226100000,137.9,140.3,135.5,136.3,2119.3,291893.8,137.922857
1636227000000,136.3,137.5,134.0,134.6,1455.158,196692.41,135.768803
1636227900000,134.6,137.6,133.7,134.2,817.807,110454.17,135.653296
1636228800000,134.1,135.0,132.0,132.4,924.31,123342.49,133.521821
1636229700000,132.4,133.7,131.6,131.6,402.247,53198.2,132.674471
1636230600000,131.6,134.7,131.4,133.7,453.463,60264.91,133.095057
1636231500000,133.6,133.6,131.2,132.7,448.15,59176.81,132.372672
1636232400000,132.7,135.3,132.3,133.8,436.323,58401.64,133.819129
1636233300000,133.8,134.6,131.8,132.4,185.501,24650.03,133.206667
1636234200000,131.9,135.1,131.0,131.8,902.287,119477.51,133.050178
1636235100000,131.8,132.2,130.4,130.7,392.066,51426.74,131.305149
1636236000000,131.1,133.0,130.6,131.6,164.727,21683.55,131.804936
1636236900000,131.6,135.0,131.5,132.4,1077.54,143158.51,133.266543
1636237800000,132.2,133.2,131.6,131.7,530.65,69964.89,132.411261
1636238700000,131.7,135.0,131.4,133.0,394.717,52679.0,133.228644
1636239600000,133.0,133.8,132.0,132.8,81.783,10857.11,132.9
1636240500000,132.8,136.6,132.5,135.1,1223.127,165148.62,134.601235
1636241400000,134.9,137.5,132.8,135.4,1703.439,230554.08,135.15
1636242300000,135.4,136.6,135.0,136.0,645.316,87707.39,135.803644
1636243200000,136.0,136.0,132.3,133.6,994.875,133339.87,134.073592
1636244100000,133.8,134.9,132.4,133.0,317.536,42478.58,133.656568
1636245000000,132.9,138.0,131.2,133.7,1303.648,174536.26,134.604514
1636245900000,133.5,140.9,132.6,139.8,2881.346,396822.75,136.766827
1636246800000,139.8,144.4,138.2,139.8,4372.029,616850.01,141.3
1636247700000,140.0,142.8,138.0,140.0,1911.347,268363.11,140.4
1636248600000,140.1,147.9,140.0,147.1,3792.594,547183.39,144.035476
1636249500000,147.4,149.0,141.3,145.8,6201.509,904379.78,145.134177
1636250400000,145.9,159.8,145.6,157.6,13913.512,2118620.77,152.894193
1636251300000,157.4,157.8,150.5,150.6,7105.945,1090109.6,154.191553
1636252200000,150.6,154.8,147.5,150.1,5085.605,764134.62,151.150939
1636253100000,149.8,150.5,145.2,146.5,1950.599,287576.3,147.817803
1636254000000,146.8,151.0,146.8,150.3,3117.933,466211.79,148.973529
1636254900000,150.3,153.0,145.4,145.6,3107.51,461987.73,149.332149
1636255800000,145.7,145.7,143.8,144.7,1701.192,245898.39,144.716518
