Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1635984000000,109.7,230.0,109.7,131.4,436524.832,67462116.33,170.254317
1636070400000,131.6,131.7,107.3,114.1,97015.24,11526025.8,119.005618
1636156800000,114.2,155.0,111.6,136.0,210743.38,28336833.53,133.852057
1636243200000,136.0,159.8,131.2,148.5,154971.299,22659214.56,145.662991
1636329600000,148.5,160.0,143.9,144.6,55143.17,8418385.39,152.030395
1636416000000,144.8,149.4,137.2,144.5,34617.648,4977565.83,143.299796
1636502400000,144.9,173.3,143.0,164.6,69838.107,11150303.88,158.551765
1636588800000,164.3,178.7,158.6,166.1,58954.028,9867058.47,168.656931
1636675200000,166.1,171.0,159.5,167.2,26294.05,4356091.06,165.24679
1636761600000,167.5,199.0,166.5,194.4,77596.256,14528268.88,183.121995
1636848000000,194.3,227.0,186.2,200.0,85602.475,17716383.89,206.646337
1636934400000,199.6,212.5,177.5,184.2,53711.716,10449071.16,195.157671
1637020800000,184.2,186.7,168.4,178.5,52462.739,9395147.22,177.455543
1637107200000,178.4,195.0,173.9,190.2,39985.1,7395943.78,184.462723
1637193600000,189.9,205.0,170.3,170.8,46548.879,8767805.92,188.248244
1637280000000,170.8,185.0,168.9,181.1,27415.053,4890242.13,177.063983
1637366400000,181.1,195.0,178.3,188.7,29492.899,5471709.53,186.745557
1637452800000,188.7,193.5,179.6,180.7,35878.603,6728249.61,186.717033
1637539200000,180.4,187.6,169.1,181.6,25024.878,4500520.08,178.34721
1637625600000,181.6,201.9,181.6,190.7,42646.696,8309151.06,192.046213
1637712000000,190.7,199.7,188.4,193.1,25986.452,5045371.57,194.074523
1637798400000,192.9,195.5,181.0,187.3,23963.641,4527847.41,188.178343
1637884800000,187.1,187.6,149.0,164.3,62606.593,10229783.32,167.592865
1637971200000,164.9,171.9,134.1,138.8,50370.034,7510019.77,153.155615
1638057600000,138.8,155.5,124.7,153.6,62405.399,8583680.34,139.726308
1638144000000,153.1,156.4,132.0,134.6,37933.76,5407769.91,144.258743
