Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1610517600000,8.0,1000.0,8.0,51.903,257779.34,12385166.07,504.232242
1610518500000,51.911,70.0,51.903,65.212,187831.069,11425044.73,61.324666
1610519400000,65.265,84.738,64.1,71.0,180597.828,13324647.29,74.54275
1610520300000,71.0,74.0,62.0,66.778,68848.039,4565956.34,67.97161
1610521200000,66.774,71.153,64.2,64.2,50996.152,3473308.39,67.754178
1610522100000,64.2,64.229,56.186,60.967,68857.077,4142482.41,60.107484
1610523000000,60.993,68.665,56.005,62.9,62767.476,3920965.3,62.337216
1610523900000,62.9,66.751,62.9,65.187,25094.54,1638505.03,64.901117
1610524800000,65.15,76.5,65.0,74.167,54800.03,3888183.01,70.948229
1610525700000,73.637,83.333,72.123,77.999,92395.936,7171259.47,77.803144
1610526600000,78.0,81.266,73.376,81.164,43808.052,3375874.83,77.226293
1610527500000,81.264,82.396,75.5,76.0,47061.297,3711718.78,79.001882
1610528400000,76.0,81.9,72.346,81.622,34456.808,2665731.59,76.963027
1610529300000,81.397,84.121,77.1,78.775,58423.128,4712988.91,80.629448
1610530200000,78.39,80.0,76.114,79.198,14791.332,1162013.15,78.048947
1610531100000,79.093,79.9,76.549,79.22,11280.992,883510.26,78.224165
1610532000000,79.22,80.854,77.8,79.725,13039.403,1037699.71,79.325999
1610532900000,79.725,82.0,73.3,73.964,34540.644,2679624.61,77.749172
1610533800000,74.259,79.3,74.132,77.225,12044.98,929501.88,76.803401
1610534700000,77.225,77.399,73.65,74.0,7924.833,602132.03,75.504525
1610535600000,74.01,75.67,70.708,73.938,18354.453,1344183.0,73.188959
1610536500000,73.947,74.898,67.91,68.144,16985.953,1214901.25,71.478681
1610537400000,68.223,70.612,67.5,69.709,24918.808,1719230.23,69.06144
1610538300000,69.709,73.675,69.554,71.894,18268.656,1312317.47,71.675958
1610539200000,71.879,73.5,69.0,69.31,12070.761,855528.4,71.308147
1610540100000,69.31,71.906,69.31,71.4,5982.407,423782.94,70.656924
1610541000000,71.401,73.983,70.809,73.1,12358.116,899137.99,72.407227
1610541900000,73.019,77.902,72.983,76.453,20119.833,1519910.06,75.540522
1610542800000,76.499,76.5,73.435,76.3,11506.932,865954.99,74.965989
1610543700000,76.301,76.301,72.064,72.649,11815.734,873384.15,74.115782
1610544600000,72.51,74.499,72.5,73.684,5921.165,435058.87,73.537482
1610545500000,73.675,75.638,72.0,75.024,6619.609,488332.89,73.800115
1610546400000,75.011,75.3,73.2,73.802,5085.583,375897.9,74.235861
1610547300000,73.812,75.0,73.659,74.99,6254.146,463976.98,74.312409
1610548200000,74.922,74.922,72.349,72.349,5915.865,435700.84,73.6355
1610549100000,72.499,73.367,72.3,73.291,7562.139,550005.14,72.823676
1610550000000,73.267,73.99,73.0,73.175,4719.334,346712.97,73.495593
1610550900000,73.174,73.178,70.235,72.222,6999.061,502855.73,71.679866
1610551800000,72.003,72.222,67.55,70.701,12586.325,877846.11,69.856973
1610552700000,70.672,71.918,68.049,70.6,7494.932,525834.87,69.983444
1610553600000,70.627,71.8,69.554,71.239,4953.77,351064.44,70.672158
1610554500000,71.236,71.282,69.0,69.87,3866.36,270341.88,70.100462
1610555400000,69.829,70.0,68.09,69.857,4498.232,310527.24,69.044957
1610556300000,69.808,71.167,69.502,70.95,5046.037,355677.27,70.328569
1610557200000,70.95,73.3,70.883,72.958,8911.568,643986.08,72.120173
1610558100000,72.958,72.975,71.23,71.5,3876.319,278601.65,72.075754
1610559000000,71.317,71.76,69.901,70.357,3247.326,229007.6,70.830036
1610559900000,70.499,71.029,69.9,70.9,3313.707,233848.56,70.456847
1610560800000,70.819,70.899,69.5,69.699,2689.293,188542.36,70.188147
1610561700000,69.547,69.548,68.4,68.598,5975.471,411931.26,68.953705
1610562600000,68.598,69.676,66.078,67.007,10854.587,732566.64,67.880829
1610563500000,67.167,67.799,63.849,65.344,14070.224,924275.29,65.79973
1610564400000,65.398,67.827,64.5,64.881,8758.258,579811.58,66.169719
1610565300000,64.814,64.814,60.765,62.378,19143.511,1197753.13,62.709259
1610566200000,62.503,63.87,60.0,61.09,13027.456,802535.8,61.939775
1610567100000,61.259,63.994,60.601,63.4,10038.508,625280.12,62.293963
1610568000000,63.682,66.98,62.557,62.846,14869.052,970438.82,64.782058
1610568900000,62.913,64.5,61.593,63.887,8537.298,539267.96,63.036292
1610569800000,63.868,65.0,62.655,63.001,6188.835,395025.19,63.841405
1610570700000,63.009,63.183,62.0,62.871,6205.022,389362.87,62.59031
1610571600000,62.865,62.865,60.0,60.001,7921.999,484665.24,61.432333
1610572500000,60.057,61.5,57.89,58.502,7530.672,447271.92,59.715211
1610573400000,58.722,59.046,55.302,56.207,11492.843,652746.3,57.137062
1610574300000,56.21,57.788,55.2,55.896,8092.052,456955.54,56.495629
1610575200000,55.591,58.999,55.001,56.339,10004.534,571376.53,57.009137
1610576100000,56.339,58.451,55.0,58.065,7352.055,415200.61,56.693714
1610577000000,58.069,60.366,56.5,58.635,10928.938,640857.59,58.433436
1610577900000,58.634,61.487,58.0,59.222,9848.06,590415.76,59.749339
1610578800000,59.223,63.0,59.222,61.72,7591.318,467527.66,61.1894
1610579700000,61.96,62.0,58.912,59.536,7676.171,461730.88,60.402828
1610580600000,59.501,61.383,59.001,61.328,4710.148,284835.07,60.153634
1610581500000,61.331,63.22,61.331,62.75,8476.572,527576.98,62.314097
1610582400000,62.75,64.9,62.064,64.162,6481.363,411949.89,63.483718
1610583300000,64.161,67.935,64.161,66.86,11510.597,763523.06,66.126802
1610584200000,66.9,67.0,64.774,65.74,4266.53,280496.07,65.855463
1610585100000,65.74,68.678,65.701,67.232,6761.305,455426.29,67.236636
1610586000000,67.202,69.785,67.202,68.513,7802.657,537995.95,68.537279
1610586900000,68.385,68.411,65.5,67.967,6803.241,454681.97,66.949176
1610587800000,67.968,69.499,66.539,67.953,6097.176,414217.19,68.019
1610588700000,67.84,67.999,66.0,66.5,3518.698,234817.21,66.977923
1610589600000,66.436,67.137,62.743,62.878,6799.163,440494.78,64.995484
1610590500000,62.901,63.755,58.999,61.911,9894.171,605240.01,61.365731
1610591400000,61.914,67.7,61.401,64.91,8312.455,539738.97,64.618749
1610592300000,64.83,114.0,64.636,93.699,68566.259,5549836.24,90.257979
1610593200000,94.0,113.0,83.333,104.0,49915.876,5043489.9,98.142132
1610594100000,104.001,104.54,92.837,101.625,31578.532,3113451.88,98.645555
1610595000000,101.959,102.0,90.126,93.062,22613.093,2165860.8,95.826662
1610595900000,93.063,103.0,86.0,99.728,43577.664,4179061.98,94.42425
1610596800000,99.269,104.892,93.01,93.015,25500.757,2556669.0,99.160026
1610597700000,93.111,101.0,93.111,100.713,13743.352,1353324.84,97.098883
1610598600000,100.712,103.0,95.9,98.724,12118.413,1209945.81,99.444642
1610599500000,98.724,99.9,95.147,97.5,8564.364,836460.28,97.513579
1610600400000,97.5,100.9,96.0,99.922,11056.088,1099342.99,98.433021
1610601300000,99.822,100.0,96.732,98.576,6154.824,607211.66,98.334585
1610602200000,98.599,99.8,97.6,97.979,4490.412,443552.18,98.708326
1610603100000,97.962,98.75,96.617,97.265,5772.822,563542.57,97.68542
1610604000000,97.266,100.524,97.049,100.004,12617.342,1256272.59,98.814333
1610604900000,100.175,100.4,95.0,95.775,10041.6,985290.33,97.645271
1610605800000,95.94,96.662,91.611,93.207,13358.25,1255064.36,94.101989
1610606700000,93.207,94.447,88.576,88.628,11488.229,1053125.76,91.618033
1610607600000,88.58,90.111,85.13,86.891,12981.695,1137117.98,87.617096
1610608500000,86.8,97.0,86.381,91.862,16849.595,1559663.74,91.832614
1610609400000,91.398,96.697,91.195,95.78,7807.628,737377.94,94.013282
1610610300000,95.776,99.0,94.0,95.025,12191.564,1184374.52,96.506236
1610611200000,95.06,95.99,90.867,93.3,8400.132,786421.69,93.405652
1610612100000,93.001,93.512,89.1,90.001,5813.419,531280.14,91.280515
1610613000000,90.201,96.0,90.002,93.348,7086.984,667128.44,93.091647
1610613900000,93.557,94.282,90.3,90.3,3125.809,288881.68,92.363806
1610614800000,90.512,93.0,90.0,92.969,4570.197,417206.77,91.451545
1610615700000,92.899,94.0,90.5,90.713,4497.2,413694.64,92.297979
1610616600000,90.713,92.0,88.45,89.007,5073.709,457268.74,90.247365
1610617500000,89.0,90.898,88.742,88.742,3368.704,302201.56,89.82341
1610618400000,88.742,91.273,88.0,91.193,3132.835,280426.41,89.582529
1610619300000,91.25,91.937,89.268,90.0,3362.556,304895.42,90.601195
1610620200000,89.903,91.639,89.301,91.639,2375.87,215117.47,90.42188
1610621100000,91.504,93.66,89.766,93.127,5325.575,492773.99,91.685646
1610622000000,93.201,95.761,93.009,93.881,7932.452,750226.21,94.398082
1610622900000,93.884,93.91,90.371,91.956,4169.86,383298.43,92.078027
1610623800000,91.957,97.8,91.5,96.507,10336.11,987871.95,94.712681
1610624700000,96.507,98.341,94.78,97.597,7696.447,745877.18,96.548711
1610625600000,97.523,97.523,95.185,96.992,4486.417,431318.36,96.342197
1610626500000,96.821,97.0,92.7,92.905,5940.483,562020.83,94.846599
1610627400000,92.956,95.828,92.9,95.041,3854.902,363417.81,94.41706
1610628300000,95.043,95.383,92.653,92.653,4229.165,395100.92,94.058294
1610629200000,92.7,93.5,92.7,92.901,1748.949,162992.6,93.104802
1610630100000,92.902,93.016,91.0,91.502,5301.918,486873.49,91.981404
1610631000000,91.503,93.945,91.501,93.0,3866.798,360418.22,92.771802
1610631900000,93.0,93.85,92.1,92.199,2334.185,217952.11,92.995754
1610632800000,92.499,93.3,92.15,92.241,1774.423,164505.06,92.729524
1610633700000,92.322,92.323,90.65,91.991,4185.791,382612.84,91.479879
1610634600000,91.836,95.322,91.683,94.987,6459.304,605962.36,93.523492
