Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1610517600000,8.0,1000.0,8.0,66.778,695056.276,41700814.43,504.409904
1610521200000,66.774,71.153,56.005,65.187,207715.245,13175261.14,63.572392
1610524800000,65.15,83.333,65.0,76.0,238065.315,18147036.1,74.511172
1610528400000,76.0,84.121,72.346,79.22,118952.26,9424243.91,78.245379
1610532000000,79.22,82.0,73.3,74.0,67549.86,5248958.24,77.752857
1610535600000,74.01,75.67,67.5,71.894,78527.87,5590631.96,71.561685
1610539200000,71.879,77.902,69.0,76.453,50531.117,3698359.4,73.400474
1610542800000,76.499,76.5,72.0,75.024,35863.44,2662730.89,74.208281
1610546400000,75.011,75.3,72.3,73.291,24817.733,1825580.85,73.768573
1610550000000,73.267,73.99,67.55,70.6,31799.652,2253249.67,70.717879
1610553600000,70.627,71.8,68.09,70.95,18364.399,1287610.83,69.943399
1610557200000,70.95,73.3,69.9,70.9,19348.92,1385443.89,71.600036
1610560800000,70.819,70.899,63.849,65.344,33589.575,2257315.55,67.248387
1610564400000,65.398,67.827,60.0,63.4,50967.733,3205380.63,63.90546
1610568000000,63.682,66.98,61.593,62.871,35800.207,2294094.84,64.292255
1610571600000,62.865,62.865,55.2,55.896,35037.566,2041639.0,58.941848
1610575200000,55.591,61.487,55.0,59.222,38133.587,2217850.5,58.31463
1610578800000,59.223,63.22,58.912,62.75,28454.209,1741670.59,61.082004
1610582400000,62.75,68.678,62.064,67.232,29019.795,1911395.31,65.420283
1610586000000,67.202,69.785,65.5,66.5,24221.772,1641712.33,67.647847
1610589600000,66.436,114.0,58.999,93.699,93572.048,7135310.0,86.920443
1610593200000,94.0,113.0,83.333,99.728,147685.165,14501864.56,98.178753
1610596800000,99.269,104.892,93.01,97.5,59926.886,5956399.92,98.954157
1610600400000,97.5,100.9,96.0,97.265,27474.146,2713649.4,98.450614
1610604000000,97.266,100.524,88.576,88.628,47505.421,4549753.04,94.790949
1610607600000,88.58,99.0,85.13,95.025,49830.482,4618534.18,92.079978
1610611200000,95.06,96.0,89.1,90.3,24426.344,2273711.95,92.532445
1610614800000,90.512,94.0,88.45,88.742,17509.81,1590371.72,91.266693
1610618400000,88.742,93.66,88.0,93.127,14196.836,1293213.3,90.811551
1610622000000,93.201,98.341,90.371,97.597,30134.869,2867273.76,94.270143
1610625600000,97.523,97.523,92.653,92.653,18510.967,1751857.92,95.088
1610629200000,92.7,93.945,91.0,92.199,13251.85,1228236.43,92.472668
1610632800000,92.499,96.0,90.65,93.51,17999.15,1683280.67,93.327887
1610636400000,93.6,97.856,93.105,94.711,17844.251,1710309.06,95.498865
1610640000000,94.71,102.89,93.953,101.23,18156.019,1771922.22,98.490798
1610643600000,101.11,104.616,95.591,96.3,34113.707,3414664.45,100.210403
1610647200000,96.2,100.424,96.011,99.138,9863.801,974006.79,98.285853
1610650800000,99.138,100.996,96.55,97.959,14922.402,1482571.93,98.777017
1610654400000,97.909,102.859,97.6,101.149,9785.024,979492.65,100.30294
1610658000000,101.15,103.555,97.45,99.206,21673.411,2171444.12,100.51094
1610661600000,99.207,100.714,95.0,96.135,13541.2,1320431.13,97.871487
1610665200000,96.515,97.0,92.135,92.449,12256.338,1166606.96,94.585589
1610668800000,92.271,97.0,92.2,96.372,12210.144,1156204.32,94.662168
1610672400000,96.179,97.8,93.01,94.363,9447.721,899382.04,95.409995
1610676000000,94.361,95.61,93.248,94.321,5225.635,493161.25,94.429006
1610679600000,94.329,95.0,90.0,90.613,12912.617,1186153.67,92.504646
1610683200000,90.613,92.498,85.455,91.993,14979.389,1332282.14,88.953954
1610686800000,91.962,91.963,83.568,86.471,14965.679,1299472.97,87.591722
1610690400000,86.021,87.608,82.38,83.927,12067.613,1020778.55,84.994836
1610694000000,84.039,86.873,81.263,82.491,14894.11,1244695.08,84.083582
1610697600000,82.2,86.053,82.104,85.998,8738.396,731385.68,84.072333
1610701200000,85.996,89.699,84.007,86.05,15732.656,1369022.98,86.853019
1610704800000,86.067,86.292,82.7,83.001,9608.778,807796.84,84.487537
1610708400000,83.002,84.554,81.518,83.668,7766.552,645765.52,83.032359
1610712000000,83.689,85.9,81.5,82.206,10737.621,895252.14,83.721996
1610715600000,82.416,83.9,75.891,77.475,16625.659,1322506.87,79.890242
1610719200000,77.474,83.083,73.4,78.998,26251.791,2052051.33,78.241534
1610722800000,78.837,80.35,75.155,75.923,9662.744,753602.12,77.784302
1610726400000,75.941,77.777,70.585,76.094,15573.792,1162864.52,74.180792
1610730000000,76.101,77.4,74.48,75.7,8531.158,647987.44,75.940187
1610733600000,75.799,77.249,73.507,74.845,6885.386,522485.14,75.378925
1610737200000,75.177,76.498,74.436,74.895,3525.079,266226.31,75.469025
1610740800000,74.826,76.27,73.78,75.09,4739.719,354419.19,75.025189
1610744400000,75.09,82.609,74.826,76.945,13427.465,1057694.84,78.756396
1610748000000,77.027,82.5,76.573,80.127,9001.311,720148.61,79.606938
1610751600000,80.266,81.175,78.009,80.008,5532.717,439888.97,79.591094
1610755200000,79.633,81.471,76.325,78.824,7535.66,594900.4,78.895945
1610758800000,79.136,81.0,76.2,76.592,6916.291,542991.23,78.655589
1610762400000,76.355,78.809,73.902,74.276,7001.129,528313.07,76.404364
1610766000000,74.185,74.83,73.278,74.049,2880.273,212977.95,74.053879
1610769600000,74.049,76.321,73.011,75.099,2769.481,206716.76,74.668374
1610773200000,75.186,76.636,73.222,74.462,5070.945,380630.64,74.930194
1610776800000,74.4,75.166,73.22,73.578,3654.895,270693.17,74.202525
1610780400000,73.742,74.865,72.826,72.867,5239.368,385924.69,73.871609
1610784000000,72.867,73.85,71.9,73.1,6901.672,502677.27,72.874611
1610787600000,73.425,75.26,71.5,72.2,10964.255,804006.35,73.39547
1610791200000,72.204,74.0,72.0,72.68,6005.882,435602.28,73.008015
1610794800000,72.535,73.978,72.535,73.462,4644.389,340537.91,73.286181
1610798400000,73.46,74.0,72.1,73.151,4845.027,353508.03,73.048299
1610802000000,73.298,73.642,70.638,71.094,9852.9,711053.39,72.131292
1610805600000,71.096,71.954,68.2,68.4,16604.323,1159512.61,70.125701
1610809200000,68.4,70.95,66.89,69.9,13844.212,958953.78,68.911874
1610812800000,69.953,70.1,67.1,68.2,10421.383,714525.76,68.555529
1610816400000,68.2,69.1,67.501,68.473,6246.51,426232.04,68.300236
1610820000000,68.444,70.0,68.311,68.987,5067.32,351758.8,69.167171
1610823600000,69.0,69.887,68.0,69.881,3860.454,266191.38,68.914856
1610827200000,69.654,75.773,69.644,73.305,22829.018,1675656.71,72.828141
1610830800000,73.499,74.197,68.708,69.9,7116.409,504256.41,71.422756
1610834400000,69.9,71.958,69.0,70.872,3104.805,218339.64,70.48158
1610838000000,70.78,72.68,70.101,72.63,2700.077,192195.14,71.344069
1610841600000,72.52,72.631,69.5,70.591,4508.077,319281.5,71.014127
