Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1626998400000,0.07541,3.0,0.07541,0.74531,290047409.0,259438704.02,1.552689
1627084800000,0.74531,2.17369,0.7422,2.01,693559014.0,1138787479.82,1.477411
1627171200000,2.00926,2.01643,1.26501,1.4358,163630260.0,262222815.47,1.626778
1627257600000,1.42817,1.6218,1.22011,1.29366,109024166.0,153356888.22,1.422687
1627344000000,1.29367,1.4498,1.10097,1.268,101354610.0,127026248.24,1.275378
1627430400000,1.268,1.29336,1.13361,1.14672,35711085.0,43047658.26,1.214516
1627516800000,1.1455,1.18149,1.0214,1.05328,36030668.0,39175041.47,1.101631
1627603200000,1.05324,1.43352,1.00001,1.2416,210394415.0,269813227.4,1.2202
1627689600000,1.24159,1.41884,1.22147,1.28175,69938191.0,91376175.25,1.320767
1627776000000,1.28172,1.28475,1.13393,1.145,29974933.0,36232724.71,1.208301
1627862400000,1.14316,1.21,1.12967,1.14903,18008627.0,20885395.78,1.169867
1627948800000,1.1488,1.20763,1.06589,1.1343,26196092.0,29655408.1,1.136747
1628035200000,1.13451,1.193,1.117,1.14275,22080221.0,25289729.84,1.155048
1628121600000,1.1427,1.146,1.08,1.10309,20541458.0,22861368.73,1.112021
1628208000000,1.10309,1.14,1.08599,1.11,20315839.0,22568929.53,1.113022
1628294400000,1.10999,1.22651,1.09856,1.1268,29919662.0,34353601.86,1.162726
1628380800000,1.12669,1.31754,1.106,1.26533,78220655.0,95085281.76,1.213666
1628467200000,1.26374,1.3,1.17,1.20024,37695164.0,46193743.38,1.235191
1628553600000,1.20024,1.23297,1.152,1.16999,20669453.0,24371258.6,1.192751
1628640000000,1.16999,1.2485,1.16028,1.18234,26949327.0,32515859.64,1.204529
1628726400000,1.18218,1.22,1.12,1.14332,17069657.0,19772624.4,1.170284
1628812800000,1.1432,1.22864,1.14,1.18772,15117746.0,17972717.76,1.185589
1628899200000,1.1877,1.85,1.172,1.75263,210139802.0,329685718.37,1.519576
1628985600000,1.75142,1.79985,1.40688,1.50038,82828109.0,125958956.33,1.600805
1629072000000,1.50282,1.65,1.43715,1.47249,46012265.0,69157733.04,1.54386
1629158400000,1.47451,1.6888,1.39437,1.45289,53917387.0,82869111.56,1.54169
1629244800000,1.45345,1.97916,1.44204,1.8375,147030572.0,264052246.33,1.720144
1629331200000,1.83562,1.88449,1.63066,1.77625,42760954.0,73976176.66,1.756904
1629417600000,1.77521,2.68,1.77039,2.6199,148031829.0,333398921.65,2.232792
1629504000000,2.62153,3.38459,2.62001,2.75263,186237828.0,549662611.72,3.004634
1629590400000,2.75125,3.345,2.57,3.13138,115311477.0,343859503.19,2.958536
1629676800000,3.13085,3.488,2.99832,3.21448,84164075.0,271841164.78,3.243678
1629763200000,3.21116,5.9,3.102,5.11684,267466243.0,1155020296.23,4.545209
1629849600000,5.11088,6.445,4.82464,5.17383,302597624.0,1717973091.09,5.635006
1629936000000,5.1765,5.6,4.58222,4.89,123282148.9,618883642.22,5.092279
1630022400000,4.894,5.498,4.306,5.285,82277951.4,398685200.31,4.896817
1630108800000,5.282,5.379,4.795,4.968,38688020.9,194937224.14,5.08404
1630195200000,4.968,5.197,4.598,4.847,35057914.0,170714123.02,4.897397
1630281600000,4.847,5.008,4.508,4.583,33359260.7,160475677.66,4.761221
1630368000000,4.583,4.821,4.051,4.406,26391066.9,119317231.83,4.435217
1630454400000,4.406,4.497,4.08,4.28,24092263.7,101777713.35,4.287227
1630540800000,4.28,5.3,4.207,4.635,68647393.8,335283900.39,4.761518
1630627200000,4.632,4.839,4.42,4.569,28927154.9,134159341.31,4.629665
1630713600000,4.569,4.8,4.383,4.494,18135128.6,83470124.42,4.591989
1630800000000,4.491,4.692,4.445,4.592,12421847.5,56411560.89,4.569678
1630886400000,4.592,4.907,4.08,4.386,30228618.8,138722930.23,4.493571
1630972800000,4.386,4.538,2.898,3.378,53247153.3,196383825.52,3.700896
1631059200000,3.375,4.28,3.037,3.725,57717283.2,210928034.29,3.660694
1631145600000,3.725,4.49,3.538,4.131,66561840.7,270701317.38,4.018097
1631232000000,4.131,4.2,3.526,3.726,24995347.7,96801731.18,3.856501
