Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1627041600000,0.07541,3.0,0.07541,0.9747,144159228.0,134274664.36,1.562221
1627045200000,0.9747,0.98,0.787,0.80245,30706152.0,26758482.77,0.882238
1627048800000,0.8007,0.85888,0.7934,0.83798,18107753.0,14950820.73,0.82674
1627052400000,0.83942,0.95979,0.81,0.93052,29043052.0,26270547.76,0.884887
1627056000000,0.9305,0.93292,0.85022,0.89052,18026035.0,16084712.43,0.890395
1627059600000,0.89203,0.90722,0.83222,0.85631,10123372.0,8788242.77,0.869452
1627063200000,0.85688,0.85832,0.817,0.834,6291071.0,5245899.18,0.837014
1627066800000,0.834,0.86756,0.818,0.86384,5420495.0,4554983.38,0.842168
1627070400000,0.86286,0.90011,0.8346,0.8566,8131188.0,7061962.96,0.867372
1627074000000,0.8565,0.86056,0.8222,0.82748,3735987.0,3150437.6,0.841278
1627077600000,0.82711,0.84501,0.721,0.74362,9060100.0,7031809.43,0.782703
1627081200000,0.74636,0.7525,0.70222,0.74531,7242976.0,5266140.66,0.727358
1627084800000,0.74531,0.83,0.7453,0.79221,11904076.0,9417233.46,0.789218
1627088400000,0.79292,0.79292,0.7422,0.75791,4527443.0,3465421.23,0.766498
1627092000000,0.758,0.94508,0.758,0.93673,17904991.0,15385359.62,0.852774
1627095600000,0.93661,1.11,0.91,1.0315,42639056.0,43809656.93,1.011547
1627099200000,1.0314,1.38273,0.96633,1.30595,59176061.0,72168321.01,1.175244
1627102800000,1.30583,1.47764,1.20618,1.45394,44760966.0,60525637.73,1.338857
1627106400000,1.45394,2.13999,1.45089,1.75809,121628297.0,224455031.8,1.805138
1627110000000,1.75883,2.03295,1.68,1.88177,62017438.0,114093271.02,1.857607
1627113600000,1.88161,1.99,1.8,1.9603,34947284.0,66213036.78,1.893837
1627117200000,1.96,2.17369,1.89105,1.9402,46817141.0,94195159.54,2.032471
1627120800000,1.94135,1.98,1.83622,1.94145,20045572.0,38190025.89,1.90811
1627124400000,1.94139,1.95,1.8682,1.92431,12782326.0,24505469.12,1.908838
1627128000000,1.91957,1.92845,1.64283,1.6818,30807505.0,53340026.47,1.782487
1627131600000,1.6819,1.69,1.51478,1.62288,26028710.0,41203095.86,1.60093
1627135200000,1.62288,1.75193,1.57622,1.5908,30412794.0,50514500.02,1.664556
1627138800000,1.5902,1.63346,1.54088,1.56288,10491421.0,16614129.26,1.587407
1627142400000,1.56289,1.749,1.54651,1.68788,20575864.0,34431500.69,1.65011
1627146000000,1.68777,1.7679,1.656,1.74383,10124439.0,17335013.41,1.711692
1627149600000,1.74132,1.9288,1.74132,1.879,26288925.0,49009752.2,1.83894
1627153200000,1.87924,1.88799,1.8068,1.83833,8913559.0,16441327.12,1.846623
1627156800000,1.83833,1.84497,1.67447,1.73634,10726590.0,18669817.47,1.757007
1627160400000,1.73659,1.8409,1.66904,1.78223,8721448.0,15259204.24,1.75489
