Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1609835400000,1.588,4.12,1.588,3.0544,1771062.44,5807192.71,2.902766
1609836300000,3.0543,3.65,2.92,3.49,1086267.93,3548241.44,3.286256
1609837200000,3.4899,3.4899,2.902,2.97,1139586.2,3536956.03,3.187687
1609838100000,2.9677,3.0699,2.8026,2.8593,709442.38,2081245.09,2.937225
1609839000000,2.8674,2.934,2.677,2.7,442397.17,1236563.61,2.808087
1609839900000,2.7,2.82,2.671,2.78,366349.17,1003539.22,2.745927
1609840800000,2.7859,2.9468,2.7601,2.8101,494159.64,1416146.62,2.853684
1609841700000,2.8113,3.0,2.8049,2.8228,298554.84,855476.98,2.902524
1609842600000,2.8228,2.865,2.6252,2.7126,329575.14,901578.92,2.74384
1609843500000,2.716,2.85,2.7126,2.736,139375.34,385665.78,2.781594
1609844400000,2.737,2.7402,2.5916,2.602,166715.11,447641.87,2.664964
1609845300000,2.6021,2.6782,2.591,2.6571,181480.36,476787.82,2.635152
1609846200000,2.6571,2.6589,2.54,2.5709,139252.38,361485.95,2.597249
1609847100000,2.5709,2.5723,2.505,2.5364,117256.43,297699.42,2.537595
1609848000000,2.5359,2.87,2.5356,2.854,687300.72,1896499.42,2.705095
1609848900000,2.854,2.958,2.753,2.789,1107682.77,3169192.37,2.856377
1609849800000,2.7973,2.925,2.7281,2.9,397433.91,1125331.52,2.824937
1609850700000,2.8961,2.9,2.8066,2.8222,280777.68,803360.75,2.852215
1609851600000,2.8219,2.825,2.68,2.6886,387292.92,1066721.85,2.751763
1609852500000,2.6949,2.847,2.6852,2.727,426306.89,1174672.75,2.766648
1609853400000,2.728,2.7863,2.68,2.6974,324023.85,885073.13,2.733583
1609854300000,2.6974,2.78,2.65,2.7257,326759.87,889171.74,2.715041
1609855200000,2.7209,2.729,2.5999,2.692,167800.54,447682.96,2.663917
1609856100000,2.6958,2.697,2.6467,2.666,49983.94,133754.64,2.670979
1609857000000,2.666,2.736,2.6546,2.6895,121986.65,329073.97,2.695673
1609857900000,2.6895,2.7,2.622,2.6681,46739.51,124459.18,2.660659
1609858800000,2.6605,2.661,2.6001,2.607,61169.34,160931.06,2.629785
1609859700000,2.608,2.6489,2.607,2.6489,38693.56,101736.76,2.627794
1609860600000,2.6464,2.7946,2.6365,2.7,472157.08,1292654.72,2.716803
1609861500000,2.698,2.7699,2.6456,2.7312,164603.32,445420.36,2.707626
1609862400000,2.726,2.75,2.6576,2.6791,112841.18,304178.58,2.703886
1609863300000,2.6791,2.6915,2.64,2.6507,49979.85,133023.74,2.66582
1609864200000,2.652,2.6527,2.525,2.527,222514.91,575284.87,2.588645
1609865100000,2.5369,2.596,2.4741,2.4894,279043.15,701851.53,2.535914
1609866000000,2.481,2.591,2.4026,2.5471,239935.64,593589.45,2.496252
1609866900000,2.5421,2.6165,2.4528,2.5037,207705.02,527598.33,2.534814
1609867800000,2.5037,2.5222,2.45,2.5029,162775.08,405453.8,2.486099
1609868700000,2.495,2.5629,2.46,2.4702,165626.51,414990.19,2.511875
1609869600000,2.4814,2.493,2.4051,2.4307,195567.7,475904.8,2.448415
1609870500000,2.4207,2.463,2.41,2.4221,86052.18,209250.41,2.436503
1609871400000,2.42,2.481,2.385,2.4416,116690.1,282905.28,2.433028
1609872300000,2.443,2.443,2.415,2.4311,22233.84,54042.16,2.428619
1609873200000,2.435,2.4446,2.3851,2.411,44761.44,108029.32,2.414504
1609874100000,2.41,2.41,2.289,2.3317,107904.08,251821.5,2.347004
1609875000000,2.3249,2.3389,2.1777,2.2578,186734.07,418955.14,2.256804
1609875900000,2.2531,2.3,2.227,2.298,45026.46,101511.26,2.262241
1609876800000,2.297,2.307,2.253,2.28,45102.48,103139.56,2.279784
1609877700000,2.28,2.2837,2.2033,2.249,47006.39,105319.31,2.242689
1609878600000,2.25,2.2889,2.241,2.241,30662.75,69741.06,2.265123
1609879500000,2.2412,2.2837,2.241,2.2771,19327.58,43710.95,2.263037
1609880400000,2.2771,2.386,2.265,2.3852,78477.7,182220.99,2.324092
1609881300000,2.3848,2.425,2.32,2.3906,105745.98,252211.94,2.372488
1609882200000,2.399,2.4706,2.3714,2.4706,77454.57,186658.65,2.418934
1609883100000,2.4715,2.7676,2.46,2.7591,253090.56,658479.43,2.61338
1609884000000,2.766,2.77,2.5676,2.7187,287162.5,765948.31,2.667782
1609884900000,2.7174,2.87,2.682,2.8188,361552.1,1007291.24,2.77662
1609885800000,2.8187,2.84,2.715,2.7986,129992.29,360893.91,2.777297
1609886700000,2.7882,2.868,2.75,2.8411,200449.16,563123.31,2.808701
1609887600000,2.841,2.8756,2.6084,2.735,274119.36,757733.9,2.740116
1609888500000,2.738,2.831,2.65,2.666,144810.43,398152.83,2.742086
1609889400000,2.6655,2.7568,2.6058,2.6151,63546.8,170130.71,2.682475
1609890300000,2.6215,2.7619,2.4673,2.5765,387222.4,1023084.83,2.614692
1609891200000,2.5765,2.5795,2.45,2.4667,78887.39,196806.44,2.513249
1609892100000,2.4631,2.5678,2.45,2.5339,104953.4,263124.8,2.509932
