Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1609833600000,1.588,4.12,1.588,2.78,5515105.29,17213738.11,2.8933
1609840800000,2.7859,3.0,2.505,2.5364,1866369.24,5142483.36,2.758696
1609848000000,2.5359,2.958,2.5356,2.7257,3937578.61,11010023.53,2.752966
1609855200000,2.7209,2.7946,2.5999,2.7312,1123133.94,3035713.64,2.69723
1609862400000,2.726,2.75,2.4026,2.4702,1440421.34,3655970.49,2.572882
1609869600000,2.4814,2.493,2.1777,2.298,804969.87,1902419.88,2.330328
1609876800000,2.297,2.7676,2.2033,2.7591,656868.01,1601481.89,2.47687
1609884000000,2.766,2.8756,2.4673,2.5765,1848855.04,5046359.05,2.671461
1609891200000,2.5765,2.6909,2.357,2.539,598572.97,1508849.49,2.523843
1609898400000,2.5338,2.6392,2.426,2.4909,584908.62,1499373.4,2.532807
1609905600000,2.4862,2.5003,2.33,2.388,298965.67,722164.97,2.41316
1609912800000,2.3908,2.43,2.3,2.39,257307.39,605439.34,2.365
1609920000000,2.3747,2.41,2.32,2.3902,152792.22,361178.26,2.36487
1609927200000,2.3919,2.509,2.32,2.3201,192488.47,463644.25,2.41669
1609934400000,2.3201,2.3803,2.2032,2.3391,260178.82,598224.77,2.291641
1609941600000,2.3391,2.3478,2.2172,2.3201,181431.86,414313.67,2.282249
1609948800000,2.32,2.3313,2.2383,2.2863,118311.62,271100.76,2.284177
1609956000000,2.288,2.3528,2.2566,2.2602,101611.18,234204.89,2.305352
1609963200000,2.2601,2.2907,2.2237,2.2555,86893.64,195530.62,2.257199
1609970400000,2.2555,2.346,2.2238,2.302,64594.02,147152.66,2.285131
1609977600000,2.3183,2.3307,2.2248,2.2597,94947.31,213359.3,2.276817
1609984800000,2.2596,2.2969,2.2241,2.2318,44940.61,101260.73,2.26106
1609992000000,2.2318,2.2318,2.1155,2.1869,161802.64,354744.15,2.172268
1609999200000,2.1858,2.2257,2.145,2.2235,141285.99,307094.91,2.184236
1610006400000,2.224,2.29,2.144,2.2097,166008.18,366750.3,2.217
1610013600000,2.209,2.2349,2.16,2.16,70803.46,155774.91,2.199002
1610020800000,2.1606,2.2,2.15,2.1829,170911.21,370061.26,2.17517
1610028000000,2.1752,2.177,2.147,2.157,90312.43,195056.59,2.161585
1610035200000,2.1574,2.2239,2.145,2.1966,148140.86,323252.56,2.18494
1610042400000,2.2018,2.2067,2.1293,2.1499,77329.27,166986.73,2.167006
1610049600000,2.142,2.19,2.125,2.19,68987.4,148403.1,2.156158
1610056800000,2.19,2.51,2.1794,2.2091,390581.24,919530.9,2.344821
1610064000000,2.2102,2.334,2.18,2.1962,103059.65,232070.57,2.257111
1610071200000,2.1962,2.2,2.0,2.135,142822.59,297422.5,2.098428
1610078400000,2.1339,2.4441,2.12,2.155,224860.37,505256.13,2.282196
1610085600000,2.1493,2.1695,2.1321,2.1346,42066.42,90123.04,2.151156
1610092800000,2.1341,2.245,2.1341,2.2223,69064.28,152092.49,2.191682
1610100000000,2.2139,2.2223,2.139,2.1752,48653.57,106381.72,2.179857
1610107200000,2.1897,2.218,2.15,2.1802,55964.28,122674.54,2.183995
1610114400000,2.188,2.35,2.18,2.258,291915.47,660384.74,2.266859
1610121600000,2.26,2.49,2.2432,2.49,161848.37,383138.49,2.36427
1610128800000,2.4899,2.4899,2.2256,2.2639,48489.2,113986.22,2.353466
1610136000000,2.2602,2.4618,2.2003,2.415,117289.22,278485.22,2.330421
1610143200000,2.415,2.415,2.2745,2.2961,60542.07,141261.98,2.342395
1610150400000,2.3001,2.307,2.2091,2.2091,52329.3,117449.31,2.259001
1610157600000,2.221,2.242,2.1536,2.2156,46972.09,103639.64,2.197781
1610164800000,2.2111,2.26,2.1687,2.1959,29460.26,64597.08,2.214426
1610172000000,2.1959,2.212,2.1639,2.1854,5100.66,11163.24,2.187917
1610179200000,2.1854,2.2042,2.1621,2.195,28662.14,62356.4,2.183057
1610186400000,2.2,2.2198,2.177,2.2099,25014.82,55063.22,2.198311
1610193600000,2.2116,2.2402,2.196,2.211,42369.2,93957.04,2.2181
1610200800000,2.213,2.2381,2.19,2.237,33348.44,74085.5,2.213323
1610208000000,2.237,2.2388,2.17,2.2141,43182.9,94909.62,2.203798
1610215200000,2.2141,2.3714,2.2139,2.2963,42661.23,97795.73,2.295387
1610222400000,2.287,2.3105,2.2471,2.274,14250.14,32383.08,2.278782
1610229600000,2.288,2.3449,2.234,2.2937,42662.13,96977.54,2.289449
1610236800000,2.2899,2.297,2.2403,2.2723,13362.5,30232.03,2.268343
1610244000000,2.2769,2.2865,2.2514,2.2622,17038.43,38610.89,2.268922
1610251200000,2.2579,2.2684,2.2489,2.2552,7083.4,15975.8,2.25866
1610258400000,2.25,2.3,2.2452,2.2621,29346.46,66632.69,2.272804
1610265600000,2.263,2.29,2.2204,2.28,27721.39,62645.34,2.254953
1610272800000,2.2737,2.2737,2.2098,2.215,24872.25,55734.04,2.241055
1610280000000,2.2058,2.2394,2.1999,2.2321,20135.54,44533.81,2.219737
1610287200000,2.2321,2.2384,2.21,2.2256,22389.17,49562.36,2.224138
1610294400000,2.2168,2.2258,2.18,2.18,45232.75,99671.52,2.203766
1610301600000,2.18,2.2236,2.17,2.188,21541.28,47151.75,2.196872
1610308800000,2.174,2.194,2.0911,2.1323,61766.07,131313.11,2.142096
1610316000000,2.1307,2.2146,2.1306,2.14,10268.69,22187.48,2.172715
1610323200000,2.1534,2.1798,2.113,2.114,12362.21,26470.99,2.14761
1610330400000,2.119,2.119,1.95,1.9899,49871.74,100201.71,2.031092
1610337600000,1.9999,2.109,1.984,2.0,39915.06,80536.13,2.0465
1610344800000,2.0,2.0,1.9,1.9566,52234.98,100778.03,1.948602
1610352000000,1.9561,1.991,1.909,1.9251,11038.04,21596.32,1.950348
1610359200000,1.9251,2.0305,1.9091,2.028,28149.67,55494.78,1.968322
1610366400000,2.0301,2.164,1.932,1.938,69370.23,142464.25,2.050623
1610373600000,1.935,1.9752,1.824,1.87,99839.57,188454.49,1.89946
1610380800000,1.87,1.8858,1.755,1.8758,54305.22,98505.27,1.820374
1610388000000,1.865,1.8769,1.81,1.8139,10005.86,18393.9,1.844133
1610395200000,1.806,1.8986,1.8037,1.896,12246.29,22700.29,1.851194
1610402400000,1.8939,1.9482,1.8783,1.9482,31084.68,59266.62,1.911864
1610409600000,1.946,1.9522,1.883,1.884,3951.78,7643.18,1.918253
1610416800000,1.8784,1.9591,1.8607,1.9342,23603.08,45253.44,1.910215
1610424000000,1.9476,2.0453,1.9476,2.0453,23829.69,47818.72,1.99645
1610431200000,2.0612,2.1,1.9977,2.0646,28872.03,58903.4,2.048846
1610438400000,2.0679,2.1334,2.01,2.037,96567.8,201171.13,2.072007
1610445600000,2.0312,2.049,1.9446,1.9596,21219.07,42166.45,1.996987
1610452800000,1.9594,2.06,1.955,1.972,23819.03,47831.99,2.007651
1610460000000,1.98,1.982,1.907,1.9629,10831.37,21073.94,1.944145
1610467200000,1.9656,1.999,1.954,1.998,19198.4,38256.08,1.975711
1610474400000,1.998,1.999,1.9341,1.9878,23814.86,47197.08,1.966386
1610481600000,1.9684,2.0175,1.9534,2.0082,18911.26,37743.82,1.985146
1610488800000,2.0082,2.0082,1.957,1.957,15736.3,31233.13,1.9826
1610496000000,1.9713,1.9714,1.9099,1.9286,12686.0,24342.96,1.939376
1610503200000,1.9398,1.955,1.9282,1.9421,31634.23,61448.86,1.941601
1610510400000,1.9343,1.98,1.9316,1.98,13941.93,27471.18,1.955413
1610517600000,1.98,2.0378,1.9642,1.9734,20088.57,39904.67,2.001049
1610524800000,1.974,2.0169,1.9734,2.009,10782.86,21474.36,1.995855
1610532000000,2.009,2.0466,1.9947,2.0309,20786.39,42251.36,2.020683
1610539200000,2.015,2.0318,1.9737,2.0256,19844.77,39809.43,2.002603
