Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1553486400000,0.03,0.04,0.02236,0.02645,1516068479.2,38148392.5,0.03121
1553493600000,0.02639,0.0283,0.02536,0.02659,612952712.1,16371182.12,0.02683
1553500800000,0.02662,0.02714,0.02434,0.02491,315578320.9,8206422.48,0.025737
1553508000000,0.02492,0.02567,0.02425,0.02485,175569555.1,4404133.11,0.02496
1553515200000,0.02483,0.02496,0.0238,0.02427,178991178.5,4330721.17,0.024369
1553522400000,0.02427,0.02485,0.02332,0.02332,142355050.1,3438104.4,0.024116
1553529600000,0.02333,0.0252,0.02283,0.02436,272653564.4,6450538.16,0.024023
1553536800000,0.02436,0.02497,0.02301,0.02393,93033371.9,2234474.33,0.023988
1553544000000,0.02391,0.02416,0.02347,0.024,31979104.1,761532.56,0.023814
1553551200000,0.02403,0.0249,0.02403,0.02423,47375356.5,1159273.65,0.024469
1553558400000,0.0242,0.02479,0.02369,0.02401,50149025.5,1217636.15,0.024241
1553565600000,0.02405,0.0246,0.02351,0.02432,897379193.0,21572423.08,0.024053
1553572800000,0.02432,0.02453,0.02378,0.02379,103780366.7,2514242.52,0.024169
1553580000000,0.02379,0.02395,0.0211,0.02187,155452864.9,3535063.85,0.022486
1553587200000,0.02188,0.02188,0.02027,0.02031,222846377.6,4701128.34,0.021069
1553594400000,0.0203,0.02059,0.0199,0.02024,113190044.6,2287893.21,0.020245
1553601600000,0.02022,0.02036,0.01825,0.01943,231165853.2,4449287.01,0.019286
1553608800000,0.01943,0.01944,0.01828,0.01853,101955174.7,1922865.43,0.018839
1553616000000,0.01852,0.01879,0.01805,0.01834,72221702.8,1325225.82,0.01842
1553623200000,0.01836,0.01958,0.01823,0.01916,81120734.2,1550040.0,0.018919
1553630400000,0.01921,0.0193,0.01814,0.01836,44229481.5,832653.09,0.01871
1553637600000,0.01837,0.01864,0.01761,0.01814,80438766.5,1459246.21,0.018123
1553644800000,0.01814,0.01829,0.01653,0.01793,134300282.3,2342507.84,0.017408
1553652000000,0.01793,0.01886,0.01729,0.01795,93958951.9,1709661.13,0.018075
1553659200000,0.01793,0.01818,0.01764,0.01808,53640250.1,958028.87,0.017908
1553666400000,0.01807,0.01831,0.01751,0.01785,45788870.1,817085.55,0.017909
1553673600000,0.01782,0.018,0.01732,0.01733,45668721.9,801383.92,0.017673
1553680800000,0.01733,0.01805,0.01726,0.01784,51858028.7,914174.58,0.017663
1553688000000,0.01782,0.01925,0.01766,0.01886,131659971.2,2456990.89,0.018469
1553695200000,0.01886,0.02091,0.01885,0.01979,207353376.4,4138152.59,0.01991
1553702400000,0.01978,0.02381,0.01975,0.02332,297064704.0,6552720.97,0.021834
1553709600000,0.02331,0.0234,0.02111,0.02114,204396700.8,4535626.06,0.022264
1553716800000,0.02116,0.02488,0.0205,0.02366,220504935.2,5041326.6,0.022715
