Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1597449600000,5.0,23.255,5.0,6.91,5014732.421,49672580.03,14.149928
1597536000000,6.91,7.696,5.734,5.782,3224235.06,21147477.11,6.748239
1597622400000,5.781,5.94,4.182,4.38,4726877.361,22763287.96,5.05732
1597708800000,4.375,4.486,3.173,3.6,5891300.544,22022776.65,3.814425
1597795200000,3.6,5.03,3.305,3.919,7644862.305,32769273.25,4.171018
1597881600000,3.919,4.675,3.809,3.89,4503665.09,18766930.2,4.242095
1597968000000,3.884,4.069,3.2,3.23,4839799.213,17796370.25,3.647284
1598054400000,3.23,3.27,2.715,3.057,3407375.506,10028061.17,2.988741
1598140800000,3.057,3.09,2.58,2.695,3452913.365,9704380.5,2.829092
1598227200000,2.685,3.1,2.595,2.897,4249210.839,12287908.16,2.850104
1598313600000,2.884,3.411,2.68,2.857,5472771.867,16487212.69,3.04556
1598400000000,2.858,4.15,2.815,3.556,9770163.833,34143267.09,3.502709
1598486400000,3.558,4.316,3.2,3.344,10622222.281,40255386.37,3.760848
1598572800000,3.344,4.0,3.34,3.527,5469740.809,19852186.01,3.674595
1598659200000,3.532,3.549,3.083,3.109,4563202.893,15212071.72,3.314833
1598745600000,3.107,3.75,3.08,3.554,7510633.032,26177788.44,3.42558
1598832000000,3.557,4.443,3.423,4.337,7516192.043,28521386.77,3.930603
1598918400000,4.333,5.701,4.141,5.335,21189407.359,104549818.82,4.931005
1599004800000,5.356,5.369,3.8,4.326,13213895.281,58976292.85,4.553528
1599091200000,4.326,4.359,2.733,2.913,13872548.792,49861332.26,3.528894
1599177600000,2.913,3.294,2.666,2.85,9011295.305,26951260.49,2.980248
1599264000000,2.851,3.073,1.549,1.901,10874401.79,25017165.7,2.304006
1599350400000,1.897,2.335,1.5,2.16,12841820.034,25833928.62,1.914677
1599436800000,2.161,2.298,1.7,2.097,8069814.767,16028579.7,1.998627
1599523200000,2.1,2.15,1.757,1.839,6501641.783,12413969.34,1.951517
1599609600000,1.838,2.143,1.772,1.973,8816283.969,17285303.85,1.95928
1599696000000,1.97,2.197,1.925,1.96,9833403.85,20252980.97,2.061032
1599782400000,1.961,2.009,1.703,1.901,8378489.691,15549833.81,1.855272
1599868800000,1.9,2.147,1.81,2.103,11820422.808,23621195.84,1.976205
1599955200000,2.101,2.14,1.76,1.908,9602679.523,18617375.53,1.946243
1600041600000,1.908,1.982,1.787,1.843,7171169.585,13436831.01,1.884757
1600128000000,1.846,1.889,1.337,1.415,10844631.258,17836857.44,1.609853
1600214400000,1.417,1.463,1.198,1.281,12854255.481,16957829.62,1.329196
1600300800000,1.281,1.433,1.196,1.333,10784967.313,14064997.78,1.314591
1600387200000,1.332,1.433,1.222,1.258,10518595.219,13969394.26,1.328531
1600473600000,1.258,1.649,1.233,1.483,16055050.815,23392082.76,1.446563
1600560000000,1.482,1.638,1.299,1.361,15526291.727,22677817.34,1.470046
1600646400000,1.361,1.403,1.07,1.088,14672700.472,17682246.42,1.238924
1600732800000,1.09,1.152,1.0,1.077,11367668.864,12294324.17,1.075986
1600819200000,1.079,1.133,0.864,0.888,12161063.817,12266062.28,1.000663
1600905600000,0.887,1.004,0.875,0.993,9493710.13,8963997.6,0.939398
1600992000000,0.992,1.044,0.879,0.975,13394313.564,12809743.09,0.961441
1601078400000,0.974,1.143,0.97,1.114,13117289.978,13776437.4,1.058947
1601164800000,1.114,1.135,0.978,1.04,9173508.369,9594257.88,1.055294
1601251200000,1.04,1.1,0.971,1.002,9448248.884,9846884.12,1.035822
1601337600000,1.001,1.021,0.906,0.951,7314006.597,7147774.35,0.96288
1601424000000,0.953,0.97,0.909,0.949,6921674.674,6480613.91,0.939488
1601510400000,0.95,0.985,0.823,0.864,9131513.033,8270377.2,0.903773
1601596800000,0.863,0.877,0.726,0.765,10249771.978,8058835.57,0.800029
1601683200000,0.765,0.811,0.742,0.768,7115744.27,5549528.79,0.776505
1601769600000,0.766,0.769,0.674,0.697,8981437.99,6362543.6,0.719981
1601856000000,0.697,0.721,0.614,0.632,10043965.189,6545484.54,0.667805
1601942400000,0.633,0.634,0.494,0.507,18189571.862,10024921.35,0.562476
1602028800000,0.507,0.53,0.455,0.526,18502756.369,8940017.07,0.492109
1602115200000,0.526,0.579,0.462,0.561,18193662.364,9424751.66,0.519974
1602201600000,0.559,0.639,0.518,0.623,17919160.824,10438065.68,0.57756
1602288000000,0.623,0.647,0.547,0.558,11517182.202,6858960.79,0.597768
1602374400000,0.559,0.58,0.525,0.559,8386741.998,4659447.12,0.5525
1602460800000,0.558,0.599,0.536,0.571,8421794.85,4797452.97,0.567532
1602547200000,0.571,0.574,0.532,0.545,6544549.234,3633465.06,0.55247
1602633600000,0.548,0.554,0.478,0.503,10776793.696,5536062.4,0.515087
1602720000000,0.503,0.508,0.48,0.499,7385313.067,3649781.34,0.493964
1602806400000,0.499,0.514,0.425,0.431,11489728.596,5293727.29,0.470269
1602892800000,0.431,0.456,0.418,0.436,8144632.47,3558051.82,0.437015
1602979200000,0.435,0.475,0.434,0.455,7111837.525,3226194.64,0.455101
1603065600000,0.456,0.458,0.408,0.413,10101635.204,4357363.18,0.43266
1603152000000,0.413,0.417,0.354,0.359,15231672.33,5782554.33,0.385388
1603238400000,0.358,0.404,0.357,0.384,13041921.652,4933872.01,0.381287
1603324800000,0.383,0.431,0.382,0.409,11217181.439,4584902.3,0.407295
1603411200000,0.408,0.412,0.368,0.379,9265882.737,3618732.64,0.389574
1603497600000,0.379,0.383,0.354,0.372,11790315.08,4339711.1,0.368397
1603584000000,0.374,0.382,0.328,0.337,10644650.871,3736450.51,0.354934
1603670400000,0.337,0.443,0.333,0.405,28247224.06,11032939.7,0.389796
1603756800000,0.405,0.678,0.388,0.657,49390447.85,24255313.85,0.533465
1603843200000,0.657,0.665,0.451,0.491,39924419.641,21442041.42,0.555167
1603929600000,0.49,0.523,0.429,0.446,25198499.633,11700584.61,0.476464
1604016000000,0.445,0.463,0.377,0.393,24964152.668,10051041.58,0.420101
1604102400000,0.394,0.45,0.39,0.418,13521422.573,5655532.29,0.420583
1604188800000,0.416,0.423,0.388,0.401,8422934.806,3388171.59,0.405356
1604275200000,0.402,0.425,0.356,0.361,10191779.96,3967330.79,0.391371
1604361600000,0.36,0.37,0.34,0.356,10354307.399,3651966.57,0.354987
1604448000000,0.356,0.378,0.33,0.342,10564571.632,3742404.72,0.354109
1604534400000,0.342,0.385,0.331,0.36,12432209.077,4429377.59,0.3582
1604620800000,0.362,0.448,0.356,0.438,19602793.33,8017380.14,0.402411
1604707200000,0.437,0.548,0.395,0.43,41314241.816,19154554.89,0.47152
1604793600000,0.429,0.49,0.419,0.471,18140673.752,8338577.92,0.454931
