Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1597464000000,5.0,23.255,5.0,11.849,1054951.462,15435950.01,14.335514
1597471200000,11.823,11.839,10.17,10.35,225062.476,2480435.82,10.984671
1597478400000,10.383,10.6,7.933,8.157,451768.248,4063764.52,9.265762
1597485600000,8.151,8.21,5.925,6.137,423550.883,3012474.43,7.049061
1597492800000,6.163,11.22,6.035,9.63,1509492.669,13461687.89,8.719491
1597500000000,9.63,9.75,8.555,8.83,385181.544,3523606.41,9.142721
1597507200000,8.812,9.2,7.53,8.211,367656.283,3079322.63,8.360098
1597514400000,8.215,8.77,7.99,8.002,185813.549,1551523.41,8.385158
1597521600000,7.994,8.129,7.28,7.836,206524.895,1592471.18,7.702661
1597528800000,7.836,7.894,6.8,6.91,204730.412,1471343.73,7.341327
1597536000000,6.91,7.696,6.513,6.622,355560.217,2540582.92,7.109591
1597543200000,6.631,6.9,6.23,6.437,382085.398,2486153.37,6.565664
1597550400000,6.436,7.433,6.382,6.864,422134.457,2918001.36,6.918638
1597557600000,6.863,7.101,6.633,6.66,251342.996,1724091.64,6.872207
1597564800000,6.679,6.839,6.389,6.561,297815.103,1963496.5,6.613895
1597572000000,6.561,6.61,6.372,6.418,178807.788,1162338.24,6.491149
1597579200000,6.41,6.64,6.2,6.447,258086.042,1655367.03,6.419985
1597586400000,6.447,6.46,6.233,6.346,204943.22,1296251.34,6.343897
1597593600000,6.345,6.617,6.26,6.313,224929.512,1438176.05,6.43872
1597600800000,6.313,6.399,6.268,6.31,121441.015,767031.54,6.333503
1597608000000,6.322,6.344,5.954,6.077,284703.193,1742746.69,6.143472
1597615200000,6.077,6.3,5.734,5.782,242386.119,1453240.43,6.023375
1597622400000,5.781,5.94,5.133,5.485,452928.691,2473059.58,5.533141
1597629600000,5.484,5.55,5.103,5.104,240129.176,1266191.05,5.333667
1597636800000,5.105,5.4,5.06,5.333,280885.759,1450142.04,5.231393
1597644000000,5.283,5.539,4.85,5.003,429823.356,2236194.72,5.196718
1597651200000,5.004,5.099,4.718,4.82,451954.747,2203197.86,4.908283
1597658400000,4.819,4.876,4.36,4.517,709295.147,3271215.59,4.613317
1597665600000,4.517,4.799,4.31,4.417,390108.802,1789729.18,4.555424
1597672800000,4.432,4.56,4.182,4.3,481575.649,2089373.79,4.371157
1597680000000,4.308,4.563,4.255,4.41,276254.023,1217322.89,4.41041
1597687200000,4.409,5.09,4.407,4.711,604014.1,2888391.47,4.758187
1597694400000,4.712,4.863,4.471,4.62,191963.421,893913.36,4.667014
1597701600000,4.608,4.823,4.3,4.38,217944.49,984556.43,4.564867
1597708800000,4.375,4.486,4.101,4.149,274713.697,1168710.84,4.296469
1597716000000,4.142,4.153,3.73,3.825,490900.908,1920293.14,3.93464
1597723200000,3.825,3.979,3.553,3.654,440507.118,1648806.98,3.767112
1597730400000,3.65,3.8,3.359,3.416,634117.708,2231279.1,3.583021
1597737600000,3.416,3.851,3.389,3.841,498232.111,1807943.42,3.617719
1597744800000,3.841,4.112,3.665,3.713,617365.874,2379267.03,3.890834
1597752000000,3.713,3.837,3.36,3.396,402054.122,1442605.58,3.603961
1597759200000,3.396,3.539,3.173,3.384,525980.148,1769743.53,3.355991
1597766400000,3.384,3.8,3.375,3.59,457058.061,1632071.03,3.593771
1597773600000,3.567,3.777,3.428,3.64,262865.441,944399.96,3.602489
1597780800000,3.64,4.306,3.64,4.191,742509.801,3006435.08,3.984871
1597788000000,4.193,4.193,3.503,3.6,544995.555,2071220.98,3.837016
1597795200000,3.6,3.99,3.5,3.769,444656.031,1673468.71,3.746854
1597802400000,3.771,3.787,3.371,3.378,407039.903,1464752.34,3.580292
1597809600000,3.389,3.9,3.305,3.799,445361.238,1570592.02,3.603645
1597816800000,3.799,4.72,3.616,4.581,1224485.779,5170090.55,4.164845
1597824000000,4.581,4.698,4.099,4.306,1087405.812,4738712.22,4.395997
1597831200000,4.32,4.597,4.269,4.415,514612.681,2281208.43,4.434403
