Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1603756800000,0.77,4.8,0.77,1.3644,16159838.29,26818328.84,2.794394
1603843200000,1.3582,1.3876,0.88,0.9965,6727531.82,7157044.59,1.127468
1603929600000,0.9965,1.185,0.7822,0.9967,7302733.98,6919945.97,0.9836
1604016000000,0.9968,1.0709,0.8,0.8818,3805578.55,3445358.57,0.935268
1604102400000,0.8816,0.9372,0.8334,0.8645,1092528.51,962729.81,0.885384
1604188800000,0.8637,0.8849,0.773,0.8296,1837288.18,1526480.65,0.828529
1604275200000,0.8308,0.86,0.7701,0.847,2962241.96,2405514.04,0.814855
1604361600000,0.847,0.9,0.6901,0.7491,8002521.32,6091437.67,0.794877
1604448000000,0.7576,0.7632,0.7207,0.747,3143362.84,2337140.58,0.741786
1604534400000,0.7501,0.77,0.7063,0.7603,2887717.71,2162630.1,0.73804
1604620800000,0.7572,0.8398,0.7001,0.78,3805217.67,2909084.28,0.769959
1604707200000,0.78,0.86,0.74,0.7933,4774610.65,3812987.98,0.800041
1604793600000,0.7893,0.8967,0.7612,0.8358,4538974.9,3740494.26,0.829447
1604880000000,0.8353,0.994,0.788,0.8959,4242409.25,3689546.39,0.891562
1604966400000,0.8965,0.9492,0.87,0.9269,2903930.21,2638241.49,0.90952
1605052800000,0.9269,0.9496,0.8818,0.902,1106026.92,1003945.36,0.915744
1605139200000,0.9019,0.98,0.881,0.9246,1297966.2,1204047.83,0.93073
1605225600000,0.9227,1.0431,0.919,1.0417,2320871.14,2298107.88,0.980707
1605312000000,1.0405,1.0797,0.9433,1.0487,3691506.23,3751244.11,1.01147
1605398400000,1.0463,1.2985,1.0063,1.2116,3681184.76,4104358.95,1.154439
1605484800000,1.212,1.3499,1.1227,1.2225,6722612.62,8261436.76,1.23631
1605571200000,1.2251,1.27,1.083,1.1683,4662941.11,5480958.39,1.176023
1605657600000,1.1682,1.1803,0.9944,1.147,4914606.26,5414101.6,1.087121
1605744000000,1.147,1.3246,1.113,1.1592,5736334.33,6746400.49,1.218855
1605830400000,1.159,1.4199,1.1243,1.3578,5594292.97,7208796.98,1.273847
1605916800000,1.3578,1.461,1.2271,1.3595,5063130.31,6831087.76,1.34405
1606003200000,1.362,1.4,1.0884,1.1664,3666131.87,4458801.25,1.242014
1606089600000,1.1664,1.2599,1.1359,1.1938,3263898.76,3886765.3,1.19812
1606176000000,1.1946,1.2298,1.0465,1.1272,3229453.77,3675167.56,1.137354
1606262400000,1.1261,1.1774,1.0932,1.1297,2508414.79,2858991.83,1.135303
1606348800000,1.1298,1.1499,0.9,1.0503,2612807.64,2610290.62,1.02326
1606435200000,1.0562,1.0888,0.9718,1.0048,1873342.86,1916317.11,1.03029
1606521600000,1.0048,1.0949,0.9976,1.0248,1959681.52,2044627.0,1.046586
1606608000000,1.0248,1.19,1.011,1.187,1366228.35,1491204.7,1.099105
1606694400000,1.1871,1.1977,1.0964,1.136,1605006.58,1838100.16,1.146065
1606780800000,1.1361,1.2874,1.07,1.1812,4296140.26,5103601.95,1.178918
1606867200000,1.184,1.31,1.157,1.2362,4454303.3,5510492.32,1.234201
1606953600000,1.235,1.3599,1.2016,1.247,5026739.74,6311228.95,1.280807
1607040000000,1.2466,1.3053,1.0121,1.033,5039249.97,5881189.84,1.161591
1607126400000,1.0313,1.1049,1.0,1.0581,2799315.55,2980365.06,1.052579
1607212800000,1.0581,1.09,1.012,1.0272,1981578.12,2076868.28,1.051341
1607299200000,1.028,1.1203,1.016,1.0807,2893582.1,3085726.82,1.069091
1607385600000,1.081,1.2953,1.0303,1.167,8638069.93,10146035.14,1.163849
1607472000000,1.167,1.1995,1.046,1.1383,6920928.07,7817734.77,1.122486
1607558400000,1.137,1.1865,1.059,1.0832,4228151.61,4755497.03,1.123339
1607644800000,1.0838,1.0863,0.9487,0.9638,5138400.96,5109255.54,1.016021
1607731200000,0.9638,1.0266,0.9606,0.9911,2599010.05,2595510.15,0.994322
1607817600000,0.9911,1.0263,0.9552,0.993,2832691.43,2808116.59,0.99075
1607904000000,0.9929,0.9948,0.955,0.9813,1564551.04,1519962.34,0.974635
1607990400000,0.9812,0.9961,0.9581,0.9761,1568153.2,1532691.6,0.977093
1608076800000,0.9761,1.0551,0.9631,0.9921,3642489.11,3687919.92,1.00929
1608163200000,0.9922,1.0523,0.9745,1.0146,3982262.13,4046838.5,1.013612
1608249600000,1.0159,1.1,0.9825,1.0232,4146425.29,4267268.42,1.041271
1608336000000,1.0232,1.194,0.983,1.0188,11554044.36,12125419.69,1.088507
1608422400000,1.0188,1.02,0.9141,0.9275,3121388.39,3077783.94,0.965658
1608508800000,0.9275,0.9727,0.8101,0.864,4088082.87,3592258.84,0.891228
1608595200000,0.864,0.9469,0.8332,0.9312,2371283.34,2113462.67,0.889328
1608681600000,0.9312,1.08,0.8101,0.8426,8560384.79,8112429.51,0.94666
1608768000000,0.8404,0.8686,0.7851,0.8657,2148371.3,1781161.14,0.826235
1608854400000,0.8655,0.8838,0.7947,0.8192,1585285.91,1336655.69,0.839026
1608940800000,0.8176,1.076,0.78,0.804,10778150.66,9838113.01,0.928062
1609027200000,0.804,0.8519,0.785,0.8041,4600136.01,3770476.78,0.81845
1609113600000,0.8049,0.8563,0.8004,0.8239,4251024.38,3525218.96,0.828765
1609200000000,0.8245,0.8615,0.8,0.8278,5208711.08,4300154.72,0.830753
1609286400000,0.8277,0.8458,0.7951,0.8454,4390969.92,3574018.94,0.819944
1609372800000,0.8456,0.8616,0.8145,0.8485,2205934.55,1861011.42,0.838041
1609459200000,0.8482,0.9099,0.8368,0.8697,1304225.6,1136094.14,0.873668
1609545600000,0.8697,0.9278,0.8457,0.8754,1397798.8,1238742.95,0.886767
1609632000000,0.8757,0.93,0.8632,0.9254,1930917.67,1728362.86,0.895966
1609718400000,0.9257,1.0789,0.8706,0.9786,5840350.69,5737668.22,0.97512
1609804800000,0.9786,1.3012,0.8792,0.9178,16460070.89,17406358.47,1.090941
1609891200000,0.918,0.9997,0.9024,0.9446,12613469.18,11932017.18,0.951426
1609977600000,0.9446,0.9725,0.8323,0.9006,11607424.45,10805019.59,0.90189
1610064000000,0.9006,0.9199,0.848,0.9026,5273795.77,4672058.39,0.883947
1610150400000,0.9025,0.9571,0.8755,0.9208,4652917.32,4263693.16,0.916359
1610236800000,0.9209,0.985,0.87,0.9133,5922695.02,5513647.85,0.927511
1610323200000,0.914,0.9164,0.793,0.869,5757859.72,4921658.38,0.853434
1610409600000,0.8686,0.9069,0.8349,0.8894,4052494.92,3536982.2,0.870727
1610496000000,0.8893,0.96,0.8652,0.9473,2409112.42,2202502.88,0.912012
1610582400000,0.947,1.01,0.9261,0.999,1835305.64,1781609.08,0.967524
1610668800000,0.999,1.0225,0.934,1.008,2531534.98,2484348.85,0.978185
1610755200000,1.0082,1.1052,0.9864,1.0437,2554005.98,2700169.53,1.046253
1610841600000,1.0436,1.143,0.987,1.11,2090720.66,2205339.83,1.06444
1610928000000,1.1105,1.1815,1.0218,1.1809,3562447.12,3967613.35,1.099401
1611014400000,1.1799,1.182,1.09,1.0933,1875495.26,2157490.96,1.135829
1611100800000,1.0936,1.29,1.0094,1.236,2804138.38,3144473.8,1.148661
1611187200000,1.2363,1.575,0.91,0.9264,26893632.58,31806195.29,1.251752
1611273600000,0.9325,1.05,0.86,0.9901,29666908.43,29027337.58,0.954852
1611360000000,0.9903,1.0478,0.96,1.0039,8441723.35,8432501.14,1.003941
1611446400000,1.0039,1.0718,0.9765,1.0198,8108500.08,8284216.97,1.024236
1611532800000,1.0196,1.0343,0.9092,0.9324,8043217.45,7949575.17,0.971162
1611619200000,0.9334,0.97,0.9049,0.9442,3981911.8,3733350.37,0.937441
1611705600000,0.9442,0.9445,0.81,0.8828,14312377.27,12564106.7,0.875258
1611792000000,0.8829,0.9576,0.8588,0.9395,5438841.59,4978457.08,0.907932
1611878400000,0.9394,0.949,0.8578,0.9011,6447611.69,5769736.36,0.902623
1611964800000,0.9007,0.9354,0.8787,0.9188,4658412.54,4232517.84,0.906979
1612051200000,0.919,0.9647,0.8901,0.9186,4612526.02,4259976.83,0.9274
1612137600000,0.9186,0.9989,0.8953,0.9784,5410214.61,5176119.54,0.946973
1612224000000,0.9783,1.0329,0.957,0.9818,4902904.43,4842890.43,0.994958
1612310400000,0.9815,1.0431,0.9772,1.0196,5404286.28,5493132.88,1.011025
1612396800000,1.0196,1.0391,0.9214,1.0,6505124.36,6463073.52,0.980044
1612483200000,0.9999,1.25,0.9999,1.1998,8636241.79,9737236.39,1.129721
1612569600000,1.1998,1.22,1.05,1.166,5411700.77,6256132.48,1.134522
1612656000000,1.1664,1.32,1.1202,1.2601,7243280.98,8933459.85,1.220499
1612742400000,1.2594,1.84,1.2457,1.7246,13009997.17,19914984.63,1.552048
1612828800000,1.7257,1.9512,1.6358,1.792,11310136.23,19979242.79,1.793887
1612915200000,1.7908,2.4,1.7,2.2151,18178781.65,37007879.58,2.054759
1613001600000,2.2121,2.45,1.98,2.1098,7529478.43,16668716.19,2.215648
1613088000000,2.1131,2.5668,2.055,2.3092,7462597.48,17419641.01,2.314701
1613174400000,2.3125,2.566,2.1,2.3708,7898413.96,18722263.48,2.332966
1613260800000,2.3746,2.5,2.0046,2.0834,5468540.56,12339474.5,2.254503
1613347200000,2.0822,2.1487,1.4602,1.8867,9505463.43,18360529.81,1.800747
1613433600000,1.8867,2.0,1.7467,1.8647,3264106.12,6173085.41,1.873346
1613520000000,1.8664,2.33,1.6584,2.1934,6238250.89,12452809.45,1.991951
1613606400000,2.1967,2.3333,2.018,2.2387,5196749.28,11377296.23,2.175463
1613692800000,2.2407,2.7,2.1109,2.6942,6834306.4,16476478.6,2.394667
1613779200000,2.6948,2.73,1.8649,2.1102,6167758.85,14461958.48,2.283912
1613865600000,2.1102,2.2891,2.0,2.1177,5056013.84,10979124.5,2.144555
1613952000000,2.1192,2.1263,1.5,1.9219,6524223.5,12107104.2,1.807873
1614038400000,1.9218,1.9367,1.28,1.6036,7989433.26,12418952.37,1.598725
1614124800000,1.6021,1.8301,1.4837,1.7382,4474470.46,7551133.47,1.656368
1614211200000,1.7382,1.9415,1.6599,1.6818,4603191.8,8188091.32,1.801619
1614297600000,1.6811,1.78,1.4736,1.6444,4816101.58,7764827.97,1.626671
1614384000000,1.6424,1.8,1.6309,1.6734,2085496.0,3591161.63,1.715938
1614470400000,1.6748,1.6932,1.4378,1.5623,2489771.44,3853048.57,1.562796
1614556800000,1.5613,1.734,1.5574,1.7126,1829160.3,3047461.34,1.647666
1614643200000,1.7134,1.808,1.622,1.7774,3236164.47,5575693.85,1.714073
1614729600000,1.7771,1.8699,1.7153,1.7658,1996593.16,3594837.73,1.792628
1614816000000,1.7655,1.9501,1.7333,1.8676,4390500.14,8048020.9,1.843176
1614902400000,1.8673,1.9195,1.6591,1.7145,2848005.28,4921279.88,1.789149
1614988800000,1.7156,1.8653,1.6993,1.8309,2563638.67,4569766.92,1.783541
1615075200000,1.8332,2.1748,1.8301,2.1544,5273491.72,10740382.07,2.004848
1615161600000,2.1565,2.199,1.9487,2.0932,2986828.58,6114093.75,2.073021
1615248000000,2.0942,2.3,2.0561,2.2344,3605461.85,7899812.05,2.179288
1615334400000,2.2356,2.38,2.0222,2.1232,3893393.03,8663850.26,2.201649
1615420800000,2.1232,2.35,2.021,2.1843,4039254.62,8815688.67,2.185776
1615507200000,2.1872,2.54,2.1481,2.2423,5846015.14,13617992.83,2.344692
1615593600000,2.2423,2.81,2.1172,2.5926,8175365.8,20978785.13,2.466751
1615680000000,2.5926,2.6962,2.3695,2.39,3801178.68,9444054.76,2.53727
1615766400000,2.39,2.9455,2.2,2.5653,12059728.36,32586715.81,2.574083
1615852800000,2.5626,2.5852,2.3098,2.491,4636627.96,11341256.01,2.446137
