Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1603785600000,0.77,4.8,0.77,1.908,5997851.95,11332707.27,2.814412
1603789200000,1.905,1.9176,1.5116,1.5283,2120068.68,3706393.59,1.714038
1603792800000,1.5283,1.5999,1.3475,1.3934,1839409.25,2682184.38,1.474688
1603796400000,1.3923,1.65,1.3923,1.54,1336522.29,2076978.31,1.526071
1603800000000,1.5429,1.649,1.42,1.4642,840976.83,1291272.51,1.535442
1603803600000,1.4643,1.4949,1.4105,1.4333,614706.8,887549.74,1.452836
1603807200000,1.4351,1.52,1.43,1.49,451160.76,665595.94,1.476277
1603810800000,1.49,1.59,1.4711,1.49,719922.54,1100341.2,1.53055
1603814400000,1.49,1.5133,1.4388,1.4398,281332.57,412390.83,1.477478
1603818000000,1.4388,1.46,1.2803,1.3299,617385.39,843125.47,1.368714
1603821600000,1.328,1.3851,1.2822,1.3133,365287.39,488200.69,1.333717
1603825200000,1.3133,1.3969,1.305,1.378,211019.17,284333.03,1.3517
1603828800000,1.378,1.4139,1.3324,1.3738,248799.56,341736.32,1.373148
1603832400000,1.3701,1.3896,1.3201,1.3255,107677.32,145867.01,1.355659
1603836000000,1.3255,1.3774,1.3156,1.3499,95504.46,127952.84,1.346857
1603839600000,1.3494,1.4245,1.3378,1.3644,312213.33,431699.71,1.381333
1603843200000,1.3582,1.3876,1.3448,1.3574,136076.31,186650.12,1.366201
1603846800000,1.3571,1.3652,1.3158,1.3203,146641.0,195058.3,1.34079
1603850400000,1.3203,1.3299,1.2,1.2293,532866.62,667535.32,1.263573
1603854000000,1.2299,1.2375,1.145,1.1832,431278.27,510631.23,1.190209
1603857600000,1.1895,1.2176,1.1682,1.2097,152433.53,182309.94,1.192608
1603861200000,1.2097,1.2203,1.1445,1.1445,175594.81,207630.15,1.183603
1603864800000,1.1489,1.1514,1.1182,1.12,203314.29,230334.77,1.134882
1603868400000,1.1186,1.12,1.0444,1.047,475263.3,510702.96,1.082027
1603872000000,1.046,1.154,1.046,1.1377,359456.87,400652.11,1.101792
1603875600000,1.1386,1.1462,1.08,1.0907,182793.64,202938.92,1.112867
1603879200000,1.0975,1.118,1.0108,1.0301,558971.19,590320.44,1.064466
1603882800000,1.0324,1.0798,1.001,1.031,283025.84,289945.61,1.040401
1603886400000,1.0295,1.0789,1.0187,1.0395,238933.68,250021.25,1.048899
1603890000000,1.0405,1.0507,1.003,1.0143,149789.04,152808.38,1.026805
1603893600000,1.0093,1.0252,0.92,0.9673,767278.52,743570.62,0.971948
1603897200000,0.9607,0.9941,0.938,0.976,123652.06,119600.39,0.966006
1603900800000,0.9759,0.9759,0.88,0.8977,542349.23,498129.44,0.926186
1603904400000,0.9008,0.9375,0.8907,0.93,252491.36,230942.61,0.91396
1603908000000,0.9306,1.099,0.9119,0.9663,341208.34,337956.39,1.005974
1603911600000,0.966,1.02,0.9094,0.938,291329.74,283602.73,0.964907
1603915200000,0.938,0.947,0.9161,0.9333,61693.4,57455.49,0.931526
1603918800000,0.9378,0.9561,0.9108,0.941,77881.46,72925.35,0.933443
1603922400000,0.9411,0.984,0.9337,0.9601,137361.34,130996.93,0.959155
1603926000000,0.968,1.01,0.9525,0.9965,105847.98,104325.16,0.981185
1603929600000,0.9965,1.0169,0.9547,0.9547,49924.74,49183.6,0.987098
1603933200000,0.9609,0.9988,0.9368,0.9533,68562.05,65491.87,0.96784
1603936800000,0.9597,0.981,0.945,0.9456,92304.21,88166.09,0.963413
1603940400000,0.9456,0.98,0.9,0.9209,274039.32,253085.76,0.940165
1603944000000,0.9209,0.9218,0.895,0.8984,160998.17,145856.99,0.908133
1603947600000,0.8984,0.9288,0.895,0.9104,103197.92,94163.54,0.912144
1603951200000,0.9122,0.93,0.9013,0.9016,133351.19,121934.22,0.915959
1603954800000,0.9016,0.9196,0.8638,0.8655,201486.05,178189.84,0.892652
1603958400000,0.8655,0.8711,0.844,0.868,104746.75,89761.64,0.85753
1603962000000,0.8744,0.8744,0.8403,0.8414,97977.13,83290.72,0.857182
1603965600000,0.8413,0.8565,0.8134,0.823,155743.59,128971.9,0.835082
1603969200000,0.8219,0.8413,0.8102,0.8169,116463.14,95644.97,0.825791
1603972800000,0.8164,0.8266,0.7822,0.8089,270732.3,216238.9,0.804341
1603976400000,0.8089,0.835,0.8001,0.82,122229.3,100238.65,0.81763
1603980000000,0.8172,0.9586,0.81,0.9572,313452.02,272553.24,0.883473
1603983600000,0.9572,0.976,0.8651,0.9333,363647.6,333963.67,0.92026
1603987200000,0.9321,1.0705,0.93,0.9705,996459.55,995158.46,1.001182
1603990800000,0.9703,0.9966,0.867,0.8687,429704.55,393246.92,0.934033
1603994400000,0.869,0.888,0.8527,0.8645,297518.54,258696.0,0.870365
1603998000000,0.8607,0.92,0.851,0.9104,230549.63,204177.9,0.885493
1604001600000,0.9099,1.0486,0.8914,1.0345,736099.89,727676.8,0.96959
1604005200000,1.034,1.185,0.9999,1.0008,1144468.23,1220501.84,1.093059
1604008800000,1.0002,1.014,0.9037,0.9182,620469.71,592898.33,0.958794
1604012400000,0.9182,0.9983,0.9182,0.9967,218608.4,210854.1,0.958503
1604016000000,0.9968,0.9974,0.902,0.9246,156470.81,145965.36,0.947862
1604019600000,0.929,0.938,0.9051,0.9124,54441.67,49816.0,0.921608
