Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1636012800000,0.023,16.79999,0.023,3.462,50352597.0,259324707.64,8.482293
1636016400000,3.46,3.46,2.80753,3.13903,22599156.0,69378799.19,3.123092
1636020000000,3.13778,3.265,2.855,2.86106,15621036.0,48361274.69,3.067786
1636023600000,2.87013,3.2299,2.85,3.13588,10681714.0,32657253.66,3.0451
1636027200000,3.13635,3.65999,3.02003,3.5412,21118938.0,71207589.98,3.340147
1636030800000,3.54781,3.58999,3.021,3.09508,13405136.0,43256862.92,3.302496
1636034400000,3.09333,3.10128,2.89,2.90042,7103396.0,21211692.06,2.995315
1636038000000,2.90215,2.9577,2.55244,2.61704,9294769.0,25013384.7,2.754431
1636041600000,2.61896,3.0468,2.50059,2.97741,11257762.0,31453073.55,2.77074
1636045200000,2.97546,3.48724,2.85694,3.29833,15644025.0,49401890.72,3.174561
1636048800000,3.29793,3.84467,3.06888,3.67208,21888118.0,76267662.2,3.455032
1636052400000,3.66761,3.96,3.42727,3.60632,26998682.0,100980212.66,3.693823
1636056000000,3.5999,3.60403,3.32274,3.3272,8343896.0,28713549.52,3.463334
1636059600000,3.32715,3.45,3.09172,3.26085,6248192.0,20305104.6,3.27066
1636063200000,3.26271,3.548,3.1888,3.26739,8553242.0,29252634.54,3.368404
1636066800000,3.26707,3.43,3.21148,3.30427,4159906.0,13809400.95,3.320996
1636070400000,3.30427,3.42565,2.98768,3.00262,4371797.0,14052947.88,3.213826
1636074000000,3.00262,3.19999,2.851,3.1991,3411882.0,10254737.3,3.019009
1636077600000,3.19912,3.2,2.94669,2.98894,2342598.0,7197711.27,3.069045
1636081200000,2.99197,3.02769,2.78384,2.92033,2502935.0,7232208.88,2.904654
1636084800000,2.92034,3.1,2.88,2.89367,2022549.0,6046241.92,2.990306
1636088400000,2.8943,3.07839,2.87,3.002,2193487.0,6508712.73,2.976059
1636092000000,3.002,3.067,2.91153,2.99865,2017451.0,6022800.4,2.989264
1636095600000,2.99865,3.06,2.9571,2.96898,2252678.0,6781520.96,3.009075
1636099200000,2.96719,2.98818,2.73059,2.75232,3741207.0,10607117.6,2.859307
1636102800000,2.75492,2.82308,2.7,2.73602,2416313.0,6671370.04,2.761635
1636106400000,2.73877,2.74546,2.58222,2.615,2455130.0,6493255.9,2.66165
1636110000000,2.61685,2.69888,2.55678,2.58194,2520715.0,6629714.56,2.628266
1636113600000,2.58194,2.64593,2.54016,2.61793,1589913.0,4107614.74,2.59284
1636117200000,2.61793,2.8,2.60829,2.73127,2935621.0,7971665.59,2.706974
1636120800000,2.73127,2.73902,2.56507,2.59384,1435408.0,3794900.54,2.650102
1636124400000,2.59384,2.71284,2.5,2.69881,3300357.0,8554547.77,2.603836
1636128000000,2.69132,3.07173,2.68609,2.72621,12229010.0,35100113.04,2.879259
1636131600000,2.72946,2.77497,2.62401,2.65923,2702881.0,7279092.52,2.699784
1636135200000,2.65792,2.71,2.65097,2.67938,930854.0,2496468.22,2.680889
1636138800000,2.67938,2.789,2.6,2.6348,2265653.0,6094048.42,2.695028
1636142400000,2.6348,2.683,2.57201,2.576,1458175.0,3824210.62,2.629173
1636146000000,2.57618,2.67,2.57481,2.65137,1043552.0,2736351.53,2.624
1636149600000,2.65137,2.68727,2.60265,2.60873,843047.0,2227653.15,2.645971
1636153200000,2.60869,2.64575,2.56691,2.59758,686303.0,1791249.78,2.606346
1636156800000,2.59824,2.62476,2.5746,2.59261,651636.0,1692082.23,2.599693
1636160400000,2.59261,2.59439,2.52331,2.55,850967.0,2176757.27,2.557621
1636164000000,2.55,2.63,2.53,2.54693,741069.0,1907019.58,2.580007
1636167600000,2.54693,2.55555,2.52851,2.54117,309988.0,787837.07,2.542007
1636171200000,2.5413,2.56778,2.52,2.54255,360355.0,916745.02,2.54389
1636174800000,2.54255,2.64,2.54,2.56381,731581.0,1889062.06,2.590421
1636178400000,2.56381,2.63623,2.5583,2.59811,674947.0,1757343.79,2.598095
1636182000000,2.59801,2.60001,2.545,2.57485,705051.0,1811475.04,2.571859
1636185600000,2.57098,2.75,2.55369,2.58787,3122552.0,8322762.69,2.651979
1636189200000,2.58787,2.64631,2.585,2.60012,1145391.0,2996376.0,2.615873
1636192800000,2.60011,2.83468,2.60011,2.76273,2578819.0,7042676.78,2.722308
1636196400000,2.76368,2.76825,2.57359,2.61,2487725.0,6636999.75,2.667981
1636200000000,2.61,2.62198,2.541,2.55229,1303852.0,3351602.29,2.58154
1636203600000,2.55231,2.62721,2.51727,2.56453,1055484.0,2695754.36,2.572283
1636207200000,2.56647,2.5899,2.54,2.555,513214.0,1314816.66,2.565006
1636210800000,2.556,2.62903,2.54367,2.57207,990750.0,2557020.15,2.586549
1636214400000,2.57207,2.6,2.53585,2.53982,685107.0,1756710.01,2.568733
1636218000000,2.53982,2.54157,2.35442,2.45349,3024663.0,7333846.11,2.445261
1636221600000,2.4525,2.45659,2.178,2.28137,3433625.0,7785270.81,2.312125
1636225200000,2.2813,2.29741,2.22579,2.2813,1161937.0,2636779.12,2.2616
1636228800000,2.28179,2.33368,2.25564,2.2628,1058609.0,2434260.81,2.294996
1636232400000,2.2628,2.3,2.188,2.20521,1555823.0,3473029.79,2.244707
1636236000000,2.20521,2.235,2.1805,2.20802,1069312.0,2358958.41,2.207751
1636239600000,2.20802,2.24,2.1926,2.2,669745.0,1483778.75,2.216389
1636243200000,2.2,2.27344,2.2,2.26415,524641.0,1170280.02,2.237815
1636246800000,2.26884,2.3005,2.24073,2.29381,724530.0,1645035.55,2.270126
1636250400000,2.29234,2.35876,2.24692,2.25232,856896.0,1979612.2,2.303849
1636254000000,2.25232,2.3645,2.22873,2.32966,848112.0,1956705.34,2.297112
1636257600000,2.32965,2.34443,2.29,2.31649,540824.0,1252664.96,2.317128
1636261200000,2.31838,2.32959,2.29,2.29951,455101.0,1050494.04,2.309846
1636264800000,2.29937,2.32787,2.29,2.3,407041.0,936353.89,2.308936
1636268400000,2.29952,2.31151,2.24813,2.2482,714028.0,1625287.28,2.280988
1636272000000,2.24864,2.26151,2.22623,2.23613,540120.0,1212093.86,2.243918
1636275600000,2.23613,2.23665,2.19771,2.22096,798600.0,1766825.55,2.216732
1636279200000,2.22096,2.26,2.21275,2.22365,497823.0,1108505.15,2.236386
1636282800000,2.22365,2.27409,2.21801,2.2485,691414.0,1552940.98,2.246565
1636286400000,2.25068,2.2545,2.218,2.23985,655550.0,1465822.69,2.236047
1636290000000,2.23731,2.25338,2.215,2.22298,606563.0,1356850.83,2.234336
1636293600000,2.22298,2.25037,2.22176,2.23033,542884.0,1213806.61,2.236223
1636297200000,2.23032,2.25,2.22642,2.23128,424028.0,949763.01,2.238213
1636300800000,2.23026,2.2575,2.22999,2.25749,510789.0,1145737.55,2.243703
1636304400000,2.25749,2.29882,2.2495,2.27766,819813.0,1861449.96,2.274447
1636308000000,2.27995,2.28,2.10448,2.19287,1278776.0,2810255.1,2.189344
1636311600000,2.19203,2.19204,2.08888,2.09808,1733488.0,3664968.84,2.139258
1636315200000,2.09808,2.11141,2.05779,2.09342,928279.0,1931898.57,2.084579
1636318800000,2.09342,2.09918,2.07862,2.0959,404991.0,844761.85,2.088879
1636322400000,2.09585,2.09846,2.05,2.05243,399379.0,827084.55,2.074253
1636326000000,2.05237,2.12448,2.05074,2.07632,525144.0,1096708.33,2.08824
1636329600000,2.07578,2.07633,2.01,2.02907,758833.0,1547660.85,2.041855
1636333200000,2.02907,2.06099,2.001,2.01,727445.0,1476686.22,2.031292
1636336800000,2.01,2.01418,1.926,1.95528,1326187.0,2608390.32,1.968753
1636340400000,1.95527,2.02,1.95305,1.96456,812439.0,1612916.4,1.986654
1636344000000,1.96456,1.987,1.94303,1.947,435052.0,853579.3,1.965399
1636347600000,1.94674,1.96771,1.94674,1.95872,324479.0,635269.97,1.957624
1636351200000,1.95871,1.95872,1.8952,1.90271,1124595.0,2157923.04,1.926056
1636354800000,1.90271,1.90422,1.82001,1.875,1266946.0,2363741.94,1.861371
1636358400000,1.875,1.93,1.8545,1.88385,1062734.0,2013983.55,1.892294
1636362000000,1.88389,1.95597,1.87676,1.91771,701476.0,1344993.34,1.917108
1636365600000,1.91771,1.97668,1.89863,1.972,904512.0,1759016.37,1.936664
1636369200000,1.972,1.972,1.8201,1.84465,2469305.0,4643436.66,1.893433
1636372800000,1.84464,1.8758,1.81173,1.8597,1933131.0,3554692.97,1.843647
1636376400000,1.85933,1.87969,1.83631,1.86084,770964.0,1433397.62,1.857999
1636380000000,1.85873,1.88,1.833,1.87899,659114.0,1223149.43,1.855898
1636383600000,1.87899,1.88372,1.84411,1.85793,713638.0,1330349.07,1.863569
1636387200000,1.85786,1.86099,1.82346,1.84299,611867.0,1126579.69,1.84189
1636390800000,1.84299,1.87312,1.831,1.86451,479604.0,889564.58,1.851942
1636394400000,1.86562,1.964,1.86454,1.94533,2112898.0,4071506.82,1.915952
1636398000000,1.94729,1.94739,1.9,1.90456,717053.0,1379542.3,1.923126
1636401600000,1.90468,1.9388,1.901,1.90606,496209.0,952156.43,1.919905
1636405200000,1.90606,1.92413,1.89167,1.89169,312739.0,596752.61,1.908365
1636408800000,1.89343,1.94536,1.89175,1.93915,307796.0,588826.13,1.919058
1636412400000,1.93915,1.97668,1.91182,1.91982,953502.0,1854614.49,1.944585
1636416000000,1.92116,2.01061,1.91567,1.97835,1057896.0,2083769.63,1.964475
1636419600000,1.98015,2.10402,1.94112,2.06685,1695565.0,3463843.14,2.022499
1636423200000,2.06445,2.0667,1.98,2.00222,1024652.0,2074565.36,2.021874
1636426800000,2.00223,2.07,1.98333,1.99541,736836.0,1491350.38,2.026708
1636430400000,1.99489,1.99847,1.93686,1.93966,568846.0,1116905.1,1.967763
1636434000000,1.93966,1.96,1.89739,1.89739,604310.0,1162066.99,1.930003
1636437600000,1.89819,1.91553,1.86838,1.88821,686587.0,1297535.84,1.891941
1636441200000,1.88822,1.93,1.88323,1.90717,540613.0,1029940.12,1.906997
1636444800000,1.91071,1.94238,1.8948,1.91903,463428.0,887552.43,1.918619
1636448400000,1.91873,1.93661,1.89622,1.89907,329375.0,630935.39,1.916888
1636452000000,1.89673,1.90547,1.86622,1.86622,451180.0,852839.59,1.886623
1636455600000,1.8694,1.98853,1.85014,1.87468,2893171.0,5532916.1,1.919352
1636459200000,1.87477,1.90891,1.858,1.89418,735560.0,1385787.22,1.883417
1636462800000,1.89395,1.96,1.8631,1.88203,846828.0,1609713.56,1.911639
1636466400000,1.88375,1.95,1.877,1.91305,687551.0,1312504.86,1.914134
1636470000000,1.91017,1.9245,1.86823,1.89867,676811.0,1286637.77,1.89628
1636473600000,1.89859,1.9251,1.85025,1.91173,686974.0,1305252.13,1.887539
1636477200000,1.91002,1.93,1.8907,1.89365,315402.0,600987.78,1.910736
1636480800000,1.89183,1.89496,1.88,1.88149,221887.0,418611.46,1.887591
1636484400000,1.88149,1.8989,1.88149,1.89401,234046.0,442414.31,1.890558
1636488000000,1.89401,1.89633,1.85568,1.86419,445706.0,834697.84,1.875524
1636491600000,1.86424,1.87931,1.85623,1.86938,272925.0,509689.72,1.867782
