Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1553745600000,90.0,96.0,88.0,92.09,100.15733,9349.52,92.016578
1553749200000,92.65,94.58,92.65,93.61,136.21999,12717.02,93.646977
1553752800000,93.51,93.51,93.5,93.5,109.39784,10229.27,93.505
1553756400000,93.09,93.48,93.01,93.04,23.2639,2164.88,93.245511
1553760000000,93.05,93.05,92.75,92.87,57.21177,5315.9,92.894066
1553763600000,92.58,94.7,92.5,92.98,72.52179,6791.01,93.606833
1553767200000,92.83,94.25,92.83,94.25,134.89119,12629.33,93.54
1553770800000,93.25,93.89,93.25,93.32,65.93009,6173.78,93.570855
1553774400000,93.32,93.43,92.92,93.43,93.05927,8665.8,93.172647
1553778000000,93.43,93.9,93.43,93.65,3.97668,372.41,93.672244
1553781600000,93.65,94.25,92.83,93.52,120.82743,11277.67,93.539906
1553785200000,93.63,94.11,92.87,94.11,77.01269,7211.47,93.475211
1553788800000,94.0,95.5,94.0,94.8,83.9388,7946.0,94.776794
1553792400000,94.95,96.9,94.07,94.85,171.64127,16346.86,95.485183
1553796000000,94.66,95.41,94.5,94.7,83.18134,7905.4,94.955133
1553799600000,94.7,95.5,94.53,95.46,130.23255,12428.12,95.003216
1553803200000,95.4,98.89,95.0,95.63,98.79805,9476.69,96.946251
1553806800000,95.77,97.68,95.2,96.5,381.6593,36918.82,96.446753
1553810400000,96.25,96.34,95.44,95.47,356.19034,34188.33,95.896936
1553814000000,95.91,95.99,95.59,95.74,19.30825,1851.44,95.788345
1553817600000,95.74,96.89,95.48,96.4,374.81721,36014.5,96.191664
1553821200000,96.4,96.92,96.36,96.62,48.88914,4727.08,96.645217
1553824800000,96.62,96.87,96.06,96.66,134.92508,12994.4,96.464893
1553828400000,96.8,96.8,96.38,96.62,23.80527,2299.86,96.584225
1553832000000,96.64,97.56,96.04,96.04,120.71673,11677.37,96.818645
1553835600000,96.09,96.59,96.01,96.33,197.09851,19001.23,96.304025
1553839200000,96.08,96.59,96.0,96.57,61.38758,5911.5,96.288749
1553842800000,96.59,97.61,96.34,97.59,140.59074,13586.16,96.953905
1553846400000,97.23,97.23,96.55,97.0,109.05867,10550.97,96.883375
1553850000000,97.0,98.0,97.0,97.73,88.73607,8646.85,97.52075
1553853600000,97.79,98.19,97.69,97.7,347.66963,33991.3,97.941592
1553857200000,97.8,97.8,97.34,97.65,69.89069,6818.84,97.565767
1553860800000,97.65,97.65,94.91,96.5,724.05196,69510.62,96.243376
1553864400000,96.74,97.83,96.48,97.6,173.81501,16928.05,97.153306
1553868000000,97.38,98.02,97.17,97.42,40.77339,3976.93,97.595108
1553871600000,97.7,97.9,97.33,97.65,154.85462,15132.57,97.614884
1553875200000,97.87,98.04,96.74,97.74,305.78462,29834.67,97.38896
