Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1597791600000,2.09,4.44,2.0,3.1,6039881.97,18375373.39,3.24797
1597795200000,3.1,3.14,2.9738,3.105,1554670.37,4769468.4,3.05689
1597798800000,3.105,3.1299,3.0584,3.1063,813079.44,2518676.67,3.094149
1597802400000,3.1082,3.1124,2.9,2.9628,1472769.86,4457516.94,3.002312
1597806000000,2.9631,3.0032,2.64,2.885,1768853.6,4985574.79,2.820402
1597809600000,2.885,3.068,2.811,2.9336,1328188.15,3898614.53,2.939772
1597813200000,2.9334,3.0755,2.875,2.9255,798876.03,2386641.63,2.975268
1597816800000,2.9255,3.04,2.9,3.0095,534111.7,1589406.05,2.970247
1597820400000,3.0095,3.1999,2.9911,3.195,1717178.18,5380765.18,3.093841
1597824000000,3.195,3.195,3.01,3.0362,682238.57,2105309.01,3.099542
1597827600000,3.0361,3.13,3.0102,3.0401,473679.67,1452546.3,3.070109
1597831200000,3.0497,3.09,2.9,3.0014,495485.4,1493632.47,2.994498
1597834800000,3.0006,3.01,2.93,3.0,309270.07,924020.96,2.97
1597838400000,3.0,3.0006,2.9,2.9897,429332.76,1267068.95,2.950183
1597842000000,2.9898,3.0078,2.9011,2.9354,589033.02,1739047.08,2.953884
1597845600000,2.9431,3.008,2.9353,2.9934,344814.45,1018040.0,2.972112
1597849200000,2.9936,2.9936,2.94,2.9401,331131.03,979727.02,2.966783
1597852800000,2.9425,3.0298,2.9167,3.0002,358252.08,1067462.88,2.973382
1597856400000,3.0002,3.0181,2.9505,2.982,180675.59,541544.0,2.984175
1597860000000,2.983,2.9956,2.7622,2.9,439835.25,1267094.62,2.876856
1597863600000,2.9,2.9491,2.72,2.8027,392959.28,1122108.43,2.833757
1597867200000,2.8027,2.9065,2.7918,2.8994,198732.77,570282.82,2.848739
1597870800000,2.8991,3.0078,2.8817,2.995,213537.92,628138.95,2.944361
1597874400000,2.9997,3.035,2.9333,2.9388,286635.99,857565.11,2.985617
1597878000000,2.9351,2.9868,2.9001,2.95,182433.74,538068.87,2.943457
1597881600000,2.9449,2.999,2.8594,2.8864,262916.69,770249.09,2.929822
1597885200000,2.8819,2.9199,2.85,2.9001,241812.63,696651.83,2.884846
1597888800000,2.9001,2.9105,2.72,2.7631,596815.47,1670873.09,2.812822
1597892400000,2.7575,2.82,2.715,2.75,314506.9,867532.55,2.767518
1597896000000,2.75,2.8,2.7205,2.758,271646.39,747841.34,2.760266
1597899600000,2.7531,2.7744,2.6759,2.7344,291642.29,791331.77,2.724981
1597903200000,2.7345,2.7854,2.6833,2.7555,261773.52,717056.97,2.734236
1597906800000,2.7662,2.915,2.7662,2.835,394024.68,1126576.17,2.842859
1597910400000,2.8311,2.8886,2.8038,2.8505,188996.27,537501.83,2.846272
1597914000000,2.8423,2.8965,2.8313,2.8488,172986.32,494765.02,2.863946
1597917600000,2.8454,2.86,2.7803,2.85,537375.77,1516823.12,2.820127
1597921200000,2.8499,2.895,2.8441,2.8715,409575.36,1174765.95,2.869967
1597924800000,2.8715,2.9398,2.85,2.8562,439185.79,1266898.8,2.895127
1597928400000,2.8562,2.8827,2.8133,2.8342,230770.04,657645.49,2.848072
1597932000000,2.8351,2.8719,2.8,2.8709,302249.65,853422.15,2.834823
1597935600000,2.8707,3.03,2.8547,3.0117,832567.64,2472240.83,2.942572
1597939200000,3.0072,3.1111,2.9835,3.0546,701312.17,2143817.42,3.047886
1597942800000,3.0502,3.1,2.9901,3.0286,410177.89,1244553.57,3.045105
1597946400000,3.0289,3.029,2.86,2.88,544690.31,1597878.38,2.942104
1597950000000,2.8703,2.9169,2.82,2.8832,719112.74,2049308.18,2.868413
1597953600000,2.8832,2.8925,2.81,2.815,399841.09,1129987.28,2.851693
1597957200000,2.815,3.0,2.78,2.7946,553692.61,1562217.56,2.890184
1597960800000,2.7987,2.8518,2.6,2.7733,1526847.73,4132689.43,2.725747
1597964400000,2.7721,2.9147,2.77,2.9,436343.65,1234783.07,2.843879
1597968000000,2.8978,2.924,2.8804,2.9049,267995.23,777919.24,2.902206
1597971600000,2.9089,2.957,2.9038,2.9409,353856.2,1038703.76,2.930947
1597975200000,2.9408,2.95,2.6896,2.7091,919237.68,2579106.18,2.818529
1597978800000,2.709,2.8584,2.6826,2.8303,472969.16,1318883.23,2.770615
1597982400000,2.8407,2.89,2.7903,2.8321,465335.99,1316388.93,2.840157
1597986000000,2.8336,2.899,2.8001,2.8641,248915.8,713665.02,2.849567
1597989600000,2.8679,2.9218,2.85,2.9075,599494.13,1729130.58,2.885752
1597993200000,2.906,2.9512,2.8653,2.9512,349575.67,1022079.09,2.906737
1597996800000,2.951,3.09,2.945,3.0451,780840.73,2357271.56,3.019789
1598000400000,3.0401,3.0899,2.901,2.901,573826.41,1725566.95,2.999355
1598004000000,2.901,3.0271,2.8967,3.0095,456671.15,1364044.58,2.963292
1598007600000,3.0025,3.0199,2.84,2.8951,317167.35,932260.77,2.928106
1598011200000,2.8954,2.9696,2.8311,2.9593,286613.15,827341.68,2.898832
1598014800000,2.9593,2.9666,2.92,2.9302,257702.64,761056.29,2.943143
1598018400000,2.9302,2.9509,2.86,2.9367,405485.47,1174740.49,2.905414
1598022000000,2.9367,2.9493,2.8671,2.9116,366741.49,1064570.85,2.907819
1598025600000,2.9106,2.9385,2.8793,2.9335,160000.61,466094.46,2.908389
1598029200000,2.9325,2.9717,2.91,2.9375,176840.05,520127.88,2.94086
1598032800000,2.9347,3.0,2.89,3.0,372935.34,1105553.43,2.942841
1598036400000,3.0,3.028,2.8441,2.9274,866974.62,2516355.75,2.934929
1598040000000,2.9238,2.9882,2.8437,2.8922,368468.12,1073615.09,2.916046
1598043600000,2.8987,2.933,2.86,2.8912,239905.21,697382.09,2.896504
1598047200000,2.8854,2.9128,2.82,2.8515,300320.34,861643.18,2.866329
1598050800000,2.8557,2.9092,2.8304,2.833,157281.2,450034.79,2.870339
1598054400000,2.8387,2.87,2.782,2.81,300185.74,844218.8,2.826045
1598058000000,2.81,2.8642,2.783,2.84,306438.46,864278.86,2.823551
1598061600000,2.84,2.87,2.82,2.8577,138519.7,393835.5,2.844875
1598065200000,2.8571,2.9486,2.852,2.9398,277529.92,807613.47,2.900715
1598068800000,2.9361,2.9421,2.8675,2.9133,245989.27,716248.34,2.904324
1598072400000,2.9102,2.96,2.8743,2.9301,243998.09,713967.63,2.917109
1598076000000,2.9354,2.9602,2.9015,2.9581,265596.79,778555.79,2.930232
1598079600000,2.9552,3.6868,2.9545,3.41,5083463.17,17302964.69,3.335383
1598083200000,3.4122,3.82,3.211,3.8003,3649898.18,12672888.15,3.505245
1598086800000,3.8188,4.019,3.602,3.8997,4129048.33,15879058.97,3.810037
1598090400000,3.892,3.98,3.6363,3.82,2701590.43,10248612.85,3.807619
1598094000000,3.82,3.86,3.65,3.8153,1431392.79,5362852.35,3.754992
1598097600000,3.8205,3.85,3.501,3.6415,2522718.64,9133487.81,3.671593
1598101200000,3.6414,4.0313,3.635,3.8149,2686263.2,10337350.25,3.838435
1598104800000,3.8149,3.9353,3.6,3.8255,2871161.02,10861158.34,3.767637
1598108400000,3.8241,3.8918,3.7395,3.8226,1145146.61,4379186.88,3.81565
1598112000000,3.8226,4.0,3.7815,3.9901,1508906.34,5899571.85,3.888063
1598115600000,3.9901,4.19,3.8496,4.1582,2345558.43,9432105.87,4.016271
1598119200000,4.1646,4.3634,4.0921,4.2454,3002631.2,12733403.78,4.228266
1598122800000,4.2454,4.3319,4.133,4.219,1150635.69,4868053.48,4.232451
1598126400000,4.2197,4.2888,4.056,4.1,1086114.95,4522462.12,4.173288
1598130000000,4.0982,4.3,3.9333,4.2717,1553619.38,6344760.65,4.112601
1598133600000,4.2647,4.3,4.1092,4.2398,888151.71,3746910.8,4.204396
1598137200000,4.2396,4.55,4.2392,4.4546,2076918.47,9195351.54,4.401055
1598140800000,4.4756,4.4864,4.2468,4.2884,1435644.66,6258915.63,4.363827
1598144400000,4.2825,4.4166,4.132,4.41,1100079.62,4675117.62,4.270499
1598148000000,4.41,4.4133,4.21,4.3066,746797.18,3208418.23,4.308425
1598151600000,4.31,4.3151,4.0202,4.1,1473303.08,6093258.59,4.162228
1598155200000,4.1,4.26,4.0279,4.2522,717698.09,2954268.33,4.140077
1598158800000,4.2599,4.2776,4.09,4.1473,579994.74,2410858.04,4.18184
1598162400000,4.1473,4.1497,4.01,4.1386,811721.32,3317820.5,4.079789
1598166000000,4.1386,4.2691,4.1102,4.2083,549976.39,2305081.05,4.190469
1598169600000,4.2093,4.2255,4.1202,4.1262,583962.4,2431941.67,4.17379
1598173200000,4.1335,4.1938,4.129,4.1778,501210.15,2091403.32,4.162161
1598176800000,4.18,4.1833,3.8029,3.8891,2221928.19,8810693.36,3.986002
1598180400000,3.9,3.9888,3.717,3.7399,1858100.57,7162378.02,3.85603
1598184000000,3.7418,3.9319,3.7032,3.847,2241666.16,8560523.63,3.818843
1598187600000,3.847,3.9736,3.8214,3.8441,1178728.39,4583770.72,3.897505
1598191200000,3.838,3.9102,3.7802,3.8375,1116829.94,4294626.69,3.8452
1598194800000,3.8456,3.9156,3.7185,3.91,1250089.02,4765761.98,3.815384
1598198400000,3.91,3.9183,3.724,3.7803,964304.81,3660910.71,3.818141
1598202000000,3.7809,3.888,3.75,3.7676,531725.61,2025463.91,3.819104
1598205600000,3.7633,3.8862,3.7525,3.8363,398467.0,1525013.39,3.820924
1598209200000,3.8437,4.1,3.8428,4.0318,745188.42,2966570.19,3.976594
1598212800000,4.0431,4.1285,3.9468,3.983,606483.8,2455706.52,4.038342
1598216400000,3.9807,4.0581,3.891,3.9104,802805.12,3163347.97,3.975893
1598220000000,3.9105,3.9244,3.854,3.9206,436567.23,1702705.58,3.889064
1598223600000,3.9206,4.1284,3.9206,3.9779,992037.76,4004430.61,4.025958
1598227200000,3.9805,4.0198,3.865,3.94,617907.98,2425090.73,3.942089
1598230800000,3.94,3.948,3.8,3.8211,617121.59,2378675.27,3.87274
1598234400000,3.82,4.0,3.78,3.8782,1182038.33,4556552.76,3.890728
1598238000000,3.8799,3.9573,3.8584,3.9471,389278.59,1524741.86,3.907113
1598241600000,3.9471,4.0,3.8521,3.9992,611220.61,2411609.29,3.924542
1598245200000,3.9992,4.0416,3.9253,3.969,812468.74,3242473.78,3.983439
1598248800000,3.9688,4.14,3.9687,4.0586,973810.62,3953178.15,4.057349
1598252400000,4.0584,4.1153,3.947,3.9634,1192036.92,4801160.86,4.032903
1598256000000,3.9638,4.0312,3.9001,3.9321,765529.71,3030591.14,3.965913
1598259600000,3.9321,4.076,3.9321,4.0464,734485.67,2950674.91,4.006822
1598263200000,4.0466,4.1598,4.0225,4.079,1110537.2,4551855.34,4.09155
1598266800000,4.079,4.1601,4.0174,4.1541,1018211.62,4150231.53,4.086682
1598270400000,4.1541,4.3197,4.1,4.2718,1588536.7,6706883.26,4.20961
1598274000000,4.2718,4.2785,4.169,4.2618,1175298.44,4957755.46,4.22366
1598277600000,4.2613,4.29,4.1194,4.1656,985900.23,4128690.45,4.203953
1598281200000,4.1628,4.2529,4.1,4.2105,732685.27,3066790.79,4.176196
1598284800000,4.2105,4.3876,4.1755,4.3805,1217247.58,5234330.51,4.278881
1598288400000,4.3829,4.4999,4.3,4.4251,2734044.43,12044913.04,4.399904
1598292000000,4.4276,4.4276,4.275,4.2822,1016123.62,4396649.99,4.350243
1598295600000,4.281,4.485,4.277,4.4499,775486.28,3402784.56,4.384069
1598299200000,4.449,4.67,4.35,4.6609,1620862.78,7333980.04,4.504466
1598302800000,4.6609,4.77,4.5964,4.7,1677260.3,7864640.58,4.683235
1598306400000,4.6983,4.7983,4.5771,4.6918,1341622.22,6298488.3,4.687698
1598310000000,4.6994,4.76,4.54,4.5759,954237.69,4433846.05,4.651056
1598313600000,4.5759,4.6829,4.48,4.6161,925631.26,4232653.98,4.581306
1598317200000,4.6129,4.88,4.5747,4.8665,1112429.22,5271604.19,4.724776
1598320800000,4.8647,4.922,4.71,4.714,1848757.82,8900766.82,4.819853
1598324400000,4.713,4.8935,4.6692,4.8275,1273827.46,6119245.69,4.782124
1598328000000,4.8279,4.8686,4.7361,4.8544,963933.8,4625880.73,4.801958
1598331600000,4.8514,4.9947,4.8433,4.8531,1826041.02,8982763.97,4.919002
1598335200000,4.8589,4.87,4.68,4.7083,1715627.04,8188977.68,4.773398
1598338800000,4.7116,4.848,4.57,4.7081,1698827.75,8001463.38,4.709
1598342400000,4.7108,4.7456,4.525,4.708,1321057.07,6144416.54,4.635297
1598346000000,4.7092,4.7537,4.6356,4.6887,715213.19,3353155.72,4.694617
1598349600000,4.6868,4.929,4.6834,4.8816,1000022.28,4810026.66,4.810306
1598353200000,4.8824,4.98,4.7838,4.9248,1055523.44,5146355.99,4.881644
1598356800000,4.9301,4.95,4.65,4.785,1929225.77,9189969.11,4.796425
1598360400000,4.785,4.9109,4.7426,4.8292,1183383.89,5705586.47,4.827095
1598364000000,4.8276,4.831,4.6188,4.7343,1523306.02,7194522.43,4.722054
1598367600000,4.7343,4.81,4.655,4.7883,1087306.86,5141282.06,4.731599
1598371200000,4.7895,5.35,4.77,5.1674,4833685.69,24785166.6,5.069682
1598374800000,5.1921,5.4234,5.1,5.356,2681028.33,14155709.27,5.260853
1598378400000,5.365,5.42,5.175,5.3174,1943921.07,10280748.87,5.297084
1598382000000,5.3172,5.493,5.3095,5.399,1333265.81,7223592.61,5.403506
1598385600000,5.399,5.6983,5.3147,5.6611,1847416.5,10235670.61,5.503388
1598389200000,5.6611,5.77,5.3575,5.4118,2470103.88,13857571.71,5.566493
1598392800000,5.4118,5.4794,5.26,5.3427,1881849.18,10110210.05,5.369508
1598396400000,5.3514,5.5415,5.3357,5.5412,1285985.64,6971723.32,5.436521
1598400000000,5.5412,5.6,5.3853,5.5005,1296857.04,7111262.91,5.492394
1598403600000,5.5014,5.684,5.444,5.6762,1401349.0,7830143.77,5.560208
1598407200000,5.6762,5.685,5.3125,5.3664,1480427.03,8151897.75,5.494035
1598410800000,5.3664,5.5332,5.3622,5.4286,898156.44,4894037.42,5.449417
1598414400000,5.4294,5.52,5.3982,5.4026,913499.55,4991804.11,5.459628
1598418000000,5.4032,5.4861,5.3,5.3152,1047096.62,5649372.56,5.395054
1598421600000,5.3152,5.3799,5.1866,5.2503,1380968.89,7293130.82,5.283264
1598425200000,5.24,5.43,5.1015,5.3761,1729305.9,9104396.05,5.263853
1598428800000,5.3751,5.5774,5.282,5.4759,1443467.32,7824860.87,5.429826
1598432400000,5.4759,5.7432,5.4569,5.5607,1535176.01,8562052.84,5.601883
1598436000000,5.5543,5.6256,5.4693,5.531,962088.59,5328062.42,5.547477
1598439600000,5.5321,5.602,5.3423,5.421,912649.75,5015831.97,5.471939
1598443200000,5.4255,5.549,5.3359,5.4052,1036603.16,5617283.71,5.442512
1598446800000,5.4052,5.64,5.3966,5.5747,1243675.15,6888710.38,5.522211
1598450400000,5.5747,6.0399,5.5555,5.9625,3204129.19,18739239.19,5.803252
1598454000000,5.9634,6.35,5.9,6.3285,2976607.87,18207807.2,6.120873
1598457600000,6.3285,6.57,6.1441,6.4015,3967384.84,25325863.58,6.356991
1598461200000,6.4016,6.4726,6.2222,6.33,1880389.49,11939985.56,6.347016
1598464800000,6.3285,6.4,6.182,6.3061,1267640.23,7990592.63,6.29093
1598468400000,6.3061,6.4,6.2059,6.2886,920916.06,5798134.45,6.302961
1598472000000,6.2886,6.4183,6.19,6.2565,1220458.55,7697813.92,6.304307
1598475600000,6.2508,6.34,5.9,6.1062,2300043.07,13929897.42,6.118377
1598479200000,6.1062,6.2627,5.81,5.8101,1420802.89,8580542.26,6.045715
1598482800000,5.81,6.2009,5.8022,6.0708,1371827.1,8291586.2,6.008875
1598486400000,6.0708,6.2902,6.0708,6.1431,1183294.57,7291949.02,6.182552
1598490000000,6.1432,6.42,6.1431,6.2987,1037559.66,6535138.35,6.286737
1598493600000,6.2816,6.2986,5.992,6.098,1272960.09,7831726.88,6.140918
1598497200000,6.098,6.2625,6.0752,6.2498,648885.41,4014120.04,6.167858
1598500800000,6.244,6.36,6.1011,6.15,729849.81,4545554.98,6.231693
1598504400000,6.1411,6.2564,6.1047,6.1724,741255.37,4582475.12,6.180806
1598508000000,6.1691,6.718,6.1541,6.7115,1958941.75,12667024.99,6.434771
