Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1563753600000,0.612,0.667,0.2668,0.2962,15731187.49,5270302.31,0.46926
1563840000000,0.2962,0.3047,0.21,0.2114,7079094.07,1789352.57,0.25824
1563926400000,0.214,0.2234,0.1708,0.1723,5576418.01,1098054.82,0.197836
1564012800000,0.1711,0.2005,0.1702,0.193,5122187.54,945456.06,0.185846
1564099200000,0.1929,0.212,0.1831,0.1876,6203041.17,1219896.8,0.197612
1564185600000,0.1879,0.1926,0.1588,0.1616,3676859.0,647137.53,0.175869
1564272000000,0.1616,0.1706,0.1515,0.1576,1765397.45,284960.64,0.161066
1564358400000,0.1576,0.159,0.1472,0.1499,1547377.16,236550.97,0.153023
1564444800000,0.1498,0.1594,0.142,0.1476,2738581.08,412905.53,0.150708
1564531200000,0.1476,0.1527,0.1355,0.1403,1974010.76,284953.78,0.144107
1564617600000,0.1403,0.1418,0.1186,0.123,3355648.64,423780.51,0.129966
1564704000000,0.123,0.148,0.1206,0.1331,5387825.8,725223.27,0.13452
1564790400000,0.133,0.1373,0.1163,0.118,3238782.44,401672.35,0.12699
1564876800000,0.118,0.1197,0.1105,0.1117,2233792.38,255767.22,0.115133
1564963200000,0.1116,0.1131,0.0984,0.1003,4638215.57,483490.52,0.105715
1565049600000,0.1004,0.1266,0.1,0.1046,8749026.05,980700.3,0.113368
1565136000000,0.1051,0.108,0.0971,0.1011,6130613.58,622267.65,0.102531
1565222400000,0.1012,0.176,0.1012,0.1485,62941272.55,9471315.64,0.140127
1565308800000,0.1479,0.1479,0.1071,0.1079,17865580.26,2293387.33,0.127373
1565395200000,0.1085,0.1207,0.1015,0.1158,8258069.2,916529.82,0.111061
1565481600000,0.1158,0.1462,0.1149,0.1177,19809380.53,2586937.77,0.130563
1565568000000,0.1178,0.1665,0.1178,0.1654,22421577.44,3212365.17,0.142323
1565654400000,0.1647,0.1769,0.144,0.1617,23512201.88,3754300.84,0.160444
1565740800000,0.1616,0.2233,0.149,0.1972,42170552.85,8154523.41,0.186561
1565827200000,0.1986,0.2741,0.1958,0.2335,52989156.3,12720530.02,0.235938
1565913600000,0.2345,0.2666,0.202,0.2589,44703113.75,10341700.59,0.233841
1566000000000,0.258,0.2852,0.239,0.2482,34264625.96,8961514.41,0.262202
1566086400000,0.2495,0.256,0.2124,0.217,25082408.54,5758845.86,0.234353
1566172800000,0.2171,0.2224,0.1934,0.1978,24540810.99,5063228.96,0.207956
1566259200000,0.1979,0.2272,0.1955,0.2188,30073625.01,6350706.08,0.211716
1566345600000,0.2188,0.2222,0.1801,0.1854,21087001.72,4182197.58,0.200973
1566432000000,0.1854,0.1854,0.1615,0.1715,18439595.18,3156961.79,0.172988
1566518400000,0.1715,0.1836,0.1635,0.1708,11425192.8,1966626.84,0.173551
1566604800000,0.1708,0.1808,0.154,0.1641,14948738.12,2478338.84,0.167399
1566691200000,0.1631,0.1918,0.16,0.17,22973922.73,4085956.53,0.176011
1566777600000,0.1714,0.1748,0.1521,0.154,11295863.77,1839600.74,0.163579
1566864000000,0.1546,0.172,0.1492,0.1581,16838418.42,2695633.15,0.160625
1566950400000,0.1589,0.1745,0.1466,0.1485,16257071.5,2622219.79,0.160797
1567036800000,0.1485,0.1486,0.1238,0.1238,7426542.65,987917.17,0.136216
1567123200000,0.1248,0.138,0.122,0.1314,6292092.66,825471.89,0.130084
1567209600000,0.1314,0.1358,0.123,0.1265,4316708.73,560530.26,0.129417
1567296000000,0.1272,0.1322,0.1237,0.1313,2781431.05,356456.4,0.12787
1567382400000,0.1314,0.1394,0.128,0.1308,7654188.96,1025462.83,0.133702
1567468800000,0.1308,0.1313,0.12,0.121,8936956.44,1118220.36,0.125592
1567555200000,0.1209,0.1302,0.1166,0.1233,11117041.1,1376290.83,0.12341
1567641600000,0.1233,0.1265,0.1121,0.1133,5943547.19,705891.84,0.119437
