Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1631152800000,3.0,14.444,3.0,11.795,2794082.86,32271058.51,8.951453
1631153700000,11.786,12.799,11.323,12.519,1285758.82,15586995.87,12.054988
1631154600000,12.518,13.47,12.34,13.225,1258776.8,16402801.21,12.908634
1631155500000,13.225,14.5,12.426,14.276,1209396.84,16344502.1,13.443277
1631156400000,14.289,14.849,13.534,14.2,1247096.17,17811997.23,14.191439
1631157300000,14.199,14.379,13.323,13.489,694212.7,9580659.52,13.851892
1631158200000,13.478,13.766,12.803,13.692,764191.29,10086845.41,13.280744
1631159100000,13.7,13.999,13.11,13.499,452933.75,6159662.07,13.553917
1631160000000,13.499,14.099,13.29,13.303,333834.24,4579211.48,13.698871
1631160900000,13.303,13.313,12.836,12.924,357012.57,4663618.81,13.067191
1631161800000,12.923,12.999,12.264,12.647,491132.46,6179604.78,12.625891
1631162700000,12.647,12.995,12.295,12.344,299921.43,3801199.69,12.652347
1631163600000,12.342,12.846,12.156,12.408,315501.79,3930945.67,12.501289
1631164500000,12.408,13.345,12.399,13.033,443385.31,5766709.62,12.890557
1631165400000,13.041,13.046,12.569,12.88,179450.15,2292437.22,12.803015
1631166300000,12.881,12.979,12.479,12.592,256349.61,3248561.32,12.728317
1631167200000,12.584,12.779,12.269,12.351,188145.01,2336760.45,12.527111
1631168100000,12.355,12.623,11.678,11.81,357125.78,4279816.69,12.156667
1631169000000,11.81,12.216,11.81,11.999,207218.33,2497436.45,12.019215
1631169900000,11.999,12.0,11.514,11.749,267501.78,3134110.88,11.748712
1631170800000,11.75,11.928,11.457,11.804,234554.55,2747940.26,11.692221
1631171700000,11.807,11.81,11.4,11.408,265409.1,3083167.51,11.604224
1631172600000,11.408,11.866,11.302,11.558,403767.11,4694770.53,11.585818
1631173500000,11.559,12.4,11.555,11.939,433525.93,5207953.59,11.989668
1631174400000,11.949,12.6,11.805,12.331,426173.77,5238358.43,12.206329
1631175300000,12.326,13.1,12.042,13.015,400110.64,5036573.86,12.559199
1631176200000,13.009,13.8,12.91,13.245,917523.23,12233195.39,13.35908
1631177100000,13.26,13.3,12.6,12.761,435857.36,5599681.6,12.941195
1631178000000,12.769,13.103,12.443,12.842,296570.4,3776360.16,12.7729
1631178900000,12.839,13.526,12.622,13.314,459048.34,6054797.92,13.073815
1631179800000,13.313,13.949,13.15,13.367,527459.19,7162036.57,13.54974
1631180700000,13.358,13.589,12.954,12.972,212626.98,2822170.5,13.28234
1631181600000,12.964,13.341,12.853,13.117,241100.52,3156492.35,13.098423
1631182500000,13.11,13.3,12.523,12.666,274141.03,3499426.93,12.913589
1631183400000,12.666,12.981,12.5,12.671,141682.34,1804290.29,12.740502
1631184300000,12.678,13.293,12.6,13.142,233653.49,3028810.23,12.951107
1631185200000,13.147,13.35,13.01,13.18,187998.04,2481449.14,13.180039
1631186100000,13.177,13.835,13.162,13.69,471617.06,6422241.65,13.509546
1631187000000,13.697,15.182,13.668,14.543,1484263.02,21581880.38,14.450824
1631187900000,14.544,16.1,14.263,16.082,1359212.54,20947332.69,15.15356
1631188800000,16.091,16.435,14.822,14.982,1208191.53,18842521.49,15.640829
1631189700000,14.98,15.797,14.863,15.175,617730.78,9448889.39,15.332782
1631190600000,15.175,15.252,13.919,14.34,1238864.6,17711682.81,14.566792
1631191500000,14.333,15.197,13.99,14.804,646849.87,9429447.27,14.594489
1631192400000,14.802,15.092,14.378,14.593,536443.58,7877983.41,14.735821
1631193300000,14.593,15.487,14.21,14.513,524427.55,7772296.4,14.84879
1631194200000,14.501,14.692,14.133,14.369,293365.44,4219545.83,14.412182
1631195100000,14.353,14.354,13.71,14.142,439563.38,6128291.41,14.026057
1631196000000,14.146,14.4,13.651,13.885,363611.56,5083543.53,14.025813
1631196900000,13.885,14.178,13.752,14.047,271603.77,3797719.96,13.964962
1631197800000,14.047,14.9,14.045,14.787,465267.42,6754188.23,14.485288
1631198700000,14.779,15.027,14.323,14.352,300246.09,4392151.82,14.686091
1631199600000,14.352,14.573,13.897,14.264,282048.48,4000255.5,14.234689
1631200500000,14.254,15.03,13.975,14.776,457886.8,6705986.96,14.501685
1631201400000,14.776,15.3,14.765,15.122,531791.93,8005258.53,15.042251
1631202300000,15.126,15.97,15.056,15.798,921674.58,14396222.86,15.520969
1631203200000,15.797,16.182,14.804,15.131,1032796.92,15898706.99,15.494799
1631204100000,15.171,15.259,14.707,14.947,290269.03,4329566.94,14.979737
1631205000000,14.935,15.272,14.684,14.812,307048.45,4600708.97,14.979156
1631205900000,14.818,15.333,14.731,15.135,194115.58,2932506.35,15.036134
1631206800000,15.126,15.126,14.533,14.544,210845.21,3129140.38,14.827755
1631207700000,14.544,14.8,14.35,14.497,239589.03,3481503.86,14.575149
1631208600000,14.496,14.766,14.37,14.415,162671.17,2371168.67,14.569189
1631209500000,14.412,14.74,14.221,14.57,215378.29,3114220.81,14.480251
1631210400000,14.569,14.831,14.03,14.207,182818.92,2632504.78,14.432787
1631211300000,14.207,14.207,13.75,13.975,336356.27,4691268.11,13.970753
1631212200000,13.975,14.154,13.773,13.773,157979.27,2214715.71,13.970265
1631213100000,13.773,14.08,13.7,13.985,148319.58,2062017.94,13.890928
1631214000000,13.984,13.985,13.265,13.45,311929.78,4211694.83,13.610331
1631214900000,13.45,13.45,13.149,13.26,188619.24,2503507.72,13.29336
1631215800000,13.261,13.435,13.051,13.259,182167.33,2402551.02,13.243
1631216700000,13.262,13.522,13.152,13.171,146707.32,1964885.01,13.33885
1631217600000,13.17,13.39,13.081,13.385,111306.0,1476440.69,13.229717
1631218500000,13.372,13.497,12.837,12.904,219079.49,2864595.5,13.171169
1631219400000,12.909,13.043,12.8,12.809,102547.94,1322290.25,12.924263
1631220300000,12.819,12.862,12.704,12.74,104960.89,1339328.45,12.783233
1631221200000,12.74,13.189,12.731,13.147,146638.75,1906198.3,12.964059
1631222100000,13.147,13.25,12.83,12.867,151823.13,1978987.69,13.044125
1631223000000,12.872,13.302,12.87,13.171,137986.48,1814112.46,13.094776
