Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1631152800000,3.0,14.5,3.0,14.276,6548015.32,80605357.69,8.785437
1631156400000,14.289,14.849,12.803,13.499,3158433.91,43639164.22,13.823367
1631160000000,13.499,14.099,12.264,12.344,1481900.7,19223634.76,13.210083
1631163600000,12.342,13.345,12.156,12.592,1194686.86,15238653.82,12.753668
1631167200000,12.584,12.779,11.514,11.749,1019990.9,12248124.47,12.144055
1631170800000,11.75,12.4,11.302,11.939,1337256.69,15733831.89,11.851049
1631174400000,11.949,13.8,11.805,12.761,2179665.0,28107809.28,12.821834
1631178000000,12.769,13.949,12.443,12.972,1495704.91,19815365.14,13.197485
1631181600000,12.964,13.341,12.5,13.142,890577.38,11489019.8,12.918999
1631185200000,13.147,16.1,13.01,16.082,3503090.66,51432903.87,14.537671
1631188800000,16.091,16.435,13.919,14.804,3711636.78,55432540.96,15.158067
1631192400000,14.802,15.487,13.71,14.142,1793799.95,25998117.05,14.603018
1631196000000,14.146,15.027,13.651,14.352,1400728.84,20027603.54,14.339507
1631199600000,14.352,15.97,13.897,15.798,2193401.79,33107723.86,14.913904
1631203200000,15.797,16.182,14.684,15.135,1824229.98,27761489.25,15.431306
1631206800000,15.126,15.126,14.221,14.57,828483.7,12096033.73,14.655318
1631210400000,14.569,14.831,13.7,13.985,825474.04,11600506.54,14.264679
1631214000000,13.984,13.985,13.051,13.171,829423.67,11082638.58,13.504096
1631217600000,13.17,13.497,12.704,12.74,537894.32,7002654.9,13.112044
1631221200000,12.74,13.302,12.731,13.284,519815.15,6802169.34,13.017821
1631224800000,13.284,13.317,12.543,12.688,529428.29,6823571.61,12.920254
1631228400000,12.679,13.368,12.675,12.971,642402.12,8371347.26,13.030627
1631232000000,12.992,14.5,12.932,14.195,1134541.27,15706423.23,13.737137
1631235600000,14.186,14.197,13.551,13.638,631229.52,8740785.56,13.865664
1631239200000,13.638,13.65,13.126,13.505,447427.11,5987476.54,13.384996
1631242800000,13.505,13.518,12.62,12.803,756164.34,9786548.46,13.053672
1631246400000,12.805,13.7,12.804,13.463,586532.65,7806193.35,13.270389
1631250000000,13.459,13.483,12.755,12.888,365279.84,4821849.87,13.109095
1631253600000,12.907,13.091,12.325,12.431,669089.84,8451738.16,12.712167
1631257200000,12.431,12.58,11.468,12.088,1540977.65,18604832.77,12.018262
