Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1599091200000,19.71,35.0,16.708,17.752,1122432.923,24455951.32,25.874462
1599177600000,17.755,20.5,16.71,17.583,584233.851,10610919.03,18.605482
1599264000000,17.587,17.703,10.2,12.321,695421.075,9630646.87,13.810704
1599350400000,12.324,16.0,11.277,13.368,523442.995,6905557.81,13.6483
1599436800000,13.37,13.653,11.508,13.219,563541.474,7194549.09,12.579614
1599523200000,13.221,15.495,13.206,14.027,877143.667,12444434.2,14.37374
1599609600000,14.043,15.357,13.687,15.084,518817.841,7530659.68,14.517535
1599696000000,15.101,15.67,13.8,13.939,341379.569,5058979.45,14.757972
1599782400000,13.939,15.294,13.483,14.308,174345.177,2451682.32,14.391279
1599868800000,14.297,14.41,13.131,13.917,132860.394,1848710.09,13.762906
1599955200000,13.914,14.3,12.801,13.306,138944.534,1863606.62,13.547948
1600041600000,13.306,14.4,12.421,13.971,397255.366,5442607.49,13.403877
1600128000000,13.971,14.939,12.852,13.045,459694.614,6430444.88,13.915559
1600214400000,13.045,13.047,11.818,12.584,230372.605,2881793.02,12.418573
1600300800000,12.605,12.869,11.751,12.058,163528.786,1985846.56,12.308631
1600387200000,12.036,12.304,10.8,11.22,203521.002,2377139.78,11.545963
1600473600000,11.22,12.231,11.184,11.95,194755.029,2269269.84,11.724447
1600560000000,11.943,12.196,9.772,10.717,251154.3,2709271.69,10.960361
1600646400000,10.693,11.0,8.421,8.808,554514.392,5150278.11,9.704334
1600732800000,8.822,9.102,8.154,8.709,333320.967,2900428.12,8.62751
1600819200000,8.696,9.5,8.3,8.812,570671.094,5033502.51,8.900342
1600905600000,8.813,9.249,8.707,9.225,346683.889,3134210.01,8.971077
1600992000000,9.228,10.492,9.139,9.997,338990.448,3264928.11,9.833335
1601078400000,9.997,10.8,9.954,10.396,226023.607,2316516.77,10.387628
1601164800000,10.398,10.494,9.595,10.028,223667.481,2227730.07,10.037049
1601251200000,10.028,10.5,9.85,10.005,207119.042,2125707.48,10.17505
1601337600000,9.986,10.333,9.929,10.256,191159.379,1937310.82,10.132257
1601424000000,10.259,10.621,10.07,10.36,249872.642,2582370.72,10.345805
1601510400000,10.364,10.971,10.0,10.277,367176.321,3831589.37,10.485832
1601596800000,10.276,10.3,8.9,9.412,311290.221,2936400.91,9.574322
1601683200000,9.412,9.559,9.012,9.08,107649.592,1006020.31,9.289507
1601769600000,9.06,9.289,8.87,9.036,130155.654,1184508.04,9.079526
1601856000000,9.026,9.119,7.98,8.461,383505.572,3234206.38,8.536784
1601942400000,8.465,8.482,6.835,6.931,463618.778,3541996.02,7.647561
1602028800000,6.936,7.8,6.465,7.8,408268.309,2870087.82,7.104956
1602115200000,7.8,7.8,6.985,7.48,421929.2,3118515.24,7.382579
1602201600000,7.483,8.133,7.307,7.907,342420.466,2697190.32,7.721763
1602288000000,7.909,8.099,7.707,7.772,201326.953,1596672.88,7.904969
1602374400000,7.773,8.2,7.56,8.171,208123.843,1637648.58,7.870153
1602460800000,8.171,8.204,7.805,8.013,205471.103,1646594.56,8.00093
1602547200000,8.011,8.174,7.854,7.944,158387.866,1268251.58,8.014404
1602633600000,7.947,8.35,7.73,7.988,218088.552,1737751.8,8.040079
1602720000000,7.988,7.995,7.701,7.897,160408.309,1258386.79,7.845681
1602806400000,7.899,7.899,7.0,7.392,232527.78,1743513.46,7.432569
1602892800000,7.392,7.713,7.359,7.641,110989.479,832613.05,7.538752
1602979200000,7.645,7.73,7.496,7.612,89012.129,677181.88,7.612923
1603065600000,7.615,7.615,6.0,7.306,171855.868,1254131.1,6.801469
1603152000000,7.313,7.499,6.487,7.069,382020.407,2618929.23,6.99008
1603238400000,7.068,7.499,7.061,7.459,241257.051,1767967.99,7.284105
1603324800000,7.458,7.862,7.348,7.718,185600.584,1401993.26,7.606162
1603411200000,7.717,8.936,7.688,8.864,557933.283,4666475.9,8.317756
1603497600000,8.864,10.28,8.571,8.806,1006304.721,9355606.03,9.42567
1603584000000,8.806,9.736,8.25,9.257,709236.385,6352847.58,8.992093
1603670400000,9.25,9.54,8.42,8.623,554572.205,4970112.06,8.983698
1603756800000,8.637,8.77,8.3,8.572,408778.39,3499449.89,8.534666
1603843200000,8.574,8.675,7.723,7.849,442648.215,3584237.43,8.19688
1603929600000,7.859,8.027,7.1,7.387,370952.505,2787052.33,7.559376
1604016000000,7.368,7.84,7.199,7.617,373320.409,2773191.41,7.520558
1604102400000,7.627,7.657,7.181,7.338,213292.951,1575588.32,7.412554
