Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1636527600000,43.66,120.0,43.66,64.72,529365.08,34687713.06,82.366084
1636528500000,64.93,66.49,61.11,62.22,182912.26,11625525.93,63.815239
1636529400000,62.25,62.77,55.75,56.4,110330.76,6520115.77,59.246345
1636530300000,56.48,60.8,56.0,57.66,89932.14,5252222.73,58.420403
1636531200000,57.69,57.98,54.3,56.49,80131.59,4491477.11,56.114056
1636532100000,56.46,58.29,55.77,57.01,62769.44,3564681.2,57.033555
1636533000000,57.0,61.99,56.61,60.48,94571.7,5644365.47,59.365419
1636533900000,60.48,65.45,59.81,62.75,120169.14,7582965.61,62.67284
1636534800000,62.74,66.66,60.45,66.52,78467.81,4974383.94,63.44526
1636535700000,66.53,66.54,62.0,64.01,72840.38,4668717.43,64.186548
1636536600000,63.95,64.53,61.5,63.52,40822.63,2552261.9,63.011357
1636537500000,63.58,63.62,60.22,60.33,30769.74,1893521.9,61.909638
1636538400000,60.35,61.21,57.0,61.03,74510.09,4398406.5,59.094594
1636539300000,60.97,65.0,58.65,59.32,54244.22,3321802.42,61.853844
1636540200000,59.43,60.85,58.02,60.67,31809.72,1889060.39,59.403994
1636541100000,60.62,60.65,57.67,58.57,26533.81,1562172.05,59.10163
1636542000000,58.57,59.5,56.8,57.08,32808.89,1902430.67,58.176783
1636542900000,57.08,57.8,55.11,57.44,50068.97,2815785.62,56.451379
1636543800000,57.42,59.5,56.17,56.49,37372.77,2162430.91,57.852501
1636544700000,56.48,58.13,56.2,57.2,28899.27,1651727.0,57.176715
1636545600000,57.2,58.49,55.0,55.5,36440.25,2055258.91,56.769908
1636546500000,55.58,58.5,55.23,58.35,36401.41,2058945.99,56.843139
1636547400000,58.36,59.5,56.54,56.8,42354.7,2453446.57,58.052833
1636548300000,56.74,57.84,55.7,57.75,33010.03,1862327.01,56.741989
1636549200000,57.76,58.14,56.65,57.72,25138.05,1438621.88,57.394938
1636550100000,57.72,62.29,57.47,59.91,83199.89,4989601.17,59.937956
1636551000000,59.91,60.85,56.74,58.41,47709.68,2778985.02,58.782427
1636551900000,58.5,58.7,55.73,56.39,36392.9,2071551.05,57.181788
1636552800000,56.32,58.0,56.27,57.84,26303.53,1495698.69,57.148153
1636553700000,57.75,60.0,57.01,57.3,54631.05,3202087.65,58.510581
1636554600000,57.3,59.24,57.16,58.37,27465.7,1603460.9,58.225858
1636555500000,58.26,62.42,57.83,62.36,71421.73,4313129.91,60.078902
1636556400000,62.42,66.66,59.21,65.6,142931.49,9035406.2,62.883698
1636557300000,65.53,74.35,62.69,70.91,242584.75,16775478.88,68.536865
1636558200000,70.96,75.38,67.6,75.0,257782.63,18619811.8,71.382294
1636559100000,75.0,82.0,72.56,76.81,374313.28,29230451.21,77.292755
1636560000000,76.86,78.52,71.09,72.0,186221.04,13868489.34,74.849916
1636560900000,72.08,79.32,70.0,75.75,188747.26,14008276.27,74.690045
1636561800000,75.71,77.09,72.73,75.96,126420.85,9478965.59,74.909239
1636562700000,75.99,81.95,75.59,80.0,227521.66,18186007.48,78.855522
1636563600000,80.03,85.63,79.02,81.44,284227.54,23617971.64,82.343295
1636564500000,81.44,84.0,78.0,82.08,119767.22,9792044.54,80.997832
1636565400000,82.09,82.2,77.18,78.75,108083.64,8603821.91,79.599158
1636566300000,78.78,81.0,75.51,75.67,95757.52,7493802.15,78.344841
1636567200000,75.64,80.1,73.69,78.04,117035.61,8980251.59,76.896998
1636568100000,78.02,80.0,76.68,77.29,60158.93,4726034.48,78.348381
1636569000000,77.29,77.92,73.13,73.39,53262.97,3988980.25,75.56175
1636569900000,73.39,74.83,71.02,72.95,50774.44,3703677.77,72.92418
1636570800000,72.95,74.56,71.0,72.04,43835.09,3199316.04,72.784733
1636571700000,71.94,75.99,71.93,73.15,50580.94,3753349.49,73.992134
1636572600000,73.15,75.83,72.57,73.0,34150.05,2543586.89,74.200596
1636573500000,73.06,73.07,67.83,69.9,95257.42,6667315.87,70.346988
1636574400000,69.9,70.41,67.56,68.89,59775.81,4105676.37,68.97171
1636575300000,68.89,72.75,67.77,70.78,52537.49,3690669.02,70.275875
1636576200000,70.79,71.9,68.0,70.19,42354.83,2959107.61,69.946786
1636577100000,70.39,71.2,67.54,68.84,37862.68,2615222.9,69.358499
1636578000000,68.81,69.0,63.56,64.29,75633.68,4976744.72,66.22368
1636578900000,64.37,64.8,60.0,64.43,96052.04,5980804.52,62.399922
1636579800000,64.41,66.78,63.0,66.36,60583.59,3955095.83,64.85472
1636580700000,66.37,72.3,65.32,69.73,91136.9,6294597.52,68.856735
1636581600000,69.88,71.78,66.26,70.65,67548.86,4681852.08,69.013914
1636582500000,70.63,71.8,67.63,68.82,36791.28,2551100.35,69.714506
1636583400000,68.82,70.17,68.0,69.06,28566.88,1983746.79,69.085445
1636584300000,69.07,69.13,66.79,66.83,26159.81,1779713.77,67.962972
1636585200000,66.82,68.0,66.68,67.9,15559.84,1053275.37,67.33598
1636586100000,67.9,74.78,67.5,74.38,94704.88,6772285.38,71.14
1636587000000,74.38,77.0,72.58,76.1,93749.01,7037193.49,74.772294
1636587900000,76.11,76.57,72.65,73.82,52326.37,3903898.96,74.576887
1636588800000,73.87,76.0,71.55,74.0,33739.61,2480769.83,73.774966
1636589700000,73.94,80.0,73.71,78.57,89010.35,6888856.63,76.949008
1636590600000,78.93,81.5,76.34,78.53,90368.1,7170455.7,78.920286
1636591500000,78.56,80.0,73.37,76.96,70406.37,5408314.84,76.669117
1636592400000,76.99,82.68,76.31,81.45,71332.02,5731535.81,79.53341
1636593300000,81.43,83.42,79.24,82.2,73786.47,6009772.46,81.32585
1636594200000,82.19,86.76,80.01,83.54,130328.83,10885357.25,83.390253
1636595100000,83.53,84.42,81.12,83.04,56207.07,4653861.29,82.767146
1636596000000,83.1,86.11,82.81,84.31,90003.93,7607039.71,84.486259
1636596900000,84.3,84.3,75.82,76.22,123049.78,9752367.87,80.001277
1636597800000,76.21,79.7,75.12,79.17,79897.2,6214513.8,77.377353
1636598700000,79.17,79.22,73.13,73.8,71018.31,5375440.3,76.100203
1636599600000,73.89,74.72,71.6,72.29,61404.87,4488443.54,73.164926
1636600500000,72.29,75.54,72.0,72.89,44759.69,3314518.04,73.778536
1636601400000,72.89,74.4,71.24,74.32,32810.63,2394390.21,72.777642
1636602300000,74.33,74.33,70.9,72.74,39481.83,2847835.59,72.562771
