Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1636502400000,43.66,120.0,43.66,73.82,6140557.61,424098906.42,82.76758
1636588800000,73.87,86.76,55.06,55.31,3948818.81,271878388.08,71.502387
1636675200000,55.38,64.94,50.0,54.65,2126466.36,119756579.5,57.471466
1636761600000,54.6,63.58,48.0,55.57,2193469.09,121128444.4,55.790684
1636848000000,55.58,62.49,53.2,56.21,1322151.69,76963807.43,57.847245
1636934400000,56.22,60.15,50.05,55.77,1803171.58,99603816.36,55.099556
1637020800000,55.75,55.94,47.91,48.17,1789182.35,93185599.48,51.914969
1637107200000,48.21,50.6,45.45,48.16,1310706.19,62845090.24,48.024996
1637193600000,48.14,50.94,40.05,41.31,1438354.24,64980369.55,45.578979
1637280000000,41.33,51.2,38.39,47.84,1513024.78,68763131.4,44.809495
1637366400000,47.8,49.69,44.51,46.78,832173.96,38884512.3,47.09814
1637452800000,46.78,46.83,41.39,42.06,983085.28,42891429.26,44.038131
1637539200000,42.06,47.13,39.86,40.97,1534197.42,65617611.45,43.50619
1637625600000,40.92,53.0,40.46,50.8,2288542.92,106124696.2,46.889815
1637712000000,50.8,51.21,45.84,49.17,1153521.29,55557090.34,48.490578
1637798400000,49.22,73.0,48.3,68.31,4015128.37,250707516.16,60.98091
1637884800000,68.24,77.0,55.1,59.51,3708353.65,239987848.83,66.13998
1637971200000,59.52,84.0,59.1,73.45,3728749.65,280338178.31,71.979939
1638057600000,73.45,76.69,65.0,76.15,2685887.3,191375756.39,70.791542
1638144000000,76.14,82.75,69.5,70.21,2039843.68,153506361.81,76.280507
1638230400000,70.21,78.12,66.0,69.93,1633783.32,116387008.42,72.060266
1638316800000,69.98,74.91,63.21,64.81,1591713.0,108428444.9,69.145447
1638403200000,64.81,64.84,58.5,61.67,1133043.63,69395071.11,61.567434
1638489600000,61.68,63.29,50.0,54.24,1543989.9,87538378.45,56.533212
1638576000000,54.29,54.93,39.0,50.81,2239096.3,105468773.34,46.897562
1638662400000,50.79,54.74,45.47,49.3,1630663.11,81570830.07,50.10539
1638748800000,49.34,51.5,42.0,51.42,1355959.12,62909793.24,46.705969
1638835200000,51.46,53.99,48.62,50.69,962952.66,49054177.68,51.306188
1638921600000,50.72,52.43,47.0,49.36,640059.23,31874201.5,49.709822
1639008000000,49.37,50.72,44.69,44.97,801079.22,38039897.89,47.787149
1639094400000,44.97,46.8,42.5,42.61,622039.94,27832051.67,44.720037
1639180800000,42.6,49.28,41.55,47.48,1038286.43,47176830.75,45.456499
1639267200000,47.46,48.07,44.11,47.06,700533.61,32201985.97,46.087008
1639353600000,47.07,47.1,39.36,39.96,820821.19,34884671.94,43.153802
1639440000000,39.99,41.71,37.74,39.85,914632.04,36437400.4,39.724939
1639526400000,39.87,44.48,37.12,42.48,1048199.34,42616948.11,40.787828
1639612800000,42.43,48.01,42.27,44.34,1315758.83,59551584.78,45.189963
1639699200000,44.34,46.66,40.15,42.18,1029710.85,44405092.15,43.409104
