Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1636527600000,43.66,120.0,43.66,57.66,912540.24,58085577.49,82.094299
1636531200000,57.69,65.45,54.3,62.75,357641.87,21283489.38,59.856273
1636534800000,62.74,66.66,60.22,60.33,222900.56,14088885.18,63.509115
1636538400000,60.35,65.0,57.0,58.57,187097.84,11171441.37,61.019299
1636542000000,58.57,59.5,55.11,57.2,149149.9,8532374.2,57.290526
1636545600000,57.2,59.5,55.0,57.75,148206.39,8429978.49,57.249157
1636549200000,57.76,62.29,55.73,56.39,192440.52,11278759.12,59.031331
1636552800000,56.32,62.42,56.27,62.36,179822.01,10614377.14,59.346589
1636556400000,62.42,82.0,59.21,76.81,1017612.15,73661148.09,70.714599
1636560000000,76.86,81.95,70.0,80.0,728910.81,55541738.68,75.93188
1636563600000,80.03,85.63,75.51,75.67,607835.92,49507640.24,80.70236
1636567200000,75.64,80.1,71.02,72.95,281231.95,21398944.09,75.588379
1636570800000,72.95,75.99,67.83,69.9,223823.5,16163568.29,71.927553
1636574400000,69.9,72.75,67.54,68.84,192530.81,13370675.88,70.153104
1636578000000,68.81,72.3,60.0,69.73,323406.21,21207242.6,66.14563
1636581600000,69.88,71.8,66.26,66.83,159066.83,10996412.98,69.085341
1636585200000,66.82,77.0,66.68,73.82,256340.1,18766653.2,72.037555
1636588800000,73.87,81.5,71.55,76.96,283524.43,21948396.99,76.552424
1636592400000,76.99,86.76,76.31,83.04,331654.39,27280526.81,81.674017
1636596000000,83.1,86.11,73.13,73.8,363969.22,28949361.69,79.792264
1636599600000,73.89,75.54,70.9,72.74,178457.02,13045187.39,73.218518
1636603200000,72.75,78.69,71.65,75.32,150484.85,11364537.28,75.209118
1636606800000,75.27,77.2,72.0,74.26,99157.82,7356190.89,74.598429
1636610400000,74.23,74.25,66.57,67.93,240323.79,16670636.91,70.274491
1636614000000,67.93,69.87,63.81,69.08,186957.06,12448927.5,66.824874
1636617600000,69.1,70.2,65.5,70.12,103880.67,7055452.12,67.82903
1636621200000,70.08,73.3,68.09,70.26,128275.59,9135193.75,70.695157
1636624800000,70.27,72.64,67.5,67.55,83304.33,5830079.5,70.157323
1636628400000,67.58,70.82,67.15,69.15,75551.34,5225143.57,69.014726
1636632000000,69.15,72.38,68.0,68.27,106172.09,7405701.59,70.205088
1636635600000,68.3,69.07,65.0,67.05,103201.84,6852127.29,67.019543
