Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1601251200000,0.3,4.5,0.3,0.953,54779888.82,64762216.45,2.410783
1601337600000,0.9546,0.9801,0.57,0.6455,39162289.42,28299514.57,0.770912
1601424000000,0.6455,0.7,0.585,0.6295,23449146.36,14754951.72,0.642524
1601510400000,0.6302,0.6849,0.5511,0.5632,18162834.79,11292752.62,0.619425
1601596800000,0.5625,0.581,0.4271,0.4673,20402131.54,9673805.04,0.502902
1601683200000,0.4673,0.4959,0.4052,0.4152,19534215.44,8900771.75,0.451386
1601769600000,0.4154,0.42,0.32,0.3597,17075380.28,6434151.27,0.368524
1601856000000,0.3595,0.4111,0.305,0.3798,31160193.78,11002221.72,0.357943
1601942400000,0.3782,0.4089,0.2888,0.3009,26750520.87,9167332.23,0.349924
1602028800000,0.3012,0.3012,0.2521,0.2632,19582935.71,5230964.75,0.275673
1602115200000,0.2629,0.33,0.2452,0.2825,19023890.45,5172787.57,0.287802
1602201600000,0.2843,0.309,0.2628,0.2927,17931919.2,5145725.5,0.285878
1602288000000,0.2928,0.31,0.2569,0.2662,12461652.21,3574170.89,0.283714
1602374400000,0.2662,0.2821,0.2476,0.2783,13961839.31,3680408.61,0.264615
1602460800000,0.2781,0.2793,0.2542,0.2595,11171555.36,2976102.92,0.266424
1602547200000,0.2595,0.2839,0.2543,0.2752,14933112.53,4031888.19,0.269232
1602633600000,0.2752,0.2989,0.26,0.2732,15061028.57,4180510.34,0.279453
1602720000000,0.273,0.2746,0.256,0.2641,8197990.23,2174855.18,0.265103
1602806400000,0.2634,0.2662,0.2478,0.2514,7175494.3,1841081.1,0.256952
1602892800000,0.2517,0.2609,0.2434,0.2541,6974226.75,1751904.43,0.252146
1602979200000,0.2541,0.2615,0.25,0.2579,6108899.19,1566767.97,0.255743
1603065600000,0.2576,0.27,0.2481,0.262,9283951.32,2394555.5,0.259042
1603152000000,0.2619,0.2628,0.2332,0.2366,7320352.23,1816878.18,0.247721
1603238400000,0.2366,0.2521,0.236,0.242,6837716.52,1672235.34,0.244187
1603324800000,0.242,0.2479,0.233,0.2357,6970507.37,1688404.93,0.240525
1603411200000,0.2358,0.2374,0.217,0.2223,7186024.26,1633560.86,0.226973
1603497600000,0.2223,0.2355,0.219,0.226,7440718.63,1690569.27,0.227289
1603584000000,0.2259,0.2325,0.2056,0.2095,9555428.81,2052158.91,0.219188
1603670400000,0.2099,0.2249,0.1907,0.1967,13198596.0,2717716.58,0.207974
1603756800000,0.1963,0.2001,0.185,0.191,9961968.38,1928751.72,0.192515
1603843200000,0.191,0.1968,0.1637,0.1669,9518962.71,1708314.09,0.180449
1603929600000,0.167,0.171,0.151,0.1525,8213600.38,1319335.05,0.161189
1604016000000,0.1522,0.1639,0.1385,0.1564,27965171.73,4223283.42,0.151179
1604102400000,0.1568,0.1635,0.1508,0.1518,12128260.35,1910095.09,0.157265
1604188800000,0.1514,0.1536,0.1445,0.1493,8003674.0,1184934.44,0.149032
1604275200000,0.1493,0.1582,0.1447,0.1491,13684179.32,2067458.29,0.15145
1604361600000,0.1489,0.1494,0.1331,0.136,12552536.85,1756194.27,0.141027
1604448000000,0.1363,0.1365,0.1212,0.1238,13760477.94,1763663.21,0.12861
1604534400000,0.1241,0.136,0.1215,0.1297,14017617.14,1807161.55,0.128822
1604620800000,0.1293,0.1693,0.1285,0.1546,34544121.0,5071451.02,0.149639
1604707200000,0.1549,0.1695,0.1338,0.1416,44981531.07,6889573.2,0.151772
1604793600000,0.1409,0.1553,0.1384,0.151,15853929.44,2339194.46,0.146938
1604880000000,0.1509,0.1542,0.1424,0.149,17074359.24,2527529.2,0.148289
1604966400000,0.1495,0.1709,0.1467,0.1676,15835976.56,2491402.01,0.158841
1605052800000,0.1677,0.1774,0.1555,0.157,16350897.87,2737263.43,0.16671
1605139200000,0.1568,0.1663,0.146,0.1495,12805093.18,2014165.77,0.15625
1605225600000,0.1495,0.1671,0.1473,0.1656,13696123.32,2178654.31,0.157131
1605312000000,0.1657,0.1784,0.1592,0.1752,20389158.2,3441238.77,0.168692
1605398400000,0.1751,0.201,0.175,0.1883,37403534.91,7042322.35,0.188434
1605484800000,0.1877,0.212,0.1805,0.2061,39709820.16,7877569.93,0.196189
1605571200000,0.2055,0.2189,0.1994,0.2074,21952526.65,4596658.07,0.209156
1605657600000,0.2074,0.2101,0.1717,0.183,19905794.76,3701791.45,0.190417
1605744000000,0.1834,0.2121,0.1801,0.2062,24421509.9,4793090.64,0.196289
1605830400000,0.2065,0.228,0.1947,0.1981,23660517.92,5090727.57,0.211496
1605916800000,0.1979,0.2333,0.1907,0.2196,22336260.55,4801461.07,0.212225
1606003200000,0.2201,0.2225,0.1911,0.2051,14708103.58,3029647.7,0.206449
1606089600000,0.2053,0.2295,0.2014,0.2242,13014632.98,2800592.57,0.215539
1606176000000,0.2242,0.2417,0.207,0.2272,13613518.69,3078143.8,0.224347
1606262400000,0.228,0.2449,0.2055,0.2157,15629325.16,3593032.8,0.225284
1606348800000,0.2157,0.2225,0.1615,0.1774,17933413.11,3251461.82,0.191503
1606435200000,0.1784,0.196,0.17,0.1801,12061334.77,2179245.18,0.183004
1606521600000,0.1801,0.1928,0.1737,0.1842,9936535.99,1837190.24,0.183263
1606608000000,0.1842,0.1872,0.1767,0.1847,3593075.62,656903.63,0.181949
1606694400000,0.1849,0.1922,0.179,0.1887,7916875.96,1472978.97,0.185575
1606780800000,0.1887,0.2034,0.1731,0.1812,9750335.75,1849066.9,0.188301
1606867200000,0.1808,0.1974,0.1768,0.194,11054601.49,2106639.19,0.187066
