Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1627646400000,18.31,35.61,18.31,23.67,2522134.23,65911520.62,27.106792
1627653600000,23.68,24.82,22.78,22.86,634189.27,15087987.65,23.82231
1627660800000,22.86,23.5,22.18,22.75,503065.42,11443028.52,22.840061
1627668000000,22.72,23.33,22.29,23.07,223859.9,5090906.99,22.807523
1627675200000,23.08,24.3,23.0,23.5,375237.52,8884008.94,23.659646
1627682400000,23.5,24.15,22.7,23.9,224557.57,5255450.78,23.419667
1627689600000,23.91,25.27,22.96,23.93,606736.32,14635524.97,24.115004
1627696800000,23.96,28.0,23.45,26.16,736031.7,19303249.83,25.76628
1627704000000,26.15,27.12,25.62,26.97,518033.45,13663247.53,26.354659
1627711200000,26.98,27.1,25.71,25.77,238283.64,6286732.16,26.412012
1627718400000,25.78,26.16,24.94,25.85,267461.24,6807904.19,25.549782
1627725600000,25.85,25.86,24.03,24.5,209230.59,5165375.51,24.90878
1627732800000,24.5,24.83,23.6,23.88,171274.79,4116155.0,24.216696
1627740000000,23.87,23.94,23.42,23.5,138762.09,3286469.35,23.679275
1627747200000,23.5,23.67,22.93,23.06,99645.41,2320227.86,23.301939
1627754400000,23.06,24.04,22.95,23.63,146667.11,3466060.69,23.506007
1627761600000,23.62,24.73,23.21,23.9,219567.47,5268879.16,23.971797
1627768800000,23.9,24.36,23.49,24.36,121376.35,2907875.92,23.909596
1627776000000,24.37,24.42,22.6,22.79,144842.91,3366043.19,23.493749
1627783200000,22.79,22.83,21.93,22.3,167529.16,3753532.19,22.366794
1627790400000,22.3,22.83,22.26,22.57,96874.63,2181201.35,22.551537
1627797600000,22.57,22.83,22.4,22.53,72135.06,1631248.91,22.615141
1627804800000,22.53,22.6,22.2,22.38,73852.32,1655698.11,22.397996
1627812000000,22.38,22.49,21.64,21.89,87364.75,1926199.8,22.058657
1627819200000,21.89,22.27,21.76,21.99,62666.34,1379127.27,22.015728
1627826400000,21.99,22.67,21.78,22.43,69727.83,1547318.16,22.225976
1627833600000,22.43,23.87,22.36,22.38,205489.43,4748974.28,23.115195
1627840800000,22.38,22.62,22.24,22.48,28350.91,635073.19,22.43
1627848000000,22.46,22.5,22.09,22.2,26029.66,579834.41,22.291088
1627855200000,22.19,22.23,21.07,21.09,107155.18,2310127.4,21.6529
1627862400000,21.13,22.7,20.75,22.06,272746.52,5906852.24,21.732838
1627869600000,22.06,22.1,21.7,21.73,34235.5,749856.4,21.901025
1627876800000,21.73,22.01,21.73,21.97,23824.2,521519.72,21.8745
1627884000000,21.96,21.98,21.42,21.55,82181.5,1779339.12,21.691489
1627891200000,21.54,21.72,21.13,21.63,61453.24,1318942.87,21.424064
1627898400000,21.63,21.98,21.5,21.72,66031.23,1430087.02,21.740576
1627905600000,21.71,21.79,21.34,21.66,52767.33,1137831.05,21.564628
1627912800000,21.69,21.8,21.5,21.68,44181.44,955551.78,21.64999
1627920000000,21.67,21.79,21.47,21.64,42104.0,909410.12,21.629945
1627927200000,21.67,21.71,21.4,21.51,28563.45,614438.63,21.552503
1627934400000,21.51,22.09,21.26,21.94,80510.81,1733671.3,21.671404
1627941600000,21.98,22.33,21.67,22.15,66228.1,1458169.8,21.998904
1627948800000,22.15,22.4,21.29,21.29,51582.99,1122612.19,21.867071
1627956000000,21.28,21.54,21.03,21.18,36055.01,767886.53,21.285534
1627963200000,21.19,21.27,20.53,20.65,64227.46,1333280.14,20.896929
1627970400000,20.64,21.16,20.58,21.04,31556.21,656993.94,20.874049
1627977600000,21.02,21.04,20.75,20.88,17510.49,366274.91,20.891597
1627984800000,20.88,21.05,20.76,20.81,19964.68,417945.88,20.905887
1627992000000,20.81,20.95,20.5,20.89,43379.54,899837.29,20.724004
1627999200000,20.87,21.12,20.7,20.77,20237.9,422518.14,20.911294
1628006400000,20.77,20.87,20.69,20.7,21598.31,448160.38,20.781768
1628013600000,20.7,20.74,20.6,20.6,12353.28,255479.85,20.672924
1628020800000,20.61,20.68,20.5,20.65,20195.41,415366.41,20.5895
1628028000000,20.65,20.98,20.63,20.84,37002.17,769096.02,20.809772
1628035200000,20.84,21.05,20.53,20.96,42859.41,892337.48,20.788516
1628042400000,20.95,21.02,20.57,20.62,22684.75,471231.12,20.796553
1628049600000,20.62,20.76,20.5,20.56,24533.59,505198.39,20.63054
1628056800000,20.58,20.66,20.27,20.66,47687.08,975843.98,20.463352
1628064000000,20.6,20.93,20.33,20.93,49715.42,1025384.55,20.618955
