Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1576800000000,1.94,2.218,1.94,2.155,1168998.116,2516781.13,2.084538
1576886400000,2.153,2.157,2.136,2.149,112274.121,240745.96,2.146459
1576972800000,2.146,2.275,2.137,2.275,1324239.891,2888429.88,2.204742
1577059200000,2.277,2.303,2.173,2.191,1644144.833,3706522.47,2.238491
1577145600000,2.187,2.201,2.138,2.161,136824.262,295282.66,2.1693
1577232000000,2.159,2.165,2.138,2.141,40658.758,87178.68,2.151688
1577318400000,2.14,2.194,2.139,2.141,89310.288,192903.63,2.166502
1577404800000,2.141,2.172,2.139,2.149,182638.672,392115.2,2.155657
1577491200000,2.15,2.188,2.15,2.181,57643.714,124794.04,2.169699
1577577600000,2.176,2.249,2.167,2.21,47632.036,104915.07,2.208674
1577664000000,2.208,2.211,2.151,2.167,58259.427,127394.61,2.180141
1577750400000,2.154,2.186,2.142,2.144,89816.753,193828.05,2.164196
1577836800000,2.147,2.162,2.141,2.144,36912.453,79400.85,2.151531
1577923200000,2.144,2.152,2.142,2.142,137785.552,295884.3,2.14704
1578009600000,2.143,2.233,2.14,2.204,153597.542,335306.36,2.188067
1578096000000,2.201,2.206,2.157,2.164,37466.666,81572.45,2.181334
1578182400000,2.174,2.2,2.135,2.139,47776.802,102826.68,2.16836
1578268800000,2.138,2.191,2.136,2.183,106516.456,229102.81,2.164103
1578355200000,2.186,2.241,2.129,2.166,533551.662,1155855.25,2.185072
1578441600000,2.161,2.202,2.134,2.176,938394.078,2015752.14,2.167994
1578528000000,2.173,2.173,2.135,2.161,256197.946,549839.67,2.153668
1578614400000,2.159,2.24,2.134,2.228,318059.44,694686.24,2.18623
1578700800000,2.234,2.234,2.135,2.147,251332.158,540569.24,2.183064
1578787200000,2.143,2.198,2.133,2.183,182071.045,392479.06,2.165761
1578873600000,2.182,2.182,2.14,2.155,96535.739,208127.9,2.160136
1578960000000,2.15,2.215,2.143,2.176,554663.894,1211009.7,2.179539
1579046400000,2.172,2.368,2.15,2.367,1162491.233,2579539.19,2.256374
1579132800000,2.369,2.4,2.287,2.4,399721.104,940407.94,2.342714
1579219200000,2.396,2.481,2.04,2.386,496915.663,1210130.06,2.260483
1579305600000,2.387,2.423,2.334,2.377,294660.645,702499.01,2.378489
1579392000000,2.371,2.434,2.235,2.284,393618.589,929637.67,2.334851
1579478400000,2.285,2.291,2.203,2.266,202402.67,455607.85,2.246664
1579564800000,2.266,2.352,2.262,2.351,319955.988,739563.26,2.30657
1579651200000,2.349,2.362,2.287,2.315,238303.247,551051.34,2.324094
1579737600000,2.321,2.321,2.18,2.236,775805.994,1718380.39,2.247702
1579824000000,2.23,2.286,2.194,2.256,99776.007,223238.1,2.239939
1579910400000,2.259,2.259,2.205,2.224,71731.297,159492.13,2.230885
1579996800000,2.21,2.29,2.202,2.284,315855.281,709095.67,2.245785
1580083200000,2.291,2.403,2.288,2.372,364527.396,848650.4,2.347482
1580169600000,2.376,2.446,2.334,2.446,647069.833,1541980.3,2.387727
1580256000000,2.446,2.453,2.344,2.348,585261.564,1402019.88,2.39888
1580342400000,2.346,2.421,2.318,2.404,598076.834,1412202.28,2.369026
1580428800000,2.406,2.408,2.32,2.367,236684.171,558238.55,2.362838
1580515200000,2.371,2.39,2.329,2.351,72233.199,169584.15,2.359459
1580601600000,2.336,2.37,2.294,2.318,177414.62,415371.94,2.332071
1580688000000,2.315,2.384,2.262,2.302,679124.691,1563176.29,2.323041
1580774400000,2.301,2.318,2.209,2.248,336790.599,768687.35,2.262809
