Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1576807200000,1.94,2.218,1.94,2.172,335390.566,724155.25,2.083849
1576814400000,2.171,2.187,2.167,2.17,154969.323,336721.16,2.177004
1576821600000,2.17,2.172,2.138,2.142,359774.63,772193.81,2.154796
1576828800000,2.141,2.152,2.138,2.148,236418.18,507213.83,2.145033
1576836000000,2.149,2.149,2.142,2.142,27301.072,58562.42,2.1455
1576843200000,2.144,2.153,2.144,2.151,7799.563,16767.89,2.148678
1576850400000,2.142,2.151,2.09,2.141,20525.407,43526.28,2.120499
1576857600000,2.142,2.148,2.138,2.148,9572.216,20492.67,2.142802
1576864800000,2.153,2.157,2.14,2.155,9051.475,19458.03,2.148481
1576872000000,2.161,2.163,2.155,2.155,5873.492,12684.25,2.159164
1576879200000,2.154,2.159,2.15,2.155,2322.192,5005.54,2.1545
1576886400000,2.153,2.154,2.145,2.145,2947.757,6335.2,2.149623
1576893600000,2.146,2.15,2.145,2.145,2344.173,5032.45,2.14752
1576900800000,2.147,2.15,2.141,2.145,2518.058,5397.86,2.145494
1576908000000,2.144,2.144,2.137,2.139,20044.171,42839.48,2.140354
1576915200000,2.139,2.139,2.137,2.139,1671.73,3573.34,2.138
1576922400000,2.14,2.14,2.137,2.14,827.248,1770.06,2.1385
1576929600000,2.138,2.14,2.136,2.139,30464.32,65166.12,2.137992
1576936800000,2.14,2.141,2.138,2.138,4856.837,10392.49,2.139563
1576944000000,2.14,2.15,2.138,2.15,8989.518,19292.57,2.14379
1576951200000,2.151,2.151,2.148,2.148,67.519,145.08,2.1495
1576958400000,2.149,2.157,2.147,2.15,35413.688,76227.33,2.152006
1576965600000,2.147,2.149,2.146,2.149,2129.102,4573.99,2.147437
1576972800000,2.146,2.149,2.145,2.149,13749.452,29536.71,2.146918
1576980000000,2.149,2.149,2.147,2.148,11103.699,23843.64,2.147967
1576987200000,2.148,2.148,2.137,2.14,133168.918,285018.21,2.142271
1576994400000,2.14,2.15,2.14,2.15,135306.306,289860.7,2.145
1577001600000,2.152,2.154,2.14,2.145,51882.692,111305.02,2.1469
1577008800000,2.145,2.151,2.141,2.142,102045.954,218911.24,2.146058
1577016000000,2.142,2.162,2.142,2.156,138146.819,297470.86,2.152419
1577023200000,2.156,2.177,2.14,2.177,143167.302,309539.28,2.157799
1577030400000,2.175,2.23,2.171,2.202,229195.979,503806.1,2.201163
1577037600000,2.201,2.246,2.201,2.228,127746.985,284549.61,2.22439
1577044800000,2.228,2.247,2.228,2.236,109737.923,245227.99,2.237755
1577052000000,2.233,2.275,2.223,2.275,128987.862,289360.53,2.248026
1577059200000,2.277,2.303,2.253,2.276,376912.992,853874.95,2.278
1577066400000,2.276,2.282,2.258,2.272,587010.124,1330392.4,2.269972
1577073600000,2.271,2.271,2.254,2.254,58084.204,131494.72,2.2625
1577080800000,2.259,2.259,2.229,2.243,19076.243,42722.05,2.243464
1577088000000,2.244,2.255,2.241,2.248,9574.399,21484.4,2.248042
1577095200000,2.249,2.259,2.246,2.259,14037.275,31624.4,2.25224
1577102400000,2.259,2.269,2.244,2.249,57583.233,129870.9,2.256604
1577109600000,2.249,2.271,2.239,2.267,24113.149,54387.99,2.254742
1577116800000,2.265,2.299,2.206,2.21,433223.336,969073.96,2.253937
1577124000000,2.209,2.227,2.203,2.22,8644.608,19165.51,2.215028
1577131200000,2.216,2.216,2.181,2.188,39463.852,86588.78,2.197833
1577138400000,2.18,2.194,2.173,2.191,16421.418,35842.42,2.183353
1577145600000,2.187,2.189,2.18,2.182,8121.161,17747.35,2.1845
1577152800000,2.186,2.188,2.186,2.186,362.458,792.58,2.187
1577160000000,2.188,2.191,2.186,2.189,7498.836,16395.42,2.1885
1577167200000,2.191,2.193,2.159,2.161,5878.201,12785.0,2.176
1577174400000,2.154,2.199,2.154,2.189,13327.912,29143.05,2.177391
1577181600000,2.191,2.201,2.186,2.19,8556.616,18765.94,2.193503
1577188800000,2.184,2.184,2.165,2.165,3062.517,6665.99,2.1745
1577196000000,2.167,2.175,2.138,2.141,21720.195,46738.89,2.156852
1577203200000,2.139,2.142,2.138,2.142,6775.913,14495.43,2.139918
1577210400000,2.139,2.142,2.138,2.138,45508.191,97447.29,2.140024
1577217600000,2.141,2.142,2.139,2.141,13894.787,29756.77,2.1405
1577224800000,2.141,2.161,2.141,2.161,2117.475,4548.94,2.151
1577232000000,2.159,2.162,2.156,2.158,1749.518,3776.68,2.159003
1577239200000,2.163,2.165,2.154,2.158,3740.079,8089.76,2.159446
1577246400000,2.157,2.157,2.151,2.152,444.963,958.7,2.153895
1577253600000,2.152,2.154,2.141,2.153,3484.682,7490.81,2.147493
1577260800000,2.154,2.155,2.145,2.145,2778.014,5969.75,2.150127
1577268000000,2.144,2.144,2.138,2.141,1466.654,3137.64,2.1409
1577275200000,2.139,2.141,2.138,2.141,11064.619,23677.26,2.139438
1577282400000,2.138,2.138,2.138,2.138,6926.644,14809.16,
1577289600000,2.141,2.142,2.138,2.141,5112.54,10945.62,2.14
1577296800000,2.14,2.14,2.139,2.139,224.99,481.42,2.1395
1577304000000,2.14,2.14,2.139,2.139,3639.475,7784.96,2.1395
1577311200000,2.141,2.141,2.141,2.141,26.58,56.91,
1577318400000,2.14,2.141,2.14,2.141,676.356,1447.92,2.1405
1577325600000,2.141,2.141,2.141,2.141,0.0,0.0,
1577332800000,2.139,2.139,2.139,2.139,1221.396,2612.57,
1577340000000,2.142,2.143,2.142,2.143,302.33,647.66,2.1425
1577347200000,2.141,2.142,2.139,2.142,3104.783,6643.75,2.140471
1577354400000,2.149,2.152,2.148,2.148,562.924,1210.51,2.150024
1577361600000,2.147,2.147,2.141,2.141,1429.943,3066.9,2.144
1577368800000,2.141,2.154,2.141,2.151,4645.063,9952.82,2.14776
1577376000000,2.152,2.181,2.143,2.172,13196.879,28672.77,2.162
1577383200000,2.179,2.194,2.147,2.162,28317.237,61673.66,2.1705
1577390400000,2.162,2.164,2.139,2.142,35828.457,76921.73,2.151405
1577397600000,2.14,2.141,2.14,2.141,24.92,53.34,2.1405
1577404800000,2.141,2.142,2.139,2.142,516.525,1106.23,2.140471
1577412000000,2.143,2.145,2.14,2.145,1027.039,2202.73,2.142438
1577419200000,2.145,2.145,2.14,2.143,8694.334,18629.88,2.142438
1577426400000,2.143,2.151,2.143,2.148,5149.879,11042.7,2.147162
1577433600000,2.149,2.154,2.145,2.145,65467.698,140711.62,2.14963
1577440800000,2.145,2.152,2.143,2.146,5442.276,11686.61,2.147506
1577448000000,2.143,2.172,2.143,2.149,54604.745,117179.16,2.157624
1577455200000,2.148,2.155,2.148,2.155,2955.154,6353.89,2.1515
1577462400000,2.155,2.163,2.141,2.143,28335.85,60780.88,2.152241
1577469600000,2.145,2.148,2.142,2.145,7800.533,16733.57,2.145
1577476800000,2.146,2.15,2.145,2.15,745.709,1601.88,2.147405
1577484000000,2.16,2.16,2.148,2.149,1898.93,4086.04,2.153867
1577491200000,2.15,2.166,2.15,2.163,12215.413,26377.65,2.158296
1577498400000,2.165,2.165,2.153,2.153,7617.492,16405.32,2.159
1577505600000,2.151,2.171,2.151,2.171,2237.367,4833.14,2.161
1577512800000,2.172,2.176,2.16,2.16,7740.474,16819.47,2.168327
1577520000000,2.159,2.159,2.151,2.159,1834.851,3956.33,2.155
1577527200000,2.169,2.169,2.163,2.163,11390.704,24679.54,2.166
1577534400000,2.163,2.165,2.162,2.164,4653.904,10069.93,2.1635
1577541600000,2.164,2.174,2.164,2.167,3402.993,7378.67,2.169081
1577548800000,2.161,2.175,2.16,2.175,1310.874,2842.36,2.167361
1577556000000,2.182,2.182,2.174,2.177,1141.034,2481.68,2.177838
1577563200000,2.176,2.188,2.174,2.187,3441.288,7516.0,2.180909
1577570400000,2.182,2.182,2.181,2.181,657.32,1433.94,2.1815
1577577600000,2.176,2.178,2.172,2.172,233.482,508.05,2.175125
1577584800000,2.173,2.182,2.167,2.177,3640.37,7923.34,2.174491
1577592000000,2.177,2.177,2.177,2.177,0.0,0.0,
1577599200000,2.181,2.188,2.181,2.188,11556.029,25263.75,2.1845
1577606400000,2.191,2.195,2.188,2.188,1891.866,4146.7,2.191596
1577613600000,2.194,2.194,2.194,2.194,403.576,885.45,
1577620800000,2.194,2.208,2.193,2.208,4920.489,10831.58,2.200361
1577628000000,2.21,2.214,2.203,2.211,9455.958,20908.9,2.208496
1577635200000,2.21,2.215,2.208,2.208,1810.614,4004.82,2.211552
1577642400000,2.215,2.233,2.215,2.233,937.277,2083.23,2.224
1577649600000,2.231,2.249,2.2,2.211,11960.092,26538.95,2.224652
1577656800000,2.218,2.218,2.21,2.21,822.283,1820.31,2.214
1577664000000,2.208,2.208,2.188,2.198,16638.119,36499.04,2.197667
1577671200000,2.198,2.2,2.195,2.199,304.772,669.88,2.19749
1577678400000,2.198,2.205,2.198,2.205,1819.015,4006.26,2.2015
1577685600000,2.205,2.211,2.205,2.206,5965.409,13180.48,2.208017
1577692800000,2.204,2.204,2.194,2.195,3290.615,7234.11,2.198873
1577700000000,2.195,2.195,2.181,2.185,6366.66,13918.64,2.187708
1577707200000,2.186,2.195,2.178,2.186,7570.91,16546.32,2.1865
1577714400000,2.191,2.191,2.171,2.171,6677.957,14536.89,2.181
1577721600000,2.168,2.172,2.151,2.154,6131.335,13243.18,2.161562
1577728800000,2.157,2.157,2.155,2.155,293.31,632.62,2.156
1577736000000,2.156,2.166,2.156,2.164,2592.487,5607.14,2.16119
1577743200000,2.168,2.17,2.167,2.167,608.838,1320.03,2.168529
1577750400000,2.154,2.169,2.149,2.167,37593.362,81072.97,2.158823
1577757600000,2.171,2.171,2.157,2.157,7875.42,17052.02,2.164
1577764800000,2.157,2.168,2.157,2.167,1354.828,2930.42,2.16263
1577772000000,2.169,2.169,2.162,2.162,714.98,1549.68,2.1655
1577779200000,2.165,2.165,2.158,2.159,2657.606,5743.41,2.161388
1577786400000,2.159,2.164,2.157,2.163,3087.29,6673.24,2.160456
1577793600000,2.164,2.166,2.161,2.166,3746.964,8102.59,2.163438
1577800800000,2.167,2.186,2.146,2.146,23503.166,50767.17,2.166703
1577808000000,2.146,2.155,2.142,2.146,4920.983,10575.53,2.1485
1577815200000,2.146,2.146,2.146,2.146,4073.724,8742.21,
1577822400000,2.146,2.146,2.146,2.146,167.728,359.94,
1577829600000,2.144,2.146,2.144,2.144,120.702,258.88,2.145
1577836800000,2.147,2.158,2.145,2.157,8398.127,18031.85,2.151413
1577844000000,2.157,2.162,2.157,2.16,774.943,1673.3,2.159599
1577851200000,2.158,2.159,2.158,2.159,253.426,546.98,2.1585
1577858400000,2.161,2.161,2.153,2.154,620.055,1337.71,2.156882
1577865600000,2.151,2.153,2.148,2.149,1477.472,3176.8,2.150521
1577872800000,2.15,2.161,2.15,2.152,8518.676,18329.62,2.155538
1577880000000,2.151,2.159,2.151,2.159,5387.94,11608.03,2.155
1577887200000,2.156,2.16,2.147,2.152,3475.271,7478.37,2.153488
