Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1651708800000,1.5,200.0,1.5,17.38,42482135.567,726234163.56,100.89633
1651795200000,17.384,18.44,12.228,13.1,28618129.233,438962280.75,15.346415
1651881600000,13.089,13.684,10.205,10.362,16089427.497,194518563.17,11.984244
1651968000000,10.369,11.1,8.601,9.989,20361840.024,198238414.99,9.84859
1652054400000,9.975,12.135,6.785,6.93,32190112.539,311456521.57,9.548783
1652140800000,6.929,8.413,5.282,6.205,26065073.485,185549055.78,6.8513
1652227200000,6.197,6.546,2.165,3.664,42967911.046,175644632.09,4.303064
1652313600000,3.652,5.75,2.421,4.863,48689340.918,193967179.47,4.079615
1652400000000,4.871,8.184,4.584,6.911,52962162.473,352444366.18,6.427031
1652486400000,6.918,7.561,5.08,6.85,28195770.871,170024053.48,6.320394
1652572800000,6.855,7.49,6.108,7.204,23445258.328,158927390.4,6.795266
1652659200000,7.198,7.4,5.769,5.881,15495721.602,97642117.38,6.593264
1652745600000,5.89,6.885,5.812,6.399,12883210.257,82318462.71,6.360661
1652832000000,6.396,6.764,5.2,5.295,13569818.307,80252513.4,6.001303
1652918400000,5.296,6.45,5.0,6.268,14141846.94,80433169.6,5.717786
1653004800000,6.269,6.397,5.378,5.684,11525293.129,67078083.8,5.879508
1653091200000,5.684,6.322,5.46,5.945,10864949.361,65176795.53,5.892794
1653177600000,5.943,7.19,5.81,7.038,15836284.43,103698090.99,6.501775
1653264000000,7.042,7.156,5.65,5.814,13777187.655,87643578.39,6.398016
1653350400000,5.814,6.075,5.447,5.941,6321036.153,36759940.5,5.759797
1653436800000,5.941,6.028,5.605,5.682,3703906.523,21386865.43,5.817017
1653523200000,5.681,5.754,4.366,4.499,13236485.303,65341117.09,5.053357
1653609600000,4.497,5.002,4.121,4.492,12985689.734,58451252.83,4.561501
1653696000000,4.487,4.833,4.461,4.643,6232724.267,28960842.63,4.650771
1653782400000,4.643,4.899,4.26,4.707,6612827.446,30278982.62,4.57926
1653868800000,4.707,5.4,4.55,5.19,10958620.103,55627085.59,4.977327
1653955200000,5.192,5.63,4.699,4.909,10635337.16,54471309.52,5.167196
1654041600000,4.909,5.088,4.274,4.545,10652249.388,50004668.21,4.678579
1654128000000,4.547,4.655,4.255,4.605,5424663.66,24329028.23,4.454361
1654214400000,4.609,4.648,4.237,4.359,3799504.095,16778040.61,4.43827
1654300800000,4.358,4.419,4.171,4.403,2150474.12,9257913.44,4.29429
1654387200000,4.4,4.443,4.245,4.358,2535583.36,11018412.72,4.343602
1654473600000,4.355,4.7,4.316,4.472,4595110.455,20707585.72,4.510245
1654560000000,4.472,4.487,4.024,4.164,5123167.059,21433189.36,4.247725
1654646400000,4.164,4.33,4.026,4.034,4193295.706,17496303.7,4.181785
1654732800000,4.034,4.1,3.808,3.911,3364238.935,13280626.49,3.953141
1654819200000,3.911,3.995,3.365,3.442,4418558.803,16188683.5,3.680563
1654905600000,3.443,3.645,3.014,3.152,4619737.055,15181071.48,3.331297
1654992000000,3.152,3.4,2.659,2.936,11249822.293,33548859.38,3.029185
1655078400000,2.938,3.38,2.593,3.111,22823739.281,69011199.34,2.986035
1655164800000,3.116,3.209,2.807,2.976,11049963.374,33561329.48,3.006812
1655251200000,2.973,3.116,2.621,3.072,8927222.954,25259524.63,2.866944
1655337600000,3.073,3.166,2.616,2.67,4686706.236,13371071.61,2.894023
1655424000000,2.675,2.816,2.643,2.719,2772179.558,7576116.55,2.730034
1655510400000,2.716,2.765,2.23,2.457,6356307.588,15562087.42,2.491961
1655596800000,2.457,2.911,2.303,2.779,7125116.848,18798062.31,2.606171
1655683200000,2.778,2.95,2.59,2.723,6152074.91,17062577.98,2.770114
1655769600000,2.723,3.026,2.649,2.753,7207205.443,20565680.34,2.837658
1655856000000,2.753,2.789,2.562,2.571,4345757.968,11615484.15,2.678085
1655942400000,2.57,2.888,2.561,2.806,4342790.972,12004181.97,2.729965
1656028800000,2.81,3.089,2.759,2.961,4361710.471,12746691.98,2.926127
1656115200000,2.961,3.097,2.787,3.056,4225579.873,12476911.29,2.940401
1656201600000,3.056,3.33,2.817,2.839,5781850.811,17847329.62,3.0794
1656288000000,2.838,2.991,2.743,2.886,3101049.06,8897387.67,2.867047
1656374400000,2.888,3.267,2.777,2.844,8865448.347,27095259.78,3.022315
1656460800000,2.844,3.09,2.752,2.991,5625406.006,16321911.49,2.921174
1656547200000,2.996,3.125,2.655,2.791,5654834.262,16115402.76,2.889825
