Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1651752000000,1.5,200.0,1.5,15.043,14145230.405,278055509.53,100.857745
1651755600000,15.04,16.971,13.941,15.591,6640686.814,104229832.5,15.457171
1651759200000,15.59,17.445,15.2,16.017,5330751.613,87521579.38,16.327237
1651762800000,16.017,16.226,13.75,14.406,3829601.91,56610383.55,14.961546
1651766400000,14.418,15.3,14.072,15.003,1949401.887,28827354.7,14.684526
1651770000000,15.003,15.27,14.6,15.115,1029034.672,15366745.28,14.934128
1651773600000,15.113,15.27,14.501,14.938,934646.016,13893072.51,14.883664
1651777200000,14.939,16.0,14.673,15.615,1527363.51,23600154.69,15.340628
1651780800000,15.615,17.551,15.5,17.317,1890590.632,31193271.24,16.537874
1651784400000,17.323,17.423,15.608,16.017,1926206.733,32202247.51,16.492528
1651788000000,16.022,16.713,15.675,16.546,1060732.173,17174566.1,16.187876
1651791600000,16.546,17.766,16.108,17.38,2217889.202,37559446.58,16.935244
1651795200000,17.384,18.349,17.146,17.933,2824017.375,50687955.1,17.752388
1651798800000,17.932,18.44,16.438,16.846,1985006.761,34738892.09,17.44297
1651802400000,16.846,17.67,16.756,17.441,1037515.111,17891181.6,17.221236
1651806000000,17.431,17.58,15.543,15.954,1792663.229,29105431.49,16.541676
1651809600000,15.961,16.071,14.285,15.072,2025369.23,30344580.4,15.155648
1651813200000,15.08,15.47,14.694,15.202,951041.003,14334449.6,15.081633
1651816800000,15.203,15.642,15.062,15.131,719381.603,11066537.91,15.352715
1651820400000,15.12,15.427,14.26,15.006,1179983.034,17557635.91,14.842975
1651824000000,15.005,15.398,14.783,14.95,766993.483,11558471.13,15.090726
1651827600000,14.95,16.14,14.893,15.981,1395419.23,21806130.78,15.527012
1651831200000,15.982,16.5,15.3,15.509,1953846.505,31083546.29,15.906244
1651834800000,15.497,15.723,15.042,15.544,1052171.151,16235524.64,15.382335
1651838400000,15.544,15.55,14.21,14.614,1930213.254,28391056.21,14.852756
1651842000000,14.621,14.97,13.952,14.568,1029184.695,14843717.44,14.460909
1651845600000,14.561,15.088,14.538,14.98,748664.337,11099066.04,14.820213
1651849200000,14.981,15.237,14.616,14.834,853125.729,12754866.43,14.92677
1651852800000,14.84,15.034,14.675,14.997,568040.924,8488122.53,14.851286
1651856400000,14.999,15.004,14.19,14.299,572821.533,8332960.11,14.585206
1651860000000,14.299,14.464,14.175,14.285,347022.463,4975237.78,14.319516
1651863600000,14.29,14.334,13.701,13.711,757006.979,10585417.96,14.021996
1651867200000,13.711,13.891,12.543,12.78,1521845.465,19988169.04,13.213141
1651870800000,12.781,12.901,12.228,12.665,1263734.002,15848585.34,12.563314
1651874400000,12.665,12.789,12.388,12.451,536405.767,6773026.17,12.590838
1651878000000,12.444,13.366,12.442,13.1,806656.37,10471718.78,12.923031
1651881600000,13.089,13.381,12.78,13.021,721001.289,9439222.97,13.080582
1651885200000,13.028,13.585,12.94,13.552,645714.891,8553092.82,13.257066
1651888800000,13.565,13.684,13.07,13.16,527408.197,7069792.35,13.37877
1651892400000,13.161,13.228,12.58,12.925,638821.015,8225783.21,12.899233
1651896000000,12.926,12.992,11.729,11.896,1258142.996,15330584.58,12.350429
1651899600000,11.888,12.086,11.466,12.048,1102155.695,12991772.4,11.772749
1651903200000,12.056,12.061,11.629,11.635,493133.36,5854373.54,11.844844
1651906800000,11.64,12.489,11.624,12.107,710502.936,8555564.68,12.070883
1651910400000,12.106,13.0,12.067,12.786,1124643.955,14042155.59,12.546899
1651914000000,12.773,12.853,12.01,12.31,908425.516,11361962.66,12.422528
1651917600000,12.31,12.698,12.117,12.467,516424.945,6428860.15,12.407853
1651921200000,12.475,12.7,12.352,12.604,404081.047,5070353.3,12.52552
1651924800000,12.601,12.88,12.35,12.523,693149.821,8772656.02,12.615289
1651928400000,12.522,12.58,12.062,12.402,539166.103,6638936.57,12.319083
1651932000000,12.401,12.484,12.231,12.479,254535.001,3144402.85,12.355492
1651935600000,12.485,12.6,12.384,12.524,304786.535,3812119.25,12.491897
1651939200000,12.525,12.553,12.163,12.223,390121.836,4806519.88,12.355179
