Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1646827200000,0.01,0.19,0.01,0.14495,486344529.6,71292849.49,0.103683
1646828100000,0.14525,0.16561,0.14444,0.15137,157033516.8,24598355.73,0.155168
1646829000000,0.15129,0.153,0.145,0.14667,71654292.1,10637283.14,0.149002
1646829900000,0.1468,0.15721,0.1468,0.1525,76666804.2,11712050.86,0.152196
1646830800000,0.15246,0.155,0.14625,0.14964,38030169.3,5713449.44,0.150614
1646831700000,0.1498,0.17359,0.1484,0.16878,119913750.7,19360641.77,0.161277
1646832600000,0.16875,0.16875,0.15392,0.157,86490970.7,14059298.86,0.161048
1646833500000,0.15673,0.162,0.15596,0.15722,44872547.4,7136035.12,0.158983
1646834400000,0.1572,0.1598,0.153,0.1561,27377906.8,4271097.92,0.156398
1646835300000,0.15613,0.16109,0.15023,0.15194,28246871.9,4368715.62,0.155723
1646836200000,0.15195,0.15331,0.1465,0.15095,26713809.3,4003605.85,0.149897
1646837100000,0.15096,0.1516,0.14762,0.14878,13239416.6,1979103.55,0.149589
1646838000000,0.14879,0.1515,0.14701,0.14727,19210648.1,2870893.58,0.149291
1646838900000,0.14729,0.1495,0.14128,0.14185,24557168.6,3556186.81,0.145491
1646839800000,0.14169,0.14195,0.13333,0.13807,56276565.4,7701881.54,0.137537
1646840700000,0.13807,0.148,0.13785,0.14399,27566905.9,3941619.55,0.143101
1646841600000,0.14384,0.1492,0.13768,0.1395,33467031.1,4837428.4,0.143505
1646842500000,0.13975,0.143,0.1375,0.13942,15681784.7,2192942.36,0.140251
1646843400000,0.13942,0.14165,0.13679,0.13786,12747716.5,1776591.37,0.139235
1646844300000,0.13788,0.13888,0.13042,0.13162,19442085.6,2593914.66,0.134634
1646845200000,0.13201,0.135,0.12751,0.12838,17142998.6,2248917.58,0.131321
1646846100000,0.12843,0.1298,0.12617,0.12696,18089175.3,2309243.69,0.127997
1646847000000,0.12707,0.13357,0.12673,0.13181,18941543.7,2479814.93,0.130247
1646847900000,0.13187,0.13466,0.128,0.13083,13972289.9,1841454.87,0.13133
1646848800000,0.13088,0.13661,0.13,0.13428,16784335.2,2240606.39,0.133356
1646849700000,0.13412,0.143,0.134,0.13604,28793019.6,4002523.87,0.138539
1646850600000,0.13615,0.13921,0.13339,0.13536,10922140.1,1489974.68,0.136303
1646851500000,0.13522,0.13919,0.13477,0.13731,6673657.3,913424.1,0.137022
1646852400000,0.13732,0.14358,0.13723,0.13974,13365026.7,1878521.88,0.140476
1646853300000,0.13963,0.1445,0.139,0.14032,16106065.4,2283768.88,0.141757
1646854200000,0.1404,0.143,0.13453,0.13709,12036671.3,1671781.53,0.138766
1646855100000,0.13702,0.13799,0.13395,0.13611,6243661.1,847749.43,0.135962
1646856000000,0.1361,0.1364,0.131,0.13326,8240161.6,1098394.44,0.133627
1646856900000,0.13328,0.14117,0.13325,0.13803,13960303.1,1930289.43,0.137364
1646857800000,0.13814,0.13827,0.134,0.13413,4405401.1,599375.59,0.136135
1646858700000,0.13412,0.13755,0.13354,0.13549,5390179.2,727966.83,0.135567
1646859600000,0.1355,0.1355,0.1325,0.13418,3374017.8,451205.2,0.133957
1646860500000,0.13418,0.13451,0.1305,0.13087,4195347.2,554905.76,0.132501
1646861400000,0.13087,0.13409,0.1277,0.129,8006352.2,1038243.83,0.130916
1646862300000,0.12914,0.12981,0.125,0.12768,10141278.6,1286798.39,0.127381
1646863200000,0.12768,0.13386,0.12768,0.13065,7347712.5,962565.03,0.130868
1646864100000,0.13065,0.13069,0.1285,0.12999,2374228.1,308020.65,0.129578
1646865000000,0.12992,0.13,0.12844,0.129,1580687.7,203868.16,0.129197
1646865900000,0.129,0.134,0.129,0.1302,5188092.6,685528.41,0.131528
1646866800000,0.13037,0.138,0.12949,0.13771,9634184.5,1299777.21,0.133678
1646867700000,0.13775,0.1405,0.13225,0.13884,11778170.2,1617152.91,0.136367
1646868600000,0.13866,0.14,0.135,0.13765,6157173.5,847797.11,0.137493
1646869500000,0.13784,0.1381,0.13248,0.13262,4477421.6,607080.26,0.135306
1646870400000,0.13308,0.1348,0.12951,0.13307,7470017.3,985872.73,0.132155
1646871300000,0.13309,0.13326,0.13,0.13081,5354781.2,701938.11,0.131585
1646872200000,0.1307,0.13341,0.1305,0.13274,3062686.2,404490.31,0.131988
1646873100000,0.13277,0.13353,0.1309,0.13121,2664613.4,351800.29,0.132237
1646874000000,0.13121,0.1333,0.131,0.13187,3518734.9,465008.26,0.132163
1646874900000,0.13169,0.1372,0.13169,0.13476,6777994.4,917489.42,0.134548
1646875800000,0.13479,0.1372,0.13431,0.13505,5700168.9,773026.76,0.135757
1646876700000,0.13544,0.13913,0.13461,0.13745,9937756.6,1364769.23,0.136892
1646877600000,0.13725,0.145,0.13692,0.14362,21781187.4,3102342.09,0.141057
1646878500000,0.14371,0.14372,0.13846,0.14041,7290719.3,1029568.03,0.140984
1646879400000,0.14044,0.14403,0.14043,0.14202,6292387.6,899085.03,0.142281
1646880300000,0.14219,0.14245,0.13641,0.13898,6636015.8,922437.89,0.139342
1646881200000,0.13897,0.13898,0.13435,0.13799,5389061.9,735902.47,0.136644
1646882100000,0.138,0.138,0.1314,0.13231,6094221.9,816515.47,0.134596
1646883000000,0.13231,0.13621,0.13024,0.13364,8330570.1,1102754.18,0.133228
1646883900000,0.13375,0.134,0.1292,0.1303,5760660.5,755373.45,0.131537
1646884800000,0.13026,0.1327,0.12765,0.13264,7095308.0,919574.98,0.1301
1646885700000,0.1325,0.13412,0.1303,0.13175,5144164.2,681536.54,0.132211
1646886600000,0.13153,0.13158,0.12799,0.13138,4170811.4,541217.51,0.129784
1646887500000,0.13138,0.1334,0.1285,0.12981,4547341.6,598064.02,0.130959
1646888400000,0.12962,0.1315,0.12851,0.13027,4579969.8,595717.79,0.130006
1646889300000,0.13007,0.133,0.13007,0.13072,5233691.0,687669.76,0.131549
1646890200000,0.13072,0.13871,0.13052,0.13301,15305263.5,2080992.03,0.13467
1646891100000,0.13289,0.13546,0.13199,0.134,5872024.4,788509.04,0.133732
1646892000000,0.13394,0.1345,0.131,0.13318,5383915.6,716439.84,0.13274
1646892900000,0.1332,0.1376,0.13113,0.13553,6594058.9,885961.88,0.134365
1646893800000,0.13551,0.13762,0.13304,0.1366,6051873.0,821716.97,0.13532
1646894700000,0.1366,0.139,0.13629,0.13732,8129478.8,1121151.58,0.137657
1646895600000,0.13731,0.1389,0.1336,0.13513,4816457.3,655007.29,0.136251
1646896500000,0.13513,0.1365,0.1338,0.13649,2420832.8,326985.66,0.135105
1646897400000,0.13649,0.1372,0.134,0.135,3791367.8,514722.19,0.135592
1646898300000,0.13497,0.13497,0.13222,0.13344,2643460.1,352077.4,0.133544
1646899200000,0.13344,0.13361,0.12972,0.13126,5023645.3,659767.03,0.131607
1646900100000,0.13127,0.13347,0.12977,0.13038,6027152.6,791145.95,0.131632
1646901000000,0.13022,0.13333,0.1288,0.13309,6806287.2,891598.15,0.130999
1646901900000,0.13296,0.13315,0.13073,0.13252,2568570.8,338695.35,0.131933
1646902800000,0.13252,0.14172,0.13252,0.14134,15650147.0,2151992.95,0.137177
1646903700000,0.14105,0.14297,0.13695,0.13776,12089223.2,1688920.96,0.140005
1646904600000,0.1377,0.1395,0.1364,0.13917,5405724.0,747643.34,0.137921
1646905500000,0.13916,0.14375,0.13868,0.1412,14822616.9,2097691.35,0.141259
1646906400000,0.14097,0.14217,0.13669,0.13851,10137785.4,1402396.21,0.139414
1646907300000,0.1385,0.13851,0.13507,0.136,6283079.7,857186.64,0.13672
1646908200000,0.136,0.13606,0.13255,0.134,6967069.9,932552.45,0.134244
1646909100000,0.13398,0.13655,0.13366,0.13553,4339374.2,588249.11,0.135132
1646910000000,0.13543,0.13824,0.13322,0.138,6264120.1,852288.28,0.135661
1646910900000,0.138,0.13946,0.137,0.138,4385757.3,605813.16,0.13823
1646911800000,0.13794,0.13797,0.1352,0.13603,3530184.4,481385.07,0.136531
1646912700000,0.13603,0.139,0.13415,0.13748,4137861.4,566422.54,0.136571
1646913600000,0.13739,0.138,0.1298,0.1312,18646395.9,2457857.56,0.133834
1646914500000,0.13146,0.13286,0.13,0.1305,5397885.5,710756.02,0.131443
1646915400000,0.13065,0.13274,0.1295,0.13109,6131315.7,802330.15,0.131121
1646916300000,0.13104,0.13274,0.13104,0.13227,3967471.1,523413.19,0.131925
1646917200000,0.13227,0.13329,0.131,0.13102,2879122.7,381001.24,0.132185
1646918100000,0.13102,0.13158,0.13005,0.13158,2930154.8,382797.82,0.130798
1646919000000,0.13158,0.13292,0.1238,0.12502,14432444.6,1843215.8,0.128369
1646919900000,0.125,0.12506,0.11914,0.12357,19704628.6,2398740.53,0.122068
1646920800000,0.12344,0.12361,0.12006,0.1206,4435519.5,541325.59,0.1218
1646921700000,0.1206,0.12305,0.1205,0.12056,4295220.4,524111.77,0.121775
1646922600000,0.12051,0.12061,0.1128,0.11395,17947111.6,2078615.1,0.116593
1646923500000,0.11396,0.11776,0.11395,0.11538,6358298.9,736833.17,0.115898
1646924400000,0.11538,0.12373,0.11522,0.11801,11305404.4,1355279.58,0.119543
1646925300000,0.118,0.12054,0.1161,0.1185,3690634.2,437013.44,0.11832
1646926200000,0.11828,0.11996,0.1179,0.11827,2027729.8,241175.75,0.11893
1646927100000,0.11826,0.11826,0.1118,0.1118,8590114.9,984137.95,0.11503
1646928000000,0.11219,0.11584,0.1118,0.11526,5868316.9,666591.7,0.113836
1646928900000,0.11527,0.119,0.111,0.11501,7420980.5,846847.78,0.115
1646929800000,0.11501,0.11688,0.11386,0.11637,3694881.0,426126.4,0.115353
1646930700000,0.11647,0.11749,0.1146,0.116,2964993.0,345400.67,0.116044
1646931600000,0.11617,0.11621,0.114,0.11454,1744308.5,201195.65,0.115066
1646932500000,0.11422,0.11452,0.112,0.11353,2925441.2,330504.02,0.113248
1646933400000,0.11353,0.11369,0.11154,0.11203,2015134.1,226482.09,0.112592
1646934300000,0.11203,0.11282,0.1116,0.1118,1075773.2,120759.06,0.112213
1646935200000,0.1118,0.11242,0.11009,0.11202,2142338.2,238850.08,0.111254
1646936100000,0.11192,0.1125,0.1105,0.11188,1447680.8,161287.78,0.1115
1646937000000,0.11196,0.11223,0.11,0.11068,3136825.2,346694.07,0.111097
1646937900000,0.11072,0.11151,0.1106,0.11078,1175876.1,130548.27,0.111055
1646938800000,0.11064,0.11178,0.11005,0.11134,1115333.0,123784.86,0.110912
1646939700000,0.11131,0.11462,0.11034,0.1145,2745728.1,309998.79,0.112411
1646940600000,0.11459,0.11792,0.11305,0.1145,5907850.3,682409.27,0.115485
1646941500000,0.1145,0.11522,0.1132,0.1137,1795765.7,204839.25,0.114214
1646942400000,0.11382,0.11426,0.11315,0.11327,641421.1,72918.0,0.113715
1646943300000,0.11331,0.11338,0.11229,0.11285,474197.0,53491.1,0.112824
1646944200000,0.11285,0.11306,0.112,0.11305,725653.6,81558.71,0.112526
1646945100000,0.11293,0.11317,0.11275,0.11299,570640.0,64453.87,0.11296
1646946000000,0.11299,0.1161,0.11297,0.11445,2052799.5,236100.03,0.114582
1646946900000,0.11431,0.11521,0.11363,0.11517,947071.9,108354.79,0.114394
1646947800000,0.11516,0.11517,0.11318,0.11375,436267.9,49834.59,0.114135
1646948700000,0.11374,0.11426,0.11349,0.11404,441535.6,50211.17,0.113874
1646949600000,0.11425,0.11425,0.11234,0.113,632853.5,71675.7,0.113255
1646950500000,0.11295,0.11359,0.1122,0.11256,699068.0,78827.31,0.112898
1646951400000,0.11267,0.1167,0.11267,0.11641,2413090.7,276799.11,0.114725
1646952300000,0.11645,0.11793,0.11344,0.11431,2468187.7,283950.93,0.115703
1646953200000,0.11438,0.11513,0.11357,0.11513,1145430.4,130781.92,0.114325
1646954100000,0.11513,0.116,0.11377,0.11563,1205320.9,138615.47,0.114879
1646955000000,0.1156,0.117,0.11466,0.11636,1278443.5,148462.23,0.115826
1646955900000,0.11654,0.11782,0.115,0.11677,1666995.3,194648.13,0.11641
1646956800000,0.11677,0.11765,0.11382,0.11477,3219062.3,369578.72,0.115732
1646957700000,0.11477,0.1148,0.11408,0.11426,379177.1,43410.43,0.114429
1646958600000,0.11426,0.11465,0.11228,0.11263,909384.8,102900.23,0.113468
1646959500000,0.11263,0.11263,0.11001,0.11146,2516186.2,280184.6,0.111282
1646960400000,0.11146,0.11278,0.11098,0.11185,1219384.4,136651.82,0.111883
1646961300000,0.11185,0.11185,0.11,0.11019,1734624.3,191402.48,0.110901
1646962200000,0.11029,0.111,0.10705,0.10813,3239919.6,350906.86,0.10901
