Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1623319200000,9.52,24.0,9.52,12.88,1047998.29,13330965.68,16.835865
1623320100000,12.89,12.9,11.66,12.35,223319.23,2743202.5,12.263078
1623321000000,12.34,13.2,11.9,12.74,247510.81,3148353.19,12.550242
1623321900000,12.73,12.8,12.08,12.2,89622.19,1111255.38,12.436083
1623322800000,12.21,12.55,12.09,12.22,73602.84,902901.69,12.320012
1623323700000,12.22,12.23,11.44,11.77,115994.26,1376089.21,11.820876
1623324600000,11.77,11.79,10.83,10.93,118410.27,1328432.1,11.300531
1623325500000,10.93,11.63,10.84,11.14,127770.94,1438151.33,11.238597
1623326400000,11.14,11.63,11.06,11.33,71511.18,813332.13,11.348143
1623327300000,11.3,11.54,10.71,10.83,57586.11,637605.06,11.130229
1623328200000,10.83,11.1,10.81,11.02,25760.48,282754.4,10.958606
1623329100000,11.03,11.05,10.75,10.8,33534.42,365794.47,10.897416
1623330000000,10.74,11.1,10.28,10.89,93781.34,990229.19,10.688945
1623330900000,10.93,10.97,10.38,10.7,41125.17,433854.02,10.669471
1623331800000,10.69,10.85,10.35,10.59,37285.31,395913.35,10.599596
1623332700000,10.6,11.5,10.53,11.14,55099.72,610888.23,11.027178
1623333600000,11.14,11.65,10.65,11.04,130779.01,1461958.89,11.15015
1623334500000,11.06,11.69,10.82,11.6,70532.32,793670.22,11.247007
1623335400000,11.61,12.49,11.11,11.19,309321.62,3657780.55,11.809482
1623336300000,11.19,11.59,11.0,11.23,87191.07,983833.21,11.295098
1623337200000,11.22,11.3,10.9,11.09,62377.15,689949.85,11.098508
1623338100000,11.07,11.45,10.75,11.38,63988.75,706961.6,11.093555
1623339000000,11.36,11.99,11.3,11.47,93467.53,1082522.86,11.646471
1623339900000,11.47,11.67,11.33,11.46,59746.48,685915.31,11.500008
1623340800000,11.46,12.3,11.37,11.69,163749.35,1932636.05,11.839037
1623341700000,11.68,11.9,11.15,11.22,81814.66,944561.63,11.532786
1623342600000,11.22,11.45,11.05,11.27,37114.65,415716.35,11.25002
