Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1623283200000,9.52,24.0,9.52,13.26,7044984.5,86654546.17,16.85108
1623369600000,13.23,18.36,11.79,11.97,9870831.32,148783684.88,15.097969
1623456000000,11.99,12.25,10.6,11.21,2520009.16,28651819.24,11.414645
1623542400000,11.22,11.3,9.54,10.48,2158172.41,22109647.73,10.400117
1623628800000,10.46,12.0,10.0,10.4,2088772.9,22728449.65,11.000128
1623715200000,10.38,11.11,10.21,10.73,1093578.02,11639418.85,10.664126
1623801600000,10.7,11.2,8.96,9.19,1381029.17,13672133.27,10.097302
1623888000000,9.21,9.72,8.24,8.43,931958.7,8425279.3,8.991939
1623974400000,8.44,8.9,7.61,7.97,1929344.08,15910312.39,8.256716
1624060800000,7.99,8.4,7.82,7.97,830724.77,6709310.34,8.110039
1624147200000,7.98,8.12,6.69,7.45,1317191.79,9658093.5,7.393976
1624233600000,7.45,7.68,5.4,5.53,1826273.79,11583860.6,6.550774
1624320000000,5.53,6.17,4.62,5.25,1597056.11,8529445.03,5.395041
1624406400000,5.24,6.29,5.09,5.73,1130490.53,6565705.18,5.698917
1624492800000,5.73,6.12,5.26,5.7,868629.99,4909443.7,5.689992
1624579200000,5.7,6.8,5.57,5.74,1658987.19,10153334.78,6.185123
1624665600000,5.72,6.2,5.29,5.8,861984.23,4947226.84,5.744971
1624752000000,5.82,7.61,5.58,7.2,2255156.49,14996346.9,6.606103
1624838400000,7.2,8.59,7.13,7.45,3638112.95,28184071.4,7.863951
1624924800000,7.45,9.02,7.36,8.49,1975602.63,16017300.17,8.213937
1625011200000,8.48,8.8,7.19,7.74,1444834.34,11309564.3,7.988588
1625097600000,7.76,7.79,6.68,7.05,1340832.64,9504788.22,7.21563
1625184000000,7.05,7.36,6.41,6.87,886583.44,6008116.71,6.884321
1625270400000,6.84,7.9,6.7,7.36,1166624.0,8633482.31,7.309851
1625356800000,7.36,7.8,6.96,7.23,717849.7,5342348.37,7.380512
1625443200000,7.22,7.29,6.61,6.82,921379.55,6365569.54,6.943371
1625529600000,6.84,7.46,6.83,7.13,844664.4,6012814.93,7.15395
1625616000000,7.13,7.46,6.91,7.0,703706.84,5079984.91,7.1867
1625702400000,6.97,7.0,6.2,6.51,753029.39,4922563.45,6.587385
1625788800000,6.49,6.7,6.16,6.47,603561.65,3890998.58,6.429983
1625875200000,6.48,6.75,6.14,6.31,570244.43,3661537.96,6.44599
1625961600000,6.32,6.53,6.27,6.36,258364.03,1656776.85,6.400357
1626048000000,6.35,6.45,5.86,6.12,322382.91,1984580.31,6.151841
1626134400000,6.1,6.26,5.56,5.75,714078.56,4189643.54,5.909
1626220800000,5.75,5.98,5.34,5.75,522126.67,2956390.0,5.66
1626307200000,5.75,5.97,5.21,5.4,851671.01,4778820.64,5.59084
1626393600000,5.4,5.57,5.02,5.05,399214.55,2119343.15,5.302885
1626480000000,5.04,6.22,4.82,6.04,1645627.27,9141881.23,5.517076
1626566400000,6.04,6.84,5.7,5.82,2154723.45,13603778.88,6.273195
1626652800000,5.83,5.89,4.97,5.06,1036380.49,5532130.78,5.426815
1626739200000,5.06,5.58,4.79,5.4,1603348.76,8333306.9,5.182815
1626825600000,5.4,5.93,5.21,5.89,1162064.51,6524337.94,5.560179
1626912000000,5.9,6.06,5.58,5.86,815113.94,4723738.21,5.819896
1626998400000,5.87,5.99,5.46,5.81,600149.49,3446169.86,5.72463
1627084800000,5.82,6.73,5.75,6.67,1124596.92,7023833.77,6.238842
1627171200000,6.68,6.75,6.06,6.31,1289551.44,8248286.58,6.398029
1627257600000,6.31,7.91,6.25,6.7,2201793.64,15917837.05,7.088046
1627344000000,6.69,6.95,6.28,6.73,1159011.57,7716698.03,6.614915
1627430400000,6.73,7.03,6.5,6.69,580892.52,3943284.02,6.765078
1627516800000,6.69,6.89,6.47,6.81,581460.15,3885210.35,6.678542
1627603200000,6.82,7.14,6.43,6.87,1034412.17,6960735.16,6.784926
1627689600000,6.88,7.35,6.58,7.17,1033280.25,7283458.08,6.962794
1627776000000,7.18,8.86,7.14,8.09,2309473.25,18930110.5,8.027464
1627862400000,8.09,8.38,7.8,7.86,948664.99,7618144.46,8.094706
1627948800000,7.86,8.05,7.21,7.39,713961.52,5357315.54,7.630425
1628035200000,7.39,7.98,7.23,7.82,530402.76,4021015.58,7.605
1628121600000,7.83,8.02,7.3,7.83,563609.35,4329262.25,7.66
1628208000000,7.84,9.15,7.52,8.83,1304723.64,10970838.11,8.335
1628294400000,8.83,9.58,8.35,9.14,1552099.12,13845327.42,8.964677
1628380800000,9.15,9.47,8.37,8.49,1040615.86,9303149.13,8.92989
1628467200000,8.48,9.15,8.06,8.83,734213.92,6361598.16,8.603677
1628553600000,8.83,9.03,8.36,8.68,905766.02,7890061.67,8.694239
1628640000000,8.68,9.68,8.62,8.92,1134988.34,10429912.66,9.154544
1628726400000,8.91,9.35,8.1,8.52,935758.82,8030644.09,8.725249
1628812800000,8.52,8.99,8.31,8.98,509219.55,4452453.53,8.637082
1628899200000,8.98,9.35,8.69,9.1,1115327.34,10080404.06,9.019833
1628985600000,9.1,9.34,8.54,9.26,992084.52,8946456.09,8.937576
1629072000000,9.28,9.64,8.99,9.03,1156644.92,10734147.11,9.321144
1629158400000,9.05,9.6,8.26,8.4,1284237.37,11581674.31,8.942813
1629244800000,8.4,8.52,7.55,7.61,1365778.56,10916621.68,8.040964
1629331200000,7.61,8.17,7.53,8.14,898086.54,7004144.84,7.844827
1629417600000,8.14,8.58,8.01,8.32,704390.95,5861578.57,8.296662
1629504000000,8.32,8.71,8.08,8.22,704270.34,5903317.59,8.395792
1629590400000,8.23,9.16,8.19,8.94,1291298.84,11220837.35,8.688919
1629676800000,8.94,9.8,8.74,9.29,1474764.97,13858476.72,9.274343
1629763200000,9.31,9.55,7.93,8.36,1317172.85,11570881.98,8.731064
1629849600000,8.34,12.23,8.08,11.71,4178541.39,43281072.95,10.180662
1629936000000,11.71,13.4,10.004,10.168,5455156.61,63193237.17,11.743465
1630022400000,10.153,11.047,9.617,10.501,2281964.99,23337645.34,10.332075
1630108800000,10.506,14.44,10.099,13.918,3943046.85,48352571.1,12.280003
1630195200000,13.924,15.5,12.712,12.95,5078581.92,70341150.93,14.127055
1630281600000,12.95,13.236,11.646,11.734,1346414.9,16838599.67,12.457955
1630368000000,11.708,12.924,11.352,11.78,1191580.5,14361277.02,12.138207
1630454400000,11.78,12.65,11.417,12.28,1125877.9,13748902.24,12.03365
1630540800000,12.275,13.178,12.115,12.304,910548.2,11419131.71,12.646566
1630627200000,12.3,12.85,12.0,12.293,888248.9,11004481.62,12.425002
1630713600000,12.3,13.222,11.263,11.847,1265412.1,15831954.74,12.24479
1630800000000,11.847,12.475,11.764,12.117,572240.0,6950055.54,12.124643
1630886400000,12.118,12.607,10.728,12.243,1424701.6,17000222.02,11.666932
1630972800000,12.243,12.527,7.9,9.167,2935596.19,29310171.4,10.15245
1631059200000,9.167,10.404,8.201,9.47,1824781.5,17002764.66,9.302424
1631145600000,9.472,10.505,9.333,9.79,888244.7,8825095.84,9.9244
1631232000000,9.808,9.984,8.607,8.89,561365.0,5187196.03,9.288812
1631318400000,8.902,9.55,8.716,8.86,361826.2,3288992.86,9.13316
1631404800000,8.844,9.708,8.618,9.46,585510.0,5415132.67,9.163955
1631491200000,9.491,9.587,8.326,9.007,822367.6,7208045.01,8.945315
1631577600000,8.993,9.49,8.788,9.168,465450.0,4251707.03,9.139923
1631664000000,9.169,10.184,9.1,10.058,614654.6,5996096.28,9.647761
1631750400000,10.067,10.432,9.286,9.529,934510.9,9300623.37,9.862557
1631836800000,9.535,9.626,8.855,9.042,443370.4,4103910.06,9.235035
1631923200000,9.03,9.7,8.821,9.024,572862.7,5291966.46,9.260503
1632009600000,9.026,9.072,8.507,8.7,405358.0,3554147.97,8.782827
1632096000000,8.701,8.722,6.903,7.298,922033.01,7093068.7,7.779829
1632182400000,7.32,7.863,6.563,6.87,670770.9,4913964.86,7.216644
1632268800000,6.882,7.957,6.721,7.929,434371.6,3212265.13,7.324463
1632355200000,7.927,8.459,7.699,8.241,392811.7,3170200.07,8.078777
1632441600000,8.251,8.281,6.785,7.088,1388856.8,10041435.16,7.508706
1632528000000,7.095,7.15,6.617,6.895,760343.9,5257167.68,6.879432
1632614400000,6.883,7.19,6.172,6.97,718877.4,4806335.54,6.680551
1632700800000,6.942,7.283,6.57,6.591,351028.7,2452384.36,6.936819
1632787200000,6.584,6.81,6.198,6.274,661345.3,4297630.25,6.509141
1632873600000,6.275,6.864,6.233,6.511,363042.7,2390423.03,6.554135
1632960000000,6.515,7.023,6.481,6.945,374635.1,2547872.53,6.756108
1633046400000,6.943,8.135,6.85,8.017,881844.4,6764643.08,7.495145
1633132800000,8.009,8.52,7.671,8.004,663356.6,5386938.56,8.095501
1633219200000,8.0,9.029,7.816,8.435,859072.1,7331038.14,8.42931
1633305600000,8.435,8.449,7.8,8.041,713687.1,5789041.09,8.112981
1633392000000,8.017,8.41,7.883,8.339,662290.0,5422591.73,8.143257
1633478400000,8.34,8.39,7.593,7.982,619051.2,4980233.0,7.982496
1633564800000,7.975,8.175,7.751,7.946,535619.0,4271213.49,7.963003
1633651200000,7.957,8.472,7.73,7.859,780345.7,6289926.94,8.101845
1633737600000,7.869,8.4,7.774,8.06,385662.9,3117839.06,8.089919
1633824000000,8.072,8.172,7.404,7.451,515577.0,4032013.76,7.793178
1633910400000,7.44,7.781,7.202,7.449,323365.3,2425498.47,7.491503
1633996800000,7.447,7.447,6.806,7.085,523828.7,3699236.16,7.114413
1634083200000,7.084,7.52,6.902,7.383,642304.7,4632072.69,7.209601
1634169600000,7.387,7.967,7.358,7.531,686952.2,5256260.65,7.665385
1634256000000,7.534,8.888,7.326,7.996,1741608.4,14113526.02,8.114647
1634342400000,8.005,8.75,7.905,8.194,839346.8,6905906.54,8.330388
1634428800000,8.18,12.264,7.988,10.103,9569419.9,100269215.17,10.178429
1634515200000,10.087,10.922,9.287,9.544,2739445.5,27090492.38,10.112695
1634601600000,9.552,12.0,9.349,11.257,4778932.9,52063577.24,10.705642
1634688000000,11.262,11.846,10.441,10.801,2339309.5,25541273.45,11.146598
1634774400000,10.804,10.808,9.827,10.253,1221790.2,12694651.56,10.299434
1634860800000,10.253,10.952,10.126,10.216,609344.0,6400646.0,10.539153
1634947200000,10.218,10.278,9.844,10.042,411804.4,4148210.14,10.058042
1635033600000,10.026,10.159,9.31,9.497,420907.2,4084764.2,9.731598
1635120000000,9.504,10.305,9.424,10.015,735980.2,7260518.93,9.874142
1635206400000,10.021,10.4,8.851,9.174,851436.3,8161408.9,9.627762
1635292800000,9.18,9.339,7.467,8.029,1395175.2,11664839.0,8.381968
1635379200000,8.012,8.688,7.938,8.564,549861.8,4610921.35,8.316916
1635465600000,8.579,9.119,8.497,9.034,407291.7,3608777.01,8.808232
1635552000000,9.031,9.069,8.483,8.558,520076.2,4589701.79,8.7724
1635638400000,8.564,8.649,8.027,8.518,451731.7,3798542.84,8.337722
1635724800000,8.529,10.0,8.304,9.243,1779182.3,16681432.63,9.164332
1635811200000,9.237,10.201,9.119,9.818,778380.4,7470402.44,9.670293
1635897600000,9.815,9.836,9.003,9.785,596070.7,5646601.6,9.419377
1635984000000,9.796,10.316,9.094,9.162,721572.7,6972921.57,9.721306
1636070400000,9.156,9.166,8.545,8.639,678723.8,5997550.02,8.846697
1636156800000,8.637,9.41,8.52,8.852,849986.6,7566313.39,8.968265
1636243200000,8.854,9.4,8.829,9.397,520776.0,4743306.47,9.111287
1636329600000,9.387,9.716,9.093,9.71,454001.2,4261414.93,9.394126
1636416000000,9.712,11.0,9.607,9.983,1393981.8,14394967.01,10.307856
1636502400000,9.981,10.581,8.411,9.041,1095865.7,10742768.52,9.495262
1636588800000,9.044,9.514,8.799,9.452,716090.6,6552659.13,9.148391
1636675200000,9.44,9.805,8.822,9.207,456873.6,4253550.95,9.313358
1636761600000,9.208,9.799,9.053,9.189,399232.6,3717105.29,9.426037
1636848000000,9.19,9.805,9.102,9.333,730260.7,6864131.64,9.455507
1636934400000,9.338,9.83,8.834,8.929,457755.1,4288044.65,9.340736
1637020800000,8.92,8.927,7.618,8.011,726244.9,6007405.52,8.246043
1637107200000,8.016,8.331,7.699,8.291,377370.2,3043024.44,8.008119
1637193600000,8.3,8.375,7.129,7.287,769202.5,5914250.26,7.743785
1637280000000,7.279,7.902,7.116,7.869,500444.8,3789360.76,7.498343
1637366400000,7.875,8.241,7.573,7.865,743190.0,5856054.46,7.907002
1637452800000,7.872,8.338,7.635,7.769,692150.7,5546876.47,7.987396
1637539200000,7.765,8.478,7.5,8.006,876444.3,7018016.19,7.990595
1637625600000,8.003,9.47,7.873,9.016,1958942.8,17257406.24,8.689618
1637712000000,9.022,9.27,8.44,8.956,982757.7,8744500.19,8.854788
1637798400000,8.962,10.45,8.81,9.564,1482385.0,14461221.57,9.642794
1637884800000,9.562,24.857,9.333,24.309,22462128.35,349407218.09,17.141466
1637971200000,24.309,29.043,19.652,20.434,19723186.25,485685930.59,24.435349
1638057600000,20.438,22.484,17.509,18.758,5869593.0,117659939.49,20.008194
1638144000000,18.758,21.6,17.406,17.854,4104556.7,78839839.71,19.517067
1638230400000,17.838,18.684,15.799,17.286,3703060.9,62516296.51,17.23854
1638316800000,17.258,18.2,15.459,16.477,3845697.2,64098362.78,16.828713
1638403200000,16.488,16.572,14.804,15.453,1826985.5,28208509.62,15.661529
1638489600000,15.453,17.238,13.201,13.62,2875509.2,44536766.17,15.256615
1638576000000,13.633,13.701,10.0,12.093,2757703.8,33120476.29,11.80469
1638662400000,12.088,12.287,10.31,11.41,2001764.9,22799246.95,11.284853
1638748800000,11.418,12.603,10.099,11.208,3954299.9,45143041.74,11.351067
1638835200000,11.197,14.9,11.063,13.678,6183420.0,80974573.71,13.044997
1638921600000,13.675,13.949,11.881,12.257,2518226.6,32033634.91,12.908207
1639008000000,12.256,12.383,10.434,10.494,1656352.6,18872553.89,11.417103
1639094400000,10.484,11.877,9.901,10.023,2285261.7,25034532.62,10.897767
1639180800000,10.019,10.618,9.679,10.489,843666.4,8636920.08,10.141451
1639267200000,10.489,10.858,9.935,10.496,979595.4,10148656.49,10.396499
1639353600000,10.491,10.81,8.7,8.887,1228603.9,11718834.77,9.766145
1639440000000,8.889,9.35,8.581,9.087,1381680.0,12305949.31,8.965121
1639526400000,9.088,9.54,8.363,9.326,1253925.7,11263621.79,8.948861
1639612800000,9.339,10.98,9.271,9.927,2186537.8,22331579.28,10.14052
1639699200000,9.928,11.4,9.533,10.229,3016279.4,31386663.61,10.469038
1639785600000,10.221,10.679,9.834,9.883,1107358.3,11336682.94,10.265021
1639872000000,9.877,9.978,9.197,9.216,816612.5,7837432.13,9.596444
1639958400000,9.216,9.302,8.51,8.988,996075.2,8811099.27,8.901853
1640044800000,9.005,9.563,8.752,9.527,900321.1,8278571.43,9.144964
1640131200000,9.527,13.99,9.445,10.64,10088115.9,117668022.71,11.74237
1640217600000,10.642,12.45,10.438,11.916,3357826.7,38439483.7,11.462381
1640304000000,11.915,15.945,11.434,15.674,5230242.3,72141689.33,13.667444
1640390400000,15.678,19.5,14.705,16.201,7608075.8,132046378.01,17.105969
1640476800000,16.195,16.858,14.911,15.168,2164146.6,34617501.4,15.899676
1640563200000,15.179,15.76,14.058,14.202,1578990.8,23905864.75,14.928615
1640649600000,14.19,15.485,13.388,14.614,2928113.2,42201048.45,14.436856
1640736000000,14.616,16.299,13.302,13.538,2706880.7,40533954.39,14.824684
1640822400000,13.539,13.583,12.721,12.949,1268422.8,16696030.46,13.139796
1640908800000,12.938,13.726,12.335,12.671,1031663.2,13512159.66,13.032601
1640995200000,12.698,14.35,12.695,13.587,1421165.9,19549189.3,13.552042
1641081600000,13.59,15.168,13.465,14.744,1721397.1,24817565.75,14.335887
1641168000000,14.751,14.969,13.235,13.734,1043573.0,14503404.28,14.088781
1641254400000,13.735,16.091,13.431,15.666,2155153.9,32509688.41,14.77018
1641340800000,15.666,15.85,12.408,13.322,1447479.6,21246623.34,14.081132
1641427200000,13.31,13.622,12.423,13.065,1043404.9,13471135.31,13.020759
1641513600000,13.066,13.373,11.517,12.135,1137552.2,13879875.43,12.434562
1641600000000,12.137,12.393,10.377,10.744,1029002.7,11650124.96,11.377478
1641686400000,10.741,11.711,10.565,11.367,1013252.9,11316917.36,11.144771
1641772800000,11.365,11.742,10.11,10.71,979629.7,10732659.04,10.921321
1641859200000,10.707,11.36,10.508,11.236,756250.0,8257873.17,10.93
1641945600000,11.236,12.16,11.064,12.001,607378.9,7059427.89,11.611099
1642032000000,11.997,12.209,11.005,11.067,769213.8,9000731.75,11.620148
1642118400000,11.07,11.185,10.556,10.97,608325.4,6625892.65,10.869549
1642204800000,10.979,11.595,10.928,11.141,753140.3,8520299.64,11.264516
1642291200000,11.135,11.422,10.804,11.35,513954.9,5711491.53,11.108959
1642377600000,11.359,12.61,10.983,12.546,3220729.3,38011997.04,11.772556
1642464000000,12.554,13.275,11.028,11.403,2848964.1,34629583.33,12.163645
1642550400000,11.39,11.614,10.177,10.215,1325994.2,14280087.68,10.914165
1642636800000,10.211,10.937,9.42,9.505,1175339.4,12054589.49,10.196848
1642723200000,9.5,9.602,7.659,7.964,2330589.7,20370518.78,8.611706
1642809600000,7.938,8.146,6.11,6.964,3264202.7,22898263.8,7.108398
1642896000000,6.963,7.431,6.773,7.315,2032519.1,14396796.02,7.099149
1642982400000,7.322,7.345,5.853,6.696,2225525.9,14375734.53,6.580125
1643068800000,6.703,7.063,6.504,6.898,1059545.1,7169329.66,6.782967
1643155200000,6.898,7.682,6.745,7.032,1176567.2,8527036.78,7.214777
1643241600000,7.031,7.105,6.431,6.752,964905.7,6500319.5,6.762473
1643328000000,6.743,7.25,6.59,7.106,901066.8,6243795.48,6.919632
1643414400000,7.108,7.705,7.072,7.342,812136.1,5923996.13,7.394283
1643500800000,7.345,7.808,7.082,7.284,1325863.6,9943979.38,7.445231
1643587200000,7.285,7.4,6.8,7.336,794155.4,5597258.87,7.099619
1643673600000,7.326,8.5,7.282,8.074,2094802.1,16882127.79,7.910883
1643760000000,8.059,8.43,7.492,7.536,1510176.8,12125734.9,7.974778
1643846400000,7.544,7.615,7.039,7.271,578588.5,4218237.79,7.32221
1643932800000,7.272,8.017,7.233,8.009,608566.7,4604474.58,7.620605
1644019200000,8.015,8.738,7.995,8.139,766149.4,6399312.54,8.36853
1644105600000,8.146,8.797,8.066,8.578,790284.8,6646858.63,8.438149
1644192000000,8.578,9.4,8.27,9.06,937278.1,8444694.76,8.835762
1644278400000,9.069,9.509,8.176,8.654,759773.7,6672931.52,8.842028
1644364800000,8.652,9.735,8.396,9.322,1112316.4,10253978.57,9.070742
1644451200000,9.327,9.432,8.391,8.499,1001998.7,8893147.03,8.911218
1644537600000,8.502,9.3,7.803,7.943,971768.7,8416408.77,8.563383
1644624000000,7.937,8.17,7.588,7.794,625093.3,4933469.89,7.879207
1644710400000,7.799,7.98,7.22,7.257,844379.2,6467074.48,7.610488
1644796800000,7.26,7.355,6.765,7.16,895070.4,6387464.38,7.058915
1644883200000,7.159,7.98,7.148,7.971,684051.6,5186098.72,7.563687
1644969600000,7.974,8.355,7.753,8.244,1394115.6,11267072.52,8.051088
1645056000000,8.231,8.242,7.07,7.131,1108632.5,8425851.88,7.648939
1645142400000,7.13,7.433,6.853,6.919,619487.9,4412817.56,7.147055
1645228800000,6.913,7.203,6.741,6.977,466767.3,3264829.38,6.97213
1645315200000,6.979,7.012,6.304,6.55,552734.2,3629675.38,6.647237
1645401600000,6.561,7.02,5.907,5.967,815624.7,5279483.4,6.478795
1645488000000,5.962,6.289,5.685,6.24,694104.2,4150705.69,5.980625
1645574400000,6.239,6.466,5.811,5.832,585550.6,3639734.55,6.149504
1645660800000,5.829,5.95,4.91,5.879,1291014.95,6884583.95,5.429755
1645747200000,5.893,6.376,5.782,6.336,631038.2,3826152.89,6.073266
1645833600000,6.342,6.582,6.177,6.256,605675.2,3878981.94,6.380418
1645920000000,6.257,6.345,5.75,5.919,515682.5,3118757.89,6.043946
1646006400000,5.903,6.801,5.792,6.791,584824.3,3713305.05,6.284373
1646092800000,6.788,7.038,6.534,6.832,644942.7,4371086.0,6.785954
1646179200000,6.839,6.924,6.552,6.668,423575.2,2852360.0,6.737136
1646265600000,6.664,6.821,6.251,6.332,402052.8,2623283.89,6.539522
1646352000000,6.326,6.51,5.79,5.83,415030.1,2571257.16,6.159692
1646438400000,5.831,6.073,5.679,6.042,360331.4,2119423.56,5.871327
1646524800000,6.035,6.087,5.554,5.559,672734.3,3918384.0,5.826353
1646611200000,5.569,5.966,5.354,5.587,502679.3,2812652.67,5.660018
1646697600000,5.581,5.878,5.541,5.727,363257.6,2082394.12,5.712232
1646784000000,5.724,6.728,5.71,6.292,1308092.3,8316624.45,6.236808
1646870400000,6.3,6.34,5.59,5.711,702617.4,4121022.83,5.957617
1646956800000,5.71,5.883,5.477,5.571,368126.7,2077064.35,5.681192
1647043200000,5.571,5.75,5.295,5.315,368048.1,2049527.3,5.529332
1647129600000,5.314,5.482,5.17,5.243,685381.8,3664437.98,5.326623
1647216000000,5.244,5.597,5.17,5.447,725766.0,3900398.32,5.385776
1647302400000,5.443,5.464,5.162,5.352,436989.7,2317227.94,5.311037
1647388800000,5.355,5.802,5.347,5.79,827662.5,4593391.58,5.575092
1647475200000,5.79,5.91,5.569,5.647,448318.6,2566247.91,5.740466
1647561600000,5.643,6.028,5.483,5.958,423878.3,2420049.38,5.751399
1647648000000,5.958,7.877,5.918,7.036,4213750.5,29703786.95,6.930302
1647734400000,7.033,7.522,6.455,6.486,1760380.7,12218645.12,7.004604
1647820800000,6.484,7.214,6.374,6.55,1258625.3,8595760.0,6.794428
1647907200000,6.55,7.271,6.479,6.971,1119543.2,7837088.94,6.883703
1647993600000,6.976,7.21,6.702,7.153,596477.4,4133481.19,6.952604
1648080000000,7.162,8.031,7.038,7.49,1702608.2,12879089.04,7.540347
1648166400000,7.484,7.658,6.912,7.018,677139.7,4972768.47,7.288675
1648252800000,7.029,7.254,6.939,7.185,352463.2,2512017.06,7.095814
1648339200000,7.196,7.42,6.962,7.397,445954.3,3210436.82,7.185663
1648425600000,7.394,8.198,7.1,7.368,1652544.9,12941400.72,7.649038
1648512000000,7.371,7.969,7.341,7.886,907843.3,6992656.7,7.660356
1648598400000,7.885,8.156,7.355,7.872,1070312.7,8423016.37,7.755492
