Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1623319200000,9.52,24.0,9.52,12.2,1608450.52,20333776.75,16.810964
1623322800000,12.21,12.55,10.83,11.14,435778.31,5045574.34,11.691607
1623326400000,11.14,11.63,10.71,10.8,188392.19,2099486.06,11.17707
1623330000000,10.74,11.5,10.28,11.14,227291.54,2430884.79,10.888619
1623333600000,11.14,12.49,10.65,11.23,597824.02,6897242.88,11.57023
1623337200000,11.22,11.99,10.75,11.46,279579.91,3165349.61,11.370284
1623340800000,11.46,12.3,10.76,10.89,340068.65,3922188.47,11.54259
1623344400000,10.87,11.2,9.99,10.16,255118.6,2672108.7,10.602535
1623348000000,10.16,10.75,10.05,10.64,101886.69,1064333.44,10.4
1623351600000,10.64,11.1,10.39,10.85,123787.69,1325015.5,10.745
1623355200000,10.82,12.12,10.52,11.54,595812.16,6826393.79,11.327465
1623358800000,11.54,12.5,11.35,12.21,305479.48,3626997.75,11.929636
1623362400000,12.21,14.96,12.2,14.08,1421137.52,19429213.45,13.636394
1623366000000,14.09,14.83,12.85,13.26,564377.22,7815980.64,13.847582
1623369600000,13.23,13.65,12.23,12.29,250513.91,3239192.02,12.962145
1623373200000,12.25,14.79,12.23,13.32,367102.11,4963353.19,13.54311
1623376800000,13.35,15.67,13.08,14.99,639492.55,9268630.09,14.397838
1623380400000,14.98,16.12,13.8,15.73,598850.37,8962572.02,14.949403
1623384000000,15.72,17.9,15.71,16.3,1022719.6,17007050.05,16.819189
1623387600000,16.29,18.36,16.27,17.4,859808.71,14899607.81,17.350657
1623391200000,17.4,17.8,15.8,15.92,669542.26,11068618.21,16.822206
1623394800000,15.92,16.84,15.58,16.37,425322.26,6856192.63,16.212141
1623398400000,16.37,17.49,15.92,16.09,564350.11,9459886.52,16.708807
1623402000000,16.09,16.36,14.72,14.86,547778.09,8462383.17,15.550636
1623405600000,14.87,14.98,14.22,14.23,448161.49,6545797.63,14.610774
1623409200000,14.24,14.71,13.85,14.54,361930.27,5154444.23,14.276549
1623412800000,14.53,14.74,13.95,14.04,323900.27,4636925.23,14.351385
1623416400000,14.04,14.17,13.38,13.82,346740.17,4747864.65,13.771935
1623420000000,13.82,14.26,13.48,14.15,231443.74,3223859.66,13.864613
1623423600000,14.14,15.47,13.91,14.41,728753.33,10762999.67,14.693131
1623427200000,14.42,14.42,13.1,13.34,403345.89,5520205.64,13.735881
1623430800000,13.34,13.69,13.04,13.56,191648.34,2558685.52,13.362494
1623434400000,13.55,13.71,12.83,13.06,169182.12,2228630.3,13.267059
1623438000000,13.07,14.0,12.83,13.23,221563.63,2973508.18,13.416245
1623441600000,13.23,13.5,12.9,12.96,121676.7,1601690.97,13.205599
1623445200000,12.96,13.04,12.26,12.42,135502.94,1697399.65,12.644555
1623448800000,12.41,12.66,12.3,12.37,86611.32,1074392.98,12.480279
1623452400000,12.37,12.45,11.79,11.97,154891.14,1869794.86,12.114944
1623456000000,11.99,12.25,11.56,11.62,138877.3,1639619.29,11.912745
1623459600000,11.64,11.7,10.85,10.9,241192.91,2694759.33,11.276169
1623463200000,10.89,11.07,10.6,10.82,170612.69,1852761.25,10.834888
1623466800000,10.84,11.71,10.79,11.18,188629.92,2117302.26,11.258484
1623470400000,11.18,11.29,10.67,10.78,74847.37,822835.49,10.98
1623474000000,10.76,11.5,10.74,11.19,116690.12,1300195.42,11.132614
1623477600000,11.22,11.49,10.9,11.15,122800.72,1373167.8,11.195035
1623481200000,11.15,11.82,11.13,11.46,191433.87,2212134.71,11.484034
1623484800000,11.46,11.93,11.2,11.57,172339.96,2009452.07,11.565285
1623488400000,11.57,11.93,11.42,11.56,128510.93,1502613.27,11.675011
1623492000000,11.54,11.74,11.01,11.5,180576.35,2057517.15,11.374891
1623495600000,11.51,11.62,11.28,11.42,67967.48,778289.89,11.449733
1623499200000,11.43,11.9,11.19,11.56,130142.37,1504655.03,11.545423
1623502800000,11.58,11.81,11.4,11.69,45257.19,525041.17,11.60445
1623506400000,11.69,12.0,11.6,11.69,83287.28,979820.0,11.8
1623510000000,11.67,11.8,11.47,11.56,58245.24,673231.56,11.635571
1623513600000,11.5,11.9,11.37,11.42,90739.7,1056199.32,11.636003
1623517200000,11.42,11.49,11.13,11.24,52278.94,590172.48,11.308667
1623520800000,11.24,11.4,11.09,11.21,65783.22,738626.81,11.245047
1623524400000,11.2,11.29,10.95,11.0,59753.21,664457.73,11.121894
