Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1600938000000,1.86,8.0,1.86,3.957,1346744.0,5904684.68,4.990719
1600938900000,3.967,4.047,3.248,3.481,1114317.564,3933793.61,3.639703
1600939800000,3.49,3.622,3.13,3.218,549671.125,1900442.28,3.37782
1600940700000,3.212,3.38,3.166,3.326,202582.062,666063.86,3.273305
1600941600000,3.319,3.428,3.173,3.231,254374.303,838955.98,3.301283
1600942500000,3.227,3.3,3.024,3.067,232560.462,743986.17,3.163376
1600943400000,3.08,3.087,2.783,2.91,437031.05,1266781.27,2.929911
1600944300000,2.913,2.944,2.79,2.86,150195.254,430898.83,2.866405
1600945200000,2.863,2.871,2.635,2.74,257735.808,704213.36,2.749466
1600946100000,2.753,2.825,2.683,2.719,134282.99,370092.83,2.754262
1600947000000,2.718,2.767,2.667,2.762,71543.53,194770.66,2.71583
1600947900000,2.764,2.894,2.761,2.888,206565.739,583415.11,2.827916
1600948800000,2.889,3.259,2.85,3.259,338673.655,1017286.55,3.049484
1600949700000,3.215,3.361,3.192,3.275,349752.075,1140680.92,3.277525
1600950600000,3.277,3.5,3.251,3.3,381263.596,1280773.01,3.375686
1600951500000,3.303,3.33,3.181,3.252,216554.919,701015.49,3.254836
1600952400000,3.252,3.254,2.5,2.938,452497.65,1349133.55,2.86712
1600953300000,2.932,2.952,2.816,2.85,191156.67,551660.09,2.8833
1600954200000,2.852,2.887,2.681,2.73,143553.651,400374.13,2.783327
1600955100000,2.73,2.83,2.71,2.781,82749.836,230548.23,2.770686
1600956000000,2.77,2.841,2.758,2.796,106029.82,297514.67,2.799915
1600956900000,2.774,2.799,2.587,2.665,171492.935,462272.59,2.691125
1600957800000,2.672,2.718,2.612,2.701,119410.382,316612.38,2.66459
1600958700000,2.7,2.769,2.662,2.736,112561.369,306350.2,2.715427
1600959600000,2.737,2.75,2.661,2.685,73858.197,199060.24,2.704987
1600960500000,2.685,2.72,2.63,2.653,86203.39,230242.53,2.675196
1600961400000,2.653,2.745,2.642,2.731,85600.091,231274.67,2.693751
1600962300000,2.73,2.736,2.62,2.621,74036.186,197905.14,2.678708
1600963200000,2.621,2.654,2.497,2.608,190430.908,489755.2,2.575433
1600964100000,2.603,2.608,2.512,2.585,81928.71,209293.0,2.559699
1600965000000,2.577,2.584,2.52,2.53,64171.277,163436.55,2.551766
1600965900000,2.535,2.54,2.415,2.42,126697.91,311639.99,2.4775
1600966800000,2.421,2.43,2.34,2.413,164140.656,392247.36,2.384937
1600967700000,2.413,2.425,2.263,2.271,163439.595,382797.99,2.344475
1600968600000,2.273,2.332,2.259,2.328,105013.984,240736.42,2.294673
1600969500000,2.318,2.347,2.16,2.208,179086.387,403638.16,2.2526
1600970400000,2.206,2.235,2.133,2.21,132976.052,289717.0,2.183991
1600971300000,2.204,2.309,2.156,2.273,264781.102,595884.75,2.232179
1600972200000,2.265,2.35,2.206,2.317,143746.318,326565.01,2.277562
1600973100000,2.319,2.379,2.274,2.282,173726.456,403932.53,2.327333
1600974000000,2.282,2.282,2.2,2.2,120095.931,268781.55,2.241
1600974900000,2.195,2.26,2.165,2.252,126743.147,279253.83,2.211412
1600975800000,2.256,2.29,2.209,2.255,70465.663,158851.95,2.2495
1600976700000,2.25,2.332,2.197,2.274,125287.311,281880.85,2.26452
1600977600000,2.273,2.319,2.24,2.25,47765.457,108170.51,2.27989
1600978500000,2.258,2.292,2.201,2.218,79832.065,179639.25,2.246931
1600979400000,2.221,2.223,2.132,2.157,101130.427,219738.47,2.175877
1600980300000,2.154,2.167,2.067,2.114,123853.992,261334.17,2.116292
1600981200000,2.114,2.115,2.0,2.034,132306.573,269826.17,2.055229
1600982100000,2.035,2.06,1.996,2.049,65303.836,132590.55,2.02783
1600983000000,2.052,2.117,2.038,2.113,62131.568,129033.18,2.076624
1600983900000,2.118,2.166,2.1,2.122,76778.853,163987.4,2.133012
1600984800000,2.122,2.146,2.069,2.127,52568.941,110604.06,2.107482
1600985700000,2.127,2.127,2.08,2.115,15660.895,32911.76,2.10321
1600986600000,2.103,2.103,2.068,2.1,25484.767,53245.06,2.085471
1600987500000,2.099,2.149,2.08,2.149,13065.797,27540.0,2.113064
1600988400000,2.142,2.262,2.131,2.178,114658.462,252317.27,2.197202
1600989300000,2.183,2.247,2.178,2.222,25046.412,55014.56,2.213368
1600990200000,2.223,2.23,2.182,2.194,25731.643,56768.12,2.205749
1600991100000,2.196,2.318,2.196,2.29,93055.278,211230.6,2.25944
1600992000000,2.288,2.338,2.219,2.238,105651.613,242573.45,2.279216
1600992900000,2.241,2.242,2.155,2.173,62755.065,137649.14,2.196968
1600993800000,2.176,2.196,2.164,2.182,13830.253,30230.52,2.180009
1600994700000,2.185,2.2,2.158,2.172,21707.315,47348.41,2.179012
1600995600000,2.181,2.181,2.102,2.119,22125.413,47149.7,2.139953
1600996500000,2.119,2.127,2.11,2.126,10388.434,21987.93,2.118323
1600997400000,2.124,2.163,2.117,2.163,14481.687,31025.29,2.139233
1600998300000,2.168,2.17,2.134,2.135,9391.911,20172.7,2.152133
1600999200000,2.135,2.137,2.101,2.118,17413.267,36866.68,2.118557
1601000100000,2.118,2.138,2.118,2.121,7407.022,15759.82,2.128048
1601001000000,2.124,2.124,2.079,2.096,25994.198,54447.0,2.100589
1601001900000,2.095,2.098,2.072,2.086,5038.431,10507.81,2.08483
1601002800000,2.088,2.131,2.071,2.124,20944.935,44070.44,2.100505
1601003700000,2.116,2.162,2.114,2.154,19669.266,42181.22,2.138557
1601004600000,2.16,2.17,2.147,2.147,9565.29,20642.4,2.158934
