Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1600905600000,1.86,8.0,1.86,2.29,11230104.682,33913166.3,4.933505
1600992000000,2.288,2.338,1.85,1.872,2100299.982,4388775.24,2.097108
1601078400000,1.872,1.936,1.738,1.772,1138049.106,2095383.31,1.838022
1601164800000,1.772,1.797,1.511,1.527,559925.8,926772.62,1.655011
1601251200000,1.525,1.985,1.525,1.653,3572524.673,6362312.28,1.758277
1601337600000,1.653,1.724,1.5,1.637,757923.583,1223932.91,1.611958
1601424000000,1.636,1.642,1.524,1.569,379001.36,593642.04,1.581291
1601510400000,1.571,1.744,1.471,1.539,563906.029,904354.11,1.607681
1601596800000,1.538,1.572,1.456,1.536,372277.324,556186.14,1.513998
1601683200000,1.536,1.599,1.445,1.449,255323.029,392405.57,1.524558
1601769600000,1.449,1.465,1.326,1.357,243461.838,340207.77,1.394578
1601856000000,1.357,1.381,1.213,1.239,536297.554,674328.29,1.296859
1601942400000,1.241,1.294,0.961,0.979,758889.56,824501.48,1.130704
1602028800000,0.989,1.256,0.976,1.212,1050071.023,1213860.44,1.118921
1602115200000,1.212,1.312,1.087,1.304,828714.226,1007658.31,1.196948
1602201600000,1.304,1.44,1.253,1.287,364776.473,477053.31,1.346606
1602288000000,1.279,1.538,1.279,1.472,610824.457,866612.91,1.41382
1602374400000,1.473,1.475,1.34,1.372,353725.273,493648.09,1.40506
1602460800000,1.372,1.43,1.302,1.359,267392.401,368162.06,1.366001
1602547200000,1.365,1.373,1.28,1.339,191433.324,255243.83,1.325992
1602633600000,1.339,1.362,1.271,1.341,130165.461,171006.48,1.316497
1602720000000,1.341,1.374,1.309,1.329,169503.916,226106.69,1.341556
1602806400000,1.327,1.327,1.151,1.166,247978.637,305173.92,1.237016
1602892800000,1.174,1.218,1.148,1.182,180676.482,213865.32,1.183016
1602979200000,1.178,1.27,1.178,1.25,214832.86,260190.0,1.225808
1603065600000,1.248,1.25,1.158,1.158,147554.703,176409.04,1.204314
1603152000000,1.161,1.165,1.065,1.081,158201.933,174587.06,1.113857
1603238400000,1.085,1.15,1.085,1.105,130456.057,145824.02,1.118045
1603324800000,1.106,1.165,1.086,1.13,166740.006,188187.05,1.125677
1603411200000,1.131,1.138,1.031,1.055,182546.493,196240.66,1.083273
1603497600000,1.06,1.07,1.02,1.034,151592.822,158945.11,1.044855
1603584000000,1.029,1.062,0.997,1.041,333922.655,340043.03,1.029453
1603670400000,1.044,1.149,1.027,1.051,683020.329,741233.03,1.088033
1603756800000,1.052,1.12,1.039,1.077,319894.256,344290.13,1.079866
1603843200000,1.08,1.095,0.965,0.983,282634.577,292184.08,1.029757
1603929600000,0.984,0.995,0.859,0.88,362171.313,333224.04,0.926144
1604016000000,0.883,0.896,0.819,0.834,364262.538,307090.62,0.857387
1604102400000,0.833,0.849,0.803,0.834,319190.072,264827.87,0.825999
1604188800000,0.833,0.876,0.781,0.799,524628.652,431126.09,0.828914
1604275200000,0.799,0.839,0.77,0.773,764471.707,610610.99,0.805181
1604361600000,0.771,0.772,0.717,0.733,296836.693,220028.27,0.743484
1604448000000,0.731,0.784,0.686,0.772,419836.365,305967.01,0.734245
1604534400000,0.772,0.91,0.769,0.889,455357.985,383921.0,0.841371
1604620800000,0.891,1.07,0.882,1.06,319467.383,307766.43,0.976127
1604707200000,1.066,1.255,0.95,1.01,587996.121,648114.15,1.103048
1604793600000,1.007,1.256,0.856,1.2,566279.35,634796.61,1.053065
1604880000000,1.195,1.219,1.047,1.087,474253.129,534455.33,1.132125
1604966400000,1.082,1.169,1.072,1.148,207608.924,232879.64,1.12122
1605052800000,1.151,1.2,1.052,1.07,211063.409,239310.16,1.127255
1605139200000,1.07,1.088,0.994,1.051,223132.217,233260.65,1.040799
1605225600000,1.054,1.153,1.046,1.15,216958.144,240864.26,1.09887
1605312000000,1.151,1.231,1.048,1.156,537568.078,610965.51,1.139497
1605398400000,1.157,1.296,1.123,1.166,612191.286,731819.86,1.209532
1605484800000,1.163,1.324,1.143,1.265,503757.123,615165.57,1.235182
1605571200000,1.265,1.479,1.265,1.426,993636.944,1376706.76,1.376368
1605657600000,1.426,1.527,1.275,1.469,876467.371,1250126.86,1.400659
1605744000000,1.471,1.71,1.45,1.654,961601.107,1516160.93,1.582474
1605830400000,1.65,1.832,1.573,1.717,615489.831,1038320.75,1.702823
1605916800000,1.721,1.934,1.663,1.816,734033.473,1345597.49,1.799451
1606003200000,1.821,1.837,1.522,1.667,548206.244,904353.24,1.675401
1606089600000,1.669,1.895,1.622,1.766,553931.723,973854.83,1.759836
1606176000000,1.767,1.801,1.553,1.641,636210.117,1047896.02,1.675137
1606262400000,1.641,1.656,1.46,1.505,484138.815,750172.89,1.555947
1606348800000,1.496,1.517,1.119,1.38,811586.014,1015107.08,1.315396
1606435200000,1.375,1.49,1.257,1.324,443077.379,599652.16,1.373791
1606521600000,1.323,1.432,1.28,1.362,237874.922,320280.82,1.356226
1606608000000,1.362,1.41,1.234,1.401,244252.64,335529.19,1.321261
1606694400000,1.401,1.559,1.36,1.427,507567.417,735756.64,1.459695
1606780800000,1.423,1.521,1.334,1.362,460415.462,651099.36,1.428457
1606867200000,1.357,1.449,1.3,1.443,196929.454,275414.32,1.372183
1606953600000,1.442,1.531,1.415,1.491,328065.821,483161.84,1.473303
1607040000000,1.49,1.619,1.471,1.543,625586.197,965418.07,1.545944
1607126400000,1.544,1.654,1.5,1.576,485577.528,769426.65,1.577186
1607212800000,1.576,1.65,1.48,1.498,376773.775,578315.31,1.566555
1607299200000,1.507,1.508,1.343,1.417,464446.157,667843.14,1.422567
1607385600000,1.415,1.442,1.3,1.331,438463.774,594859.14,1.370808
1607472000000,1.319,1.406,1.28,1.363,356079.406,483177.96,1.343063
1607558400000,1.366,1.369,1.255,1.26,261200.426,337109.12,1.311724
1607644800000,1.262,1.262,1.156,1.157,277001.53,330438.22,1.208837
1607731200000,1.157,1.231,1.157,1.192,191524.137,230364.19,1.195155
1607817600000,1.196,1.265,1.17,1.258,226214.465,277660.27,1.216368
1607904000000,1.258,1.294,1.226,1.259,260889.395,327884.52,1.26
1607990400000,1.259,1.332,1.253,1.297,212759.265,275301.35,1.29339
1608076800000,1.299,1.324,1.232,1.316,316991.925,407304.66,1.277746
1608163200000,1.318,1.336,1.254,1.291,447247.863,579211.5,1.294735
1608249600000,1.287,1.5,1.265,1.47,853186.099,1204321.78,1.383215
1608336000000,1.472,1.517,1.392,1.443,438292.586,639864.05,1.454459
1608422400000,1.44,1.475,1.393,1.425,207086.598,295856.69,1.434013
1608508800000,1.423,1.449,1.35,1.421,304286.461,425735.66,1.399498
1608595200000,1.422,1.869,1.411,1.569,2981988.851,4893431.3,1.64382
1608681600000,1.569,1.578,1.11,1.22,1059711.766,1460695.33,1.335845
1608768000000,1.229,1.426,1.2,1.377,466305.099,614683.6,1.314201
1608854400000,1.383,1.403,1.251,1.279,282021.36,375553.49,1.32647
1608940800000,1.275,1.458,1.257,1.45,423936.532,571061.05,1.356331
1609027200000,1.452,1.66,1.294,1.34,1183379.509,1716950.96,1.478942
1609113600000,1.343,1.5,1.315,1.429,568300.49,802206.21,1.408728
1609200000000,1.432,1.464,1.22,1.281,519679.336,674238.65,1.340465
1609286400000,1.284,1.336,1.235,1.265,351442.257,445379.11,1.285598
1609372800000,1.266,1.35,1.232,1.295,261149.204,341154.02,1.291161
1609459200000,1.291,1.435,1.285,1.359,364793.005,503947.06,1.361896
1609545600000,1.355,1.397,1.26,1.292,323050.128,431526.38,1.328779
1609632000000,1.292,1.359,1.22,1.311,388299.058,503598.85,1.289444
1609718400000,1.311,1.455,1.274,1.363,429610.665,584205.23,1.365079
1609804800000,1.363,1.57,1.318,1.481,458603.137,646249.41,1.445276
1609891200000,1.481,1.641,1.35,1.507,982015.197,1470115.27,1.495503
1609977600000,1.506,1.521,1.336,1.401,815984.945,1177872.3,1.42631
1610064000000,1.402,1.453,1.278,1.43,617093.059,853201.85,1.365175
1610150400000,1.431,1.628,1.404,1.536,981837.503,1506101.46,1.517889
1610236800000,1.533,1.62,1.328,1.456,1044925.768,1536036.6,1.473637
1610323200000,1.459,1.459,1.181,1.268,953760.867,1249700.21,1.31418
1610409600000,1.265,1.398,1.231,1.307,533573.118,707453.11,1.314958
1610496000000,1.32,1.44,1.261,1.413,414266.43,557895.94,1.349342
1610582400000,1.415,1.449,1.336,1.437,379986.653,530554.12,1.39218
1610668800000,1.44,1.604,1.385,1.558,1061485.806,1596823.84,1.494148
1610755200000,1.564,1.78,1.508,1.534,1489608.089,2483171.61,1.64429
1610841600000,1.536,1.78,1.385,1.729,1996189.352,3168912.71,1.579326
1610928000000,1.729,1.847,1.63,1.728,1055865.119,1837946.21,1.7385
1611014400000,1.73,1.98,1.675,1.823,1366605.88,2538819.1,1.828714
1611100800000,1.83,1.93,1.604,1.751,1007583.935,1751768.66,1.76665
1611187200000,1.758,1.764,1.45,1.469,1036035.604,1654027.3,1.605254
1611273600000,1.469,1.7,1.394,1.611,1038598.427,1614599.13,1.547398
1611360000000,1.612,1.836,1.598,1.825,1256640.185,2213242.69,1.716624
1611446400000,1.825,1.838,1.657,1.777,804428.411,1415105.34,1.746543
1611532800000,1.777,2.222,1.77,2.1,3286416.315,6805957.12,2.004415
1611619200000,2.097,2.298,1.839,2.038,2148590.9,4430476.34,2.068504
1611705600000,2.035,2.153,1.833,2.075,1398068.658,2785992.66,1.992757
1611792000000,2.075,2.61,2.029,2.488,2565424.298,6073020.29,2.324994
1611878400000,2.482,2.507,2.032,2.311,1521351.394,3395404.79,2.265247
1611964800000,2.311,2.388,2.159,2.343,840339.603,1894644.09,2.273238
1612051200000,2.344,2.61,2.216,2.263,1266605.874,3039167.61,2.414169
1612137600000,2.263,2.604,2.16,2.369,1161419.039,2796445.61,2.382954
1612224000000,2.367,2.486,2.291,2.363,586271.334,1396129.98,2.388502
1612310400000,2.363,2.747,2.333,2.639,865689.096,2217933.24,2.544875
1612396800000,2.638,2.931,2.466,2.796,1445849.557,3857424.09,2.69795
1612483200000,2.795,3.194,2.775,3.144,990663.01,2917246.88,2.987648
1612569600000,3.15,3.992,2.77,3.636,2974315.117,10456159.39,3.380506
1612656000000,3.658,3.99,3.145,3.41,1687270.655,5977541.24,3.568237
1612742400000,3.41,3.98,3.2,3.717,1349366.69,4844693.86,3.591068
1612828800000,3.718,4.196,3.595,3.943,1374551.99,5265334.7,3.89786
1612915200000,3.954,4.199,3.34,3.684,1377785.734,5266598.64,3.768246
1613001600000,3.689,4.38,3.575,4.075,1252544.241,5156636.18,3.983324
1613088000000,4.083,4.92,3.854,4.587,1639206.088,7271604.84,4.390078
