Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1600934400000,1.86,8.0,1.86,3.326,3213314.751,12404984.42,4.963788
1600941600000,3.319,3.428,2.635,2.888,1744289.136,5133114.2,3.025759
1600948800000,2.889,3.5,2.5,2.781,2156202.052,6671471.97,3.000483
1600956000000,2.77,2.841,2.587,2.621,829192.37,2241232.42,2.715741
1600963200000,2.621,2.654,2.16,2.208,1074909.427,2593544.67,2.405412
1600970400000,2.206,2.379,2.133,2.274,1157821.98,2604867.48,2.256312
1600977600000,2.273,2.319,1.996,2.122,689102.771,1464319.69,2.155188
1600984800000,2.122,2.318,2.068,2.29,365272.195,799631.45,2.191346
1600992000000,2.288,2.338,2.102,2.135,260331.691,578137.13,2.220998
1600999200000,2.135,2.177,2.071,2.177,120209.054,254968.58,2.122693
1601006400000,2.176,2.264,2.143,2.235,188068.899,415917.72,2.203374
1601013600000,2.24,2.273,2.1,2.126,174325.978,377203.94,2.186926
1601020800000,2.128,2.196,2.102,2.118,138756.435,298332.25,2.149074
1601028000000,2.115,2.158,1.969,2.024,297546.984,605720.11,2.063131
1601035200000,2.024,2.11,2.007,2.068,204327.878,419212.31,2.059098
1601042400000,2.068,2.119,2.004,2.033,297524.192,610289.05,2.061761
1601049600000,2.032,2.075,2.021,2.03,109506.016,223982.37,2.048006
1601056800000,2.03,2.039,1.987,2.003,82195.732,165374.67,2.012747
1601064000000,2.0,2.025,1.944,1.959,85565.151,169793.25,1.984842
1601071200000,1.949,1.96,1.85,1.872,141941.972,269843.87,1.904232
1601078400000,1.872,1.887,1.809,1.869,113647.868,210193.54,1.847992
1601085600000,1.866,1.904,1.85,1.857,62176.2,116586.11,1.877108
1601092800000,1.86,1.936,1.858,1.893,85968.571,163544.51,1.89796
1601100000000,1.892,1.929,1.859,1.881,117282.513,221295.98,1.894047
1601107200000,1.882,1.9,1.776,1.789,201590.711,371147.17,1.838409
1601114400000,1.789,1.815,1.766,1.787,79990.573,143304.95,1.790501
1601121600000,1.787,1.861,1.738,1.838,155460.937,279849.4,1.798916
1601128800000,1.837,1.901,1.82,1.857,114331.267,213187.48,1.860709
1601136000000,1.859,1.862,1.81,1.81,57907.841,106492.42,1.836428
1601143200000,1.811,1.863,1.803,1.803,47300.719,86468.53,1.833116
1601150400000,1.812,1.828,1.78,1.794,46564.188,83703.27,1.804036
1601157600000,1.798,1.8,1.76,1.772,55827.718,99609.95,1.77941
1601164800000,1.772,1.79,1.766,1.783,34061.439,60501.88,1.778028
1601172000000,1.784,1.797,1.755,1.773,13932.534,24747.27,1.775956
1601179200000,1.774,1.79,1.756,1.779,26593.8,47084.58,1.772981
1601186400000,1.778,1.78,1.679,1.7,76930.686,131912.84,1.727835
1601193600000,1.7,1.7,1.62,1.627,86925.172,144404.3,1.65908
1601200800000,1.626,1.683,1.617,1.66,48556.95,80028.41,1.650497
1601208000000,1.675,1.692,1.632,1.669,36127.341,59928.56,1.661975
1601215200000,1.668,1.684,1.61,1.655,32160.142,52933.62,1.646887
1601222400000,1.645,1.65,1.583,1.603,79302.935,128421.94,1.615683
1601229600000,1.607,1.609,1.584,1.603,40636.577,65201.49,1.596445
1601236800000,1.604,1.609,1.566,1.577,29799.51,47369.29,1.587172
1601244000000,1.582,1.59,1.511,1.527,54898.714,84238.43,1.549948
1601251200000,1.525,1.609,1.525,1.596,66781.084,105701.46,1.568413
1601258400000,1.596,1.596,1.56,1.577,24624.754,38719.83,1.577364
1601265600000,1.577,1.79,1.576,1.681,372091.33,636465.15,1.686388
1601272800000,1.68,1.859,1.628,1.761,638409.291,1126454.59,1.744229
1601280000000,1.76,1.978,1.727,1.892,615757.446,1165040.9,1.854468
1601287200000,1.892,1.985,1.788,1.819,393879.949,736932.86,1.887602
1601294400000,1.823,1.884,1.68,1.72,378763.908,661414.81,1.782715
1601301600000,1.724,1.867,1.678,1.765,224536.432,391783.14,1.772833
1601308800000,1.759,1.794,1.72,1.742,69825.135,122244.88,1.757087
1601316000000,1.743,1.79,1.687,1.759,165185.252,288089.54,1.738424
1601323200000,1.759,1.885,1.759,1.877,215727.544,393159.81,1.823123
1601330400000,1.877,1.877,1.61,1.653,406942.548,696305.31,1.738909
1601337600000,1.653,1.724,1.545,1.563,131869.611,218581.65,1.636288
1601344800000,1.565,1.623,1.549,1.604,135622.384,216023.89,1.586112
1601352000000,1.605,1.683,1.58,1.61,92457.274,150717.11,1.631514
1601359200000,1.61,1.685,1.607,1.664,43314.477,71205.67,1.647225
1601366400000,1.667,1.667,1.611,1.612,46913.385,76927.03,1.638841
1601373600000,1.615,1.698,1.614,1.653,22970.146,37872.17,1.657186
1601380800000,1.653,1.655,1.595,1.635,33594.781,54560.69,1.624563
1601388000000,1.634,1.645,1.599,1.608,29012.829,47061.75,1.622087
1601395200000,1.605,1.605,1.5,1.511,67023.226,103118.77,1.551122
1601402400000,1.512,1.543,1.501,1.519,31232.891,47412.46,1.522045
1601409600000,1.524,1.555,1.519,1.538,17100.551,26285.62,1.537236
1601416800000,1.538,1.68,1.526,1.637,106812.028,174166.09,1.604786
1601424000000,1.636,1.642,1.594,1.628,21720.986,35183.98,1.617902
1601431200000,1.628,1.629,1.602,1.605,16692.044,26925.16,1.615278
1601438400000,1.608,1.616,1.524,1.538,96280.615,149462.41,1.569492
1601445600000,1.537,1.568,1.532,1.543,28593.763,44371.7,1.55007
1601452800000,1.544,1.558,1.529,1.545,17303.966,26762.19,1.5435
1601460000000,1.557,1.569,1.534,1.545,16452.681,25577.02,1.551515
1601467200000,1.543,1.576,1.538,1.567,26907.056,42050.34,1.557222
1601474400000,1.567,1.625,1.549,1.61,71677.472,112771.0,1.58687
1601481600000,1.611,1.62,1.582,1.582,16842.405,26925.97,1.601767
1601488800000,1.582,1.595,1.537,1.551,45471.432,70711.02,1.565962
1601496000000,1.55,1.573,1.542,1.566,11820.229,18370.37,1.557464
1601503200000,1.572,1.58,1.562,1.569,9238.711,14530.88,1.571003
1601510400000,1.571,1.643,1.568,1.621,59880.727,96496.98,1.606688
1601517600000,1.62,1.641,1.592,1.639,35501.976,57233.89,1.615992
1601524800000,1.639,1.666,1.62,1.631,40663.025,66651.7,1.643061
1601532000000,1.63,1.644,1.62,1.639,20311.807,33178.55,1.631909
1601539200000,1.642,1.744,1.62,1.689,84551.8,142298.63,1.682615
1601546400000,1.69,1.707,1.636,1.651,68559.102,114901.85,1.671582
1601553600000,1.651,1.665,1.622,1.623,36044.953,59348.03,1.644271
1601560800000,1.63,1.633,1.57,1.573,32925.35,52914.54,1.6015
1601568000000,1.573,1.573,1.482,1.49,126042.058,190629.69,1.52645
1601575200000,1.492,1.556,1.471,1.544,37871.152,57471.61,1.513036
1601582400000,1.547,1.56,1.532,1.533,11306.071,17471.67,1.5464
1601589600000,1.537,1.551,1.522,1.539,10248.008,15756.96,1.536498
1601596800000,1.538,1.538,1.497,1.511,41289.628,62337.86,1.516649
1601604000000,1.512,1.528,1.503,1.528,12227.348,18552.5,1.514987
