Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1620694800000,249.28,2831.02,249.28,408.96,128349.48,62814793.38,1541.309275
1620695700000,408.96,445.74,381.0,394.88,60388.91,24972166.31,413.507016
1620696600000,394.86,396.03,355.0,358.97,49933.5,18695879.57,375.183856
1620697500000,357.31,385.0,336.46,385.0,53698.45,19337461.73,359.806759
1620698400000,384.84,389.16,354.0,376.0,23313.13,8590984.97,371.438056
1620699300000,376.93,430.0,365.24,429.99,40813.74,16531045.85,396.442232
1620700200000,429.96,443.46,402.0,418.3,28621.52,12143103.37,422.701759
1620701100000,415.92,447.4,410.0,435.58,32028.46,13810864.45,428.918914
1620702000000,436.92,439.8,410.5,431.32,18977.97,8083275.19,425.067328
1620702900000,431.32,543.17,426.01,500.86,61696.44,29934943.86,486.376747
1620703800000,500.2,515.97,461.3,481.61,48657.77,23500154.05,488.567428
1620704700000,482.34,600.0,468.88,579.82,49514.82,26722506.62,534.978709
1620705600000,574.31,600.0,484.13,488.56,66584.29,35194876.84,543.751353
1620706500000,488.56,491.99,435.0,435.42,57337.28,26593428.06,463.912986
1620707400000,436.99,475.99,431.93,463.91,30387.64,13926887.17,454.321291
1620708300000,463.91,466.86,430.44,435.12,21732.83,9684580.15,448.489848
1620709200000,435.04,470.0,435.01,466.19,18948.62,8563432.23,452.972015
1620710100000,466.84,495.0,462.01,486.15,36878.97,17484388.32,478.693289
1620711000000,487.97,498.0,460.4,480.79,35018.11,16749272.34,479.152344
1620711900000,480.8,493.72,470.44,486.02,20839.87,10090968.79,482.06307
1620712800000,486.13,494.74,472.39,477.28,16869.37,8162483.04,483.640884
1620713700000,477.28,479.74,461.86,467.12,15101.13,7091135.87,470.677066
1620714600000,467.6,473.01,448.0,470.03,19117.03,8790126.01,460.485341
1620715500000,470.03,478.92,453.94,459.0,18144.16,8470610.81,466.528124
1620716400000,458.93,458.93,430.73,441.06,25227.7,11203185.63,444.253623
1620717300000,441.1,456.45,438.0,452.82,12731.79,5717086.74,447.254732
1620718200000,453.09,469.64,452.14,459.93,11803.87,5452174.59,461.063925
1620719100000,459.61,459.61,446.18,454.07,9112.22,4130669.61,452.719719
1620720000000,454.41,455.0,438.5,441.55,9411.1,4197266.61,446.529761
1620720900000,441.2,442.11,391.68,414.02,46303.16,19161491.69,416.055935
1620721800000,414.24,429.0,403.83,407.11,14697.94,6105617.04,416.532507
1620722700000,407.04,424.98,401.81,420.76,12992.24,5381098.47,413.346479
1620723600000,421.0,429.0,416.62,419.16,9689.49,4113413.03,422.82516
1620724500000,418.6,426.0,407.01,425.59,10468.68,4384234.99,416.309016
1620725400000,425.99,429.0,420.11,422.0,8611.59,3655005.33,424.584697
1620726300000,422.5,423.41,405.0,414.58,9404.63,3890444.07,413.994697
1620727200000,414.99,417.77,391.19,393.06,8808.73,3582128.66,404.573311
1620728100000,393.02,408.0,386.81,403.74,20053.14,7947503.3,397.338352
1620729000000,403.69,413.22,392.0,405.97,12630.37,5091819.29,402.603574
1620729900000,405.21,424.83,403.3,417.75,13868.01,5773233.34,414.30455
1620730800000,417.42,424.0,405.05,419.82,12728.56,5264326.68,414.508513
1620731700000,418.75,423.27,409.0,412.84,10955.76,4564538.52,416.150233
1620732600000,412.56,416.5,409.0,409.34,6506.12,2677098.92,412.836954
1620733500000,409.62,415.0,393.0,403.28,8917.4,3595876.48,403.948054
1620734400000,403.28,404.1,385.37,391.45,17594.25,6916279.59,394.443648
1620735300000,391.06,397.17,376.55,388.0,19207.38,7359329.29,386.845219
1620736200000,387.28,401.2,383.95,389.5,11412.21,4486726.87,392.592401
1620737100000,389.91,395.0,381.0,386.51,11287.82,4374748.82,387.996857
1620738000000,386.54,393.51,385.0,389.0,7825.82,3040289.25,389.286684
1620738900000,388.61,396.55,387.52,392.01,9171.5,3604696.4,392.098385
1620739800000,393.02,422.89,390.44,413.33,32691.89,13442536.89,407.043894
1620740700000,412.83,425.0,403.21,419.17,25974.31,10820486.96,414.064026
1620741600000,418.18,422.0,390.12,402.07,18758.37,7631138.81,405.782792
1620742500000,401.6,414.97,395.0,409.01,12882.53,5184785.18,404.973593
