Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1528876800000,1.9525,2.07,1.85,1.8512,408043.44,784627.61,1.963255
1528884000000,1.8511,1.9127,1.8497,1.9127,283736.94,534002.92,1.88098
1528891200000,1.9121,2.06,1.8918,1.9785,578267.24,1159476.99,1.977141
1528898400000,1.9785,2.0168,1.87,1.89,444409.38,863917.08,1.944314
1528905600000,1.8987,2.0001,1.75,1.9254,727830.29,1356067.71,1.874944
1528912800000,1.9308,2.01,1.8552,1.9167,547934.59,1063045.11,1.932618
1528920000000,1.9067,1.9543,1.8783,1.9306,293581.67,560401.98,1.91624
1528927200000,1.9316,2.0499,1.9316,1.9792,466601.01,932859.98,1.992241
1528934400000,1.9792,1.9955,1.961,1.9747,346913.58,686994.49,1.978256
1528941600000,1.9795,2.1299,1.9719,2.0907,773840.31,1588315.51,2.053133
1528948800000,2.0906,2.199,2.0626,2.176,726122.89,1530270.36,2.130528
1528956000000,2.1702,2.1952,2.109,2.1288,667510.21,1441277.28,2.152259
1528963200000,2.1285,2.2269,2.1284,2.1606,499590.78,1085940.55,2.178553
1528970400000,2.1605,2.1712,2.1206,2.1548,355792.59,762485.1,2.145863
1528977600000,2.1572,2.1658,2.001,2.0236,903473.55,1887238.81,2.082024
1528984800000,2.0247,2.0988,2.01,2.0372,353323.39,724834.05,2.054517
1528992000000,2.043,2.355,2.0381,2.3299,1300378.74,2908406.83,2.199153
1528999200000,2.3302,2.3986,2.25,2.2807,745422.5,1716220.3,2.324838
1529006400000,2.2744,2.34,2.205,2.2944,501326.71,1148388.35,2.272434
1529013600000,2.293,2.3137,2.22,2.2988,333565.23,755817.76,2.266822
1529020800000,2.2931,2.2988,2.205,2.2171,265862.35,598183.44,2.251272
1529028000000,2.215,2.2531,2.1777,2.234,372378.36,826330.91,2.215253
1529035200000,2.2338,2.2343,2.1617,2.182,371881.37,814467.58,2.196556
1529042400000,2.1821,2.22,2.1792,2.1939,212896.59,465904.72,2.199848
1529049600000,2.1882,2.2146,2.122,2.168,300948.28,652015.95,2.168182
1529056800000,2.1687,2.25,2.106,2.1377,502076.81,1081291.41,2.178291
1529064000000,2.1322,2.155,2.08,2.1248,403611.52,855469.88,2.117473
1529071200000,2.123,2.2049,2.1,2.1934,357885.12,768588.87,2.15172
1529078400000,2.1933,2.235,2.1401,2.1671,384945.93,838411.29,2.187693
1529085600000,2.1724,2.1749,2.144,2.1578,360716.58,777736.32,2.159116
1529092800000,2.1589,2.1589,2.08,2.0943,447062.6,939927.69,2.11801
