Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1641808800000,3.751,4.3,3.751,3.998,741072.92,2945168.48,4.033549
1641809700000,3.998,4.013,3.894,3.914,133404.99,525334.43,3.953144
1641810600000,3.913,3.948,3.903,3.904,77909.55,305681.4,3.925672
1641811500000,3.903,3.903,3.821,3.845,68470.02,264793.29,3.860285
1641812400000,3.845,3.85,3.78,3.83,50546.12,193038.8,3.814739
1641813300000,3.823,3.883,3.77,3.809,82911.57,316119.8,3.82654
1641814200000,3.816,3.837,3.78,3.806,17024.33,64762.41,3.808481
1641815100000,3.8,3.813,3.713,3.732,72841.2,274042.81,3.762608
1641816000000,3.729,3.799,3.686,3.687,37195.61,139135.98,3.743734
1641816900000,3.687,3.735,3.678,3.73,20293.31,75342.17,3.706168
1641817800000,3.734,3.74,3.663,3.663,25276.59,93520.29,3.70231
1641818700000,3.663,3.674,3.584,3.611,52850.19,190861.56,3.628272
1641819600000,3.61,3.646,3.6,3.618,24598.79,89152.22,3.623069
1641820500000,3.617,3.619,3.579,3.584,38177.92,137237.16,3.598692
1641821400000,3.583,3.635,3.577,3.588,21306.8,76571.74,3.606038
1641822300000,3.597,3.597,3.553,3.572,12585.71,44915.84,3.574166
1641823200000,3.572,3.577,3.51,3.521,20305.77,71874.98,3.542992
1641824100000,3.523,3.531,3.454,3.495,167754.81,585392.65,3.491936
1641825000000,3.495,3.587,3.419,3.564,57762.79,201758.52,3.501833
1641825900000,3.571,3.664,3.566,3.578,40009.11,144609.33,3.615052
1641826800000,3.591,3.626,3.56,3.57,15968.33,57377.5,3.593325
1641827700000,3.57,3.582,3.521,3.521,53636.57,189969.92,3.552654
1641828600000,3.521,3.614,3.521,3.611,21652.13,77759.21,3.567959
1641829500000,3.611,3.612,3.559,3.597,11913.15,42833.49,3.585172
1641830400000,3.601,3.601,3.548,3.588,58098.36,206834.18,3.574195
1641831300000,3.609,3.72,3.6,3.708,39331.46,145154.68,3.660308
1641832200000,3.702,3.704,3.647,3.67,20543.48,75313.56,3.674602
1641833100000,3.679,3.701,3.665,3.701,9749.34,35852.35,3.682279
1641834000000,3.704,3.714,3.663,3.666,12158.91,44858.01,3.689064
1641834900000,3.666,3.717,3.601,3.615,30742.63,112757.0,3.659939
1641835800000,3.613,3.615,3.565,3.599,14191.5,50870.53,3.58968
1641836700000,3.587,3.649,3.585,3.648,5854.6,21266.01,3.616853
1641837600000,3.648,3.65,3.635,3.649,7560.2,27548.14,3.642493
1641838500000,3.645,3.74,3.645,3.729,58149.64,214778.66,3.693836
1641839400000,3.723,3.73,3.678,3.701,15274.06,56556.12,3.703625
1641840300000,3.696,3.696,3.655,3.663,5269.08,19340.03,3.674727
1641841200000,3.658,3.693,3.654,3.693,8261.85,30302.2,3.672996
1641842100000,3.693,3.697,3.651,3.683,9618.19,35385.16,3.673833
