Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1641772800000,3.751,4.3,3.419,3.784,2555922.8,9670673.03,3.859532
1641859200000,3.791,3.91,3.3,3.597,3493404.44,12291136.89,3.602691
1641945600000,3.597,3.858,3.52,3.725,3496505.58,12923191.59,3.690041
1642032000000,3.717,3.782,3.5,3.505,2142172.61,7779571.39,3.645936
1642118400000,3.519,3.642,3.479,3.562,1694636.09,6030425.22,3.560854
1642204800000,3.56,3.69,3.53,3.621,1226166.13,4414922.21,3.610735
1642291200000,3.617,4.679,3.613,4.158,9797322.76,40897682.2,4.16379
1642377600000,4.156,4.299,3.679,3.764,3357901.67,13391682.5,3.99222
1642464000000,3.762,3.85,3.502,3.73,2239700.67,8178947.16,3.675852
1642550400000,3.73,3.802,3.496,3.562,1400080.68,5061489.38,3.649244
1642636800000,3.565,3.758,3.339,3.358,2045567.79,7297946.72,3.554153
1642723200000,3.35,3.426,2.643,2.71,4218572.84,12883030.8,3.035402
1642809600000,2.711,2.914,2.01,2.454,6291567.52,15260815.12,2.459515
1642896000000,2.469,2.599,2.246,2.503,2074790.14,5044294.32,2.422352
1642982400000,2.502,2.507,2.0,2.32,3114147.77,6782336.22,2.248257
1643068800000,2.32,2.459,2.196,2.355,1831313.27,4243908.13,2.327456
1643155200000,2.354,3.313,2.309,2.996,9650551.51,27776892.69,2.826485
1643241600000,3.001,3.083,2.496,2.656,5773668.75,15756358.2,2.785814
1643328000000,2.65,2.884,2.481,2.819,2955627.78,7885495.19,2.680109
1643414400000,2.825,2.94,2.66,2.827,2545856.52,7126231.28,2.8
1643500800000,2.82,2.848,2.48,2.573,1959437.49,5248506.05,2.659875
1643587200000,2.572,2.751,2.466,2.694,1542968.02,3997923.84,2.607324
1643673600000,2.69,3.031,2.675,2.877,2371212.18,6736485.4,2.858149
1643760000000,2.877,3.2,2.761,3.049,4404744.39,13035694.52,2.981198
1643846400000,3.026,4.29,3.015,3.385,30087980.49,111867331.94,3.661539
1643932800000,3.384,3.453,2.748,2.994,21669926.39,64829206.45,3.093168
1644019200000,2.995,3.167,2.807,2.872,10743031.58,31937376.96,2.988608
1644105600000,2.872,2.987,2.722,2.827,6690491.34,19051898.18,2.854536
1644192000000,2.823,3.08,2.756,2.861,9598530.02,27748540.93,2.918262
1644278400000,2.861,3.89,2.606,2.779,21724489.98,66390848.81,3.248437
1644364800000,2.778,2.91,2.643,2.817,6571341.53,18257631.49,2.776387
1644451200000,2.819,2.863,2.553,2.599,7418632.0,20152594.55,2.707856
1644537600000,2.6,2.711,2.225,2.303,8449105.47,21154233.42,2.469699
1644624000000,2.305,2.38,2.204,2.302,5188695.42,11832638.31,2.291999
1644710400000,2.302,2.471,2.247,2.291,8213072.0,19317953.39,2.359038
1644796800000,2.291,2.35,2.17,2.293,6090863.71,13777783.68,2.259999
1644883200000,2.291,2.492,2.275,2.478,5754615.65,13923750.27,2.383272
1644969600000,2.477,2.506,2.326,2.395,5382976.95,12973137.7,2.414906
1645056000000,2.399,2.418,2.104,2.125,7112333.67,16066574.22,2.260765
1645142400000,2.125,2.201,2.028,2.048,6721326.93,14194891.16,2.115959
1645228800000,2.047,2.102,1.893,1.976,4797967.93,9525318.96,1.997084
1645315200000,1.978,1.978,1.774,1.813,6751673.56,12454721.03,1.872187
1645401600000,1.813,1.965,1.55,1.57,13976757.22,24859058.92,1.763688
1645488000000,1.57,1.693,1.559,1.652,12990095.07,21036724.4,1.627549
1645574400000,1.651,1.724,1.542,1.555,6307198.29,10390265.85,1.635243
1645660800000,1.553,1.561,1.315,1.504,15991501.64,22626764.18,1.437093
1645747200000,1.503,1.584,1.449,1.535,6629084.97,10012965.02,1.516464
1645833600000,1.534,1.622,1.485,1.499,4369455.06,6773056.83,1.554114
1645920000000,1.5,1.594,1.37,1.41,9169534.09,13658489.87,1.483135
1646006400000,1.409,1.562,1.382,1.56,6915355.3,10073391.6,1.469331
1646092800000,1.56,1.65,1.502,1.583,9032043.74,14146224.88,1.576027
1646179200000,1.583,1.585,1.452,1.465,5565599.43,8458748.21,1.517152
1646265600000,1.465,1.496,1.402,1.459,4070504.08,5885971.18,1.448987
1646352000000,1.458,1.487,1.278,1.323,6823397.32,9257273.85,1.381568
1646438400000,1.322,1.33,1.251,1.282,3839153.35,4940099.88,1.289712
1646524800000,1.281,1.284,1.148,1.148,5681160.22,6861039.31,1.216471
1646611200000,1.148,1.771,1.101,1.584,75046014.14,112345884.77,1.444288
1646697600000,1.585,1.838,1.461,1.521,58941689.84,96519413.1,1.6502
1646784000000,1.521,1.767,1.426,1.601,29387406.39,46723706.62,1.596995
1646870400000,1.602,1.698,1.456,1.51,24668313.38,38508001.14,1.577787
1646956800000,1.51,1.86,1.487,1.704,42428292.36,72776059.55,1.678323
1647043200000,1.704,1.97,1.677,1.864,38080212.08,71281346.26,1.826682
1647129600000,1.866,1.981,1.659,1.69,27644450.62,51167949.23,1.82339
1647216000000,1.689,1.746,1.56,1.652,17484470.86,29140915.35,1.652825
1647302400000,1.651,1.699,1.501,1.511,15350231.18,23909217.63,1.602714
1647388800000,1.511,1.672,1.45,1.649,23261765.98,35586750.89,1.558968
1647475200000,1.649,1.689,1.555,1.58,11863589.71,19147226.71,1.622532
1647561600000,1.58,1.646,1.49,1.643,9015008.27,13907316.01,1.566151
1647648000000,1.644,2.211,1.592,2.085,63099388.07,124918699.81,1.906877
1647734400000,2.085,2.364,1.93,2.188,47724298.1,101642391.77,2.14715
