Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1641808800000,3.751,4.3,3.751,3.845,1020857.48,4040977.6,4.02718
1641812400000,3.845,3.883,3.713,3.732,223323.22,847963.83,3.79918
1641816000000,3.729,3.799,3.584,3.611,135615.7,498860.0,3.693251
1641819600000,3.61,3.646,3.553,3.572,96669.22,347876.97,3.59987
1641823200000,3.572,3.664,3.419,3.578,285832.48,1003635.47,3.541495
1641826800000,3.591,3.626,3.521,3.597,103170.18,367940.13,3.573483
1641830400000,3.601,3.72,3.548,3.701,127722.64,463154.77,3.632431
1641834000000,3.704,3.717,3.565,3.648,62947.64,229751.55,3.639771
1641837600000,3.648,3.74,3.635,3.663,86252.98,318222.95,3.687664
1641841200000,3.658,3.697,3.64,3.659,38088.97,139825.33,3.668501
1641844800000,3.656,3.732,3.64,3.728,39209.35,144706.46,3.684915
1641848400000,3.728,3.8,3.727,3.739,119627.36,449290.16,3.763671
1641852000000,3.744,3.776,3.687,3.694,75939.37,282905.13,3.732571
1641855600000,3.704,3.892,3.692,3.784,140666.21,535562.68,3.794
1641859200000,3.791,3.91,3.64,3.653,178605.68,677579.84,3.778703
1641862800000,3.649,3.659,3.525,3.609,149250.46,535233.56,3.591157
1641866400000,3.597,3.655,3.559,3.59,146723.5,529788.67,3.607018
1641870000000,3.59,3.634,3.575,3.591,55450.83,199924.59,3.604501
1641873600000,3.591,3.605,3.525,3.562,119482.99,425297.92,3.564609
1641877200000,3.562,3.565,3.451,3.48,88759.01,309646.22,3.506069
1641880800000,3.482,3.616,3.472,3.573,107144.28,381272.28,3.54583
1641884400000,3.573,3.582,3.367,3.445,256328.04,883033.65,3.471146
1641888000000,3.446,3.466,3.39,3.4,145497.37,498539.75,3.428504
1641891600000,3.4,3.416,3.38,3.4,127829.7,434907.29,3.398
1641895200000,3.4,3.483,3.3,3.328,221433.24,750085.26,3.392607
1641898800000,3.328,3.4,3.319,3.398,104518.03,352048.46,3.358696
1641902400000,3.395,3.455,3.362,3.401,82220.45,280906.49,3.408511
1641906000000,3.402,3.459,3.4,3.438,85704.96,293457.75,3.430475
1641909600000,3.444,3.48,3.367,3.431,390858.3,1343155.43,3.423454
1641913200000,3.429,3.495,3.415,3.494,247486.78,855634.17,3.453715
1641916800000,3.494,3.659,3.482,3.57,434608.69,1560753.63,3.57236
1641920400000,3.571,3.657,3.57,3.645,154142.57,556324.09,3.614714
1641924000000,3.64,3.645,3.593,3.605,40812.1,147282.66,3.618553
1641927600000,3.605,3.606,3.541,3.561,118268.9,422619.35,3.572271
