Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1637582400000,0.1451,0.3649,0.1451,0.2255,425484776.9,108559098.08,0.257412
1637589600000,0.2255,0.2398,0.2121,0.218,82617038.3,18628592.19,0.226028
1637596800000,0.2176,0.2178,0.1866,0.201,113031529.5,22600637.8,0.201659
1637604000000,0.2012,0.2146,0.1881,0.1885,54717544.6,10953624.57,0.201746
1637611200000,0.1882,0.23,0.1873,0.2183,77382097.2,16133826.81,0.209416
1637618400000,0.2176,0.28,0.2075,0.2366,184943327.1,45154115.1,0.244041
1637625600000,0.2366,0.2446,0.2117,0.217,47017666.5,10608079.29,0.228281
1637632800000,0.2168,0.2428,0.2123,0.2216,35378692.5,7970915.31,0.227602
1637640000000,0.2217,0.2286,0.2076,0.2161,29346185.2,6385212.19,0.218086
1637647200000,0.2161,0.2192,0.2026,0.2083,31150276.6,6523726.25,0.210824
1637654400000,0.2083,0.2101,0.198,0.2051,35347362.5,7187972.0,0.204003
1637661600000,0.2051,0.2069,0.1955,0.1982,29687090.8,5973153.97,0.201155
1637668800000,0.1983,0.2045,0.1955,0.2004,30839232.1,6133589.68,0.200009
1637676000000,0.2004,0.2038,0.1961,0.1997,18250967.1,3650003.23,0.19995
1637683200000,0.1997,0.2117,0.1963,0.2007,36610144.9,7478064.2,0.204004
1637690400000,0.2006,0.2085,0.2004,0.2019,14584509.3,2973207.37,0.204471
1637697600000,0.2019,0.2019,0.196,0.1973,14104567.1,2793576.8,0.198834
1637704800000,0.1973,0.2048,0.196,0.201,13633178.0,2716167.12,0.200458
1637712000000,0.2011,0.2013,0.196,0.196,10846209.6,2150665.6,0.19868
1637719200000,0.196,0.1965,0.1817,0.1845,29996619.5,5621598.39,0.188896
1637726400000,0.1844,0.1942,0.1838,0.193,19164006.3,3630847.79,0.189062
1637733600000,0.1929,0.1948,0.189,0.1913,15074889.3,2891259.5,0.191896
1637740800000,0.1913,0.192,0.1857,0.1863,13784567.5,2594511.23,0.188859
1637748000000,0.1864,0.1908,0.1823,0.1862,16656842.2,3103380.47,0.18655
1637755200000,0.1862,0.1866,0.1821,0.1839,14515626.2,2671915.85,0.184301
1637762400000,0.1839,0.1844,0.177,0.1798,17202874.2,3093899.47,0.180604
1637769600000,0.1798,0.1839,0.1726,0.1733,17616052.0,3130644.16,0.178403
1637776800000,0.1733,0.1801,0.1726,0.1799,13355505.5,2347132.02,0.17629
1637784000000,0.1799,0.205,0.1799,0.1875,36401382.8,6918735.81,0.192655
1637791200000,0.1875,0.188,0.1766,0.1876,11391362.5,2070602.73,0.1823
1637798400000,0.1874,0.1876,0.1772,0.1813,11529720.6,2090266.65,0.182217
1637805600000,0.1813,0.1854,0.18,0.1812,9821250.5,1788708.67,0.1827
1637812800000,0.1812,0.1836,0.1726,0.1775,11151058.8,2007097.59,0.178064
1637820000000,0.1775,0.185,0.1736,0.1812,17401882.4,3096967.53,0.179299
1637827200000,0.1812,0.1814,0.175,0.1776,10692203.9,1893589.33,0.178097
1637834400000,0.1774,0.1813,0.177,0.1811,10307702.6,1841816.98,0.179127
1637841600000,0.1811,0.1886,0.1757,0.1769,17704786.3,3190059.25,0.182236
1637848800000,0.1769,0.1832,0.1767,0.1816,14371132.2,2586137.88,0.180055
1637856000000,0.1816,0.1877,0.1771,0.1797,23377887.9,4246331.1,0.182414
1637863200000,0.18,0.1853,0.1789,0.1834,12993801.2,2355194.21,0.18213
1637870400000,0.1834,0.2,0.1812,0.1975,29858601.1,5729182.73,0.190625
1637877600000,0.1975,0.245,0.193,0.2055,122565131.2,26619699.32,0.219104
1637884800000,0.2055,0.2111,0.1939,0.205,39341428.6,7917185.18,0.202499
1637892000000,0.205,0.205,0.1885,0.1893,21263988.0,4138651.62,0.196633
1637899200000,0.1891,0.2,0.1888,0.1928,24123237.5,4699776.4,0.194497
1637906400000,0.1928,0.1986,0.1883,0.1888,15962824.0,3080443.68,0.193554
1637913600000,0.1888,0.1888,0.1761,0.1778,43312817.6,7813137.02,0.182254
1637920800000,0.178,0.1785,0.1652,0.1702,27838747.9,4783243.42,0.171638
1637928000000,0.17,0.1794,0.1681,0.1755,19851312.1,3448301.82,0.173813
1637935200000,0.1756,0.1833,0.175,0.1802,15219170.2,2743484.41,0.179254
1637942400000,0.1803,0.1803,0.1731,0.1739,9797507.8,1727156.11,0.176602
1637949600000,0.1739,0.1773,0.1725,0.1763,9113837.9,1593892.76,0.174887
1637956800000,0.1761,0.1793,0.1729,0.1758,9386256.9,1647892.97,0.1761
1637964000000,0.1756,0.176,0.1696,0.1721,8589669.2,1487924.08,0.172715
1637971200000,0.172,0.1745,0.1703,0.1742,7010740.2,1212433.95,0.172348
1637978400000,0.1742,0.1814,0.1742,0.1797,13531659.1,2415071.81,0.177945
1637985600000,0.1796,0.1811,0.1777,0.1792,6187455.6,1111683.47,0.1794
1637992800000,0.1791,0.1792,0.1764,0.1767,5916633.9,1050490.33,0.177778
1638000000000,0.1767,0.1829,0.1765,0.1794,12669790.4,2278888.43,0.179777
1638007200000,0.1794,0.1876,0.1791,0.1876,11180207.5,2045438.96,0.183305
1638014400000,0.1876,0.1899,0.1776,0.1788,17769989.9,3233769.0,0.183831
1638021600000,0.1788,0.18,0.1763,0.1776,8906737.9,1587530.29,0.178149
